,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AYATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,8,5,14,6,22,28
AYO AYO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,14,1,2,6,16,22
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,10,13,24,16,34,50
AZURDUY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,3,1,3,4
BATALLAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,8,33,47,36,55,91
BAURES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,4,8,1,14,5,19
BELEN DE ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,1,2,1,2,3
BELLA FLOR,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,12,3,13,3,16
BERMEJO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,11,47,0,3,11,50,61
BETANZOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,13,33,3,3,16,36,52
BOLIVAR,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
BOLPEBRA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,1,1,4,5,5,10
BUENA VISTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,9,20,0,0,9,20,29
CABEZAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,19,7,8,9,27,36
CAIROMA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,7,0,13,4,20,24
"CAIZA ""D""",otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,12,1,1,5,13,18
CAJUATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,24,0,0,10,24,34
CALACOTO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,4,1,1,2,5,7
CALAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,8,19,0,1,8,20,28
CAMARGO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,1,1,1,1,2
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,2,0,0,4,2,6
CAMIRI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,19,11,17,18,36,29,65
CAPINOTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,12,11,6,13,18,31
CAQUIAVIRI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,11,0,0,4,11,15
CARACOLLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,19,1,5,5,24,29
CARANAVI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,20,69,153,14,173,83,256
CARAPARI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,25,0,0,6,25,31
CARMEN RIVERO TORREZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,8,1,3,1,11,12
CATACORA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,1,0,2,2,3,5
CHACARILLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,0,0,1,2,1,3
CHALLAPATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,11,27,6,12,17,39,56
CHAQUI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,7,0,1,1,8,9
CHARAGUA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,20,3,1,8,21,29
CHARAÑA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,0,0,1,2,3
CHAYANTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,7,0,0,0,7,7
CHIMORE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,9,7,14,13,23,20,43
CHIPAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,13,2,0,0,13,2,15
CHUA COCANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,5,1,12,7,17,24
CHUMA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,6,1,1,1,7,8
CKOCHAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,8,0,5,3,13,16
CLIZA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,2,13,9,16,11,27
COBIJA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,24,23,92,5,116,28,144
COCAPATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,6,3,5,7,11,18
COCHABAMBA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,244,448,403,511,647,959,1606
COIPASA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
COLCAPIRHUA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,12,17,60,29,72,46,118
"COLCHA ""K""",otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,9,0,1,4,10,14
COLLANA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,11,2,3,7,14,21
COLOMI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,14,26,2,2,16,28,44
COLPA BELGICA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,31,48,10,12,41,60,101
COLQUECHACA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,20,3,3,5,23,28
COLQUENCHA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,23,0,0,10,23,33
COLQUIRI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,12,3,8,8,20,28
COMANCHE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,12,0,0,3,12,15
COMBAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,4,0,0,3,4,7
CONCEPCION,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,18,53,27,36,45,89,134
COPACABANA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,1,6,16,10,17,27
CORIPATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,17,104,120,114,137,251
CORO CORO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,1,3,2,5,7
COROICO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,8,19,40,48,48,67,115
CORQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,6,0,0,2,6,8
COTAGAITA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,7,13,2,5,9,18,27
CRUZ DE MACHACAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,22,1,0,4,22,26
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,0,1,0,1
CUEVO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,4,6,4,8,12
CULPINA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,0,0,0,2,0,2
CURAHUARA DE CARANGAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,1,0,1,0,1
CURVA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,277,755,168,390,445,1145,1590
EL CHORO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,1,0,0,1,1,2
EL PUENTE(STC),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,8,4,7,5,15,20
EL PUENTE(TJA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,10,0,0,4,10,14
EL VILLAR,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,0,1,2,5,7
ENTRE RIOS TRJ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,4,0,0,5,4,9
ENTRE RIOS CBBA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,24,55,1,1,25,56,81
ESCOMA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,6,3,8,7,15
EUCALIPTUS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,6,1,1,1,7,8
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,4,3,5,5,10
EXALTACION,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,0,0,1,2,3
FERNANDEZ ALONSO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,10,49,68,49,78,127
FILADELFIA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,5,3,6,3,11,14
GENERAL SAAVEDRA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,14,0,1,5,15,20
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,12,6,6,10,18,28
GUANAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,10,132,125,142,135,277
GUAQUI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,3,0,0,1,3,4
GUAYARAMERIN,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,70,431,22,435,92,527
GUTIERREZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,7,4,2,7,9,16
HUACARETA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,0,0,0,2,0,2
HUANUNI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,12,5,16,8,28,36
HUARACAJE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,2,0,0,2,2,4
HUARINA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,12,10,5,20,17,37
HUAYLLAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,1,0,3,3
HUMANATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,0,1,0,1,1
ICHOCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,4,0,2,0,6,6
ICLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,4,0,2,0,6,6
INCAHUASI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,5,11,10,12,15,27
INGAVI (HUMAITA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,0,0,2,4,6
INQUISIVI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,11,0,1,5,12,17
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,10,19,13,25,23,48
IXIAMAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,7,6,24,38,31,44,75
LA ASUNTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,53,75,25,29,78,104,182
LA PAZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,488,510,63,96,551,606,1157
LAGUNILLAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,1,1,1,2
LAJA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,9,1,0,6,9,15
LLALLAGUA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,12,38,39,43,51,94
LLICA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,2,0,4,4
LORETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,3,10,8,12,11,23
LURIBAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,6,1,1,1,7,8
MACHACAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,6,0,0,5,6,11
MACHARETI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,3,0,4,2,6
MAGDALENA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,5,49,50,52,55,107
MAIRANA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,0,1,0,1
MALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,1,0,2,0,3,3
MAPIRI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,12,0,1,1,13,14
MECAPACA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,4,4,4,7,8,15
MINEROS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,9,0,1,1,10,11
MOCOMOCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,5,3,0,5,5,10
MOJOCOYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,7,4,0,2,7,6,13
MONTEAGUDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,6,0,1,5,7,12
MONTERO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,93,164,32,43,125,207,332
MOROCHATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,1,0,0,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,1,1,0,2,1,3
NAZACARA DE PACAJES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,9,12,9,12,21
OCURI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,16,1,8,1,24,25
OMEREQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,3,3,4,5,7,12
ORURO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,98,391,5,2,103,393,496
PADCAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,7,18,0,0,7,18,25
PAILON,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,2,2,0,7,2,9
PALCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,17,30,45,44,62,74,136
PALOS BLANCOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,13,21,1,2,14,23,37
PAPEL PAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,11,1,9,4,20,24
PASORAPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,0,4,2,6,2,8
PATACAMAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,22,1,2,4,24,28
PAZÑA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,6,4,1,8,7,15
PELECHUCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,16,0,0,3,16,19
POCOATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,9,0,9,1,18,19
POCONA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,5,6,7,10,17
POJO (CBBA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,0,0,2,4,6
POOPO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,7,1,7,2,14,16
PORCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,14,1,4,1,18,19
POROMA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,17,12,67,17,84,101
PORTACHUELO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,23,5,4,15,27,42
PORVENIR,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,4,0,3,1,7,8
POTOSI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,67,285,40,37,107,322,429
PRESTO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,0,1,0,1,1
PUCARA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,4,0,0,0,4,4
PUCARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,10,23,33,56,43,79,122
PUERTO ACOSTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,1,0,2,1,3,4
PUERTO CARABUCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,22,10,24,10,46,56
PUERTO GONZALO MORENO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,2,6,4,9,6,15
PUERTO PEREZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,3,4,4,7,7,14
PUERTO QUIJARRO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,4,4,15,6,19,25
PUERTO RICO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,6,0,0,0,6,6
PUERTO SUAREZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,5,2,6,6,11,17
PUERTO VILLARROEL,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,12,28,18,20,30,48,78
PUNA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,11,4,11,8,22,30
PUNATA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,15,16,21,23,36,39,75
QUIABAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,1,0,3,1,4,5
QUILLACOLLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,66,102,166,167,232,269,501
QUIME,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,7,0,1,2,8,10
RAVELO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,11,0,3,3,14,17
REYES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,25,95,105,95,130,225
RIBERALTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,29,167,146,11,175,178,353
ROBORE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,1,0,0,3,1,4
RURRENABAQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,21,34,99,4,120,38,158
SABAYA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,1,0,0,4,1,5
SACABA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,44,90,72,95,116,185,301
SACABAMBA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,4,10,18,13,22,35
SACACA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,25,1,5,3,30,33
SAIPINA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,2,0,0,3,2,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,7,1,0,3,7,10
SAN ANDRES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,10,0,0,5,10,15
SAN ANDRES DE MACHACA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
SAN ANTONIO DE ESMORUCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,3,0,0,0,3,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,15,19,0,3,15,22,37
SAN BENITO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,7,1,4,4,11,15
SAN BORJA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,33,98,29,96,62,194,256
SAN BUENA VENTURA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,4,0,5,2,7
SAN CARLOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,7,0,0,2,7,9
SAN IGNACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,26,31,35,33,61,64,125
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,5,7,0,1,5,8,13
SAN JAVIER(BNI),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,3,0,0,1,3,4
SAN JAVIER(STC),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,28,0,0,6,28,34
SAN JOAQUIN,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,6,26,0,0,6,26,32
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,8,19,1,7,9,26,35
SAN JUAN DE YAPACANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,3,0,0,1,3,4
SAN JULIAN,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,16,55,17,9,33,64,97
SAN LORENZO(PND),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,8,0,0,2,8,10
SAN LORENZO(TJA),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,21,9,4,13,25,38
SAN LUCAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,14,0,0,4,14,18
SAN MATIAS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,4,7,2,0,6,7,13
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,7,6,1,12,8,18,26
SAN PABLO DE LIPEZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,0,0,0,1,0,1
SAN PEDRO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,2,1,0,0,2,1,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,35,0,4,3,39,42
SAN PEDRO DE CURAHUARA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,4,0,0,1,4,5
SAN PEDRO DE MACHA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,3,28,0,0,3,28,31
SAN PEDRO DE QUEMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,1,2,18,4,19,6,25
SAN PEDRO(PND),otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,0,4,2,4,2,6
SAN RAFAEL,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,2,0,0,0,2,2
SAN RAMON BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,0,3,13,54,13,57,70
SAN RAMON SCZ,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,15,15,0,0,15,15,30
SANTA ANA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2021-01-01,14,30,0,1,14,31,45
