,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,2,0,0,0,2,2
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,0,0,3,1,3,4
CABEZAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,0,0,0,1,0,1
CALAMARCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,15,10,1,0,16,10,26
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,11,10,0,0,11,10,21
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,4,0,0,1,4,5
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,2,0,3,1,5,6
QUIME,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,3,7,8,7,11,18
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,2,0,0,0,2,0,2
SAN CARLOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,1,12,0,0,1,12,13
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,2,0,0,0,2,0,2
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,4,2,0,0,4,2,6
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,2,1,0,0,2,1,3
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,0,1,0,1,0,1
TOTORA(ORR),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,0,0,2,0,2,2
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,30,50,0,0,30,50,80
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,0,0,0,1,0,1
GUANAY,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,11,11,0,0,11,11,22
MINEROS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,4,0,0,1,4,5
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,3,0,0,1,3,4
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,2,1,2,1,4,5
PUERTO ACOSTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,1,2,0,0,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,1,1,4,1,5,6
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,3,0,0,0,3,3
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,1,0,1,1
TIQUIPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,2,0,2,2
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,12,14,0,0,12,14,26
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,2,0,0,1,2,3
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,3,1,4,1,5
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,7,19,15,9,22,28,50
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,7,2,0,3,7,5,12
MINEROS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,3,0,0,1,3,4
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
QUIME,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,1,0,2,2
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,2,0,0,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
SAN BENITO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,0,0,1,0,1,1
TARACO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-04-01,0,3,0,0,0,3,3
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,2,0,0,0,2,0,2
BOLPEBRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
CHACARILLA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,4,2,0,0,4,2,6
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,2,9,0,20,2,29,31
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,2,0,0,0,2,2
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,2,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,2,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,2,0,0,0,2,0,2
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,1,0,0,1,1,2
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
TACOPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,0,0,1,0,1,1
VIACHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,0,2,0,0,0,2,2
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,0,1,1,1,1,2
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,4,5,0,0,4,5,9
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,2,0,0,0,2,0,2
COLOMI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,2,2,0,0,2,2,4
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,3,10,0,0,3,10,13
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,1,3,0,0,1,3,4
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,1,0,0,0,1,0,1
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,2,0,0,0,2,2
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,3,1,0,0,3,1,4
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-06-01,1,0,0,0,1,0,1
CHACARILLA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,0,1,2,1,2,3
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,0,2,1,2,1,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,3,2,2,2,5,7
LAGUNILLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,1,0,2,3,3,3,6
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,1,0,0,0,1,0,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,3,7,0,0,3,7,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,2,0,0,0,2,2
TOLATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,1,0,0,0,1,1
TOTORA(ORR),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-07-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,0,1,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,6,8,0,0,6,8,14
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,3,0,0,0,3,0,3
RAVELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,4,0,0,0,4,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,7,0,0,0,7,7
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,1,0,0,0,1,0,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,1,1,0,0,1,1,2
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,0,0,1,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,1,0,0,1,1,2
CAMARGO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,0,0,9,0,9,9
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,7,0,0,0,7,7
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,3,11,0,0,3,11,14
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
PAPEL PAMPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,3,0,0,1,3,4
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,2,0,0,1,2,3
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,5,5,0,0,5,5,10
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,1,1,0,0,1,1,2
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,2,0,1,0,3,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,2,0,0,0,2,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,4,1,0,0,4,1,5
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,0,0,1,2,1,2,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,1,1,0,0,1,1,2
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-10-01,7,9,0,0,7,9,16
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
CHACARILLA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,46,12,0,0,46,12,58
COLOMI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,8,0,1,0,9,9
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,5,5,0,0,5,5,10
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,0,0,8,0,8,8
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,1,2,0,0,1,2,3
TACOPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,1,1,0,0,1,1,2
TARATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,0,0,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-11-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,1,4,0,0,1,4,5
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,1,0,0,2,1,2,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,1,13,0,0,1,13,14
LICOMA PAMPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,0,1,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,6,0,0,0,6,6
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,2,3,0,0,2,3,5
POCONA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,2,2,0,0,2,2,4
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,6,0,0,0,6,6
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2021-12-01,0,0,5,3,5,3,8
