,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-05-01,10,16,0,0,10,16,26
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-05-01,0,0,0,4,0,4,4
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,4,6,0,0,4,6,10
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,8,7,0,0,8,7,15
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,2,1,0,0,2,1,3
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-06-01,0,0,2,3,2,3,5
ACHACACHI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
BETANZOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,1,0,0,0,1,0,1
CHARAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,1,0,0,0,1,0,1
HUARACAJE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
PORVENIR,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,2,3,0,0,2,3,5
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,2,0,0,0,2,2
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-07-01,0,0,5,6,5,6,11
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,6,35,3,0,9,35,44
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,1,10,2,5,3,15,18
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,16,14,0,0,16,14,30
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,2,1,0,0,2,1,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,2,0,0,0,2,0,2
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-08-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,1,0,0,0,1,0,1
HUARACAJE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,1,3,0,0,1,3,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,2,0,0,0,2,0,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,2,0,1,0,3,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,1,0,0,0,1,1
PORVENIR,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,1,9,0,9,1,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,4,8,0,0,4,8,12
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,0,2,3,2,3,5
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,3,1,0,0,3,1,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-09-01,2,4,0,0,2,4,6
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,3,1,0,0,3,1,4
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,1,1,0,0,1,1,2
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,0,1,1,0,1,1,2
SAN LORENZO(PND),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,0,3,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,14,13,0,0,14,13,27
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,0,0,3,5,3,5,8
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,1,3,1,0,2,3,5
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,0,0,2,0,2,0,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,3,4,0,0,3,4,7
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-10-01,2,3,0,0,2,3,5
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,3,1,0,0,3,1,4
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,4,1,0,0,4,1,5
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,0,4,0,0,0,4,4
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,1,1,0,0,1,1,2
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,1,0,0,0,1,0,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,1,7,0,0,1,7,8
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,0,0,0,1,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-11-01,8,6,0,0,8,6,14
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,4,2,0,0,4,2,6
COTAGAITA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,1,4,0,0,1,4,5
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,4,5,0,0,4,5,9
MAIRANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,3,0,1,0,4,4
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,4,4,0,0,4,4,8
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,0,30,0,30,0,30
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,1,3,0,0,1,3,4
SAN ANDRES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,7,0,0,0,7,0,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,15,15,0,0,15,15,30
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,2,1,0,0,2,1,3
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2021-12-01,0,0,1,1,1,1,2
