,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2021-01-01,0,0,3,5,3,5,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2021-01-01,383,430,183,240,566,670,1236
SANTA ROSA,otras vacunaciones,sr,2021-01-01,0,0,20,25,20,25,45
SUCRE,otras vacunaciones,sr,2021-01-01,103,1,0,0,103,1,104
TACACHI,otras vacunaciones,sr,2021-01-01,0,0,4,0,4,0,4
TARABUCO,otras vacunaciones,sr,2021-01-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,sr,2021-01-01,0,2,0,0,0,2,2
TIRAQUE (CBBA),otras vacunaciones,sr,2021-01-01,2,1,0,0,2,1,3
TRINIDAD,otras vacunaciones,sr,2021-01-01,2,6,0,0,2,6,8
VACAS,otras vacunaciones,sr,2021-01-01,0,0,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,sr,2021-01-01,3,6,0,0,3,6,9
VILLAZON,otras vacunaciones,sr,2021-01-01,3,6,5,3,8,9,17
YACUIBA,otras vacunaciones,sr,2021-01-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,sr,2021-01-01,4,12,0,0,4,12,16
ANTEQUERA,otras vacunaciones,sr,2021-02-01,2,2,6,7,8,9,17
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-02-01,6,2,0,0,6,2,8
COBIJA,otras vacunaciones,sr,2021-02-01,3,2,0,0,3,2,5
COCHABAMBA,otras vacunaciones,sr,2021-02-01,20,26,0,0,20,26,46
COLOMI,otras vacunaciones,sr,2021-02-01,0,1,1,0,1,1,2
COLPA BELGICA,otras vacunaciones,sr,2021-02-01,0,0,2,8,2,8,10
COTOCA,otras vacunaciones,sr,2021-02-01,40,39,0,0,40,39,79
CUATRO CAÑADAS,otras vacunaciones,sr,2021-02-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,sr,2021-02-01,94,143,9,1,103,144,247
GENERAL SAAVEDRA,otras vacunaciones,sr,2021-02-01,0,7,0,0,0,7,7
HUARACAJE,otras vacunaciones,sr,2021-02-01,0,3,0,0,0,3,3
LA GUARDIA,otras vacunaciones,sr,2021-02-01,40,85,16,14,56,99,155
LA PAZ,otras vacunaciones,sr,2021-02-01,14,54,0,0,14,54,68
MINEROS,otras vacunaciones,sr,2021-02-01,2,1,0,0,2,1,3
MONTERO,otras vacunaciones,sr,2021-02-01,0,7,12,9,12,16,28
ORURO,otras vacunaciones,sr,2021-02-01,1,0,0,0,1,0,1
PAILON,otras vacunaciones,sr,2021-02-01,1,0,5,13,6,13,19
PORTACHUELO,otras vacunaciones,sr,2021-02-01,19,12,1,0,20,12,32
POTOSI,otras vacunaciones,sr,2021-02-01,1,1,0,0,1,1,2
ROBORE,otras vacunaciones,sr,2021-02-01,4,1,0,0,4,1,5
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2021-02-01,5,5,0,0,5,5,10
SAN JAVIER(STC),otras vacunaciones,sr,2021-02-01,11,14,0,0,11,14,25
SAN RAMON SCZ,otras vacunaciones,sr,2021-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2021-02-01,229,329,187,245,416,574,990
SUCRE,otras vacunaciones,sr,2021-02-01,5,0,0,0,5,0,5
TIRAQUE (CBBA),otras vacunaciones,sr,2021-02-01,1,3,0,0,1,3,4
VILLAZON,otras vacunaciones,sr,2021-02-01,1,1,0,0,1,1,2
YACUIBA,otras vacunaciones,sr,2021-02-01,2,4,1,0,3,4,7
YAPACANI,otras vacunaciones,sr,2021-02-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,sr,2021-03-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-03-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,sr,2021-03-01,3,0,0,0,3,0,3
COBIJA,otras vacunaciones,sr,2021-03-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,sr,2021-03-01,6,33,0,0,6,33,39
CONCEPCION,otras vacunaciones,sr,2021-03-01,0,0,5,4,5,4,9
COTAGAITA,otras vacunaciones,sr,2021-03-01,0,0,1,1,1,1,2
COTOCA,otras vacunaciones,sr,2021-03-01,32,17,0,0,32,17,49
CUATRO CAÑADAS,otras vacunaciones,sr,2021-03-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,sr,2021-03-01,19,57,46,37,65,94,159
ESCOMA,otras vacunaciones,sr,2021-03-01,1,3,0,0,1,3,4
FERNANDEZ ALONSO,otras vacunaciones,sr,2021-03-01,0,0,12,26,12,26,38
GENERAL SAAVEDRA,otras vacunaciones,sr,2021-03-01,2,11,0,0,2,11,13
HUARACAJE,otras vacunaciones,sr,2021-03-01,2,2,0,0,2,2,4
LA GUARDIA,otras vacunaciones,sr,2021-03-01,32,39,0,0,32,39,71
LA PAZ,otras vacunaciones,sr,2021-03-01,97,92,0,0,97,92,189
MAIRANA,otras vacunaciones,sr,2021-03-01,1,0,0,0,1,0,1
MINEROS,otras vacunaciones,sr,2021-03-01,0,0,1,1,1,1,2
MOCOMOCO,otras vacunaciones,sr,2021-03-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,sr,2021-03-01,0,0,11,6,11,6,17
ORURO,otras vacunaciones,sr,2021-03-01,4,5,0,0,4,5,9
PADILLA,otras vacunaciones,sr,2021-03-01,3,5,0,0,3,5,8
PAILON,otras vacunaciones,sr,2021-03-01,3,1,2,1,5,2,7
PORTACHUELO,otras vacunaciones,sr,2021-03-01,0,5,0,0,0,5,5
POTOSI,otras vacunaciones,sr,2021-03-01,4,1,0,0,4,1,5
PUCARANI,otras vacunaciones,sr,2021-03-01,0,0,14,13,14,13,27
ROBORE,otras vacunaciones,sr,2021-03-01,0,2,0,0,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,sr,2021-03-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2021-03-01,0,0,1,1,1,1,2
SAN JAVIER(STC),otras vacunaciones,sr,2021-03-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,sr,2021-03-01,2,0,0,0,2,0,2
SAN PEDRO,otras vacunaciones,sr,2021-03-01,1,1,0,0,1,1,2
SAN RAMON SCZ,otras vacunaciones,sr,2021-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2021-03-01,183,254,227,252,410,506,916
SANTA ROSA DEL SARA,otras vacunaciones,sr,2021-03-01,0,1,5,3,5,4,9
SUCRE,otras vacunaciones,sr,2021-03-01,4,5,0,0,4,5,9
TARIJA,otras vacunaciones,sr,2021-03-01,6,3,5,2,11,5,16
TIRAQUE (CBBA),otras vacunaciones,sr,2021-03-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,sr,2021-03-01,3,2,0,0,3,2,5
VILLA RIVERO,otras vacunaciones,sr,2021-03-01,0,0,1,0,1,0,1
VILLAZON,otras vacunaciones,sr,2021-03-01,0,2,0,0,0,2,2
YACUIBA,otras vacunaciones,sr,2021-03-01,5,3,0,0,5,3,8
ACACIO,otras vacunaciones,sr,2021-04-01,0,0,7,8,7,8,15
AIQUILE,otras vacunaciones,sr,2021-04-01,0,0,8,0,8,0,8
ANDAMARCA,otras vacunaciones,sr,2021-04-01,0,1,5,4,5,5,10
ANTEQUERA,otras vacunaciones,sr,2021-04-01,0,0,40,55,40,55,95
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-04-01,0,0,1,1,1,1,2
BOYUIBE,otras vacunaciones,sr,2021-04-01,0,0,1,1,1,1,2
CAIROMA,otras vacunaciones,sr,2021-04-01,0,0,71,80,71,80,151
CHALLAPATA,otras vacunaciones,sr,2021-04-01,1,0,39,32,40,32,72
COBIJA,otras vacunaciones,sr,2021-04-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,sr,2021-04-01,1,12,0,0,1,12,13
COLCAPIRHUA,otras vacunaciones,sr,2021-04-01,8,22,0,0,8,22,30
COROICO,otras vacunaciones,sr,2021-04-01,0,2,0,0,0,2,2
CORQUE,otras vacunaciones,sr,2021-04-01,5,6,1,0,6,6,12
COTOCA,otras vacunaciones,sr,2021-04-01,31,38,1,2,32,40,72
CUATRO CAÑADAS,otras vacunaciones,sr,2021-04-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,sr,2021-04-01,37,52,26,28,63,80,143
EL TORNO,otras vacunaciones,sr,2021-04-01,9,16,7,5,16,21,37
FERNANDEZ ALONSO,otras vacunaciones,sr,2021-04-01,1,1,2,2,3,3,6
GENERAL SAAVEDRA,otras vacunaciones,sr,2021-04-01,1,7,0,0,1,7,8
HUMANATA,otras vacunaciones,sr,2021-04-01,0,0,25,25,25,25,50
INGAVI (HUMAITA),otras vacunaciones,sr,2021-04-01,2,1,4,4,6,5,11
LA GUARDIA,otras vacunaciones,sr,2021-04-01,12,19,16,16,28,35,63
LA PAZ,otras vacunaciones,sr,2021-04-01,106,199,32,23,138,222,360
LURIBAY,otras vacunaciones,sr,2021-04-01,14,16,63,63,77,79,156
MAIRANA,otras vacunaciones,sr,2021-04-01,0,0,0,2,0,2,2
MALLA,otras vacunaciones,sr,2021-04-01,0,0,35,39,35,39,74
MINEROS,otras vacunaciones,sr,2021-04-01,0,2,0,0,0,2,2
MOCOMOCO,otras vacunaciones,sr,2021-04-01,3,1,19,2,22,3,25
MONTERO,otras vacunaciones,sr,2021-04-01,0,5,4,5,4,10,14
ORURO,otras vacunaciones,sr,2021-04-01,2,8,96,118,98,126,224
PADILLA,otras vacunaciones,sr,2021-04-01,0,3,0,0,0,3,3
PAILON,otras vacunaciones,sr,2021-04-01,0,1,1,3,1,4,5
PORTACHUELO,otras vacunaciones,sr,2021-04-01,11,23,0,0,11,23,34
POTOSI,otras vacunaciones,sr,2021-04-01,1,1,0,3,1,4,5
PUCARANI,otras vacunaciones,sr,2021-04-01,14,7,0,0,14,7,21
PUERTO QUIJARRO,otras vacunaciones,sr,2021-04-01,0,2,0,0,0,2,2
PUERTO RICO,otras vacunaciones,sr,2021-04-01,2,0,1,1,3,1,4
QUIRUSILLAS,otras vacunaciones,sr,2021-04-01,2,0,0,0,2,0,2
ROBORE,otras vacunaciones,sr,2021-04-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,sr,2021-04-01,0,2,0,0,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2021-04-01,0,0,1,3,1,3,4
SAN ANDRES,otras vacunaciones,sr,2021-04-01,0,0,1,3,1,3,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,sr,2021-04-01,2,2,0,0,2,2,4
SAN BUENA VENTURA,otras vacunaciones,sr,2021-04-01,0,2,12,13,12,15,27
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2021-04-01,0,0,1,1,1,1,2
SAN JULIAN,otras vacunaciones,sr,2021-04-01,5,5,3,5,8,10,18
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2021-04-01,255,346,201,211,456,557,1013
SANTA ROSA DEL SARA,otras vacunaciones,sr,2021-04-01,8,13,8,13,16,26,42
SANTIAGO DE HUARI,otras vacunaciones,sr,2021-04-01,0,0,3,16,3,16,19
SAPAHAQUI,otras vacunaciones,sr,2021-04-01,0,4,1,0,1,4,5
SUCRE,otras vacunaciones,sr,2021-04-01,13,7,3,6,16,13,29
TARIJA,otras vacunaciones,sr,2021-04-01,6,9,33,27,39,36,75
TIRAQUE (CBBA),otras vacunaciones,sr,2021-04-01,0,7,0,0,0,7,7
TRINIDAD,otras vacunaciones,sr,2021-04-01,0,1,0,0,0,1,1
URUBICHA,otras vacunaciones,sr,2021-04-01,0,8,0,0,0,8,8
VALLEGRANDE,otras vacunaciones,sr,2021-04-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,sr,2021-04-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,sr,2021-04-01,0,8,0,0,0,8,8
YACO,otras vacunaciones,sr,2021-04-01,0,0,49,61,49,61,110
YACUIBA,otras vacunaciones,sr,2021-04-01,6,3,1,3,7,6,13
ANDAMARCA,otras vacunaciones,sr,2021-05-01,0,0,0,2,0,2,2
ANTEQUERA,otras vacunaciones,sr,2021-05-01,2,3,26,0,28,3,31
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-05-01,6,23,0,0,6,23,29
BELEN DE ANDAMARCA,otras vacunaciones,sr,2021-05-01,0,0,12,0,12,0,12
CAIROMA,otras vacunaciones,sr,2021-05-01,1,4,23,7,24,11,35
"CAIZA ""D""",otras vacunaciones,sr,2021-05-01,3,0,1,0,4,0,4
CAJUATA,otras vacunaciones,sr,2021-05-01,1,11,12,0,13,11,24
CAMARGO,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,sr,2021-05-01,2,1,0,0,2,1,3
CHALLAPATA,otras vacunaciones,sr,2021-05-01,4,4,43,73,47,77,124
COBIJA,otras vacunaciones,sr,2021-05-01,2,4,33,41,35,45,80
COCAPATA,otras vacunaciones,sr,2021-05-01,3,0,0,0,3,0,3
COCHABAMBA,otras vacunaciones,sr,2021-05-01,10,28,0,0,10,28,38
"COLCHA ""K""",otras vacunaciones,sr,2021-05-01,2,3,0,0,2,3,5
COLPA BELGICA,otras vacunaciones,sr,2021-05-01,7,8,14,12,21,20,41
CONCEPCION,otras vacunaciones,sr,2021-05-01,1,3,0,0,1,3,4
COROICO,otras vacunaciones,sr,2021-05-01,0,1,11,4,11,5,16
COTOCA,otras vacunaciones,sr,2021-05-01,3,2,11,7,14,9,23
CUATRO CAÑADAS,otras vacunaciones,sr,2021-05-01,0,0,3,1,3,1,4
EL ALTO,otras vacunaciones,sr,2021-05-01,160,227,305,298,465,525,990
EL CHORO,otras vacunaciones,sr,2021-05-01,4,1,23,0,27,1,28
EL TORNO,otras vacunaciones,sr,2021-05-01,16,44,1,1,17,45,62
ESCOMA,otras vacunaciones,sr,2021-05-01,2,10,8,11,10,21,31
FERNANDEZ ALONSO,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,sr,2021-05-01,1,0,0,0,1,0,1
ICHOCA,otras vacunaciones,sr,2021-05-01,0,0,9,0,9,0,9
INGAVI (HUMAITA),otras vacunaciones,sr,2021-05-01,5,4,0,1,5,5,10
JESUS DE MACHACA,otras vacunaciones,sr,2021-05-01,11,19,10,3,21,22,43
LA GUARDIA,otras vacunaciones,sr,2021-05-01,33,56,5,6,38,62,100
LA PAZ,otras vacunaciones,sr,2021-05-01,277,433,313,337,590,770,1360
LAGUNILLAS,otras vacunaciones,sr,2021-05-01,0,0,3,0,3,0,3
LLALLAGUA,otras vacunaciones,sr,2021-05-01,0,0,7,11,7,11,18
LORETO,otras vacunaciones,sr,2021-05-01,15,25,0,0,15,25,40
LURIBAY,otras vacunaciones,sr,2021-05-01,13,17,36,27,49,44,93
MAGDALENA,otras vacunaciones,sr,2021-05-01,3,5,0,0,3,5,8
MALLA,otras vacunaciones,sr,2021-05-01,0,0,28,28,28,28,56
MINEROS,otras vacunaciones,sr,2021-05-01,4,5,0,2,4,7,11
MOCOMOCO,otras vacunaciones,sr,2021-05-01,1,3,8,8,9,11,20
MONTERO,otras vacunaciones,sr,2021-05-01,0,0,4,6,4,6,10
ORURO,otras vacunaciones,sr,2021-05-01,17,20,24,42,41,62,103
PADILLA,otras vacunaciones,sr,2021-05-01,1,1,0,0,1,1,2
PAILON,otras vacunaciones,sr,2021-05-01,0,0,16,18,16,18,34
PAMPA GRANDE,otras vacunaciones,sr,2021-05-01,1,1,0,0,1,1,2
PORCO,otras vacunaciones,sr,2021-05-01,0,0,2,2,2,2,4
PORONGO,otras vacunaciones,sr,2021-05-01,2,0,0,0,2,0,2
PORTACHUELO,otras vacunaciones,sr,2021-05-01,20,93,0,0,20,93,113
POTOSI,otras vacunaciones,sr,2021-05-01,30,25,10,15,40,40,80
PUCARANI,otras vacunaciones,sr,2021-05-01,7,13,12,11,19,24,43
PUERTO ACOSTA,otras vacunaciones,sr,2021-05-01,0,0,0,3,0,3,3
PUERTO RICO,otras vacunaciones,sr,2021-05-01,0,1,1,0,1,1,2
QUIRUSILLAS,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,sr,2021-05-01,0,0,1,0,1,0,1
ROBORE,otras vacunaciones,sr,2021-05-01,0,0,5,2,5,2,7
RURRENABAQUE,otras vacunaciones,sr,2021-05-01,34,35,0,0,34,35,69
SACABA,otras vacunaciones,sr,2021-05-01,2,4,7,2,9,6,15
SAMAIPATA,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,sr,2021-05-01,6,4,8,11,14,15,29
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2021-05-01,0,0,3,9,3,9,12
SAN JAVIER(STC),otras vacunaciones,sr,2021-05-01,4,9,0,0,4,9,13
SAN JULIAN,otras vacunaciones,sr,2021-05-01,1,7,0,0,1,7,8
SAN LORENZO(PND),otras vacunaciones,sr,2021-05-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2021-05-01,0,3,0,0,0,3,3
SAN RAMON BENI,otras vacunaciones,sr,2021-05-01,0,0,32,26,32,26,58
SAN RAMON SCZ,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2021-05-01,327,426,169,186,496,612,1108
SANTA ROSA DEL SARA,otras vacunaciones,sr,2021-05-01,16,21,16,21,32,42,74
SANTIAGO DE HUARI,otras vacunaciones,sr,2021-05-01,0,0,3,0,3,0,3
SANTIVAÑES,otras vacunaciones,sr,2021-05-01,1,0,0,0,1,0,1
SOPACHUY,otras vacunaciones,sr,2021-05-01,0,0,0,1,0,1,1
SORACACHI,otras vacunaciones,sr,2021-05-01,0,0,4,1,4,1,5
SUCRE,otras vacunaciones,sr,2021-05-01,5,9,1,1,6,10,16
TARIJA,otras vacunaciones,sr,2021-05-01,12,11,18,21,30,32,62
TIRAQUE (CBBA),otras vacunaciones,sr,2021-05-01,1,0,0,0,1,0,1
TOLEDO,otras vacunaciones,sr,2021-05-01,0,2,0,0,0,2,2
TOMAVE,otras vacunaciones,sr,2021-05-01,0,0,22,11,22,11,33
TRINIDAD,otras vacunaciones,sr,2021-05-01,7,13,15,19,22,32,54
URUBICHA,otras vacunaciones,sr,2021-05-01,8,12,0,0,8,12,20
VALLEGRANDE,otras vacunaciones,sr,2021-05-01,7,14,0,0,7,14,21
VILLA MONTES,otras vacunaciones,sr,2021-05-01,9,12,0,0,9,12,21
VILLA TUNARI,otras vacunaciones,sr,2021-05-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,sr,2021-05-01,12,45,50,64,62,109,171
YACUIBA,otras vacunaciones,sr,2021-05-01,10,14,21,12,31,26,57
YAPACANI,otras vacunaciones,sr,2021-05-01,0,2,0,0,0,2,2
ACHACACHI,otras vacunaciones,sr,2021-06-01,17,37,5,0,22,37,59
AIQUILE,otras vacunaciones,sr,2021-06-01,0,3,0,0,0,3,3
ALTO BENI,otras vacunaciones,sr,2021-06-01,7,9,0,0,7,9,16
ANCORAIMES,otras vacunaciones,sr,2021-06-01,2,2,0,0,2,2,4
ANTEQUERA,otras vacunaciones,sr,2021-06-01,0,1,2,0,2,1,3
ARAMPAMPA,otras vacunaciones,sr,2021-06-01,2,3,0,0,2,3,5
ARQUE,otras vacunaciones,sr,2021-06-01,2,0,1,1,3,1,4
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2021-06-01,29,11,9,11,38,22,60
ATOCHA,otras vacunaciones,sr,2021-06-01,1,1,0,0,1,1,2
AYO AYO,otras vacunaciones,sr,2021-06-01,0,0,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2021-06-01,0,4,3,2,3,6,9
BAURES,otras vacunaciones,sr,2021-06-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,sr,2021-06-01,1,0,4,9,5,9,14
BERMEJO,otras vacunaciones,sr,2021-06-01,5,9,0,0,5,9,14
BETANZOS,otras vacunaciones,sr,2021-06-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,sr,2021-06-01,0,1,4,5,4,6,10
CAIROMA,otras vacunaciones,sr,2021-06-01,0,0,4,1,4,1,5
CAJUATA,otras vacunaciones,sr,2021-06-01,0,9,18,0,18,9,27
CALAMARCA,otras vacunaciones,sr,2021-06-01,1,1,0,0,1,1,2
CAMIRI,otras vacunaciones,sr,2021-06-01,5,3,6,9,11,12,23
CAPINOTA,otras vacunaciones,sr,2021-06-01,1,3,2,0,3,3,6
CAQUIAVIRI,otras vacunaciones,sr,2021-06-01,0,6,0,0,0,6,6
CARANAVI,otras vacunaciones,sr,2021-06-01,49,62,24,13,73,75,148
CARIPUYO,otras vacunaciones,sr,2021-06-01,2,5,0,0,2,5,7
CHALLAPATA,otras vacunaciones,sr,2021-06-01,29,1,4,0,33,1,34
CHAYANTA,otras vacunaciones,sr,2021-06-01,2,3,0,0,2,3,5
CHOQUE COTA,otras vacunaciones,sr,2021-06-01,2,5,0,0,2,5,7
CHUA COCANI,otras vacunaciones,sr,2021-06-01,1,6,0,0,1,6,7
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,sr,2021-06-01,6,8,4,0,10,8,18
COBIJA,otras vacunaciones,sr,2021-06-01,4,5,9,27,13,32,45
COCAPATA,otras vacunaciones,sr,2021-06-01,6,4,0,0,6,4,10
COCHABAMBA,otras vacunaciones,sr,2021-06-01,46,54,29,0,75,54,129
"COLCHA ""K""",otras vacunaciones,sr,2021-06-01,9,7,0,4,9,11,20
COLOMI,otras vacunaciones,sr,2021-06-01,0,3,0,0,0,3,3
COLPA BELGICA,otras vacunaciones,sr,2021-06-01,0,1,0,0,0,1,1
COLQUENCHA,otras vacunaciones,sr,2021-06-01,2,0,0,0,2,0,2
COLQUIRI,otras vacunaciones,sr,2021-06-01,0,3,16,0,16,3,19
COROICO,otras vacunaciones,sr,2021-06-01,6,21,0,0,6,21,27
COTAGAITA,otras vacunaciones,sr,2021-06-01,2,5,0,0,2,5,7
COTOCA,otras vacunaciones,sr,2021-06-01,27,20,4,3,31,23,54
CUATRO CAÑADAS,otras vacunaciones,sr,2021-06-01,0,0,1,0,1,0,1
DESAGUADERO,otras vacunaciones,sr,2021-06-01,27,41,2,0,29,41,70
EL ALTO,otras vacunaciones,sr,2021-06-01,130,173,182,217,312,390,702
EL CHORO,otras vacunaciones,sr,2021-06-01,1,2,0,0,1,2,3
EL PUENTE(STC),otras vacunaciones,sr,2021-06-01,12,10,12,9,24,19,43
EL TORNO,otras vacunaciones,sr,2021-06-01,27,26,0,0,27,26,53
ENTRE RIOS TRJ,otras vacunaciones,sr,2021-06-01,0,1,1,0,1,1,2
ESCARA,otras vacunaciones,sr,2021-06-01,1,0,0,0,1,0,1
ESCOMA,otras vacunaciones,sr,2021-06-01,0,1,2,0,2,1,3
EUCALIPTUS,otras vacunaciones,sr,2021-06-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,sr,2021-06-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,sr,2021-06-01,0,1,20,21,20,22,42
GENERAL SAAVEDRA,otras vacunaciones,sr,2021-06-01,0,1,0,0,0,1,1
GUAQUI,otras vacunaciones,sr,2021-06-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,sr,2021-06-01,0,5,0,0,0,5,5
HUARACAJE,otras vacunaciones,sr,2021-06-01,6,1,0,0,6,1,7
HUARINA,otras vacunaciones,sr,2021-06-01,10,14,25,0,35,14,49
HUATAJATA,otras vacunaciones,sr,2021-06-01,7,38,21,0,28,38,66
HUAYLLAMARCA,otras vacunaciones,sr,2021-06-01,0,0,1,2,1,2,3
ICHOCA,otras vacunaciones,sr,2021-06-01,2,2,12,0,14,2,16
INQUISIVI,otras vacunaciones,sr,2021-06-01,13,21,12,0,25,21,46
IRUPANA (VILLA DE LANZA),otras vacunaciones,sr,2021-06-01,1,1,1,0,2,1,3
IXIAMAS,otras vacunaciones,sr,2021-06-01,13,5,14,4,27,9,36
JESUS DE MACHACA,otras vacunaciones,sr,2021-06-01,10,22,0,0,10,22,32
LA GUARDIA,otras vacunaciones,sr,2021-06-01,40,40,34,32,74,72,146
LA PAZ,otras vacunaciones,sr,2021-06-01,152,279,39,33,191,312,503
LAGUNILLAS,otras vacunaciones,sr,2021-06-01,0,1,5,5,5,6,11
LLALLAGUA,otras vacunaciones,sr,2021-06-01,0,0,1,0,1,0,1
LURIBAY,otras vacunaciones,sr,2021-06-01,4,5,5,0,9,5,14
MAIRANA,otras vacunaciones,sr,2021-06-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,sr,2021-06-01,7,38,0,0,7,38,45
MECAPACA,otras vacunaciones,sr,2021-06-01,0,0,5,0,5,0,5
MINEROS,otras vacunaciones,sr,2021-06-01,2,1,0,0,2,1,3
