,group,variable,month,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS FUERA,17.23 COVID 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COROICO,otras vacunaciones,covid 1ra dosis,2021-02-01,14,18,0,0,14,18,32
CORQUE,otras vacunaciones,covid 1ra dosis,2021-02-01,22,34,0,0,22,34,56
CURAHUARA DE CARANGAS,otras vacunaciones,covid 1ra dosis,2021-02-01,12,9,0,0,12,9,21
EL ALTO,otras vacunaciones,covid 1ra dosis,2021-02-01,225,516,0,1,225,517,742
EL CHORO,otras vacunaciones,covid 1ra dosis,2021-02-01,11,17,0,0,11,17,28
EL VILLAR,otras vacunaciones,covid 1ra dosis,2021-02-01,8,19,0,0,8,19,27
EUCALIPTUS,otras vacunaciones,covid 1ra dosis,2021-02-01,5,6,0,0,5,6,11
GUAYARAMERIN,otras vacunaciones,covid 1ra dosis,2021-02-01,28,30,0,0,28,30,58
HUANUNI,otras vacunaciones,covid 1ra dosis,2021-02-01,47,87,0,0,47,87,134
HUATAJATA,otras vacunaciones,covid 1ra dosis,2021-02-01,1,0,0,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,covid 1ra dosis,2021-02-01,13,16,0,0,13,16,29
INQUISIVI,otras vacunaciones,covid 1ra dosis,2021-02-01,19,14,0,0,19,14,33
IXIAMAS,otras vacunaciones,covid 1ra dosis,2021-02-01,9,7,0,0,9,7,16
JESUS DE MACHACA,otras vacunaciones,covid 1ra dosis,2021-02-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,covid 1ra dosis,2021-02-01,39,48,0,0,39,48,87
LA PAZ,otras vacunaciones,covid 1ra dosis,2021-02-01,193,405,34,52,227,457,684
MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2021-02-01,13,18,0,0,13,18,31
MONTEAGUDO,otras vacunaciones,covid 1ra dosis,2021-02-01,28,35,0,0,28,35,63
ORURO,otras vacunaciones,covid 1ra dosis,2021-02-01,1370,2327,0,1,1370,2328,3698
PADCAYA,otras vacunaciones,covid 1ra dosis,2021-02-01,55,79,0,0,55,79,134
PAMPA AULLAGAS,otras vacunaciones,covid 1ra dosis,2021-02-01,5,10,0,0,5,10,15
PAZÑA,otras vacunaciones,covid 1ra dosis,2021-02-01,13,21,0,0,13,21,34
POOPO,otras vacunaciones,covid 1ra dosis,2021-02-01,7,17,0,0,7,17,24
QUILLACOLLO,otras vacunaciones,covid 1ra dosis,2021-02-01,21,49,0,0,21,49,70
RIBERALTA,otras vacunaciones,covid 1ra dosis,2021-02-01,46,66,0,0,46,66,112
SACABA,otras vacunaciones,covid 1ra dosis,2021-02-01,18,62,0,0,18,62,80
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 1ra dosis,2021-02-01,23,21,0,0,23,21,44
SAN BUENA VENTURA,otras vacunaciones,covid 1ra dosis,2021-02-01,12,11,0,0,12,11,23
SAN IGNACIO,otras vacunaciones,covid 1ra dosis,2021-02-01,0,0,0,4,0,4,4
SAN LORENZO(TJA),otras vacunaciones,covid 1ra dosis,2021-02-01,0,38,0,0,0,38,38
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 1ra dosis,2021-02-01,722,1654,13,21,735,1675,2410
SANTIAGO DE HUARI,otras vacunaciones,covid 1ra dosis,2021-02-01,11,18,9,14,20,32,52
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 1ra dosis,2021-02-01,10,10,0,0,10,10,20
SAPAHAQUI,otras vacunaciones,covid 1ra dosis,2021-02-01,11,19,0,0,11,19,30
SORACACHI,otras vacunaciones,covid 1ra dosis,2021-02-01,29,34,0,0,29,34,63
SUCRE,otras vacunaciones,covid 1ra dosis,2021-02-01,701,1072,58,157,759,1229,1988
TARIJA,otras vacunaciones,covid 1ra dosis,2021-02-01,446,300,0,0,446,300,746
TIPUANI,otras vacunaciones,covid 1ra dosis,2021-02-01,2,9,0,0,2,9,11
TOLEDO,otras vacunaciones,covid 1ra dosis,2021-02-01,8,20,0,0,8,20,28
TOTORA(ORR),otras vacunaciones,covid 1ra dosis,2021-02-01,14,16,0,0,14,16,30
TRINIDAD,otras vacunaciones,covid 1ra dosis,2021-02-01,37,34,8,4,45,38,83
TURCO,otras vacunaciones,covid 1ra dosis,2021-02-01,14,13,0,0,14,13,27
VILLA MONTES,otras vacunaciones,covid 1ra dosis,2021-02-01,20,25,0,0,20,25,45
VILLA SERRANO,otras vacunaciones,covid 1ra dosis,2021-02-01,25,19,0,0,25,19,44
WALDO BALLIVIAN,otras vacunaciones,covid 1ra dosis,2021-02-01,3,7,0,0,3,7,10
YACUIBA,otras vacunaciones,covid 1ra dosis,2021-02-01,93,126,0,0,93,126,219
YANACACHI,otras vacunaciones,covid 1ra dosis,2021-02-01,7,8,0,0,7,8,15
ACACIO,otras vacunaciones,covid 1ra dosis,2021-03-01,22,12,0,0,22,12,34
AIQUILE,otras vacunaciones,covid 1ra dosis,2021-03-01,186,255,0,0,186,255,441
ALALAY,otras vacunaciones,covid 1ra dosis,2021-03-01,2,0,12,17,14,17,31
ALCALA,otras vacunaciones,covid 1ra dosis,2021-03-01,11,29,0,0,11,29,40
ALTO BENI,otras vacunaciones,covid 1ra dosis,2021-03-01,33,36,9,16,42,52,94
ANCORAIMES,otras vacunaciones,covid 1ra dosis,2021-03-01,30,21,0,0,30,21,51
ANDAMARCA,otras vacunaciones,covid 1ra dosis,2021-03-01,6,19,2,4,8,23,31
ANZALDO,otras vacunaciones,covid 1ra dosis,2021-03-01,30,37,0,0,30,37,67
APOLO,otras vacunaciones,covid 1ra dosis,2021-03-01,36,50,0,0,36,50,86
ARAMPAMPA,otras vacunaciones,covid 1ra dosis,2021-03-01,17,19,0,0,17,19,36
ARANI,otras vacunaciones,covid 1ra dosis,2021-03-01,19,40,0,0,19,40,59
ARBIETO,otras vacunaciones,covid 1ra dosis,2021-03-01,29,61,0,0,29,61,90
ARQUE,otras vacunaciones,covid 1ra dosis,2021-03-01,34,24,0,0,34,24,58
ASCENCION DE GUARAYOS,otras vacunaciones,covid 1ra dosis,2021-03-01,49,151,0,0,49,151,200
ATOCHA,otras vacunaciones,covid 1ra dosis,2021-03-01,47,66,0,0,47,66,113
AUCAPATA,otras vacunaciones,covid 1ra dosis,2021-03-01,13,14,12,9,25,23,48
AYATA,otras vacunaciones,covid 1ra dosis,2021-03-01,31,31,2,2,33,33,66
AYO AYO,otras vacunaciones,covid 1ra dosis,2021-03-01,7,14,2,2,9,16,25
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 1ra dosis,2021-03-01,53,69,0,0,53,69,122
AZURDUY,otras vacunaciones,covid 1ra dosis,2021-03-01,29,40,0,0,29,40,69
BATALLAS,otras vacunaciones,covid 1ra dosis,2021-03-01,12,26,0,0,12,26,38
BAURES,otras vacunaciones,covid 1ra dosis,2021-03-01,39,50,0,0,39,50,89
BELEN DE ANDAMARCA,otras vacunaciones,covid 1ra dosis,2021-03-01,2,3,0,0,2,3,5
BELEN DE URMIRI,otras vacunaciones,covid 1ra dosis,2021-03-01,15,16,0,0,15,16,31
BELLA FLOR,otras vacunaciones,covid 1ra dosis,2021-03-01,3,4,0,0,3,4,7
BETANZOS,otras vacunaciones,covid 1ra dosis,2021-03-01,79,69,4,1,83,70,153
BOLIVAR,otras vacunaciones,covid 1ra dosis,2021-03-01,11,14,0,0,11,14,25
BOLPEBRA,otras vacunaciones,covid 1ra dosis,2021-03-01,11,13,0,0,11,13,24
BOYUIBE,otras vacunaciones,covid 1ra dosis,2021-03-01,35,65,0,0,35,65,100
BUENA VISTA,otras vacunaciones,covid 1ra dosis,2021-03-01,40,51,0,0,40,51,91
CABEZAS,otras vacunaciones,covid 1ra dosis,2021-03-01,150,198,0,0,150,198,348
CAIROMA,otras vacunaciones,covid 1ra dosis,2021-03-01,21,22,0,0,21,22,43
"CAIZA ""D""",otras vacunaciones,covid 1ra dosis,2021-03-01,30,37,5,1,35,38,73
CAJUATA,otras vacunaciones,covid 1ra dosis,2021-03-01,31,39,0,0,31,39,70
CALACOTO,otras vacunaciones,covid 1ra dosis,2021-03-01,8,14,1,0,9,14,23
CALAMARCA,otras vacunaciones,covid 1ra dosis,2021-03-01,10,16,2,0,12,16,28
CAMARGO,otras vacunaciones,covid 1ra dosis,2021-03-01,64,67,0,0,64,67,131
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 1ra dosis,2021-03-01,14,19,0,0,14,19,33
CAMIRI,otras vacunaciones,covid 1ra dosis,2021-03-01,189,322,0,0,189,322,511
CAQUIAVIRI,otras vacunaciones,covid 1ra dosis,2021-03-01,18,14,8,2,26,16,42
CARACOLLO,otras vacunaciones,covid 1ra dosis,2021-03-01,22,30,0,0,22,30,52
CARANAVI,otras vacunaciones,covid 1ra dosis,2021-03-01,79,112,0,0,79,112,191
CARANGAS,otras vacunaciones,covid 1ra dosis,2021-03-01,14,15,0,0,14,15,29
CARAPARI,otras vacunaciones,covid 1ra dosis,2021-03-01,0,0,84,0,84,0,84
CARIPUYO,otras vacunaciones,covid 1ra dosis,2021-03-01,27,26,0,0,27,26,53
CATACORA,otras vacunaciones,covid 1ra dosis,2021-03-01,5,8,0,0,5,8,13
CHALLAPATA,otras vacunaciones,covid 1ra dosis,2021-03-01,20,31,1,0,21,31,52
CHAQUI,otras vacunaciones,covid 1ra dosis,2021-03-01,18,26,0,1,18,27,45
CHARAGUA,otras vacunaciones,covid 1ra dosis,2021-03-01,108,118,0,0,108,118,226
CHARAÑA,otras vacunaciones,covid 1ra dosis,2021-03-01,17,12,0,0,17,12,29
CHAYANTA,otras vacunaciones,covid 1ra dosis,2021-03-01,2,2,0,3,2,5,7
CHIMORE,otras vacunaciones,covid 1ra dosis,2021-03-01,161,157,0,0,161,157,318
CHOQUE COTA,otras vacunaciones,covid 1ra dosis,2021-03-01,10,8,0,0,10,8,18
CHUA COCANI,otras vacunaciones,covid 1ra dosis,2021-03-01,4,10,0,0,4,10,14
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 1ra dosis,2021-03-01,32,34,0,0,32,34,66
CHUMA,otras vacunaciones,covid 1ra dosis,2021-03-01,36,32,11,10,47,42,89
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 1ra dosis,2021-03-01,27,26,0,0,27,26,53
CKOCHAS,otras vacunaciones,covid 1ra dosis,2021-03-01,37,24,2,2,39,26,65
CLIZA,otras vacunaciones,covid 1ra dosis,2021-03-01,238,316,0,0,238,316,554
COBIJA,otras vacunaciones,covid 1ra dosis,2021-03-01,524,769,176,163,700,932,1632
COCAPATA,otras vacunaciones,covid 1ra dosis,2021-03-01,97,77,0,0,97,77,174
COCHABAMBA,otras vacunaciones,covid 1ra dosis,2021-03-01,10400,15379,1,0,10401,15379,25780
COIPASA,otras vacunaciones,covid 1ra dosis,2021-03-01,14,14,0,0,14,14,28
COLCAPIRHUA,otras vacunaciones,covid 1ra dosis,2021-03-01,601,870,0,3,601,873,1474
"COLCHA ""K""",otras vacunaciones,covid 1ra dosis,2021-03-01,59,61,0,0,59,61,120
COLLANA,otras vacunaciones,covid 1ra dosis,2021-03-01,8,13,4,6,12,19,31
COLOMI,otras vacunaciones,covid 1ra dosis,2021-03-01,93,126,16,13,109,139,248
COLPA BELGICA,otras vacunaciones,covid 1ra dosis,2021-03-01,20,45,0,0,20,45,65
COLQUENCHA,otras vacunaciones,covid 1ra dosis,2021-03-01,9,23,0,0,9,23,32
COLQUIRI,otras vacunaciones,covid 1ra dosis,2021-03-01,61,59,3,2,64,61,125
COMANCHE,otras vacunaciones,covid 1ra dosis,2021-03-01,6,11,0,0,6,11,17
COMBAYA,otras vacunaciones,covid 1ra dosis,2021-03-01,9,6,4,3,13,9,22
CONCEPCION,otras vacunaciones,covid 1ra dosis,2021-03-01,45,81,0,0,45,81,126
CORIPATA,otras vacunaciones,covid 1ra dosis,2021-03-01,3,2,0,0,3,2,5
CORO CORO,otras vacunaciones,covid 1ra dosis,2021-03-01,14,27,2,2,16,29,45
COROICO,otras vacunaciones,covid 1ra dosis,2021-03-01,35,58,0,0,35,58,93
CORQUE,otras vacunaciones,covid 1ra dosis,2021-03-01,1,5,0,0,1,5,6
COTAGAITA,otras vacunaciones,covid 1ra dosis,2021-03-01,59,73,0,0,59,73,132
COTOCA,otras vacunaciones,covid 1ra dosis,2021-03-01,180,380,0,0,180,380,560
CUATRO CAÑADAS,otras vacunaciones,covid 1ra dosis,2021-03-01,38,94,0,0,38,94,132
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 1ra dosis,2021-03-01,20,26,0,0,20,26,46
CUEVO,otras vacunaciones,covid 1ra dosis,2021-03-01,13,11,0,0,13,11,24
CULPINA,otras vacunaciones,covid 1ra dosis,2021-03-01,39,64,0,0,39,64,103
CURAHUARA DE CARANGAS,otras vacunaciones,covid 1ra dosis,2021-03-01,4,5,0,0,4,5,9
CURVA,otras vacunaciones,covid 1ra dosis,2021-03-01,19,14,0,0,19,14,33
EL ALTO,otras vacunaciones,covid 1ra dosis,2021-03-01,3510,5274,401,562,3911,5836,9747
EL CHORO,otras vacunaciones,covid 1ra dosis,2021-03-01,0,2,0,0,0,2,2
EL PUENTE(STC),otras vacunaciones,covid 1ra dosis,2021-03-01,18,40,0,0,18,40,58
EL PUENTE(TJA),otras vacunaciones,covid 1ra dosis,2021-03-01,49,54,1,9,50,63,113
EL TORNO,otras vacunaciones,covid 1ra dosis,2021-03-01,183,555,0,0,183,555,738
EL VILLAR,otras vacunaciones,covid 1ra dosis,2021-03-01,2,6,0,0,2,6,8
ENTRE RIOS TRJ,otras vacunaciones,covid 1ra dosis,2021-03-01,74,133,0,0,74,133,207
ENTRE RIOS CBBA,otras vacunaciones,covid 1ra dosis,2021-03-01,153,191,0,0,153,191,344
ESCOMA,otras vacunaciones,covid 1ra dosis,2021-03-01,27,32,0,0,27,32,59
EUCALIPTUS,otras vacunaciones,covid 1ra dosis,2021-03-01,5,6,0,0,5,6,11
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 1ra dosis,2021-03-01,14,4,9,1,23,5,28
FERNANDEZ ALONSO,otras vacunaciones,covid 1ra dosis,2021-03-01,33,63,0,10,33,73,106
GENERAL SAAVEDRA,otras vacunaciones,covid 1ra dosis,2021-03-01,46,128,0,0,46,128,174
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 1ra dosis,2021-03-01,52,32,8,8,60,40,100
GUANAY,otras vacunaciones,covid 1ra dosis,2021-03-01,68,53,15,4,83,57,140
GUAYARAMERIN,otras vacunaciones,covid 1ra dosis,2021-03-01,267,425,0,0,267,425,692
GUTIERREZ,otras vacunaciones,covid 1ra dosis,2021-03-01,36,23,0,0,36,23,59
HUACARETA,otras vacunaciones,covid 1ra dosis,2021-03-01,30,33,0,0,30,33,63
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 1ra dosis,2021-03-01,10,17,0,0,10,17,27
HUANUNI,otras vacunaciones,covid 1ra dosis,2021-03-01,18,27,0,0,18,27,45
HUARACAJE,otras vacunaciones,covid 1ra dosis,2021-03-01,40,33,0,0,40,33,73
HUARINA,otras vacunaciones,covid 1ra dosis,2021-03-01,19,19,0,0,19,19,38
HUATAJATA,otras vacunaciones,covid 1ra dosis,2021-03-01,8,27,0,0,8,27,35
HUAYLLAMARCA,otras vacunaciones,covid 1ra dosis,2021-03-01,8,5,3,2,11,7,18
HUMANATA,otras vacunaciones,covid 1ra dosis,2021-03-01,15,10,2,4,17,14,31
ICHOCA,otras vacunaciones,covid 1ra dosis,2021-03-01,16,12,2,3,18,15,33
ICLA,otras vacunaciones,covid 1ra dosis,2021-03-01,29,27,0,0,29,27,56
INCAHUASI,otras vacunaciones,covid 1ra dosis,2021-03-01,21,34,0,0,21,34,55
INQUISIVI,otras vacunaciones,covid 1ra dosis,2021-03-01,14,14,0,0,14,14,28
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 1ra dosis,2021-03-01,27,43,0,0,27,43,70
IXIAMAS,otras vacunaciones,covid 1ra dosis,2021-03-01,12,12,0,0,12,12,24
JESUS DE MACHACA,otras vacunaciones,covid 1ra dosis,2021-03-01,21,36,0,0,21,36,57
LA ASUNTA,otras vacunaciones,covid 1ra dosis,2021-03-01,25,34,1,3,26,37,63
LA GUARDIA,otras vacunaciones,covid 1ra dosis,2021-03-01,196,607,0,0,196,607,803
LA PAZ,otras vacunaciones,covid 1ra dosis,2021-03-01,5993,8927,0,0,5993,8927,14920
LA RIVERA,otras vacunaciones,covid 1ra dosis,2021-03-01,7,8,0,0,7,8,15
LAGUNILLAS,otras vacunaciones,covid 1ra dosis,2021-03-01,35,60,0,0,35,60,95
LAS CARRERAS,otras vacunaciones,covid 1ra dosis,2021-03-01,14,16,0,0,14,16,30
LICOMA PAMPA,otras vacunaciones,covid 1ra dosis,2021-03-01,8,9,0,0,8,9,17
LLALLAGUA,otras vacunaciones,covid 1ra dosis,2021-03-01,255,370,0,0,255,370,625
LORETO,otras vacunaciones,covid 1ra dosis,2021-03-01,13,22,4,5,17,27,44
MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2021-03-01,2,0,0,0,2,0,2
MACHARETI,otras vacunaciones,covid 1ra dosis,2021-03-01,107,144,12,10,119,154,273
MAGDALENA,otras vacunaciones,covid 1ra dosis,2021-03-01,8,12,0,0,8,12,20
MAIRANA,otras vacunaciones,covid 1ra dosis,2021-03-01,16,82,0,0,16,82,98
MALLA,otras vacunaciones,covid 1ra dosis,2021-03-01,15,13,6,2,21,15,36
MAPIRI,otras vacunaciones,covid 1ra dosis,2021-03-01,24,28,0,1,24,29,53
MINEROS,otras vacunaciones,covid 1ra dosis,2021-03-01,49,139,0,0,49,139,188
MIZQUE,otras vacunaciones,covid 1ra dosis,2021-03-01,115,142,3,1,118,143,261
MOCOMOCO,otras vacunaciones,covid 1ra dosis,2021-03-01,8,2,0,0,8,2,10
MOJINETE,otras vacunaciones,covid 1ra dosis,2021-03-01,7,4,0,0,7,4,11
MOJOCOYA,otras vacunaciones,covid 1ra dosis,2021-03-01,22,28,0,0,22,28,50
MONTEAGUDO,otras vacunaciones,covid 1ra dosis,2021-03-01,84,156,0,0,84,156,240
MONTERO,otras vacunaciones,covid 1ra dosis,2021-03-01,521,909,139,129,660,1038,1698
MORO MORO,otras vacunaciones,covid 1ra dosis,2021-03-01,4,9,0,0,4,9,13
MOROCHATA,otras vacunaciones,covid 1ra dosis,2021-03-01,81,79,0,0,81,79,160
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 1ra dosis,2021-03-01,26,28,1,0,27,28,55
NAZACARA DE PACAJES,otras vacunaciones,covid 1ra dosis,2021-03-01,1,6,0,0,1,6,7
OCURI,otras vacunaciones,covid 1ra dosis,2021-03-01,37,35,0,0,37,35,72
OMEREQUE,otras vacunaciones,covid 1ra dosis,2021-03-01,41,37,0,0,41,37,78
ORURO,otras vacunaciones,covid 1ra dosis,2021-03-01,1308,2318,12,8,1320,2326,3646
PADCAYA,otras vacunaciones,covid 1ra dosis,2021-03-01,74,122,0,0,74,122,196
PADILLA,otras vacunaciones,covid 1ra dosis,2021-03-01,53,103,0,0,53,103,156
PAILON,otras vacunaciones,covid 1ra dosis,2021-03-01,68,181,0,0,68,181,249
PAMPA AULLAGAS,otras vacunaciones,covid 1ra dosis,2021-03-01,1,0,0,0,1,0,1
PAMPA GRANDE,otras vacunaciones,covid 1ra dosis,2021-03-01,19,45,0,0,19,45,64
PASORAPA,otras vacunaciones,covid 1ra dosis,2021-03-01,33,34,0,0,33,34,67
PAZÑA,otras vacunaciones,covid 1ra dosis,2021-03-01,3,3,0,0,3,3,6
PELECHUCO,otras vacunaciones,covid 1ra dosis,2021-03-01,23,16,10,8,33,24,57
POCONA,otras vacunaciones,covid 1ra dosis,2021-03-01,18,23,0,0,18,23,41
POJO (CBBA),otras vacunaciones,covid 1ra dosis,2021-03-01,25,25,0,0,25,25,50
POOPO,otras vacunaciones,covid 1ra dosis,2021-03-01,10,13,0,0,10,13,23
PORCO,otras vacunaciones,covid 1ra dosis,2021-03-01,26,49,0,0,26,49,75
POROMA,otras vacunaciones,covid 1ra dosis,2021-03-01,36,34,0,0,36,34,70
PORONGO,otras vacunaciones,covid 1ra dosis,2021-03-01,53,85,0,0,53,85,138
PORTACHUELO,otras vacunaciones,covid 1ra dosis,2021-03-01,93,148,0,0,93,148,241
PORVENIR,otras vacunaciones,covid 1ra dosis,2021-03-01,40,79,36,36,76,115,191
POSTRER VALLE,otras vacunaciones,covid 1ra dosis,2021-03-01,7,16,0,0,7,16,23
POTOSI,otras vacunaciones,covid 1ra dosis,2021-03-01,456,783,0,0,456,783,1239
PRESTO,otras vacunaciones,covid 1ra dosis,2021-03-01,22,16,0,0,22,16,38
PUCARA,otras vacunaciones,covid 1ra dosis,2021-03-01,5,15,0,0,5,15,20
PUCARANI,otras vacunaciones,covid 1ra dosis,2021-03-01,34,47,0,0,34,47,81
PUERTO ACOSTA,otras vacunaciones,covid 1ra dosis,2021-03-01,5,1,0,0,5,1,6
PUERTO CARABUCO,otras vacunaciones,covid 1ra dosis,2021-03-01,3,0,0,0,3,0,3
PUERTO PEREZ,otras vacunaciones,covid 1ra dosis,2021-03-01,30,0,0,0,30,0,30
PUERTO RICO,otras vacunaciones,covid 1ra dosis,2021-03-01,57,63,0,0,57,63,120
PUERTO SILES,otras vacunaciones,covid 1ra dosis,2021-03-01,2,6,0,0,2,6,8
PUERTO VILLARROEL,otras vacunaciones,covid 1ra dosis,2021-03-01,651,640,0,0,651,640,1291
PUNA,otras vacunaciones,covid 1ra dosis,2021-03-01,51,65,0,3,51,68,119
PUNATA,otras vacunaciones,covid 1ra dosis,2021-03-01,148,307,0,0,148,307,455
QUIABAYA,otras vacunaciones,covid 1ra dosis,2021-03-01,0,0,7,11,7,11,18
QUILLACOLLO,otras vacunaciones,covid 1ra dosis,2021-03-01,936,1500,1,0,937,1500,2437
QUIME,otras vacunaciones,covid 1ra dosis,2021-03-01,34,26,0,2,34,28,62
QUIRUSILLAS,otras vacunaciones,covid 1ra dosis,2021-03-01,11,18,0,0,11,18,29
RAQAYPAMPA(ETA),otras vacunaciones,covid 1ra dosis,2021-03-01,23,27,0,2,23,29,52
REYES,otras vacunaciones,covid 1ra dosis,2021-03-01,72,99,0,0,72,99,171
RIBERALTA,otras vacunaciones,covid 1ra dosis,2021-03-01,1748,1887,6,13,1754,1900,3654
ROBORE,otras vacunaciones,covid 1ra dosis,2021-03-01,75,110,0,0,75,110,185
RURRENABAQUE,otras vacunaciones,covid 1ra dosis,2021-03-01,56,86,0,0,56,86,142
SABAYA,otras vacunaciones,covid 1ra dosis,2021-03-01,26,16,0,0,26,16,42
SACABA,otras vacunaciones,covid 1ra dosis,2021-03-01,1573,2178,1,0,1574,2178,3752
SACABAMBA,otras vacunaciones,covid 1ra dosis,2021-03-01,22,35,0,0,22,35,57
SACACA,otras vacunaciones,covid 1ra dosis,2021-03-01,34,32,0,0,34,32,66
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 1ra dosis,2021-03-01,3,5,0,0,3,5,8
SAMAIPATA,otras vacunaciones,covid 1ra dosis,2021-03-01,32,53,0,0,32,53,85
SAN AGUSTIN,otras vacunaciones,covid 1ra dosis,2021-03-01,7,9,0,0,7,9,16
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 1ra dosis,2021-03-01,13,6,0,0,13,6,19
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 1ra dosis,2021-03-01,19,14,0,0,19,14,33
SAN BENITO,otras vacunaciones,covid 1ra dosis,2021-03-01,51,75,0,0,51,75,126
SAN BORJA,otras vacunaciones,covid 1ra dosis,2021-03-01,105,142,0,0,105,142,247
SAN BUENA VENTURA,otras vacunaciones,covid 1ra dosis,2021-03-01,25,11,0,0,25,11,36
SAN IGNACIO,otras vacunaciones,covid 1ra dosis,2021-03-01,14,17,0,0,14,17,31
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 1ra dosis,2021-03-01,145,309,0,0,145,309,454
SAN JAVIER(STC),otras vacunaciones,covid 1ra dosis,2021-03-01,24,37,0,0,24,37,61
SAN JOAQUIN,otras vacunaciones,covid 1ra dosis,2021-03-01,53,71,0,0,53,71,124
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 1ra dosis,2021-03-01,65,137,0,0,65,137,202
SAN JUAN DE YAPACANI,otras vacunaciones,covid 1ra dosis,2021-03-01,39,52,0,0,39,52,91
SAN JULIAN,otras vacunaciones,covid 1ra dosis,2021-03-01,120,195,0,0,120,195,315
SAN LORENZO(PND),otras vacunaciones,covid 1ra dosis,2021-03-01,44,41,0,0,44,41,85
SAN LORENZO(TJA),otras vacunaciones,covid 1ra dosis,2021-03-01,73,157,0,0,73,157,230
SAN LUCAS,otras vacunaciones,covid 1ra dosis,2021-03-01,72,95,0,0,72,95,167
SAN MATIAS,otras vacunaciones,covid 1ra dosis,2021-03-01,486,511,0,0,486,511,997
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 1ra dosis,2021-03-01,28,60,0,0,28,60,88
SAN PABLO DE LIPEZ,otras vacunaciones,covid 1ra dosis,2021-03-01,3,1,0,0,3,1,4
