,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
YACUIBA,otras vacunaciones,covid 2da dosis,2021-02-01,90,124,0,0,90,124,214
ACACIO,otras vacunaciones,covid 2da dosis,2021-03-01,16,11,0,0,16,11,27
AIQUILE,otras vacunaciones,covid 2da dosis,2021-03-01,52,88,0,0,52,88,140
ALALAY,otras vacunaciones,covid 2da dosis,2021-03-01,8,10,0,0,8,10,18
ALCALA,otras vacunaciones,covid 2da dosis,2021-03-01,10,23,0,0,10,23,33
ALTO BENI,otras vacunaciones,covid 2da dosis,2021-03-01,29,26,5,7,34,33,67
ANCORAIMES,otras vacunaciones,covid 2da dosis,2021-03-01,19,14,0,0,19,14,33
ANDAMARCA,otras vacunaciones,covid 2da dosis,2021-03-01,16,28,0,0,16,28,44
ANTEQUERA,otras vacunaciones,covid 2da dosis,2021-03-01,9,25,0,0,9,25,34
ANZALDO,otras vacunaciones,covid 2da dosis,2021-03-01,26,27,0,0,26,27,53
APOLO,otras vacunaciones,covid 2da dosis,2021-03-01,21,32,0,0,21,32,53
ARAMPAMPA,otras vacunaciones,covid 2da dosis,2021-03-01,6,6,0,0,6,6,12
ARANI,otras vacunaciones,covid 2da dosis,2021-03-01,19,40,0,0,19,40,59
ARBIETO,otras vacunaciones,covid 2da dosis,2021-03-01,26,58,0,0,26,58,84
ARQUE,otras vacunaciones,covid 2da dosis,2021-03-01,29,18,0,0,29,18,47
ASCENCION DE GUARAYOS,otras vacunaciones,covid 2da dosis,2021-03-01,42,124,0,0,42,124,166
AUCAPATA,otras vacunaciones,covid 2da dosis,2021-03-01,5,6,0,0,5,6,11
AYATA,otras vacunaciones,covid 2da dosis,2021-03-01,26,20,0,0,26,20,46
AYO AYO,otras vacunaciones,covid 2da dosis,2021-03-01,19,23,2,2,21,25,46
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 2da dosis,2021-03-01,46,59,0,0,46,59,105
AZURDUY,otras vacunaciones,covid 2da dosis,2021-03-01,23,26,0,0,23,26,49
BATALLAS,otras vacunaciones,covid 2da dosis,2021-03-01,7,21,0,0,7,21,28
BAURES,otras vacunaciones,covid 2da dosis,2021-03-01,29,41,0,0,29,41,70
BELEN DE ANDAMARCA,otras vacunaciones,covid 2da dosis,2021-03-01,4,7,0,0,4,7,11
BELEN DE URMIRI,otras vacunaciones,covid 2da dosis,2021-03-01,10,9,0,0,10,9,19
BELLA FLOR,otras vacunaciones,covid 2da dosis,2021-03-01,2,4,0,0,2,4,6
BETANZOS,otras vacunaciones,covid 2da dosis,2021-03-01,38,36,5,3,43,39,82
BOLIVAR,otras vacunaciones,covid 2da dosis,2021-03-01,11,8,0,0,11,8,19
BOYUIBE,otras vacunaciones,covid 2da dosis,2021-03-01,19,29,0,0,19,29,48
BUENA VISTA,otras vacunaciones,covid 2da dosis,2021-03-01,30,28,0,0,30,28,58
CABEZAS,otras vacunaciones,covid 2da dosis,2021-03-01,31,31,0,0,31,31,62
CAIROMA,otras vacunaciones,covid 2da dosis,2021-03-01,21,22,0,0,21,22,43
"CAIZA ""D""",otras vacunaciones,covid 2da dosis,2021-03-01,14,20,4,1,18,21,39
CAJUATA,otras vacunaciones,covid 2da dosis,2021-03-01,25,34,0,0,25,34,59
CALACOTO,otras vacunaciones,covid 2da dosis,2021-03-01,8,13,0,0,8,13,21
CALAMARCA,otras vacunaciones,covid 2da dosis,2021-03-01,18,38,2,0,20,38,58
CAMARGO,otras vacunaciones,covid 2da dosis,2021-03-01,70,95,0,0,70,95,165
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 2da dosis,2021-03-01,14,19,0,0,14,19,33
CAMIRI,otras vacunaciones,covid 2da dosis,2021-03-01,67,128,0,0,67,128,195
CAQUIAVIRI,otras vacunaciones,covid 2da dosis,2021-03-01,9,5,4,1,13,6,19
CARACOLLO,otras vacunaciones,covid 2da dosis,2021-03-01,21,46,0,0,21,46,67
CARANAVI,otras vacunaciones,covid 2da dosis,2021-03-01,47,67,0,0,47,67,114
CARAPARI,otras vacunaciones,covid 2da dosis,2021-03-01,0,0,118,0,118,0,118
CARIPUYO,otras vacunaciones,covid 2da dosis,2021-03-01,17,11,0,0,17,11,28
CATACORA,otras vacunaciones,covid 2da dosis,2021-03-01,4,7,0,0,4,7,11
CHALLAPATA,otras vacunaciones,covid 2da dosis,2021-03-01,83,117,0,0,83,117,200
CHARAGUA,otras vacunaciones,covid 2da dosis,2021-03-01,62,63,0,0,62,63,125
CHARAÑA,otras vacunaciones,covid 2da dosis,2021-03-01,3,1,0,0,3,1,4
CHAYANTA,otras vacunaciones,covid 2da dosis,2021-03-01,2,2,0,0,2,2,4
CHIMORE,otras vacunaciones,covid 2da dosis,2021-03-01,55,52,0,0,55,52,107
CHOQUE COTA,otras vacunaciones,covid 2da dosis,2021-03-01,9,7,0,0,9,7,16
CHUA COCANI,otras vacunaciones,covid 2da dosis,2021-03-01,5,7,0,0,5,7,12
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 2da dosis,2021-03-01,27,29,0,0,27,29,56
CHUMA,otras vacunaciones,covid 2da dosis,2021-03-01,31,24,11,13,42,37,79
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 2da dosis,2021-03-01,8,13,0,0,8,13,21
CKOCHAS,otras vacunaciones,covid 2da dosis,2021-03-01,30,19,2,2,32,21,53
CLIZA,otras vacunaciones,covid 2da dosis,2021-03-01,81,133,0,0,81,133,214
COBIJA,otras vacunaciones,covid 2da dosis,2021-03-01,294,522,1,0,295,522,817
COCAPATA,otras vacunaciones,covid 2da dosis,2021-03-01,31,30,0,0,31,30,61
COCHABAMBA,otras vacunaciones,covid 2da dosis,2021-03-01,3890,6810,0,0,3890,6810,10700
COLCAPIRHUA,otras vacunaciones,covid 2da dosis,2021-03-01,159,300,1,1,160,301,461
"COLCHA ""K""",otras vacunaciones,covid 2da dosis,2021-03-01,37,39,0,0,37,39,76
COLLANA,otras vacunaciones,covid 2da dosis,2021-03-01,6,17,0,0,6,17,23
COLOMI,otras vacunaciones,covid 2da dosis,2021-03-01,17,42,0,0,17,42,59
COLPA BELGICA,otras vacunaciones,covid 2da dosis,2021-03-01,16,35,0,0,16,35,51
COLQUENCHA,otras vacunaciones,covid 2da dosis,2021-03-01,16,32,0,0,16,32,48
COLQUIRI,otras vacunaciones,covid 2da dosis,2021-03-01,59,52,3,5,62,57,119
COMANCHE,otras vacunaciones,covid 2da dosis,2021-03-01,3,7,0,0,3,7,10
COMBAYA,otras vacunaciones,covid 2da dosis,2021-03-01,7,4,0,0,7,4,11
CONCEPCION,otras vacunaciones,covid 2da dosis,2021-03-01,35,61,0,0,35,61,96
CORIPATA,otras vacunaciones,covid 2da dosis,2021-03-01,18,21,0,0,18,21,39
CORO CORO,otras vacunaciones,covid 2da dosis,2021-03-01,7,15,0,0,7,15,22
COROICO,otras vacunaciones,covid 2da dosis,2021-03-01,47,64,0,0,47,64,111
CORQUE,otras vacunaciones,covid 2da dosis,2021-03-01,21,36,0,0,21,36,57
COTAGAITA,otras vacunaciones,covid 2da dosis,2021-03-01,33,30,0,0,33,30,63
COTOCA,otras vacunaciones,covid 2da dosis,2021-03-01,83,162,0,0,83,162,245
CUATRO CAÑADAS,otras vacunaciones,covid 2da dosis,2021-03-01,12,33,0,0,12,33,45
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 2da dosis,2021-03-01,14,12,0,0,14,12,26
CUEVO,otras vacunaciones,covid 2da dosis,2021-03-01,12,13,0,0,12,13,25
CULPINA,otras vacunaciones,covid 2da dosis,2021-03-01,35,62,0,0,35,62,97
CURAHUARA DE CARANGAS,otras vacunaciones,covid 2da dosis,2021-03-01,12,9,0,0,12,9,21
CURVA,otras vacunaciones,covid 2da dosis,2021-03-01,19,14,0,0,19,14,33
EL ALTO,otras vacunaciones,covid 2da dosis,2021-03-01,1715,2936,109,219,1824,3155,4979
EL CHORO,otras vacunaciones,covid 2da dosis,2021-03-01,12,18,0,0,12,18,30
EL PUENTE(STC),otras vacunaciones,covid 2da dosis,2021-03-01,15,35,0,0,15,35,50
EL PUENTE(TJA),otras vacunaciones,covid 2da dosis,2021-03-01,24,23,12,11,36,34,70
EL TORNO,otras vacunaciones,covid 2da dosis,2021-03-01,117,321,0,0,117,321,438
EL VILLAR,otras vacunaciones,covid 2da dosis,2021-03-01,8,24,0,0,8,24,32
ENTRE RIOS TRJ,otras vacunaciones,covid 2da dosis,2021-03-01,52,71,0,0,52,71,123
ENTRE RIOS CBBA,otras vacunaciones,covid 2da dosis,2021-03-01,58,124,0,0,58,124,182
ESCOMA,otras vacunaciones,covid 2da dosis,2021-03-01,26,32,0,0,26,32,58
EUCALIPTUS,otras vacunaciones,covid 2da dosis,2021-03-01,6,6,0,0,6,6,12
FERNANDEZ ALONSO,otras vacunaciones,covid 2da dosis,2021-03-01,26,47,0,10,26,57,83
GENERAL SAAVEDRA,otras vacunaciones,covid 2da dosis,2021-03-01,39,103,0,0,39,103,142
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 2da dosis,2021-03-01,33,18,0,0,33,18,51
GUANAY,otras vacunaciones,covid 2da dosis,2021-03-01,26,29,0,0,26,29,55
GUAYARAMERIN,otras vacunaciones,covid 2da dosis,2021-03-01,199,298,0,0,199,298,497
GUTIERREZ,otras vacunaciones,covid 2da dosis,2021-03-01,20,17,0,0,20,17,37
HUACARETA,otras vacunaciones,covid 2da dosis,2021-03-01,28,28,0,0,28,28,56
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 2da dosis,2021-03-01,6,14,0,0,6,14,20
HUANUNI,otras vacunaciones,covid 2da dosis,2021-03-01,60,99,0,0,60,99,159
HUARACAJE,otras vacunaciones,covid 2da dosis,2021-03-01,32,27,0,0,32,27,59
HUARINA,otras vacunaciones,covid 2da dosis,2021-03-01,19,19,0,0,19,19,38
HUATAJATA,otras vacunaciones,covid 2da dosis,2021-03-01,6,11,0,0,6,11,17
HUAYLLAMARCA,otras vacunaciones,covid 2da dosis,2021-03-01,14,15,0,0,14,15,29
HUMANATA,otras vacunaciones,covid 2da dosis,2021-03-01,16,14,0,1,16,15,31
ICHOCA,otras vacunaciones,covid 2da dosis,2021-03-01,17,14,0,0,17,14,31
ICLA,otras vacunaciones,covid 2da dosis,2021-03-01,25,24,0,0,25,24,49
INCAHUASI,otras vacunaciones,covid 2da dosis,2021-03-01,19,23,0,0,19,23,42
INQUISIVI,otras vacunaciones,covid 2da dosis,2021-03-01,32,28,0,0,32,28,60
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 2da dosis,2021-03-01,15,36,0,0,15,36,51
IXIAMAS,otras vacunaciones,covid 2da dosis,2021-03-01,15,17,0,0,15,17,32
JESUS DE MACHACA,otras vacunaciones,covid 2da dosis,2021-03-01,16,32,0,0,16,32,48
LA ASUNTA,otras vacunaciones,covid 2da dosis,2021-03-01,39,49,0,0,39,49,88
LA GUARDIA,otras vacunaciones,covid 2da dosis,2021-03-01,69,287,0,0,69,287,356
LA PAZ,otras vacunaciones,covid 2da dosis,2021-03-01,2715,4484,0,0,2715,4484,7199
LAGUNILLAS,otras vacunaciones,covid 2da dosis,2021-03-01,18,27,0,0,18,27,45
LAS CARRERAS,otras vacunaciones,covid 2da dosis,2021-03-01,13,15,0,0,13,15,28
LICOMA PAMPA,otras vacunaciones,covid 2da dosis,2021-03-01,5,7,0,0,5,7,12
LLALLAGUA,otras vacunaciones,covid 2da dosis,2021-03-01,83,156,0,0,83,156,239
LORETO,otras vacunaciones,covid 2da dosis,2021-03-01,13,22,4,5,17,27,44
MACHACAMARCA,otras vacunaciones,covid 2da dosis,2021-03-01,13,18,0,0,13,18,31
MACHARETI,otras vacunaciones,covid 2da dosis,2021-03-01,65,93,5,7,70,100,170
MAGDALENA,otras vacunaciones,covid 2da dosis,2021-03-01,5,12,0,0,5,12,17
MAIRANA,otras vacunaciones,covid 2da dosis,2021-03-01,13,61,0,0,13,61,74
MALLA,otras vacunaciones,covid 2da dosis,2021-03-01,11,8,2,2,13,10,23
MAPIRI,otras vacunaciones,covid 2da dosis,2021-03-01,15,17,0,0,15,17,32
MINEROS,otras vacunaciones,covid 2da dosis,2021-03-01,44,109,0,0,44,109,153
MIZQUE,otras vacunaciones,covid 2da dosis,2021-03-01,1,0,0,0,1,0,1
MOCOMOCO,otras vacunaciones,covid 2da dosis,2021-03-01,5,1,3,1,8,2,10
MOJINETE,otras vacunaciones,covid 2da dosis,2021-03-01,5,4,0,0,5,4,9
MOJOCOYA,otras vacunaciones,covid 2da dosis,2021-03-01,19,21,0,0,19,21,40
MONTEAGUDO,otras vacunaciones,covid 2da dosis,2021-03-01,105,183,0,0,105,183,288
MONTERO,otras vacunaciones,covid 2da dosis,2021-03-01,372,641,105,110,477,751,1228
MORO MORO,otras vacunaciones,covid 2da dosis,2021-03-01,2,7,0,0,2,7,9
MOROCHATA,otras vacunaciones,covid 2da dosis,2021-03-01,22,22,0,0,22,22,44
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 2da dosis,2021-03-01,3,5,4,6,7,11,18
NAZACARA DE PACAJES,otras vacunaciones,covid 2da dosis,2021-03-01,1,6,0,0,1,6,7
OCURI,otras vacunaciones,covid 2da dosis,2021-03-01,14,16,0,0,14,16,30
OMEREQUE,otras vacunaciones,covid 2da dosis,2021-03-01,19,14,0,0,19,14,33
ORURO,otras vacunaciones,covid 2da dosis,2021-03-01,1720,3110,21,22,1741,3132,4873
PADCAYA,otras vacunaciones,covid 2da dosis,2021-03-01,57,88,1,2,58,90,148
PADILLA,otras vacunaciones,covid 2da dosis,2021-03-01,39,75,0,0,39,75,114
PAILON,otras vacunaciones,covid 2da dosis,2021-03-01,33,127,0,0,33,127,160
PAMPA AULLAGAS,otras vacunaciones,covid 2da dosis,2021-03-01,5,10,0,0,5,10,15
PAMPA GRANDE,otras vacunaciones,covid 2da dosis,2021-03-01,13,34,0,0,13,34,47
PASORAPA,otras vacunaciones,covid 2da dosis,2021-03-01,12,16,0,0,12,16,28
PAZÑA,otras vacunaciones,covid 2da dosis,2021-03-01,15,22,0,0,15,22,37
PELECHUCO,otras vacunaciones,covid 2da dosis,2021-03-01,28,17,6,5,34,22,56
POCONA,otras vacunaciones,covid 2da dosis,2021-03-01,16,21,0,0,16,21,37
POJO (CBBA),otras vacunaciones,covid 2da dosis,2021-03-01,14,12,0,0,14,12,26
POOPO,otras vacunaciones,covid 2da dosis,2021-03-01,9,17,0,0,9,17,26
PORCO,otras vacunaciones,covid 2da dosis,2021-03-01,14,19,0,0,14,19,33
POROMA,otras vacunaciones,covid 2da dosis,2021-03-01,36,34,0,0,36,34,70
PORONGO,otras vacunaciones,covid 2da dosis,2021-03-01,52,63,0,0,52,63,115
PORTACHUELO,otras vacunaciones,covid 2da dosis,2021-03-01,11,17,0,0,11,17,28
PORVENIR,otras vacunaciones,covid 2da dosis,2021-03-01,29,58,0,0,29,58,87
POSTRER VALLE,otras vacunaciones,covid 2da dosis,2021-03-01,8,8,0,0,8,8,16
POTOSI,otras vacunaciones,covid 2da dosis,2021-03-01,220,329,0,0,220,329,549
PRESTO,otras vacunaciones,covid 2da dosis,2021-03-01,18,11,0,0,18,11,29
PUCARA,otras vacunaciones,covid 2da dosis,2021-03-01,5,8,0,0,5,8,13
PUCARANI,otras vacunaciones,covid 2da dosis,2021-03-01,20,39,1,1,21,40,61
PUERTO ACOSTA,otras vacunaciones,covid 2da dosis,2021-03-01,5,1,0,0,5,1,6
PUERTO CARABUCO,otras vacunaciones,covid 2da dosis,2021-03-01,3,0,0,0,3,0,3
PUERTO RICO,otras vacunaciones,covid 2da dosis,2021-03-01,21,19,0,0,21,19,40
PUERTO VILLARROEL,otras vacunaciones,covid 2da dosis,2021-03-01,104,199,0,0,104,199,303
PUNA,otras vacunaciones,covid 2da dosis,2021-03-01,34,31,0,1,34,32,66
PUNATA,otras vacunaciones,covid 2da dosis,2021-03-01,118,235,0,0,118,235,353
QUIABAYA,otras vacunaciones,covid 2da dosis,2021-03-01,0,0,7,11,7,11,18
QUILLACOLLO,otras vacunaciones,covid 2da dosis,2021-03-01,306,672,0,2,306,674,980
QUIME,otras vacunaciones,covid 2da dosis,2021-03-01,34,28,0,0,34,28,62
QUIRUSILLAS,otras vacunaciones,covid 2da dosis,2021-03-01,9,14,0,0,9,14,23
RAQAYPAMPA(ETA),otras vacunaciones,covid 2da dosis,2021-03-01,1,4,0,0,1,4,5
REYES,otras vacunaciones,covid 2da dosis,2021-03-01,45,65,0,0,45,65,110
RIBERALTA,otras vacunaciones,covid 2da dosis,2021-03-01,396,464,0,0,396,464,860
ROBORE,otras vacunaciones,covid 2da dosis,2021-03-01,58,84,0,0,58,84,142
RURRENABAQUE,otras vacunaciones,covid 2da dosis,2021-03-01,46,42,0,0,46,42,88
SABAYA,otras vacunaciones,covid 2da dosis,2021-03-01,56,64,0,0,56,64,120
SACABA,otras vacunaciones,covid 2da dosis,2021-03-01,451,857,0,0,451,857,1308
SACABAMBA,otras vacunaciones,covid 2da dosis,2021-03-01,8,18,0,0,8,18,26
SACACA,otras vacunaciones,covid 2da dosis,2021-03-01,23,21,0,0,23,21,44
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 2da dosis,2021-03-01,23,21,0,0,23,21,44
SAMAIPATA,otras vacunaciones,covid 2da dosis,2021-03-01,15,20,0,0,15,20,35
SAN AGUSTIN,otras vacunaciones,covid 2da dosis,2021-03-01,6,4,0,0,6,4,10
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 2da dosis,2021-03-01,13,6,0,0,13,6,19
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 2da dosis,2021-03-01,19,14,0,0,19,14,33
SAN BENITO,otras vacunaciones,covid 2da dosis,2021-03-01,16,38,0,0,16,38,54
SAN BORJA,otras vacunaciones,covid 2da dosis,2021-03-01,61,83,0,0,61,83,144
SAN BUENA VENTURA,otras vacunaciones,covid 2da dosis,2021-03-01,32,19,0,0,32,19,51
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2021-03-01,15,18,0,0,15,18,33
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 2da dosis,2021-03-01,127,283,0,0,127,283,410
SAN JAVIER(STC),otras vacunaciones,covid 2da dosis,2021-03-01,19,29,0,0,19,29,48
SAN JOAQUIN,otras vacunaciones,covid 2da dosis,2021-03-01,28,39,0,0,28,39,67
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 2da dosis,2021-03-01,42,79,0,0,42,79,121
SAN JUAN DE YAPACANI,otras vacunaciones,covid 2da dosis,2021-03-01,19,18,0,0,19,18,37
SAN JULIAN,otras vacunaciones,covid 2da dosis,2021-03-01,103,169,0,0,103,169,272
SAN LORENZO(TJA),otras vacunaciones,covid 2da dosis,2021-03-01,52,112,0,0,52,112,164
SAN LUCAS,otras vacunaciones,covid 2da dosis,2021-03-01,72,90,0,0,72,90,162
SAN MATIAS,otras vacunaciones,covid 2da dosis,2021-03-01,404,429,0,0,404,429,833
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 2da dosis,2021-03-01,28,46,0,0,28,46,74
SAN PABLO DE LIPEZ,otras vacunaciones,covid 2da dosis,2021-03-01,3,1,0,0,3,1,4
SAN PEDRO,otras vacunaciones,covid 2da dosis,2021-03-01,12,35,0,0,12,35,47
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 2da dosis,2021-03-01,31,23,0,0,31,23,54
SAN PEDRO DE QUEMES,otras vacunaciones,covid 2da dosis,2021-03-01,5,3,0,0,5,3,8
SAN RAFAEL,otras vacunaciones,covid 2da dosis,2021-03-01,13,24,0,0,13,24,37
SAN RAMON SCZ,otras vacunaciones,covid 2da dosis,2021-03-01,19,29,0,0,19,29,48
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2021-03-01,2109,4418,830,1724,2939,6142,9081
SANTA ROSA,otras vacunaciones,covid 2da dosis,2021-03-01,27,54,0,0,27,54,81
SANTA ROSA DEL SARA,otras vacunaciones,covid 2da dosis,2021-03-01,28,36,0,0,28,36,64
SANTIAGO DE HUARI,otras vacunaciones,covid 2da dosis,2021-03-01,24,21,9,14,33,35,68
SANTIAGO DE HUATA,otras vacunaciones,covid 2da dosis,2021-03-01,1,4,0,0,1,4,5
SANTIAGO DE MACHACA,otras vacunaciones,covid 2da dosis,2021-03-01,10,9,1,1,11,10,21
SANTIVAÑES,otras vacunaciones,covid 2da dosis,2021-03-01,30,44,0,0,30,44,74
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 2da dosis,2021-03-01,11,11,0,0,11,11,22
SAPAHAQUI,otras vacunaciones,covid 2da dosis,2021-03-01,17,27,0,0,17,27,44
SHINAOTA,otras vacunaciones,covid 2da dosis,2021-03-01,108,139,31,32,139,171,310
SICAYA,otras vacunaciones,covid 2da dosis,2021-03-01,6,9,0,0,6,9,15
SIPE SIPE,otras vacunaciones,covid 2da dosis,2021-03-01,39,160,0,0,39,160,199
SOPACHUY,otras vacunaciones,covid 2da dosis,2021-03-01,13,39,0,0,13,39,52
SORACACHI,otras vacunaciones,covid 2da dosis,2021-03-01,30,42,0,0,30,42,72
SORATA,otras vacunaciones,covid 2da dosis,2021-03-01,37,17,0,0,37,17,54
SUCRE,otras vacunaciones,covid 2da dosis,2021-03-01,2822,4853,2,3,2824,4856,7680
TACACHI,otras vacunaciones,covid 2da dosis,2021-03-01,4,8,0,0,4,8,12
TACACOMA,otras vacunaciones,covid 2da dosis,2021-03-01,16,21,2,0,18,21,39
TACOBAMBA,otras vacunaciones,covid 2da dosis,2021-03-01,17,7,0,0,17,7,24
TACOPAYA,otras vacunaciones,covid 2da dosis,2021-03-01,19,18,0,0,19,18,37
TAHUA,otras vacunaciones,covid 2da dosis,2021-03-01,5,2,0,0,5,2,7
TAPACARI,otras vacunaciones,covid 2da dosis,2021-03-01,39,38,0,0,39,38,77
TARABUCO,otras vacunaciones,covid 2da dosis,2021-03-01,41,78,0,0,41,78,119
TARATA,otras vacunaciones,covid 2da dosis,2021-03-01,36,41,0,0,36,41,77
TARIJA,otras vacunaciones,covid 2da dosis,2021-03-01,1576,2580,15,14,1591,2594,4185
TEOPONTE,otras vacunaciones,covid 2da dosis,2021-03-01,20,21,9,0,29,21,50
TIAHUANACU,otras vacunaciones,covid 2da dosis,2021-03-01,15,18,0,0,15,18,33
TINGUIPAYA,otras vacunaciones,covid 2da dosis,2021-03-01,37,23,0,0,37,23,60
TIPUANI,otras vacunaciones,covid 2da dosis,2021-03-01,36,33,0,0,36,33,69
TIQUIPAYA,otras vacunaciones,covid 2da dosis,2021-03-01,72,176,0,0,72,176,248
TIRAQUE (CBBA),otras vacunaciones,covid 2da dosis,2021-03-01,19,30,0,0,19,30,49
TOCO,otras vacunaciones,covid 2da dosis,2021-03-01,15,27,0,0,15,27,42
TOLATA,otras vacunaciones,covid 2da dosis,2021-03-01,12,30,0,0,12,30,42
TOLEDO,otras vacunaciones,covid 2da dosis,2021-03-01,9,19,0,0,9,19,28
TOMAVE,otras vacunaciones,covid 2da dosis,2021-03-01,20,19,0,0,20,19,39
TOMINA,otras vacunaciones,covid 2da dosis,2021-03-01,18,31,10,21,28,52,80
TORO TORO,otras vacunaciones,covid 2da dosis,2021-03-01,28,7,0,0,28,7,35
TOTORA(CBBA),otras vacunaciones,covid 2da dosis,2021-03-01,23,44,0,0,23,44,67
TOTORA(ORR),otras vacunaciones,covid 2da dosis,2021-03-01,16,16,0,0,16,16,32
TRIGAL,otras vacunaciones,covid 2da dosis,2021-03-01,5,5,0,0,5,5,10
TRINIDAD,otras vacunaciones,covid 2da dosis,2021-03-01,294,578,68,102,362,680,1042
TUPIZA,otras vacunaciones,covid 2da dosis,2021-03-01,160,144,0,0,160,144,304
TURCO,otras vacunaciones,covid 2da dosis,2021-03-01,18,15,0,0,18,15,33
UNCIA,otras vacunaciones,covid 2da dosis,2021-03-01,95,123,0,0,95,123,218
URIONDO (A. CONCEPCION),otras vacunaciones,covid 2da dosis,2021-03-01,73,89,0,0,73,89,162
UYUNI,otras vacunaciones,covid 2da dosis,2021-03-01,29,58,0,0,29,58,87
VACAS,otras vacunaciones,covid 2da dosis,2021-03-01,18,29,0,0,18,29,47
VALLEGRANDE,otras vacunaciones,covid 2da dosis,2021-03-01,78,113,0,0,78,113,191
VILA VILA,otras vacunaciones,covid 2da dosis,2021-03-01,2,3,2,3,4,6,10
VILLA CHARCAS,otras vacunaciones,covid 2da dosis,2021-03-01,25,36,0,0,25,36,61
VILLA MONTES,otras vacunaciones,covid 2da dosis,2021-03-01,30,139,0,0,30,139,169
VILLA RIVERO,otras vacunaciones,covid 2da dosis,2021-03-01,19,31,0,0,19,31,50
VILLA SERRANO,otras vacunaciones,covid 2da dosis,2021-03-01,42,38,0,0,42,38,80
VILLA TUNARI,otras vacunaciones,covid 2da dosis,2021-03-01,244,292,6,5,250,297,547
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 2da dosis,2021-03-01,19,36,0,0,19,36,55
VILLAZON,otras vacunaciones,covid 2da dosis,2021-03-01,62,122,0,1,62,123,185
