,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
VIACHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,0,3,0,0,0,3,3
VILLA MONTES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-02-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,3,8,0,0,3,8,11
ESCOMA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,1,1,0,0,1,1,2
SAN BORJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,1,0,0,0,1,1
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,0,1,1,1,1,2
TAPACARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,0,0,0,1,0,1,1
TARATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-03-01,1,0,1,0,2,0,2
BAURES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,8,0,0,1,8,9
LA GUARDIA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,1,0,0,1,1,2
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,1,4,0,0,1,4,5
SAN JOAQUIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-04-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,35,0,0,0,35,35
IXIAMAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,2,17,0,0,2,17,19
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
PORTACHUELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,5,5,0,0,5,5,10
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,0,0,1,0,1,1
URUBICHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,2,0,0,0,2,2
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-05-01,0,1,0,0,0,1,1
BETANZOS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,3,0,0,0,3,3
CHIMORE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,0,1,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,5,9,0,0,5,9,14
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,1,1,0,1,1,2,3
MACHARETI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,0,0,1,0,1,1
PALCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,0,0,1,0,1,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,0,0,1,0,1,1
UYUNI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,0,0,1,0,1,1
ZUDAÑEZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-06-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,3,0,0,0,3,3
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,4,2,7,10,11,12,23
MORO MORO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,0,1,2,1,2,3
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,1,3,0,0,1,3,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,1,1,0,0,1,1,2
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-07-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,0,2,0,0,0,2,2
SAN CARLOS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,1,1,0,0,1,1,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,0,0,3,0,3,0,3
TOCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,0,0,1,2,1,2,3
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-08-01,4,2,0,0,4,2,6
ATOCHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,4,28,1,0,5,28,33
EL TORNO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
PORTACHUELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,0,0,1,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,0,1,2,1,2,3
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-09-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,5,3,1,0,6,3,9
ESCOMA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,4,1,1,0,5,1,6
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,2,2,0,0,2,2,4
PUNA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,0,1,1,1,1,2
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,4,0,0,0,4,4
UYUNI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-10-01,0,0,1,0,1,0,1
CALAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,1,10,0,0,1,10,11
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,1,0,0,0,1,0,1
VILLA CHARCAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-11-01,0,0,0,8,0,8,8
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,2,0,0,0,2,2
CARAPARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,0,0,1,0,1,1
COLOMI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,6,0,0,0,6,6
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,1,1,0,1,1,2
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,3,6,0,0,3,6,9
RAVELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,1,5,0,0,1,5,6
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,2,0,0,0,2,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,1,0,0,0,1,1
TACOPAYA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,0,0,0,1,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2021-12-01,1,0,0,0,1,0,1
