,group,variable,month,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO FUERA,17.26 COVID DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
ANTEQUERA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,105.0,92.0,0.0,0.0,105.0,92.0,197.0
ANZALDO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,144.0,175.0,15.0,18.0,159.0,193.0,352.0
ARANI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,55.0,76.0,0.0,0.0,55.0,76.0,131.0
ARBIETO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,197.0,250.0,146.0,200.0,343.0,450.0,793.0
ARQUE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,20.0,21.0,34.0,23.0,54.0,44.0,98.0
ATOCHA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,34.0,38.0,6.0,5.0,40.0,43.0,83.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis de refuerzo,2021-10-01,183.0,194.0,238.0,258.0,421.0,452.0,873.0
BAURES,otras vacunaciones,covid dosis de refuerzo,2021-10-01,15.0,14.0,146.0,175.0,161.0,189.0,350.0
BELEN DE ANDAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,18.0,22.0,0.0,0.0,18.0,22.0,40.0
BOLIVAR,otras vacunaciones,covid dosis de refuerzo,2021-10-01,15.0,15.0,22.0,18.0,37.0,33.0,70.0
BOYUIBE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,109.0,158.0,0.0,0.0,109.0,158.0,267.0
CAMARGO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,0.0,0.0,255.0,314.0,255.0,314.0,569.0
CAMIRI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,876.0,1098.0,0.0,0.0,876.0,1098.0,1974.0
CAPINOTA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,101.0,119.0,0.0,0.0,101.0,119.0,220.0
CARANGAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,39.0,24.0,0.0,0.0,39.0,24.0,63.0
CHALLAPATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,356.0,105.0,18.0,21.0,374.0,126.0,500.0
CHIMORE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,18.0,17.0,4.0,6.0,22.0,23.0,45.0
CHIPAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,19.0,8.0,0.0,0.0,19.0,8.0,27.0
CHOQUE COTA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,11.0,12.0,0.0,0.0,11.0,12.0,23.0
CLIZA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,278.0,285.0,158.0,213.0,436.0,498.0,934.0
COCAPATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,31.0,35.0,0.0,0.0,31.0,35.0,66.0
COCHABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,17798.0,21206.0,823.0,892.0,18621.0,22098.0,40719.0
COIPASA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,20.0,19.0,0.0,0.0,20.0,19.0,39.0
COLCAPIRHUA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,253.0,322.0,495.0,618.0,748.0,940.0,1688.0
COLOMI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,62.0,50.0,4.0,9.0,66.0,59.0,125.0
CONCEPCION,otras vacunaciones,covid dosis de refuerzo,2021-10-01,517.0,473.0,0.0,0.0,517.0,473.0,990.0
CORQUE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,159.0,180.0,0.0,0.0,159.0,180.0,339.0
COTAGAITA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,5.0,2.0,31.0,25.0,36.0,27.0,63.0
CRUZ DE MACHACAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,24.0,29.0,0.0,0.0,24.0,29.0,53.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis de refuerzo,2021-10-01,22.0,35.0,0.0,0.0,22.0,35.0,57.0
CULPINA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,99.0,139.0,26.0,36.0,125.0,175.0,300.0
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,37.0,52.0,0.0,0.0,37.0,52.0,89.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,4004.0,4152.0,2371.0,2042.0,6375.0,6194.0,12569.0
EL CHORO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,11.0,21.0,0.0,0.0,11.0,21.0,32.0
EL PUENTE(TJA),otras vacunaciones,covid dosis de refuerzo,2021-10-01,141.0,194.0,36.0,75.0,177.0,269.0,446.0
ESCARA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,38.0,52.0,0.0,0.0,38.0,52.0,90.0
ESMERALDA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,52.0,65.0,0.0,0.0,52.0,65.0,117.0
EUCALIPTUS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,30.0,30.0,0.0,0.0,30.0,30.0,60.0
EXALTACION,otras vacunaciones,covid dosis de refuerzo,2021-10-01,68.0,65.0,0.0,0.0,68.0,65.0,133.0
GUAYARAMERIN,otras vacunaciones,covid dosis de refuerzo,2021-10-01,920.0,783.0,197.0,172.0,1117.0,955.0,2072.0
GUTIERREZ,otras vacunaciones,covid dosis de refuerzo,2021-10-01,315.0,290.0,0.0,0.0,315.0,290.0,605.0
HUACARETA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,267.0,315.0,313.0,375.0,580.0,690.0,1270.0
HUACHACALLA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,47.0,54.0,0.0,0.0,47.0,54.0,101.0
HUARACAJE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,106.0,117.0,0.0,0.0,106.0,117.0,223.0
HUAYLLAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,199.0,194.0,10.0,9.0,209.0,203.0,412.0
LA PAZ,otras vacunaciones,covid dosis de refuerzo,2021-10-01,11173.0,13713.0,2417.0,2452.0,13590.0,16165.0,29755.0
LA RIVERA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,0.0,0.0,17.0,15.0,17.0,15.0,32.0
MACHACAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,85.0,98.0,0.0,0.0,85.0,98.0,183.0
MACHARETI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,92.0,114.0,68.0,105.0,160.0,219.0,379.0
MAIRANA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,207.0,215.0,46.0,79.0,253.0,294.0,547.0
MONTERO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,483.0,473.0,71.0,67.0,554.0,540.0,1094.0
ORURO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,6428.0,6124.0,197.0,173.0,6625.0,6297.0,12922.0
PAILON,otras vacunaciones,covid dosis de refuerzo,2021-10-01,232.0,269.0,0.0,0.0,232.0,269.0,501.0
PAMPA AULLAGAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,3.0,2.0,21.0,19.0,24.0,21.0,45.0
PAMPA GRANDE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,115.0,123.0,128.0,144.0,243.0,267.0,510.0
PASORAPA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,123.0,133.0,0.0,0.0,123.0,133.0,256.0
PAZÑA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,0.0,0.0,31.0,37.0,31.0,37.0,68.0
POCONA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,12.0,6.0,0.0,0.0,12.0,6.0,18.0
POOPO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,81.0,105.0,0.0,0.0,81.0,105.0,186.0
POTOSI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,1775.0,1973.0,369.0,205.0,2144.0,2178.0,4322.0
PRESTO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,5.0,9.0,0.0,0.0,5.0,9.0,14.0
PUCARA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,8.0,15.0,0.0,0.0,8.0,15.0,23.0
PUNATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,353.0,377.0,90.0,147.0,443.0,524.0,967.0
QUILLACOLLO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,2465.0,2532.0,208.0,255.0,2673.0,2787.0,5460.0
QUIRUSILLAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,66.0,82.0,18.0,36.0,84.0,118.0,202.0
REYES,otras vacunaciones,covid dosis de refuerzo,2021-10-01,115.0,114.0,19.0,23.0,134.0,137.0,271.0
RIBERALTA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,2081.0,1614.0,20.0,29.0,2101.0,1643.0,3744.0
ROBORE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,731.0,459.0,0.0,0.0,731.0,459.0,1190.0
RURRENABAQUE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,154.0,144.0,0.0,0.0,154.0,144.0,298.0
SABAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,137.0,170.0,0.0,0.0,137.0,170.0,307.0
SACABA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,1910.0,2158.0,626.0,157.0,2536.0,2315.0,4851.0
SACABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,16.0,15.0,33.0,50.0,49.0,65.0,114.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,74.0,89.0,36.0,49.0,110.0,138.0,248.0
SAMAIPATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,138.0,152.0,246.0,201.0,384.0,353.0,737.0
SAN ANDRES,otras vacunaciones,covid dosis de refuerzo,2021-10-01,3.0,9.0,7.0,6.0,10.0,15.0,25.0
SAN BENITO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,51.0,42.0,13.0,22.0,64.0,64.0,128.0
SAN BORJA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,0.0,0.0,4.0,6.0,4.0,6.0,10.0
SAN CARLOS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,137.0,96.0,0.0,0.0,137.0,96.0,233.0
SAN IGNACIO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,227.0,224.0,21.0,17.0,248.0,241.0,489.0
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,741.0,800.0,14.0,17.0,755.0,817.0,1572.0
SAN JOAQUIN,otras vacunaciones,covid dosis de refuerzo,2021-10-01,316.0,224.0,0.0,0.0,316.0,224.0,540.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,448.0,263.0,0.0,0.0,448.0,263.0,711.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,106.0,169.0,0.0,0.0,106.0,169.0,275.0
SAN JULIAN,otras vacunaciones,covid dosis de refuerzo,2021-10-01,158.0,150.0,0.0,0.0,158.0,150.0,308.0
SAN MATIAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,960.0,1040.0,0.0,0.0,960.0,1040.0,2000.0
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,187.0,228.0,66.0,100.0,253.0,328.0,581.0
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,46.0,46.0,0.0,0.0,46.0,46.0,92.0
SAN RAFAEL,otras vacunaciones,covid dosis de refuerzo,2021-10-01,104.0,151.0,0.0,0.0,104.0,151.0,255.0
SAN RAMON BENI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,42.0,30.0,0.0,0.0,42.0,30.0,72.0
SAN RAMON SCZ,otras vacunaciones,covid dosis de refuerzo,2021-10-01,167.0,161.0,0.0,0.0,167.0,161.0,328.0
SANTA ANA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,21.0,17.0,0.0,0.0,21.0,17.0,38.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,8953.0,9724.0,6066.0,5954.0,15019.0,15678.0,30697.0
SANTA ROSA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,132.0,144.0,92.0,96.0,224.0,240.0,464.0
SANTIVAÑES,otras vacunaciones,covid dosis de refuerzo,2021-10-01,103.0,109.0,0.0,0.0,103.0,109.0,212.0
SHINAOTA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,178.0,179.0,278.0,2.0,456.0,181.0,637.0
SICAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,14.0,16.0,0.0,0.0,14.0,16.0,30.0
SIPE SIPE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,189.0,261.0,173.0,246.0,362.0,507.0,869.0
SOPACHUY,otras vacunaciones,covid dosis de refuerzo,2021-10-01,42.0,49.0,58.0,110.0,100.0,159.0,259.0
SORACACHI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,106.0,116.0,0.0,0.0,106.0,116.0,222.0
SUCRE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,8837.0,9536.0,36.0,76.0,8873.0,9612.0,18485.0
TACACHI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,8.0,25.0,0.0,0.0,8.0,25.0,33.0
TACOBAMBA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,11.0,10.0,21.0,36.0,32.0,46.0,78.0
TACOPAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,22.0,23.0,1.0,3.0,23.0,26.0,49.0
TARABUCO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,27.0,46.0,0.0,0.0,27.0,46.0,73.0
TARATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,532.0,302.0,0.0,0.0,532.0,302.0,834.0
TARIJA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,3611.0,3534.0,1373.0,1283.0,4984.0,4817.0,9801.0
TARVITA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,20.0,30.0,13.0,17.0,33.0,47.0,80.0
TINGUIPAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,16.0,8.0,11.0,26.0,27.0,34.0,61.0
TIQUIPAYA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,523.0,696.0,105.0,130.0,628.0,826.0,1454.0
TIRAQUE (CBBA),otras vacunaciones,covid dosis de refuerzo,2021-10-01,97.0,113.0,17.0,10.0,114.0,123.0,237.0
TOCO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,47.0,74.0,50.0,66.0,97.0,140.0,237.0
TODOS SANTOS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,0.0,0.0,5.0,7.0,5.0,7.0,12.0
TOLATA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,48.0,49.0,233.0,53.0,281.0,102.0,383.0
TOLEDO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,69.0,98.0,0.0,0.0,69.0,98.0,167.0
TOMAVE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,86.0,95.0,60.0,60.0,146.0,155.0,301.0
TORO TORO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,38.0,22.0,0.0,0.0,38.0,22.0,60.0
TOTORA(ORR),otras vacunaciones,covid dosis de refuerzo,2021-10-01,32.0,44.0,6.0,4.0,38.0,48.0,86.0
TRIGAL,otras vacunaciones,covid dosis de refuerzo,2021-10-01,38.0,40.0,49.0,63.0,87.0,103.0,190.0
VACAS,otras vacunaciones,covid dosis de refuerzo,2021-10-01,12.0,28.0,4.0,4.0,16.0,32.0,48.0
VALLEGRANDE,otras vacunaciones,covid dosis de refuerzo,2021-10-01,196.0,223.0,5.0,11.0,201.0,234.0,435.0
VILLA MONTES,otras vacunaciones,covid dosis de refuerzo,2021-10-01,219.0,227.0,0.0,3.0,219.0,230.0,449.0
VILLA RIVERO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,85.0,97.0,0.0,0.0,85.0,97.0,182.0
VILLA SERRANO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,418.0,482.0,0.0,0.0,418.0,482.0,900.0
VILLA TUNARI,otras vacunaciones,covid dosis de refuerzo,2021-10-01,393.0,329.0,366.0,75.0,759.0,404.0,1163.0
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis de refuerzo,2021-10-01,89.0,92.0,89.0,115.0,178.0,207.0,385.0
VINTO,otras vacunaciones,covid dosis de refuerzo,2021-10-01,252.0,274.0,211.0,274.0,463.0,548.0,1011.0
YACUIBA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,269.0,254.0,206.0,231.0,475.0,485.0,960.0
YOCALLA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,77.0,108.0,0.0,0.0,77.0,108.0,185.0
YOTALA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,364.0,236.0,0.0,0.0,364.0,236.0,600.0
YUNCHARA,otras vacunaciones,covid dosis de refuerzo,2021-10-01,20.0,35.0,25.0,32.0,45.0,67.0,112.0
YUNGUYO DE LITORAL,otras vacunaciones,covid dosis de refuerzo,2021-10-01,15.0,13.0,0.0,0.0,15.0,13.0,28.0
ZUDAÑEZ,otras vacunaciones,covid dosis de refuerzo,2021-10-01,43.0,81.0,0.0,0.0,43.0,81.0,124.0
ACACIO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,3.0,13.0,0.0,0.0,3.0,13.0,16.0
ANZALDO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,18.0,12.0,0.0,0.0,18.0,12.0,30.0
BETANZOS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,6.0,8.0,1.0,9.0,7.0,17.0,24.0
CHIMORE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,0.0,3.0,4.0,3.0,4.0,7.0
CKOCHAS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
COBIJA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,55.0,86.0,0.0,0.0,55.0,86.0,141.0
COCHABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,379.0,401.0,9.0,0.0,388.0,401.0,789.0
COLCAPIRHUA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,0.0,11.0,4.0,11.0,4.0,15.0
"COLCHA ""K""",otras vacunaciones,covid dosis de refuerzo,2021-11-01,52.0,15.0,0.0,0.0,52.0,15.0,67.0
CORQUE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
COTOCA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,102.0,157.0,1.0,0.0,103.0,157.0,260.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,132.0,139.0,283.0,242.0,415.0,381.0,796.0
EL PUENTE(TJA),otras vacunaciones,covid dosis de refuerzo,2021-11-01,1.0,3.0,2.0,3.0,3.0,6.0,9.0
EL TORNO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,60.0,82.0,0.0,0.0,60.0,82.0,142.0
GUAYARAMERIN,otras vacunaciones,covid dosis de refuerzo,2021-11-01,20.0,24.0,0.0,0.0,20.0,24.0,44.0
HUARACAJE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,10.0,20.0,0.0,0.0,10.0,20.0,30.0
LA GUARDIA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,130.0,173.0,0.0,0.0,130.0,173.0,303.0
LA PAZ,otras vacunaciones,covid dosis de refuerzo,2021-11-01,55.0,61.0,326.0,354.0,381.0,415.0,796.0
MACHACAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,2.0,4.0,0.0,0.0,2.0,4.0,6.0
MAIRANA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,59.0,84.0,0.0,0.0,59.0,84.0,143.0
ORURO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,24.0,28.0,0.0,0.0,24.0,28.0,52.0
PAILON,otras vacunaciones,covid dosis de refuerzo,2021-11-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
PAMPA GRANDE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,33.0,42.0,13.0,4.0,46.0,46.0,92.0
PORONGO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,30.0,25.0,0.0,0.0,30.0,25.0,55.0
POTOSI,otras vacunaciones,covid dosis de refuerzo,2021-11-01,175.0,197.0,6.0,6.0,181.0,203.0,384.0
QUILLACOLLO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,55.0,62.0,2.0,1.0,57.0,63.0,120.0
QUIRUSILLAS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,15.0,26.0,0.0,0.0,15.0,26.0,41.0
REYES,otras vacunaciones,covid dosis de refuerzo,2021-11-01,17.0,26.0,0.0,0.0,17.0,26.0,43.0
RIBERALTA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,14.0,13.0,0.0,0.0,14.0,13.0,27.0
ROBORE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,19.0,47.0,0.0,0.0,19.0,47.0,66.0
RURRENABAQUE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,67.0,70.0,0.0,0.0,67.0,70.0,137.0
SACABA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,1.0,2.0,1.0,2.0,2.0,4.0,6.0
SACACA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,5.0,5.0,6.0,4.0,11.0,9.0,20.0
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,9.0,10.0,0.0,0.0,9.0,10.0,19.0
SAN BORJA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,4.0,3.0,12.0,6.0,16.0,9.0,25.0
SAN CARLOS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
SAN IGNACIO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,9.0,9.0,0.0,0.0,9.0,9.0,18.0
SAN JOAQUIN,otras vacunaciones,covid dosis de refuerzo,2021-11-01,5.0,10.0,0.0,0.0,5.0,10.0,15.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis de refuerzo,2021-11-01,6.0,16.0,0.0,0.0,6.0,16.0,22.0
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,3.0,3.0,2.0,2.0,5.0,5.0,10.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,252.0,321.0,0.0,0.0,252.0,321.0,573.0
SUCRE,otras vacunaciones,covid dosis de refuerzo,2021-11-01,323.0,509.0,83.0,132.0,406.0,641.0,1047.0
TARIJA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,202.0,254.0,42.0,51.0,244.0,305.0,549.0
TARVITA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,0.0,3.0,3.0,3.0,3.0,6.0
TORO TORO,otras vacunaciones,covid dosis de refuerzo,2021-11-01,5.0,4.0,0.0,0.0,5.0,4.0,9.0
TOTORA(ORR),otras vacunaciones,covid dosis de refuerzo,2021-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TRINIDAD,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TUPIZA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,35.0,23.0,43.0,42.0,78.0,65.0,143.0
UNCIA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
VILLA TUNARI,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,0.0,30.0,20.0,30.0,20.0,50.0
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis de refuerzo,2021-11-01,5.0,3.0,66.0,77.0,71.0,80.0,151.0
YOCALLA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,19.0,21.0,0.0,0.0,19.0,21.0,40.0
YUNCHARA,otras vacunaciones,covid dosis de refuerzo,2021-11-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
ANDAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,25.0,25.0,0.0,0.0,25.0,25.0,50.0
ANTEQUERA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,23.0,25.0,0.0,0.0,23.0,25.0,48.0
ANZALDO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,8.0,15.0,0.0,0.0,8.0,15.0,23.0
ARANI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ARBIETO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,91.0,133.0,2.0,3.0,93.0,136.0,229.0
ARQUE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,3.0,2.0,8.0,7.0,11.0,9.0,20.0
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,41.0,38.0,16.0,18.0,57.0,56.0,113.0
ATOCHA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,200.0,185.0,91.0,150.0,291.0,335.0,626.0
