,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,23,0,0,0,23,23
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,44,0,9,0,53,53
COIPASA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,19,0,1,0,20,20
COLQUENCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,1,0,3,3
COMANCHE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,38,0,3,0,41,41
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,15,0,4,0,19,19
CORIPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,1,0,6,6
COROICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,7,0,0,0,7,7
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,169,0,31,0,200,200
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,192,0,34,0,226,226
EL CHORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
EL PUENTE(STC),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,2,0,8,8
EL PUENTE(TJA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
EXALTACION,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,3,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
GUAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,13,0,0,0,13,13
GUAYARAMERIN,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,8,0,0,0,8,8
HUANUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,1,0,6,6
HUAYLLAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,1,0,1,1
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
INQUISIVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,8,0,10,0,18,18
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,12,0,0,0,12,12
LA ASUNTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,25,0,19,0,44,44
LA GUARDIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,24,0,0,0,24,24
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,84,0,7,0,91,91
LLICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
LORETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,4,0,4,4
LURIBAY,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
MECAPACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,1,0,6,6
MINEROS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,22,0,0,0,22,22
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,99,0,1,0,100,100
OCURI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,1,0,2,2
OKINAWA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,3,0,0,0,3,3
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,164,0,1,0,165,165
PAILON,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,1,0,5,5
PALCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,10,0,2,0,12,12
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,2,0,3,3
PORCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,12,0,1,0,13,13
POROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,1,0,7,7
PORTACHUELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,22,0,0,0,22,22
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,40,0,0,0,40,40
PUCARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,7,0,2,0,9,9
PUERTO ACOSTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,0,0,6,6
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,3,0,4,0,7,7
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
PUERTO RICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
PUERTO SUAREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,10,0,8,0,18,18
PUNA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,0,0,6,6
QUIABAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
RAVELO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,2,0,3,3
REYES,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,36,0,2,0,38,38
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,133,0,1,0,134,134
RURRENABAQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
SAN ANDRES,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,1,0,3,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,15,0,0,0,15,15
SAN BORJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,2,0,4,4
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,0,0,1,0,1,1
SAN CARLOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,14,0,0,0,14,14
SAN IGNACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,15,0,0,0,15,15
SAN LORENZO(PND),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
SAN MATIAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
SAN PEDRO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,3,0,1,0,4,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,9,0,0,0,9,9
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,12,0,0,0,12,12
SAN RAMON BENI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,8,0,5,0,13,13
SANTA ANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,12,0,0,0,12,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,189,0,14,0,203,203
SANTA ROSA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,9,0,0,0,9,9
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,1,0,3,3
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,1,0,3,3
SENA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,7,0,0,0,7,7
SORACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
SUCRE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,17,0,2,0,19,19
TARABUCO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
TARIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,69,0,6,0,75,75
TEOPONTE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,8,0,4,0,12,12
TOLEDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,4,0,0,0,4,4
TRINIDAD,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,123,0,10,0,133,133
TUPIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,5,0,0,0,5,5
URUBICHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,9,0,1,0,10,10
VALLEGRANDE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,6,0,0,0,6,6
VIACHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,104,0,0,0,104,104
VILLA CHARCAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,32,0,0,0,32,32
WARNES,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,53,0,0,0,53,53
YACUIBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,44,0,4,0,48,48
YANACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,2,0,0,0,2,2
YAPACANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-01-01,0,20,0,45,0,65,65
LLICA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,6,0,0,0,6,6
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,1,0,2,0,3,3
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,1,0,0,0,1,1
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-02-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,10,0,1,0,11,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,0,0,1,0,1,1
TUPIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-03-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-04-01,0,0,0,1,0,1,1
ACACIO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,0,0,4,4
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,12,0,1,0,13,13
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,43,0,1,0,44,44
AIQUILE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,12,0,41,0,53,53
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,0,0,7,7
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,2,0,3,3
ANTEQUERA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,0,0,1,0,1,1
ANZALDO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,7,0,8,8
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,9,0,16,16
ARANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,22,0,0,0,22,22
ARBIETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,14,0,18,0,32,32
ARQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,22,0,8,0,30,30
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,48,0,0,0,48,48
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,2,0,6,6
AUCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,12,0,1,0,13,13
AYATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,9,0,2,0,11,11
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,10,0,7,0,17,17
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,40,0,20,0,60,60
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,24,0,3,0,27,27
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,0,0,1,0,1,1
BELEN DE URMIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,2,0,3,3
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,4,0,6,6
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,105,0,10,0,115,115
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,1,0,3,3
BOLPEBRA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,0,0,2,2
CAIROMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,18,0,4,0,22,22
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,6,0,0,0,6,6
CAJUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,50,0,1,0,51,51
CALACOTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,3,0,4,4
CALAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,36,0,1,0,37,37
CAMARGO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,3,0,0,0,3,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,0,0,1,0,1,1
CAPINOTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,30,0,5,0,35,35
CAQUIAVIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,0,0,4,4
CARACOLLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,20,0,0,0,20,20
CARAPARI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,13,0,20,20
CARIPUYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,8,0,15,15
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,8,0,0,0,8,8
CHACARILLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,0,0,4,4
CHALLAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,43,0,15,0,58,58
CHAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,10,0,3,0,13,13
CHARAÑA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,3,0,0,0,3,3
CHIMORE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,44,0,1,0,45,45
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,4,0,5,5
CHOQUE COTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,0,0,4,4
CHUA COCANI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,9,0,0,0,9,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,14,0,5,0,19,19
CHUMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,14,0,4,0,18,18
CLIZA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,26,0,7,0,33,33
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,101,0,26,0,127,127
COCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,17,0,13,0,30,30
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,757,0,159,0,916,916
COIPASA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,0,0,1,0,1,1
COLCAPIRHUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,31,0,30,0,61,61
"COLCHA ""K""",otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,17,0,3,0,20,20
COLLANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,1,0,5,5
COLOMI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,70,0,4,0,74,74
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,17,0,0,0,17,17
COLQUENCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,33,0,2,0,35,35
COLQUIRI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,15,0,16,0,31,31
COMBAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,0,0,1,0,1,1
CONCEPCION,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,12,0,17,17
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,12,0,19,19
CORIPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,3,0,10,10
CORO CORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,1,0,5,5
COROICO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,15,0,4,0,19,19
CORQUE,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,8,0,0,0,8,8
COTAGAITA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,9,0,0,0,9,9
COTOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,24,0,1,0,25,25
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,1,0,6,6
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,0,0,2,2
CULPINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,11,0,5,0,16,16
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,3,0,0,0,3,3
CURVA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,0,0,2,2
DESAGUADERO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,2,0,6,6
EL ALTO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1840,0,1775,0,3615,3615
EL CHORO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,0,0,4,4
EL PUENTE(TJA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,12,0,7,0,19,19
EL TORNO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,60,0,0,0,60,60
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,25,0,10,0,35,35
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,83,0,12,0,95,95
ESCOMA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,3,0,0,0,3,3
FILADELFIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,15,0,15,0,30,30
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,4,0,3,0,7,7
GUAQUI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,11,0,2,0,13,13
HUACARETA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,1,0,6,6
HUACHACALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,0,0,5,5
HUANUNI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,16,0,2,0,18,18
HUARINA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,3,0,5,5
HUATAJATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,0,0,5,5
HUAYLLAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,0,0,5,5
HUMANATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1,0,0,0,1,1
ICHOCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,7,0,7,0,14,14
INCAHUASI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,30,0,0,0,30,30
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,5,0,0,0,5,5
INQUISIVI,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,6,0,1,0,7,7
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,11,0,0,0,11,11
IXIAMAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,1,0,3,3
JESUS DE MACHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,27,0,0,0,27,27
LA ASUNTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,75,0,9,0,84,84
LA GUARDIA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,68,0,24,0,92,92
LA PAZ,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,1148,0,607,0,1755,1755
LAJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,28,0,3,0,31,31
LAS CARRERAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,2,0,2,0,4,4
LLALLAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,15,0,6,0,21,21
LORETO,otras vacunaciones,influenza estacional a mujeres embarazadas,2021-05-01,0,6,0,15,0,21,21
