,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
COBIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
COCAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,6,0,6,6
COCHABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,16,0,8,0,24,24
COLCAPIRHUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,9,0,4,0,13,13
COLOMI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,10,0,10,10
COMARAPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,2,0,0,0,2,2
CULPINA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,15,0,4,0,19,19
EL ALTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,13,0,1,0,14,14
EL PUENTE(STC),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
EL VILLAR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,6,0,1,0,7,7
EUCALIPTUS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,2,0,1,0,3,3
FILADELFIA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,15,0,15,15
GUANAY,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,3,0,4,4
GUAYARAMERIN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,5,0,6,0,11,11
HUANUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,4,0,5,5
HUARINA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,3,0,0,0,3,3
LA PAZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,18,0,3,0,21,21
LAGUNILLAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
MACHARETI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,3,0,4,4
MONTEAGUDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,6,0,0,0,6,6
OCURI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,6,0,6,6
ORURO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,10,0,2,0,12,12
PADCAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,7,0,7,7
PALOS BLANCOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,3,0,0,0,3,3
PORTACHUELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,10,0,0,0,10,10
PRESTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,1,0,1,1
PUNATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,2,0,3,3
QUILLACOLLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,4,0,42,0,46,46
RAVELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,3,0,1,0,4,4
REYES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,33,0,33,33
RURRENABAQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,5,0,35,0,40,40
SACABA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,5,0,5,0,10,10
SAN BUENA VENTURA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,8,0,0,0,8,8
SAN LORENZO(TJA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,19,0,20,20
SAN MIGUEL DE VELASCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,11,0,45,0,56,56
SAN PEDRO DE MACHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,28,0,15,0,43,43
SANTIAGO DE HUATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SIPE SIPE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,3,0,0,0,3,3
TAPACARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,7,0,8,0,15,15
TEOPONTE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
TIQUIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,10,0,10,10
TOCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,3,0,4,4
TORO TORO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
TURCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,5,0,0,0,5,5
VIACHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,2,0,2,2
VILLA CHARCAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,2,0,1,0,3,3
VILLA MONTES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,3,0,4,4
VILLA SERRANO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,2,0,3,3
VINTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,5,0,3,0,8,8
WARNES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,1,0,0,0,1,1
YOCALLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-01-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,5,0,5,5
ACHOCALLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,9,0,9,9
ANZALDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
ARBIETO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,64,0,65,65
ARQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,16,0,16,16
ASCENCION DE GUARAYOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,4,0,0,0,4,4
AYATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,11,0,11,11
BELEN DE ANDAMARCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
BETANZOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,7,0,8,8
BOLIVAR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,3,0,3,3
BOLPEBRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,32,0,32,32
CAIROMA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,0,0,6,6
"CAIZA ""D""",otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,3,0,2,0,5,5
CAMARGO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,5,0,5,5
CAMIRI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,3,0,3,3
CAPINOTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,91,0,91,91
CARANAVI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,7,0,8,8
CARIPUYO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,15,0,15,15
CHALLAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,3,0,0,0,3,3
CHAQUI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,3,0,3,3
CHAYANTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,9,0,9,9
CHIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,1,0,3,3
COCAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,16,0,22,22
COCHABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,29,0,117,0,146,146
COLCAPIRHUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,1,0,7,7
COLQUECHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
COLQUIRI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
CORIPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
COROICO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,8,0,5,0,13,13
COTAGAITA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,12,0,7,0,19,19
CUATRO CAÑADAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
CULPINA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,44,0,17,0,61,61
DESAGUADERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,36,0,35,0,71,71
EL CHORO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,15,0,0,0,15,15
ENTRE RIOS TRJ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,7,0,7,7
FERNANDEZ ALONSO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,42,0,42,42
FILADELFIA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,13,0,13,13
GUANAY,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,9,0,11,11
GUAYARAMERIN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,10,0,15,0,25,25
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,20,0,21,21
HUANUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,5,0,6,6
ICLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,32,0,34,34
INGAVI (HUMAITA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
JESUS DE MACHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,12,0,13,13
LA ASUNTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,7,0,7,7
LA PAZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,18,0,15,0,33,33
LAGUNILLAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,0,0,5,5
LAJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,4,0,6,6
LICOMA PAMPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
LLALLAGUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,38,0,39,39
LORETO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
MACHARETI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,4,0,4,4
MAGDALENA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,16,0,72,0,88,88
MINEROS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,4,0,11,0,15,15
MOJINETE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,1,0,2,2
MONTERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,8,0,13,0,21,21
MOROCHATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,9,0,9,9
OKINAWA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,79,0,85,85
ORURO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,1,0,6,6
PAILON,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,6,0,11,11
PALCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
PASORAPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,4,0,4,4
POROMA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,37,0,37,37
PORVENIR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,18,0,0,0,18,18
PRESTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,4,0,9,9
PUERTO ACOSTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
PUERTO SUAREZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,7,0,9,9
PUNATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,3,0,4,4
QUILLACOLLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,3,0,24,0,27,27
QUIRUSILLAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,0,0,5,5
RAQAYPAMPA(ETA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,31,0,32,32
RAVELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
RIBERALTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,15,0,16,16
SACABA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,7,0,21,0,28,28
SACABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,10,0,11,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,33,0,30,0,63,63
SAN BENITO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,7,0,9,9
SAN BORJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,8,0,9,9
SAN BUENA VENTURA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,3,0,0,0,3,3
SAN IGNACIO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,11,0,7,0,18,18
SAN IGNACIO DE VELASCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,64,0,31,0,95,95
SAN JAVIER(BNI),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,0,0,6,6
SAN JAVIER(STC),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,28,0,0,0,28,28
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
SAN LORENZO(PND),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,5,0,14,0,19,19
SAN MIGUEL DE VELASCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,14,0,15,15
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,3,0,1,0,4,4
SAN PEDRO DE MACHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,7,0,8,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,41,0,69,0,110,110
SANTIAGO DE HUARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,1,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,6,0,1,0,7,7
SHINAOTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,75,0,76,76
SICAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,18,0,18,18
SIPE SIPE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,7,0,9,9
SOPACHUY,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,3,0,4,4
SUCRE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,8,0,18,0,26,26
TAPACARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,39,0,39,39
TARABUCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,3,0,3,3
TARATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,31,0,31,31
TARIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,3,0,5,5
TEOPONTE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,13,0,14,14
TIQUIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,4,0,22,0,26,26
TOCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,4,0,6,6
TOLEDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
TRINIDAD,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,15,0,0,0,15,15
TUPIZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,1,0,2,0,3,3
URUBICHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,4,0,0,0,4,4
UYUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,3,0,3,3
VACAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,2,0,23,0,25,25
VILA VILA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,12,0,12,12
VILLA CHARCAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,37,0,37,37
VILLA MONTES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,4,0,6,0,10,10
VILLA NUEVA (LOMA ALTA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2021-02-01,0,0,0,2,0,2,2
