,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,9,27,4,8,13,35,48
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,17,26,2,4,19,30,49
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,1,3,1,4,5
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,16,48,38,53,54,101,155
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,22,29,30,50,52,79,131
COIPASA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,1,1,1,2
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,5,21,23,22,28,50
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,5,12,0,0,5,12,17
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,17,16,37,22,54,76
COMANCHE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,0,0,0,8,0,8
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,6,7,17,8,23,31
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,1,0,0,1,1,2
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,19,27,0,0,19,27,46
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,5,6,1,1,6,7,13
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,81,152,68,100,149,252,401
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,7,19,39,31,46,50,96
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,148,198,24,26,172,224,396
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,3,1,3,4
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,13,10,13,10,23
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,7,0,0,1,7,8
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,0,1,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,11,8,3,11,14,25
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,5,0,0,0,5,5
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,1,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,6,1,0,7,6,13
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,2,0,0,0,2,2
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,2,32,45,34,47,81
GUTIERREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,12,0,0,2,12,14
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,1,10,8,14,9,23
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,1,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,4,5,14,7,18,25
HUMANATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,5,6,1,1,6,7,13
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,9,0,0,6,9,15
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,16,15,6,4,22,19,41
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,18,21,13,8,31,29,60
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,2,0,2,0,2
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,0,0,0,3,0,3
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,13,10,10,10,23,20,43
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,15,30,17,38,32,68,100
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,531,435,3,4,534,439,973
LORETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,0,2,0,2,2
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,4,0,0,0,4,4
MACHARETI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,3,9,22,9,25,34
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,8,5,8,5,13
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,7,1,1,5,8,13
MOJOCOYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,7,2,2,1,9,3,12
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,115,240,59,160,174,400,574
OCURI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,2,1,2,1,3
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,7,9,0,0,7,9,16
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,340,247,1,3,341,250,591
PADCAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,4,1,0,0,4,1,5
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,9,8,37,31,46,39,85
PALCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,35,21,3,5,38,26,64
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,19,1,5,9,24,33
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,0,3,0,4,4
POCOATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,0,1,0,1,1
PORCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,9,1,9,1,10
POROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,5,5,1,8,6,14
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,13,28,10,0,23,28,51
POSTRER VALLE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,29,24,17,70,46,94,140
PUCARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,5,1,0,3,5,8
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,2,18,25,18,27,45
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,17,34,0,0,17,34,51
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,5,13,13,19,18,37
PUERTO SILES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,2,7,2,7,9
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,22,27,63,35,85,120
PUNA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,11,9,14,12,25,37
QUIABAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,2,3,2,3,5
REYES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,3,5,3,6,9
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,12,57,281,99,293,156,449
RURRENABAQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,14,0,0,8,14,22
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,2,7,2,7,4,11
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,11,1,1,9,12,21
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,7,17,1,3,8,20,28
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,3,11,21,12,24,36
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,1,3,6,3,7,10
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,6,14,24,16,30,46
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,6,0,0,6,6,12
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,8,0,3,6,11,17
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,2,3,2,3,4,7
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,16,0,0,2,16,18
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,4,0,0,2,4,6
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,5,56,106,58,111,169
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,29,21,0,0,29,21,50
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,3,6,10,9,13,22
SAN RAMON BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,9,20,9,20,29
SANTA ANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,3,0,3,0,6,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,371,344,303,216,674,560,1234
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,16,14,21,20,37,57
SAPAHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,6,0,0,6,6,12
SENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,0,0,0,2,0,2
SUCRE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,4,15,23,17,27,44
TACOBAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,1,2,10,4,11,6,17
TARABUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,5,8,0,0,5,8,13
TARIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,6,7,78,165,84,172,256
TINGUIPAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,3,4,3,4,7
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,2,0,0,3,2,5
TOMAVE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,4,3,4,3,7
TRIGAL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,3,7,1,0,4,7,11
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,76,141,90,71,166,212,378
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,7,8,0,0,7,8,15
UNCIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,1,0,0,2,1,3
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,21,36,30,58,51,94,145
URUBICHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,10,14,12,16,22,38
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,13,17,0,1,13,18,31
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,38,66,0,0,38,66,104
VIACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,14,35,380,14,394,49,443
VILLA CHARCAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,0,0,9,15,9,15,24
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,15,2,4,3,19,5,24
VILLAZON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,3,23,50,25,53,78
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,110,226,68,218,178,444,622
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,8,21,19,35,27,56,83
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,2,0,0,0,2,0,2
YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-01-01,10,9,63,41,73,50,123
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-02-01,3,4,0,0,3,4,7
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-02-01,4,12,0,0,4,12,16
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-02-01,0,0,0,3,0,3,3
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-02-01,4,12,0,0,4,12,16
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-02-01,3,0,0,0,3,0,3
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-03-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-03-01,0,0,1,1,1,1,2
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-04-01,0,0,0,41,0,41,41
ACACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,0,0,1,1,2
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,6,5,10,26,16,31,47
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,4,13,16,29,20,42,62
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,5,9,0,4,5,13,18
ALALAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,2,2,2,2,4
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,1,0,1,0,1
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,2,1,2,3,4,7
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,5,5,14,22,19,27,46
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,3,0,0,1,3,4
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,1,8,2,9,11
ARANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,6,9,3,1,9,10,19
ARBIETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,17,24,11,17,28,41,69
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,3,1,8,7,11,8,19
AUCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,4,1,2,2,6,8
AYATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,0,0,1,1,2
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,3,3,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,7,11,24,13,31,44
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,3,0,4,1,5
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,0,0,1,1,2
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,1,2,4,2,5,7
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,122,152,78,129,200,281,481
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,2,2,7,2,9,11
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,5,7,0,4,5,11,16
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,20,36,8,11,28,47,75
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,7,1,3,3,10,13
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,10,79,2,2,12,81,93
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,4,3,2,8,6,11,17
CAMARGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,2,0,0,1,2,3
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,18,30,12,21,30,51,81
CAQUIAVIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,0,0,0,1,0,1
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,7,7,3,5,10,12,22
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,11,15,16,38,27,53,80
CARIPUYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,1,16,25,16,26,42
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,3,0,1,0,4,0,4
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,8,13,26,35,34,48,82
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,2,0,2,0,2
CHIMORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,6,6,254,6,260,12,272
CHOQUE COTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,2,1,1,1,3,4
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,0,216,24,217,24,241
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,4,3,13,20,17,23,40
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,3,7,3,9,6,15
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,17,18,3,2,20,20,40
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,97,162,71,84,168,246,414
COCAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,6,9,7,10,17
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,482,579,261,282,743,861,1604
COIPASA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,0,1,0,1,1
COLCAPIRHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,83,82,126,107,209,189,398
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,6,11,0,0,6,11,17
COLLANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,9,28,2,3,11,31,42
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,4,0,0,2,4,6
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,3,2,0,0,3,2,5
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,22,77,14,16,36,93,129
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,75,77,37,62,112,139,251
COMBAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,1,0,1,0,1
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,13,12,6,13,19,25,44
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,5,7,12,9,17,26
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,3,0,0,2,3,5
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,1,7,17,8,18,26
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,0,2,0,2,2
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,2,0,0,2,2,4
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,8,29,15,22,23,51,74
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,19,30,16,31,35,61,96
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,2,1,3,3,5,8
CULPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,5,6,2,0,7,6,13
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,0,0,0,1,0,1
CURVA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,3,6,3,6,9
DESAGUADERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,7,46,34,48,41,89
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,636,992,1651,2231,2287,3223,5510
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,2,0,1,2,3,5
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,14,18,16,23,30,41,71
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,14,6,0,0,14,6,20
EL VILLAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,0,1,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,6,7,15,32,21,39,60
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,8,5,5,0,13,5,18
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,1,0,0,0,1,0,1
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,0,0,1,0,1,1
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,1,10,21,12,22,34
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,6,3,3,3,9,12
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,7,7,1,0,8,7,15
HUACARETA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,12,20,2,3,14,23,37
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,2,3,0,1,2,4,6
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,0,1,7,7,7,8,15
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2021-05-01,3,4,12,9,15,13,28
