,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,6,0,0,2,6,8
CAQUIAVIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,3,1,1,3,4,7
CHIMORE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,7,12,0,0,7,12,19
"COLCHA ""K""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
COLLANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
COLQUENCHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
COMANCHE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
COTOCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,8,0,0,2,8,10
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,7,10,0,0,7,10,17
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,23,71,2,6,25,77,102
EL CHORO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,5,15,0,0,5,15,20
ESCARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
ESCOMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,3,0,0,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,3,0,0,1,3,4
GUANAY,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,5,0,0,1,5,6
GUAYARAMERIN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,4,10,5,7,9,17,26
HUANUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,4,0,0,1,4,5
INQUISIVI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,1,2,1,2,3
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,14,0,0,1,14,15
LA PAZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,33,42,0,0,33,42,75
LLALLAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,3,0,0,1,3,4
LURIBAY,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,0,0,0,3,0,3
MAGDALENA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,7,0,0,1,7,8
MECAPACA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
MOJINETE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
MOJOCOYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,5,32,0,0,5,32,37
OKINAWA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,2,0,0,2,2,4
OMEREQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,16,50,0,0,16,50,66
PADILLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,10,0,0,0,10,10
PALOS BLANCOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
PASORAPA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
POCONA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
PORTACHUELO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,7,0,0,3,7,10
POTOSI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,9,18,0,0,9,18,27
PUCARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
PUERTO ACOSTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
PUERTO CARABUCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,2,0,2,2
PUERTO PEREZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,0,0,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,7,2,0,0,7,2,9
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
PUNA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,3,0,0,0,3,3
PUNATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,5,0,0,1,5,6
QUILLACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,10,0,2,3,12,15
QUIME,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,1,0,1,0,1
RIBERALTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,9,0,0,2,9,11
ROBORE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,6,10,0,0,6,10,16
SAN BORJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,3,0,1,3,4,7
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,1,0,0,2,1,3
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,3,0,0,0,3,3
SAN MATIAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
SAN PEDRO DE MACHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,3,0,0,1,3,4
SAN RAMON BENI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
SAN RAMON SCZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,68,168,4,4,72,172,244
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,4,0,0,2,4,6
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,3,0,0,2,3,5
SANTIVAÑES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,3,3,0,0,3,3,6
SIPE SIPE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,6,0,0,0,6,6
SORACACHI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,4,8,0,0,4,8,12
TACACOMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
TAPACARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,1,0,1,1,2
TARACO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,13,0,8,1,21,22
TARVITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
TEOPONTE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,0,0,0,2,0,2
TOCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
TOLATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
TOMAVE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,1,0,0,2,1,3
TOTORA(ORR),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,9,12,4,2,13,14,27
TURCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,1,0,0,2,1,3
URIONDO (A. CONCEPCION),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,2,0,0,0,2,2
VACAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,0,0,0,1,0,1,1
VALLEGRANDE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
VIACHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,6,3,0,0,6,3,9
VILLA TUNARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,2,0,1,2,3,5
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,2,0,0,1,2,3
VILLAZON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,1,0,0,1,1,2
WARNES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,6,0,0,2,6,8
YACUIBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,2,3,0,0,2,3,5
YUNCHARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-01-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,6,0,0,0,6,6
ALTO BENI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,3,0,0,0,3,3
ANCORAIMES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,3,0,0,3,3,6
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
AYO AYO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,0,1,1,1,1,2
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
CAJUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,0,0,0,3,0,3
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,8,0,0,0,8,8
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,3,0,0,2,3,5
CATACORA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,3,0,0,2,3,5
CLIZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,9,2,1,0,10,2,12
COCAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,18,29,0,0,18,29,47
COLLANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
COLOMI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
COLPA BELGICA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,4,0,0,0,4,4
COLQUENCHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,4,4,0,0,4,4,8
COMARAPA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
COMBAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
CORO CORO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
COTOCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,5,0,0,1,5,6
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,2,0,0,2,2,4
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,42,69,5,15,47,84,131
EL TORNO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
EL VILLAR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,11,0,0,3,11,14
ESMERALDA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,2,0,0,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,9,6,0,0,9,6,15
HUANUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
HUATAJATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
IXIAMAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,7,0,0,0,7,7
LA PAZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,63,94,8,12,71,106,177
LLALLAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
MAGDALENA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,1,0,3,3
MIZQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
MOCOMOCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,2,0,0,2,2,4
MOJINETE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,6,1,1,1,7,2,9
MOJOCOYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,4,0,0,1,4,5
MONTEAGUDO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,7,9,7,19,14,28,42
OKINAWA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,31,21,0,0,31,21,52
PADCAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,4,4,1,2,5,6,11
PADILLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,4,5,0,1,4,6,10
PALCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
PALOS BLANCOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
PORONGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,1,0,0,2,1,3
PORTACHUELO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,13,15,0,0,13,15,28
PRESTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,3,0,0,3,3,6
PUCARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,3,0,0,1,3,4
PUERTO CARABUCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,0,2,0,2,0,2
PUERTO PEREZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,4,0,0,0,4,4
PUERTO SUAREZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,6,11,0,0,6,11,17
PUNA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,3,0,0,0,3,3
PUNATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,11,0,0,1,11,12
QUILLACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,5,2,11,3,16,19
QUIME,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,2,0,0,3,2,5
RAVELO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,0,0,1,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,2,0,0,1,2,3
SACABA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,6,18,1,2,7,20,27
SACABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SAN BENITO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
SAN BORJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,3,4,0,0,3,4,7
SAN BUENA VENTURA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,5,0,0,0,5,5
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
SAN PEDRO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,0,0,0,2,0,2
SANTA ANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,22,50,0,0,22,50,72
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,5,5,0,0,5,5,10
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,4,4,0,0,4,4,8
SANTIAGO DE HUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,1,1,2,3
SANTIVAÑES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
SHINAOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,9,13,0,0,9,13,22
SIPE SIPE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,3,0,0,0,3,3
SORACACHI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SORATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,2,0,0,1,2,3
TACOPAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
TAPACARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,1,0,0,1,1,2
TARVITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,1,0,0,0,1,0,1
TEOPONTE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2021-02-01,2,1,0,0,2,1,3
