,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-04-01,1,1,0,0,1,1,2
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,1,20,0,0,1,20,21
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,8,10,0,0,8,10,18
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,40,65,2,17,42,82,124
PALCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,0,2,0,0,0,2,2
SAN PABLO DE LIPEZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,14,6,0,0,14,6,20
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,2,2,0,0,2,2,4
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-05-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,1,1,0,0,1,1,2
HUARACAJE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,2,0,0,0,2,0,2
POCONA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,1,0,0,0,1,0,1
PORONGO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,0,0,11,13,11,13,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,2,9,0,0,2,9,11
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,2,0,0,0,2,0,2
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-06-01,0,0,4,5,4,5,9
BETANZOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,1,2,30,30,31,32,63
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,1,10,0,0,1,10,11
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,2,6,1,0,3,6,9
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,17,26,0,0,17,26,43
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,2,1,0,0,2,1,3
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-07-01,0,0,1,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,9,25,1,0,10,25,35
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,1,0,0,0,1,0,1
HUARACAJE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,2,5,0,0,2,5,7
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,2,0,0,0,2,0,2
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,0,0,2,0,2,2
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,0,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,6,7,0,0,6,7,13
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,0,1,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,3,2,0,0,3,2,5
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,4,0,0,0,4,0,4
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-08-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,2,2,0,0,2,2,4
HUARACAJE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,11,8,0,0,11,8,19
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,0,4,0,0,0,4,4
MOROCHATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,0,2,0,0,0,2,2
PORVENIR,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,0,1,0,0,0,1,1
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,9,10,0,0,9,10,19
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,5,3,0,0,5,3,8
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,3,2,0,0,3,2,5
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,4,6,0,0,4,6,10
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-09-01,1,0,0,0,1,0,1
CHACARILLA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,6,0,0,2,6,8
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,32,21,0,2,32,23,55
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,2,0,0,2,2,4
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,10,14,0,0,10,14,24
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,4,4,0,0,4,4,8
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,8,0,0,0,8,8
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,11,16,0,1,11,17,28
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,8,0,0,2,8,10
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,7,6,0,0,7,6,13
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,5,0,0,2,5,7
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,4,0,0,2,4,6
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-10-01,2,0,0,0,2,0,2
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,3,2,0,0,3,2,5
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,9,5,0,0,9,5,14
MAIRANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,7,0,0,0,7,7
MOROCHATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,3,0,0,0,3,3
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,8,6,0,0,8,6,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,0,0,12,0,12,12
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,6,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,18,18,0,0,18,18,36
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,1,2,0,0,1,2,3
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,2,1,0,0,2,1,3
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-11-01,6,11,0,0,6,11,17
CHACARILLA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,2,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,11,11,1,0,12,11,23
CORO CORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,4,7,0,0,4,7,11
EL TORNO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,3,8,0,0,3,8,11
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,5,4,5,0,10,4,14
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,13,12,0,0,13,12,25
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,4,2,0,0,4,2,6
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,5,0,6,0,6
SAN ANDRES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,4,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,8,8,0,1,8,9,17
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,3,6,0,0,3,6,9
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,3,3,0,0,3,3,6
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,2,12,0,0,2,12,14
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,10,0,0,0,10,10
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2021-12-01,0,1,0,0,0,1,1
