,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,1,46,0,0,1,46,47
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,15,0,0,0,15,15
SAN LUCAS,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,19,19,19,19,38
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,1,16,1,16,17
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,295,369,69,80,364,449,813
SANTA ROSA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,0,2,0,2,2
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,1,0,0,0,1,1
TACACHI,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,0,0,2,0,2,2
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,3,0,0,0,3,3
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,21,19,0,0,21,19,40
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,1,6,0,0,1,6,7
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,30,46,0,0,30,46,76
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,8,23,0,0,8,23,31
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-01-01,0,4,0,0,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,20,11,0,0,20,11,31
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,0,5,5,5,5,10
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,2,4,0,0,2,4,6
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,13,25,0,0,13,25,38
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,1,5,11,0,12,5,17
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,26,40,2,3,28,43,71
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,0,3,2,3,2,5
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,0,6,9,6,9,15
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,14,16,6,6,20,22,42
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,21,21,0,0,21,21,42
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,9,27,8,7,17,34,51
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,3,2,0,0,3,2,5
PADILLA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,2,3,0,0,2,3,5
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,0,4,1,4,1,5
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,5,10,1,0,6,10,16
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,9,1,0,0,9,1,10
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,4,2,0,0,4,2,6
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,2,17,5,14,7,31,38
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,0,0,5,0,5,0,5
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,2,1,0,0,2,1,3
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,7,7,0,0,7,7,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,207,194,39,55,246,249,495
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,1,0,0,0,1,0,1
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,13,17,1,0,14,17,31
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,10,17,0,0,10,17,27
VALLEGRANDE,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,2,0,0,0,2,0,2
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,14,22,9,10,23,32,55
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-02-01,6,6,3,1,9,7,16
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,13,8,0,0,13,8,21
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,7,13,0,0,7,13,20
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,2,4,2,4,6
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,135,0,135,0,135
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,17,14,0,0,17,14,31
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,5,3,0,0,5,3,8
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,2,8,2,8,10
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,1,0,1,0,1
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,1,6,0,0,1,6,7
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,3,4,0,0,3,4,7
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,23,30,3,7,26,37,63
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,1,3,0,0,1,3,4
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,6,11,0,0,6,11,17
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,34,19,0,0,34,19,53
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,4,0,0,0,4,0,4
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,10,16,1,7,11,23,34
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,3,2,0,0,3,2,5
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,1,4,1,4,5
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,2,2,0,0,2,2,4
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,4,0,0,0,4,0,4
ROBORE,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,19,1,0,0,19,1,20
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,11,9,0,0,11,9,20
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,25,18,21,18,46,64
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,5,0,0,0,5,0,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,0,30,0,30,30
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,9,7,0,0,9,7,16
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,4,3,4,3,7
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,3,3,0,0,3,3,6
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,5,6,5,6,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,172,186,24,20,196,206,402
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,0,1,0,1,0,1
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,1,5,5,8,6,13,19
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,26,16,0,0,26,16,42
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,1,2,0,0,1,2,3
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,2,7,170,0,172,7,179
VALLEGRANDE,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,2,9,6,12,8,21,29
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-03-01,49,8,1,0,50,8,58
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,9,0,0,1,9,10
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,1,6,1,6,7
APOLO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,9,6,0,0,9,6,15
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,1,0,0,3,1,4
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,0,0,0,3,0,3
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,8,7,8,7,15
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,5,10,5,10,15
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,0,3,0,3,3
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,8,7,0,0,8,7,15
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,3,0,0,3,3,6
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,9,0,10,10
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,5,15,5,15,20
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,7,8,0,0,7,8,15
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,8,0,0,1,8,9
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,31,48,1,6,32,54,86
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,8,5,0,0,8,5,13
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,5,6,1,3,6,9,15
HUMANATA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,5,4,5,4,9
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,17,15,6,1,23,16,39
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,34,38,0,0,34,38,72
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,2,0,0,2,2,4
MAIRANA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,0,0,0,1,0,1
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,8,0,0,3,8,11
MOCOMOCO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,1,0,0,2,1,3
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,21,10,10,12,31,43
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,5,1,1,2,6,8
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,12,17,23,31,35,48,83
PADILLA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,9,0,0,3,9,12
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,2,2,2,2,4
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,17,25,0,0,17,25,42
PUERTO QUIJARRO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,11,0,0,0,11,11
QUIRUSILLAS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,6,0,0,2,6,8
ROBORE,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,6,11,4,3,10,14,24
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,2,1,1,2,3,5
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,3,1,1,3,4,7
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,2,0,8,1,10,11
SAN BUENA VENTURA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,5,2,5,2,7
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,43,0,0,0,43,43
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,2,1,0,0,2,1,3
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,21,33,4,9,25,42,67
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,0,0,1,1
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,4,8,4,8,12
SAN RAMON BENI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,495,500,179,191,674,691,1365
SANTA ROSA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,1,0,0,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,10,1,0,0,10,1,11
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,4,3,4,3,7
SAPAHAQUI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,3,0,0,1,3,4
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,8,8,0,0,8,8,16
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,8,6,1,0,9,6,15
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,10,11,0,0,10,11,21
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,4,0,0,0,4,0,4
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,4,0,0,3,4,7
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,7,0,7,0,14,14
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,4,4,4,4,8
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,3,0,0,1,3,4
VILLA NUEVA (LOMA ALTA),otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,1,0,2,2,3,2,5
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,3,19,6,5,9,24,33
WALDO BALLIVIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,39,14,1,5,40,19,59
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2021-04-01,10,1,5,0,15,1,16
ALALAY,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,14,16,0,0,14,16,30
ALCALA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,1,0,0,1,1,2
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,3,3,14,20,17,23,40
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,10,8,0,0,10,8,18
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,21,11,21,11,32
BOYUIBE,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,30,0,0,0,30,0,30
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,25,4,4,2,29,6,35
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,6,0,0,0,6,0,6
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,2,1,2,1,3
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,3,5,3,5,8
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,15,2,0,0,15,2,17
CLIZA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,10,9,3,1,13,10,23
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,9,10,0,0,9,10,19
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,8,5,0,0,8,5,13
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,10,9,10,0,20,9,29
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,7,40,0,41,7,48
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,3,6,11,7,14,21
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,2,5,1,3,3,8,11
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,7,3,0,0,7,3,10
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,82,80,19,55,101,135,236
EL CHORO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,7,3,0,0,7,3,10
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,11,14,0,0,11,14,25
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,6,5,0,0,6,5,11
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,1,0,0,1,1,2
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,42,62,5,11,47,73,120
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,99,79,59,51,158,130,288
LAGUNILLAS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,12,4,0,0,12,4,16
LAS CARRERAS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,1,5,1,5,6
MACHARETI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,5,2,2,0,7,2,9
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,1,4,1,4,5
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,4,6,0,2,4,8,12
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,5,23,4,11,9,34,43
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,2,12,9,22,11,34,45
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,6,8,0,1,6,9,15
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,5,1,0,0,5,1,6
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,0,1,4,2,4,6
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,1,39,1,40,2,42
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,30,0,30,0,30
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,9,10,2,3,11,13,24
REYES,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,4,0,0,1,4,5
ROBORE,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,29,4,6,5,35,9,44
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,5,9,4,1,9,10,19
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,2,8,2,8,10
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,10,12,12,14,22,26,48
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,3,9,3,9,12
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,19,0,11,0,30,30
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,4,4,0,0,4,4,8
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,11,29,1,5,12,34,46
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,6,6,0,0,6,6,12
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,3,3,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,506,483,89,44,595,527,1122
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,15,4,0,0,15,4,19
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,0,3,0,3,0,3
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,4,11,0,0,4,11,15
TARABUCO,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,21,8,59,3,80,11,91
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,19,17,3,3,22,20,42
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,2,0,0,0,2,0,2
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,13,11,11,16,24,27,51
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,0,0,0,1,0,1
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,12,0,0,1,12,13
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,5,0,0,1,5,6
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,1,8,0,0,1,8,9
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,4,42,19,14,23,56,79
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,16,28,1,7,17,35,52
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2021-05-01,9,22,0,0,9,22,31
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,5,21,2,10,7,31,38
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,4,0,0,2,4,6
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,6,4,6,4,10
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,3,2,3,3,6
ARAMPAMPA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,2,5,2,5,7
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,22,11,41,7,63,18,81
ATOCHA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,0,2,5,4,5,9
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,5,2,5,2,7
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,4,5,0,0,4,5,9
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,0,0,0,3,0,3
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,10,0,0,0,10,0,10
