,group,variable,month,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA FUERA,17.25 COVID DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
CHIMORE,otras vacunaciones,covid dosis unica,2021-07-01,121.0,64.0,0.0,0.0,121.0,64.0,185.0
CHIPAYA,otras vacunaciones,covid dosis unica,2021-07-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
CLIZA,otras vacunaciones,covid dosis unica,2021-07-01,270.0,260.0,0.0,0.0,270.0,260.0,530.0
COCHABAMBA,otras vacunaciones,covid dosis unica,2021-07-01,9635.0,10061.0,29.0,13.0,9664.0,10074.0,19738.0
COLCAPIRHUA,otras vacunaciones,covid dosis unica,2021-07-01,97.0,134.0,0.0,0.0,97.0,134.0,231.0
COLLANA,otras vacunaciones,covid dosis unica,2021-07-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
COLOMI,otras vacunaciones,covid dosis unica,2021-07-01,47.0,48.0,0.0,0.0,47.0,48.0,95.0
CONCEPCION,otras vacunaciones,covid dosis unica,2021-07-01,1143.0,1238.0,31.0,28.0,1174.0,1266.0,2440.0
COTAGAITA,otras vacunaciones,covid dosis unica,2021-07-01,125.0,165.0,48.0,46.0,173.0,211.0,384.0
CUATRO CAÑADAS,otras vacunaciones,covid dosis unica,2021-07-01,448.0,405.0,191.0,66.0,639.0,471.0,1110.0
DESAGUADERO,otras vacunaciones,covid dosis unica,2021-07-01,8.0,7.0,5.0,5.0,13.0,12.0,25.0
EL ALTO,otras vacunaciones,covid dosis unica,2021-07-01,5144.0,5684.0,9994.0,11198.0,15138.0,16882.0,32020.0
GUAQUI,otras vacunaciones,covid dosis unica,2021-07-01,295.0,140.0,0.0,0.0,295.0,140.0,435.0
HUARINA,otras vacunaciones,covid dosis unica,2021-07-01,3.0,2.0,12.0,13.0,15.0,15.0,30.0
HUAYLLAMARCA,otras vacunaciones,covid dosis unica,2021-07-01,55.0,40.0,25.0,30.0,80.0,70.0,150.0
JESUS DE MACHACA,otras vacunaciones,covid dosis unica,2021-07-01,153.0,195.0,38.0,69.0,191.0,264.0,455.0
LA PAZ,otras vacunaciones,covid dosis unica,2021-07-01,2780.0,2916.0,3124.0,3068.0,5904.0,5984.0,11888.0
LAJA,otras vacunaciones,covid dosis unica,2021-07-01,273.0,271.0,176.0,211.0,449.0,482.0,931.0
MAIRANA,otras vacunaciones,covid dosis unica,2021-07-01,364.0,295.0,28.0,18.0,392.0,313.0,705.0
MALLA,otras vacunaciones,covid dosis unica,2021-07-01,0.0,0.0,16.0,17.0,16.0,17.0,33.0
MIZQUE,otras vacunaciones,covid dosis unica,2021-07-01,130.0,0.0,0.0,0.0,130.0,0.0,130.0
ORURO,otras vacunaciones,covid dosis unica,2021-07-01,36.0,41.0,0.0,0.0,36.0,41.0,77.0
PAMPA GRANDE,otras vacunaciones,covid dosis unica,2021-07-01,67.0,73.0,205.0,305.0,272.0,378.0,650.0
PORTACHUELO,otras vacunaciones,covid dosis unica,2021-07-01,882.0,888.0,0.0,0.0,882.0,888.0,1770.0
PUCARA,otras vacunaciones,covid dosis unica,2021-07-01,9.0,11.0,0.0,0.0,9.0,11.0,20.0
PUNATA,otras vacunaciones,covid dosis unica,2021-07-01,1175.0,1195.0,0.0,0.0,1175.0,1195.0,2370.0
QUILLACOLLO,otras vacunaciones,covid dosis unica,2021-07-01,612.0,670.0,1.0,6.0,613.0,676.0,1289.0
QUIRUSILLAS,otras vacunaciones,covid dosis unica,2021-07-01,28.0,22.0,3.0,2.0,31.0,24.0,55.0
ROBORE,otras vacunaciones,covid dosis unica,2021-07-01,476.0,285.0,0.0,0.0,476.0,285.0,761.0
SACABA,otras vacunaciones,covid dosis unica,2021-07-01,1052.0,1063.0,0.0,0.0,1052.0,1063.0,2115.0
SACABAMBA,otras vacunaciones,covid dosis unica,2021-07-01,6.0,5.0,0.0,0.0,6.0,5.0,11.0
SAMAIPATA,otras vacunaciones,covid dosis unica,2021-07-01,275.0,195.0,694.0,561.0,969.0,756.0,1725.0
SAN ANDRES DE MACHACA,otras vacunaciones,covid dosis unica,2021-07-01,21.0,14.0,56.0,64.0,77.0,78.0,155.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid dosis unica,2021-07-01,141.0,174.0,80.0,85.0,221.0,259.0,480.0
SAN BENITO,otras vacunaciones,covid dosis unica,2021-07-01,23.0,22.0,0.0,0.0,23.0,22.0,45.0
SAN BUENA VENTURA,otras vacunaciones,covid dosis unica,2021-07-01,0.0,0.0,33.0,22.0,33.0,22.0,55.0
SAN CARLOS,otras vacunaciones,covid dosis unica,2021-07-01,88.0,57.0,0.0,0.0,88.0,57.0,145.0
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis unica,2021-07-01,795.0,880.0,40.0,40.0,835.0,920.0,1755.0
SAN JAVIER(STC),otras vacunaciones,covid dosis unica,2021-07-01,487.0,513.0,0.0,0.0,487.0,513.0,1000.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis unica,2021-07-01,891.0,756.0,0.0,0.0,891.0,756.0,1647.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis unica,2021-07-01,487.0,468.0,0.0,0.0,487.0,468.0,955.0
SAN JULIAN,otras vacunaciones,covid dosis unica,2021-07-01,1511.0,1369.0,0.0,0.0,1511.0,1369.0,2880.0
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis unica,2021-07-01,372.0,358.0,307.0,263.0,679.0,621.0,1300.0
SAN RAFAEL,otras vacunaciones,covid dosis unica,2021-07-01,125.0,130.0,20.0,15.0,145.0,145.0,290.0
SAN RAMON SCZ,otras vacunaciones,covid dosis unica,2021-07-01,739.0,736.0,0.0,0.0,739.0,736.0,1475.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2021-07-01,6814.0,6863.0,2600.0,1688.0,9414.0,8551.0,17965.0
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2021-07-01,558.0,423.0,3.0,6.0,561.0,429.0,990.0
SHINAOTA,otras vacunaciones,covid dosis unica,2021-07-01,6.0,9.0,0.0,0.0,6.0,9.0,15.0
TACACHI,otras vacunaciones,covid dosis unica,2021-07-01,17.0,18.0,0.0,0.0,17.0,18.0,35.0
TACOBAMBA,otras vacunaciones,covid dosis unica,2021-07-01,0.0,0.0,10.0,5.0,10.0,5.0,15.0
TAPACARI,otras vacunaciones,covid dosis unica,2021-07-01,58.0,52.0,0.0,0.0,58.0,52.0,110.0
TARACO,otras vacunaciones,covid dosis unica,2021-07-01,68.0,56.0,41.0,40.0,109.0,96.0,205.0
TARIJA,otras vacunaciones,covid dosis unica,2021-07-01,34.0,31.0,0.0,0.0,34.0,31.0,65.0
TIAHUANACU,otras vacunaciones,covid dosis unica,2021-07-01,250.0,226.0,15.0,25.0,265.0,251.0,516.0
TIQUIPAYA,otras vacunaciones,covid dosis unica,2021-07-01,257.0,267.0,1.0,0.0,258.0,267.0,525.0
TOCO,otras vacunaciones,covid dosis unica,2021-07-01,16.0,19.0,0.0,0.0,16.0,19.0,35.0
TOLATA,otras vacunaciones,covid dosis unica,2021-07-01,162.0,127.0,0.0,0.0,162.0,127.0,289.0
TOMAVE,otras vacunaciones,covid dosis unica,2021-07-01,16.0,39.0,0.0,0.0,16.0,39.0,55.0
UNCIA,otras vacunaciones,covid dosis unica,2021-07-01,31.0,29.0,0.0,0.0,31.0,29.0,60.0
VACAS,otras vacunaciones,covid dosis unica,2021-07-01,17.0,13.0,0.0,0.0,17.0,13.0,30.0
VALLEGRANDE,otras vacunaciones,covid dosis unica,2021-07-01,198.0,165.0,77.0,64.0,275.0,229.0,504.0
VILLA MONTES,otras vacunaciones,covid dosis unica,2021-07-01,35.0,20.0,168.0,197.0,203.0,217.0,420.0
VILLA RIVERO,otras vacunaciones,covid dosis unica,2021-07-01,10.0,5.0,0.0,0.0,10.0,5.0,15.0
VILLA TUNARI,otras vacunaciones,covid dosis unica,2021-07-01,146.0,152.0,46.0,1.0,192.0,153.0,345.0
VINTO,otras vacunaciones,covid dosis unica,2021-07-01,19.0,15.0,1.0,0.0,20.0,15.0,35.0
YAPACANI,otras vacunaciones,covid dosis unica,2021-07-01,639.0,639.0,231.0,236.0,870.0,875.0,1745.0
YOCALLA,otras vacunaciones,covid dosis unica,2021-07-01,204.0,196.0,0.0,0.0,204.0,196.0,400.0
ACHACACHI,otras vacunaciones,covid dosis unica,2021-08-01,680.0,730.0,704.0,789.0,1384.0,1519.0,2903.0
AIQUILE,otras vacunaciones,covid dosis unica,2021-08-01,896.0,904.0,0.0,0.0,896.0,904.0,1800.0
ALALAY,otras vacunaciones,covid dosis unica,2021-08-01,23.0,34.0,0.0,0.0,23.0,34.0,57.0
ALCALA,otras vacunaciones,covid dosis unica,2021-08-01,19.0,11.0,77.0,43.0,96.0,54.0,150.0
ANDAMARCA,otras vacunaciones,covid dosis unica,2021-08-01,135.0,165.0,0.0,0.0,135.0,165.0,300.0
ANTEQUERA,otras vacunaciones,covid dosis unica,2021-08-01,148.0,147.0,0.0,0.0,148.0,147.0,295.0
ANZALDO,otras vacunaciones,covid dosis unica,2021-08-01,489.0,552.0,0.0,0.0,489.0,552.0,1041.0
APOLO,otras vacunaciones,covid dosis unica,2021-08-01,55.0,63.0,347.0,171.0,402.0,234.0,636.0
ARAMPAMPA,otras vacunaciones,covid dosis unica,2021-08-01,39.0,52.0,54.0,78.0,93.0,130.0,223.0
ARANI,otras vacunaciones,covid dosis unica,2021-08-01,462.0,494.0,0.0,0.0,462.0,494.0,956.0
ARBIETO,otras vacunaciones,covid dosis unica,2021-08-01,1731.0,1854.0,0.0,0.0,1731.0,1854.0,3585.0
ARQUE,otras vacunaciones,covid dosis unica,2021-08-01,170.0,175.0,96.0,64.0,266.0,239.0,505.0
ATOCHA,otras vacunaciones,covid dosis unica,2021-08-01,231.0,215.0,180.0,199.0,411.0,414.0,825.0
AUCAPATA,otras vacunaciones,covid dosis unica,2021-08-01,45.0,68.0,79.0,68.0,124.0,136.0,260.0
AYATA,otras vacunaciones,covid dosis unica,2021-08-01,75.0,83.0,205.0,187.0,280.0,270.0,550.0
AYO AYO,otras vacunaciones,covid dosis unica,2021-08-01,357.0,403.0,42.0,38.0,399.0,441.0,840.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis unica,2021-08-01,157.0,125.0,142.0,142.0,299.0,267.0,566.0
AZURDUY,otras vacunaciones,covid dosis unica,2021-08-01,76.0,48.0,12.0,8.0,88.0,56.0,144.0
BATALLAS,otras vacunaciones,covid dosis unica,2021-08-01,210.0,257.0,46.0,37.0,256.0,294.0,550.0
BAURES,otras vacunaciones,covid dosis unica,2021-08-01,50.0,16.0,46.0,7.0,96.0,23.0,119.0
BELEN DE ANDAMARCA,otras vacunaciones,covid dosis unica,2021-08-01,73.0,92.0,0.0,0.0,73.0,92.0,165.0
BELEN DE URMIRI,otras vacunaciones,covid dosis unica,2021-08-01,20.0,20.0,16.0,19.0,36.0,39.0,75.0
BETANZOS,otras vacunaciones,covid dosis unica,2021-08-01,544.0,651.0,479.0,644.0,1023.0,1295.0,2318.0
BOLIVAR,otras vacunaciones,covid dosis unica,2021-08-01,74.0,66.0,34.0,33.0,108.0,99.0,207.0
BOYUIBE,otras vacunaciones,covid dosis unica,2021-08-01,239.0,159.0,23.0,14.0,262.0,173.0,435.0
BUENA VISTA,otras vacunaciones,covid dosis unica,2021-08-01,87.0,72.0,0.0,0.0,87.0,72.0,159.0
CABEZAS,otras vacunaciones,covid dosis unica,2021-08-01,901.0,659.0,27.0,32.0,928.0,691.0,1619.0
CAIROMA,otras vacunaciones,covid dosis unica,2021-08-01,257.0,241.0,147.0,125.0,404.0,366.0,770.0
"CAIZA ""D""",otras vacunaciones,covid dosis unica,2021-08-01,241.0,288.0,198.0,243.0,439.0,531.0,970.0
CAJUATA,otras vacunaciones,covid dosis unica,2021-08-01,286.0,315.0,307.0,293.0,593.0,608.0,1201.0
CALACOTO,otras vacunaciones,covid dosis unica,2021-08-01,32.0,25.0,125.0,138.0,157.0,163.0,320.0
CALAMARCA,otras vacunaciones,covid dosis unica,2021-08-01,554.0,624.0,72.0,70.0,626.0,694.0,1320.0
CAMARGO,otras vacunaciones,covid dosis unica,2021-08-01,38.0,43.0,73.0,97.0,111.0,140.0,251.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid dosis unica,2021-08-01,46.0,49.0,1.0,4.0,47.0,53.0,100.0
CAMIRI,otras vacunaciones,covid dosis unica,2021-08-01,294.0,315.0,86.0,87.0,380.0,402.0,782.0
CAPINOTA,otras vacunaciones,covid dosis unica,2021-08-01,1014.0,1041.0,0.0,0.0,1014.0,1041.0,2055.0
CAQUIAVIRI,otras vacunaciones,covid dosis unica,2021-08-01,12.0,15.0,0.0,0.0,12.0,15.0,27.0
CARACOLLO,otras vacunaciones,covid dosis unica,2021-08-01,1214.0,1361.0,28.0,22.0,1242.0,1383.0,2625.0
CARANAVI,otras vacunaciones,covid dosis unica,2021-08-01,635.0,568.0,1327.0,1015.0,1962.0,1583.0,3545.0
CARAPARI,otras vacunaciones,covid dosis unica,2021-08-01,10.0,5.0,0.0,0.0,10.0,5.0,15.0
CARIPUYO,otras vacunaciones,covid dosis unica,2021-08-01,55.0,85.0,267.0,404.0,322.0,489.0,811.0
CARMEN RIVERO TORREZ,otras vacunaciones,covid dosis unica,2021-08-01,191.0,184.0,0.0,0.0,191.0,184.0,375.0
CATACORA,otras vacunaciones,covid dosis unica,2021-08-01,13.0,22.0,8.0,7.0,21.0,29.0,50.0
CHALLAPATA,otras vacunaciones,covid dosis unica,2021-08-01,886.0,997.0,23.0,21.0,909.0,1018.0,1927.0
CHAQUI,otras vacunaciones,covid dosis unica,2021-08-01,41.0,60.0,228.0,257.0,269.0,317.0,586.0
CHARAGUA,otras vacunaciones,covid dosis unica,2021-08-01,868.0,901.0,89.0,97.0,957.0,998.0,1955.0
CHARAÑA,otras vacunaciones,covid dosis unica,2021-08-01,4.0,6.0,0.0,0.0,4.0,6.0,10.0
CHAYANTA,otras vacunaciones,covid dosis unica,2021-08-01,79.0,77.0,336.0,457.0,415.0,534.0,949.0
CHIMORE,otras vacunaciones,covid dosis unica,2021-08-01,1477.0,1265.0,0.0,0.0,1477.0,1265.0,2742.0
CHIPAYA,otras vacunaciones,covid dosis unica,2021-08-01,7.0,13.0,0.0,0.0,7.0,13.0,20.0
CHOQUE COTA,otras vacunaciones,covid dosis unica,2021-08-01,9.0,6.0,0.0,0.0,9.0,6.0,15.0
CHUA COCANI,otras vacunaciones,covid dosis unica,2021-08-01,99.0,131.0,0.0,0.0,99.0,131.0,230.0
CHUMA,otras vacunaciones,covid dosis unica,2021-08-01,49.0,38.0,354.0,327.0,403.0,365.0,768.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis unica,2021-08-01,24.0,32.0,11.0,13.0,35.0,45.0,80.0
CKOCHAS,otras vacunaciones,covid dosis unica,2021-08-01,280.0,331.0,207.0,212.0,487.0,543.0,1030.0
CLIZA,otras vacunaciones,covid dosis unica,2021-08-01,2076.0,2194.0,0.0,0.0,2076.0,2194.0,4270.0
COCAPATA,otras vacunaciones,covid dosis unica,2021-08-01,420.0,324.0,0.0,1.0,420.0,325.0,745.0
COCHABAMBA,otras vacunaciones,covid dosis unica,2021-08-01,6660.0,6830.0,49.0,51.0,6709.0,6881.0,13590.0
COIPASA,otras vacunaciones,covid dosis unica,2021-08-01,17.0,23.0,0.0,0.0,17.0,23.0,40.0
COLCAPIRHUA,otras vacunaciones,covid dosis unica,2021-08-01,1602.0,1634.0,234.0,299.0,1836.0,1933.0,3769.0
"COLCHA ""K""",otras vacunaciones,covid dosis unica,2021-08-01,180.0,244.0,88.0,23.0,268.0,267.0,535.0
COLLANA,otras vacunaciones,covid dosis unica,2021-08-01,87.0,113.0,71.0,84.0,158.0,197.0,355.0
COLOMI,otras vacunaciones,covid dosis unica,2021-08-01,885.0,901.0,43.0,76.0,928.0,977.0,1905.0
COLPA BELGICA,otras vacunaciones,covid dosis unica,2021-08-01,431.0,299.0,0.0,0.0,431.0,299.0,730.0
COLQUENCHA,otras vacunaciones,covid dosis unica,2021-08-01,220.0,286.0,2.0,2.0,222.0,288.0,510.0
COLQUIRI,otras vacunaciones,covid dosis unica,2021-08-01,377.0,416.0,414.0,418.0,791.0,834.0,1625.0
COMANCHE,otras vacunaciones,covid dosis unica,2021-08-01,44.0,41.0,40.0,55.0,84.0,96.0,180.0
COMBAYA,otras vacunaciones,covid dosis unica,2021-08-01,0.0,0.0,8.0,7.0,8.0,7.0,15.0
CONCEPCION,otras vacunaciones,covid dosis unica,2021-08-01,545.0,558.0,136.0,121.0,681.0,679.0,1360.0
CORO CORO,otras vacunaciones,covid dosis unica,2021-08-01,75.0,95.0,27.0,36.0,102.0,131.0,233.0
CORQUE,otras vacunaciones,covid dosis unica,2021-08-01,256.0,299.0,0.0,0.0,256.0,299.0,555.0
COTAGAITA,otras vacunaciones,covid dosis unica,2021-08-01,342.0,458.0,85.0,104.0,427.0,562.0,989.0
COTOCA,otras vacunaciones,covid dosis unica,2021-08-01,294.0,246.0,507.0,526.0,801.0,772.0,1573.0
CUATRO CAÑADAS,otras vacunaciones,covid dosis unica,2021-08-01,347.0,324.0,182.0,32.0,529.0,356.0,885.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis unica,2021-08-01,105.0,110.0,0.0,0.0,105.0,110.0,215.0
CUEVO,otras vacunaciones,covid dosis unica,2021-08-01,188.0,87.0,7.0,12.0,195.0,99.0,294.0
CULPINA,otras vacunaciones,covid dosis unica,2021-08-01,77.0,84.0,0.0,0.0,77.0,84.0,161.0
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis unica,2021-08-01,346.0,254.0,0.0,0.0,346.0,254.0,600.0
CURVA,otras vacunaciones,covid dosis unica,2021-08-01,39.0,43.0,16.0,15.0,55.0,58.0,113.0
DESAGUADERO,otras vacunaciones,covid dosis unica,2021-08-01,56.0,849.0,13.0,7.0,69.0,856.0,925.0
EL ALTO,otras vacunaciones,covid dosis unica,2021-08-01,1040.0,1273.0,2366.0,2886.0,3406.0,4159.0,7565.0
EL CHORO,otras vacunaciones,covid dosis unica,2021-08-01,86.0,89.0,0.0,0.0,86.0,89.0,175.0
EL PUENTE(STC),otras vacunaciones,covid dosis unica,2021-08-01,298.0,232.0,6.0,9.0,304.0,241.0,545.0
EL PUENTE(TJA),otras vacunaciones,covid dosis unica,2021-08-01,46.0,43.0,51.0,63.0,97.0,106.0,203.0
EL TORNO,otras vacunaciones,covid dosis unica,2021-08-01,1718.0,1612.0,0.0,0.0,1718.0,1612.0,3330.0
EL VILLAR,otras vacunaciones,covid dosis unica,2021-08-01,0.0,0.0,140.0,130.0,140.0,130.0,270.0
ENTRE RIOS TRJ,otras vacunaciones,covid dosis unica,2021-08-01,772.0,710.0,73.0,92.0,845.0,802.0,1647.0
ENTRE RIOS CBBA,otras vacunaciones,covid dosis unica,2021-08-01,1390.0,1174.0,0.0,0.0,1390.0,1174.0,2564.0
ESCOMA,otras vacunaciones,covid dosis unica,2021-08-01,139.0,132.0,128.0,121.0,267.0,253.0,520.0
ESMERALDA,otras vacunaciones,covid dosis unica,2021-08-01,36.0,34.0,0.0,0.0,36.0,34.0,70.0
EUCALIPTUS,otras vacunaciones,covid dosis unica,2021-08-01,269.0,308.0,14.0,14.0,283.0,322.0,605.0
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2021-08-01,27.0,28.0,0.0,0.0,27.0,28.0,55.0
GENERAL SAAVEDRA,otras vacunaciones,covid dosis unica,2021-08-01,484.0,461.0,0.0,0.0,484.0,461.0,945.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis unica,2021-08-01,29.0,38.0,228.0,250.0,257.0,288.0,545.0
GUANAY,otras vacunaciones,covid dosis unica,2021-08-01,56.0,30.0,204.0,143.0,260.0,173.0,433.0
GUAQUI,otras vacunaciones,covid dosis unica,2021-08-01,375.0,320.0,2.0,3.0,377.0,323.0,700.0
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2021-08-01,238.0,102.0,99.0,101.0,337.0,203.0,540.0
GUTIERREZ,otras vacunaciones,covid dosis unica,2021-08-01,208.0,270.0,0.0,0.0,208.0,270.0,478.0
HUACARETA,otras vacunaciones,covid dosis unica,2021-08-01,208.0,121.0,27.0,12.0,235.0,133.0,368.0
HUACHACALLA,otras vacunaciones,covid dosis unica,2021-08-01,174.0,12.0,0.0,0.0,174.0,12.0,186.0
HUANUNI,otras vacunaciones,covid dosis unica,2021-08-01,1366.0,1259.0,0.0,0.0,1366.0,1259.0,2625.0
HUARACAJE,otras vacunaciones,covid dosis unica,2021-08-01,85.0,47.0,0.0,0.0,85.0,47.0,132.0
HUARINA,otras vacunaciones,covid dosis unica,2021-08-01,197.0,244.0,114.0,135.0,311.0,379.0,690.0
HUATAJATA,otras vacunaciones,covid dosis unica,2021-08-01,0.0,0.0,97.0,98.0,97.0,98.0,195.0
HUAYLLAMARCA,otras vacunaciones,covid dosis unica,2021-08-01,354.0,392.0,45.0,44.0,399.0,436.0,835.0
HUMANATA,otras vacunaciones,covid dosis unica,2021-08-01,36.0,34.0,6.0,9.0,42.0,43.0,85.0
ICHOCA,otras vacunaciones,covid dosis unica,2021-08-01,70.0,65.0,276.0,287.0,346.0,352.0,698.0
ICLA,otras vacunaciones,covid dosis unica,2021-08-01,3.0,2.0,51.0,39.0,54.0,41.0,95.0
INQUISIVI,otras vacunaciones,covid dosis unica,2021-08-01,188.0,165.0,360.0,348.0,548.0,513.0,1061.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid dosis unica,2021-08-01,140.0,140.0,0.0,0.0,140.0,140.0,280.0
IXIAMAS,otras vacunaciones,covid dosis unica,2021-08-01,209.0,193.0,12.0,8.0,221.0,201.0,422.0
JESUS DE MACHACA,otras vacunaciones,covid dosis unica,2021-08-01,385.0,421.0,194.0,225.0,579.0,646.0,1225.0
LA GUARDIA,otras vacunaciones,covid dosis unica,2021-08-01,518.0,508.0,13.0,8.0,531.0,516.0,1047.0
LA PAZ,otras vacunaciones,covid dosis unica,2021-08-01,13144.0,14353.0,3817.0,3724.0,16961.0,18077.0,35038.0
LA RIVERA,otras vacunaciones,covid dosis unica,2021-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
LAGUNILLAS,otras vacunaciones,covid dosis unica,2021-08-01,300.0,250.0,8.0,7.0,308.0,257.0,565.0
LAJA,otras vacunaciones,covid dosis unica,2021-08-01,610.0,654.0,172.0,169.0,782.0,823.0,1605.0
LAS CARRERAS,otras vacunaciones,covid dosis unica,2021-08-01,96.0,84.0,0.0,0.0,96.0,84.0,180.0
LICOMA PAMPA,otras vacunaciones,covid dosis unica,2021-08-01,14.0,18.0,57.0,58.0,71.0,76.0,147.0
LLALLAGUA,otras vacunaciones,covid dosis unica,2021-08-01,844.0,1140.0,266.0,316.0,1110.0,1456.0,2566.0
LURIBAY,otras vacunaciones,covid dosis unica,2021-08-01,91.0,48.0,220.0,240.0,311.0,288.0,599.0
MACHACAMARCA,otras vacunaciones,covid dosis unica,2021-08-01,403.0,425.0,0.0,0.0,403.0,425.0,828.0
MAIRANA,otras vacunaciones,covid dosis unica,2021-08-01,351.0,344.0,13.0,7.0,364.0,351.0,715.0
MALLA,otras vacunaciones,covid dosis unica,2021-08-01,3.0,2.0,46.0,54.0,49.0,56.0,105.0
MAPIRI,otras vacunaciones,covid dosis unica,2021-08-01,98.0,82.0,71.0,58.0,169.0,140.0,309.0
MINEROS,otras vacunaciones,covid dosis unica,2021-08-01,33.0,37.0,468.0,547.0,501.0,584.0,1085.0
MIZQUE,otras vacunaciones,covid dosis unica,2021-08-01,619.0,692.0,43.0,50.0,662.0,742.0,1404.0
MOCOMOCO,otras vacunaciones,covid dosis unica,2021-08-01,117.0,117.0,181.0,185.0,298.0,302.0,600.0
MOJINETE,otras vacunaciones,covid dosis unica,2021-08-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
MOJOCOYA,otras vacunaciones,covid dosis unica,2021-08-01,123.0,157.0,0.0,0.0,123.0,157.0,280.0
MONTERO,otras vacunaciones,covid dosis unica,2021-08-01,374.0,316.0,375.0,340.0,749.0,656.0,1405.0
MORO MORO,otras vacunaciones,covid dosis unica,2021-08-01,54.0,36.0,15.0,10.0,69.0,46.0,115.0
MOROCHATA,otras vacunaciones,covid dosis unica,2021-08-01,77.0,68.0,101.0,119.0,178.0,187.0,365.0
NAZACARA DE PACAJES,otras vacunaciones,covid dosis unica,2021-08-01,28.0,25.0,0.0,0.0,28.0,25.0,53.0
OCURI,otras vacunaciones,covid dosis unica,2021-08-01,94.0,94.0,225.0,308.0,319.0,402.0,721.0
OMEREQUE,otras vacunaciones,covid dosis unica,2021-08-01,57.0,52.0,221.0,210.0,278.0,262.0,540.0
ORURO,otras vacunaciones,covid dosis unica,2021-08-01,4266.0,4209.0,300.0,322.0,4566.0,4531.0,9097.0
PADCAYA,otras vacunaciones,covid dosis unica,2021-08-01,49.0,63.0,2.0,2.0,51.0,65.0,116.0
