,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COPACABANA,estado nutricional,a baja,2013-01-01,0,0,11,7,9,2,20,9,29
CORIPATA,estado nutricional,a baja,2013-01-01,3,1,10,6,5,5,18,12,30
CORO CORO,estado nutricional,a baja,2013-01-01,13,4,16,10,8,12,37,26,63
COROICO,estado nutricional,a baja,2013-01-01,4,2,7,6,3,4,14,12,26
CORQUE,estado nutricional,a baja,2013-01-01,2,2,16,7,11,4,29,13,42
COTAGAITA,estado nutricional,a baja,2013-01-01,14,8,37,15,48,33,99,56,155
COTOCA,estado nutricional,a baja,2013-01-01,2,0,5,8,3,6,10,14,24
CUATRO CAÑADAS,estado nutricional,a baja,2013-01-01,0,0,7,6,5,2,12,8,20
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a baja,2013-01-01,0,0,1,0,0,0,1,0,1
CUEVO,estado nutricional,a baja,2013-01-01,1,3,4,2,7,12,12,17,29
CULPINA,estado nutricional,a baja,2013-01-01,18,10,35,26,31,37,84,73,157
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-01-01,3,5,9,2,10,6,22,13,35
CURVA,estado nutricional,a baja,2013-01-01,6,5,8,2,13,11,27,18,45
DESAGUADERO,estado nutricional,a baja,2013-01-01,1,2,8,1,0,0,9,3,12
EL ALTO,estado nutricional,a baja,2013-01-01,370,197,622,339,270,227,1262,763,2025
EL CHORO,estado nutricional,a baja,2013-01-01,2,1,1,3,2,5,5,9,14
EL PUENTE(STC),estado nutricional,a baja,2013-01-01,0,0,5,3,4,3,9,6,15
EL PUENTE(TJA),estado nutricional,a baja,2013-01-01,7,4,11,10,10,13,28,27,55
EL TORNO,estado nutricional,a baja,2013-01-01,5,7,5,5,4,6,14,18,32
EL VILLAR,estado nutricional,a baja,2013-01-01,0,0,2,2,4,22,6,24,30
ENTRE RIOS TRJ,estado nutricional,a baja,2013-01-01,9,5,11,0,8,10,28,15,43
ENTRE RIOS CBBA,estado nutricional,a baja,2013-01-01,3,5,17,14,17,13,37,32,69
ESCOMA,estado nutricional,a baja,2013-01-01,3,0,1,5,4,5,8,10,18
EUCALIPTUS,estado nutricional,a baja,2013-01-01,4,1,5,4,4,4,13,9,22
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-01-01,2,1,4,0,5,9,11,10,21
EXALTACION,estado nutricional,a baja,2013-01-01,1,1,2,2,5,1,8,4,12
FERNANDEZ ALONSO,estado nutricional,a baja,2013-01-01,1,0,4,0,2,1,7,1,8
FILADELFIA,estado nutricional,a baja,2013-01-01,2,1,3,2,4,4,9,7,16
GENERAL SAAVEDRA,estado nutricional,a baja,2013-01-01,0,2,2,3,5,4,7,9,16
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-01-01,15,6,27,20,18,23,60,49,109
GUANAY,estado nutricional,a baja,2013-01-01,4,3,8,5,13,5,25,13,38
GUAQUI,estado nutricional,a baja,2013-01-01,2,7,9,4,7,1,18,12,30
GUAYARAMERIN,estado nutricional,a baja,2013-01-01,24,20,56,34,37,29,117,83,200
GUTIERREZ,estado nutricional,a baja,2013-01-01,10,8,34,22,53,34,97,64,161
HUACARETA,estado nutricional,a baja,2013-01-01,2,1,3,2,17,10,22,13,35
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-01-01,2,0,10,2,13,6,25,8,33
HUACHACALLA,estado nutricional,a baja,2013-01-01,0,0,1,2,3,0,4,2,6
HUANUNI,estado nutricional,a baja,2013-01-01,26,12,38,11,23,23,87,46,133
HUARACAJE,estado nutricional,a baja,2013-01-01,2,0,3,0,2,0,7,0,7
HUARINA,estado nutricional,a baja,2013-01-01,3,2,2,1,3,4,8,7,15
HUATAJATA,estado nutricional,a baja,2013-01-01,5,2,5,3,6,2,16,7,23
HUAYLLAMARCA,estado nutricional,a baja,2013-01-01,3,0,9,3,1,5,13,8,21
HUMANATA,estado nutricional,a baja,2013-01-01,4,2,8,7,4,3,16,12,28
ICHOCA,estado nutricional,a baja,2013-01-01,2,2,5,4,7,8,14,14,28
ICLA,estado nutricional,a baja,2013-01-01,7,6,22,15,100,79,129,100,229
INCAHUASI,estado nutricional,a baja,2013-01-01,15,10,38,27,43,39,96,76,172
INGAVI (HUMAITA),estado nutricional,a baja,2013-01-01,0,0,0,0,0,1,0,1,1
INQUISIVI,estado nutricional,a baja,2013-01-01,3,0,8,10,14,4,25,14,39
IXIAMAS,estado nutricional,a baja,2013-01-01,1,1,7,4,5,18,13,23,36
JESUS DE MACHACA,estado nutricional,a baja,2013-01-01,7,3,13,15,9,6,29,24,53
LA ASUNTA,estado nutricional,a baja,2013-01-01,0,0,0,2,0,0,0,2,2
LA GUARDIA,estado nutricional,a baja,2013-01-01,9,14,15,10,14,8,38,32,70
LA PAZ,estado nutricional,a baja,2013-01-01,386,251,383,310,285,280,1054,841,1895
LAGUNILLAS,estado nutricional,a baja,2013-01-01,0,6,2,2,7,16,9,24,33
LAJA,estado nutricional,a baja,2013-01-01,5,5,21,13,7,6,33,24,57
LAS CARRERAS,estado nutricional,a baja,2013-01-01,4,0,1,0,3,4,8,4,12
LICOMA PAMPA,estado nutricional,a baja,2013-01-01,0,0,3,1,0,1,3,2,5
LLALLAGUA,estado nutricional,a baja,2013-01-01,32,26,82,51,28,21,142,98,240
LLICA,estado nutricional,a baja,2013-01-01,1,1,3,2,1,2,5,5,10
LORETO,estado nutricional,a baja,2013-01-01,0,1,1,0,0,2,1,3,4
LURIBAY,estado nutricional,a baja,2013-01-01,2,3,11,2,5,7,18,12,30
MACHACAMARCA,estado nutricional,a baja,2013-01-01,9,7,11,6,6,8,26,21,47
MACHARETI,estado nutricional,a baja,2013-01-01,0,0,6,2,10,7,16,9,25
MAGDALENA,estado nutricional,a baja,2013-01-01,8,2,7,6,1,4,16,12,28
MAIRANA,estado nutricional,a baja,2013-01-01,2,2,7,10,5,2,14,14,28
MALLA,estado nutricional,a baja,2013-01-01,2,4,9,11,19,11,30,26,56
MAPIRI,estado nutricional,a baja,2013-01-01,2,0,3,4,7,8,12,12,24
MECAPACA,estado nutricional,a baja,2013-01-01,5,0,17,9,19,9,41,18,59
MINEROS,estado nutricional,a baja,2013-01-01,12,6,11,8,10,8,33,22,55
MIZQUE,estado nutricional,a baja,2013-01-01,45,18,58,39,51,46,154,103,257
MOCOMOCO,estado nutricional,a baja,2013-01-01,2,2,10,9,13,10,25,21,46
MOJINETE,estado nutricional,a baja,2013-01-01,3,1,4,2,2,1,9,4,13
MOJOCOYA,estado nutricional,a baja,2013-01-01,3,2,7,5,13,21,23,28,51
MONTEAGUDO,estado nutricional,a baja,2013-01-01,7,1,18,4,15,16,40,21,61
MONTERO,estado nutricional,a baja,2013-01-01,16,5,27,13,16,8,59,26,85
MORO MORO,estado nutricional,a baja,2013-01-01,0,0,4,0,0,0,4,0,4
MOROCHATA,estado nutricional,a baja,2013-01-01,29,13,65,54,60,54,154,121,275
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a baja,2013-01-01,0,2,0,0,1,0,1,2,3
NAZACARA DE PACAJES,estado nutricional,a baja,2013-01-01,0,0,2,0,1,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a baja,2013-01-01,1,0,2,0,15,9,18,9,27
OCURI,estado nutricional,a baja,2013-01-01,31,26,74,51,87,73,192,150,342
OKINAWA,estado nutricional,a baja,2013-01-01,2,1,5,3,0,5,7,9,16
OMEREQUE,estado nutricional,a baja,2013-01-01,1,0,4,4,3,4,8,8,16
ORURO,estado nutricional,a baja,2013-01-01,215,147,327,254,241,196,783,597,1380
PADCAYA,estado nutricional,a baja,2013-01-01,3,2,4,3,1,3,8,8,16
PADILLA,estado nutricional,a baja,2013-01-01,3,3,10,6,40,26,53,35,88
PAILON,estado nutricional,a baja,2013-01-01,0,1,1,1,4,0,5,2,7
PALCA,estado nutricional,a baja,2013-01-01,10,5,16,9,18,12,44,26,70
PALOS BLANCOS,estado nutricional,a baja,2013-01-01,14,7,25,15,20,23,59,45,104
PAMPA AULLAGAS,estado nutricional,a baja,2013-01-01,5,1,10,6,5,5,20,12,32
PAMPA GRANDE,estado nutricional,a baja,2013-01-01,0,0,7,1,2,3,9,4,13
PAPEL PAMPA,estado nutricional,a baja,2013-01-01,2,0,13,2,3,7,18,9,27
PASORAPA,estado nutricional,a baja,2013-01-01,0,0,3,2,2,1,5,3,8
PATACAMAYA,estado nutricional,a baja,2013-01-01,9,10,21,27,10,18,40,55,95
PAZÑA,estado nutricional,a baja,2013-01-01,4,4,18,9,16,11,38,24,62
PELECHUCO,estado nutricional,a baja,2013-01-01,2,2,6,5,7,1,15,8,23
POCOATA,estado nutricional,a baja,2013-01-01,18,23,70,36,68,58,156,117,273
POCONA,estado nutricional,a baja,2013-01-01,11,2,19,9,16,17,46,28,74
POJO (CBBA),estado nutricional,a baja,2013-01-01,4,3,9,8,3,10,16,21,37
POOPO,estado nutricional,a baja,2013-01-01,3,0,4,2,5,3,12,5,17
PORCO,estado nutricional,a baja,2013-01-01,8,9,24,20,13,12,45,41,86
POROMA,estado nutricional,a baja,2013-01-01,7,6,21,10,33,33,61,49,110
PORONGO,estado nutricional,a baja,2013-01-01,0,0,0,0,0,1,0,1,1
PORTACHUELO,estado nutricional,a baja,2013-01-01,1,6,3,1,2,5,6,12,18
PORVENIR,estado nutricional,a baja,2013-01-01,1,1,6,3,0,1,7,5,12
POSTRER VALLE,estado nutricional,a baja,2013-01-01,2,1,2,1,1,1,5,3,8
POTOSI,estado nutricional,a baja,2013-01-01,236,126,324,168,152,119,712,413,1125
PRESTO,estado nutricional,a baja,2013-01-01,11,9,15,20,59,36,85,65,150
PUCARA,estado nutricional,a baja,2013-01-01,0,0,3,0,2,6,5,6,11
PUCARANI,estado nutricional,a baja,2013-01-01,19,13,31,26,14,9,64,48,112
PUERTO ACOSTA,estado nutricional,a baja,2013-01-01,7,8,9,4,5,3,21,15,36
PUERTO CARABUCO,estado nutricional,a baja,2013-01-01,11,1,11,8,19,27,41,36,77
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-01-01,14,9,44,25,31,34,89,68,157
PUERTO PEREZ,estado nutricional,a baja,2013-01-01,2,0,2,4,4,2,8,6,14
PUERTO RICO,estado nutricional,a baja,2013-01-01,2,4,10,4,7,8,19,16,35
PUERTO SILES,estado nutricional,a baja,2013-01-01,0,0,1,1,1,2,2,3,5
PUERTO SUAREZ,estado nutricional,a baja,2013-01-01,7,2,5,1,1,2,13,5,18
PUERTO VILLARROEL,estado nutricional,a baja,2013-01-01,10,16,22,14,14,27,46,57,103
PUNA,estado nutricional,a baja,2013-01-01,7,12,35,24,30,48,72,84,156
PUNATA,estado nutricional,a baja,2013-01-01,2,5,13,22,13,25,28,52,80
QUIABAYA,estado nutricional,a baja,2013-01-01,0,3,2,3,8,5,10,11,21
QUILLACOLLO,estado nutricional,a baja,2013-01-01,25,18,56,37,30,29,111,84,195
QUIME,estado nutricional,a baja,2013-01-01,3,4,7,6,14,15,24,25,49
QUIRUSILLAS,estado nutricional,a baja,2013-01-01,0,0,0,0,1,0,1,0,1
RAVELO,estado nutricional,a baja,2013-01-01,40,28,58,42,102,121,200,191,391
REYES,estado nutricional,a baja,2013-01-01,2,5,12,4,5,1,19,10,29
RIBERALTA,estado nutricional,a baja,2013-01-01,43,36,109,77,46,35,198,148,346
ROBORE,estado nutricional,a baja,2013-01-01,0,1,1,0,1,0,2,1,3
RURRENABAQUE,estado nutricional,a baja,2013-01-01,0,4,6,2,3,1,9,7,16
SABAYA,estado nutricional,a baja,2013-01-01,1,0,5,1,2,1,8,2,10
SACABA,estado nutricional,a baja,2013-01-01,40,38,109,60,54,47,203,145,348
SACABAMBA,estado nutricional,a baja,2013-01-01,2,2,5,2,4,0,11,4,15
SACACA,estado nutricional,a baja,2013-01-01,49,55,92,51,82,75,223,181,404
SAIPINA,estado nutricional,a baja,2013-01-01,1,3,2,2,6,9,9,14,23
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-01-01,19,9,27,15,22,19,68,43,111
SAMAIPATA,estado nutricional,a baja,2013-01-01,2,1,6,1,1,1,9,3,12
SAN AGUSTIN,estado nutricional,a baja,2013-01-01,0,0,2,0,0,2,2,2,4
SAN ANDRES,estado nutricional,a baja,2013-01-01,3,2,2,0,2,3,7,5,12
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-01-01,0,0,3,3,1,0,4,3,7
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-01-01,0,0,5,0,2,7,7,7,14
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-01-01,6,4,8,4,11,9,25,17,42
SAN BENITO,estado nutricional,a baja,2013-01-01,8,10,10,6,9,5,27,21,48
SAN BORJA,estado nutricional,a baja,2013-01-01,17,9,39,15,27,20,83,44,127
SAN BUENA VENTURA,estado nutricional,a baja,2013-01-01,3,1,8,1,4,3,15,5,20
SAN CARLOS,estado nutricional,a baja,2013-01-01,7,7,5,8,10,9,22,24,46
SAN IGNACIO,estado nutricional,a baja,2013-01-01,11,3,23,25,25,17,59,45,104
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-01-01,11,9,32,15,21,19,64,43,107
SAN JAVIER(BNI),estado nutricional,a baja,2013-01-01,0,0,0,1,0,1,0,2,2
SAN JAVIER(STC),estado nutricional,a baja,2013-01-01,1,1,0,0,3,1,4,2,6
SAN JOAQUIN,estado nutricional,a baja,2013-01-01,1,5,7,1,9,2,17,8,25
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-01-01,5,5,12,2,2,2,19,9,28
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-01-01,1,2,0,1,0,0,1,3,4
SAN JULIAN,estado nutricional,a baja,2013-01-01,4,5,10,10,12,6,26,21,47
SAN LORENZO(PND),estado nutricional,a baja,2013-01-01,2,0,8,7,12,8,22,15,37
SAN LORENZO(TJA),estado nutricional,a baja,2013-01-01,5,3,12,12,8,12,25,27,52
SAN LUCAS,estado nutricional,a baja,2013-01-01,29,32,73,46,107,126,209,204,413
SAN MATIAS,estado nutricional,a baja,2013-01-01,0,3,1,0,0,1,1,4,5
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-01-01,13,13,28,16,11,13,52,42,94
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-01-01,0,1,3,0,2,1,5,2,7
SAN PEDRO,estado nutricional,a baja,2013-01-01,1,1,3,1,4,2,8,4,12
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-01-01,38,30,87,58,71,64,196,152,348
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-01-01,4,1,5,8,6,8,15,17,32
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-01-01,1,0,0,1,0,1,1,2,3
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-01-01,1,0,0,0,1,0,2,0,2
SAN PEDRO(PND),estado nutricional,a baja,2013-01-01,0,1,1,0,3,5,4,6,10
SAN RAFAEL,estado nutricional,a baja,2013-01-01,0,0,4,2,8,1,12,3,15
SAN RAMON BENI,estado nutricional,a baja,2013-01-01,0,2,1,2,9,6,10,10,20
SAN RAMON SCZ,estado nutricional,a baja,2013-01-01,5,2,4,3,3,2,12,7,19
SANTA ANA,estado nutricional,a baja,2013-01-01,1,1,2,6,0,2,3,9,12
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-01-01,113,86,111,76,67,89,291,251,542
SANTA ROSA,estado nutricional,a baja,2013-01-01,1,1,4,2,2,6,7,9,16
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-01-01,1,3,2,2,3,1,6,6,12
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-01-01,0,1,4,3,0,1,4,5,9
SANTIAGO DE HUARI,estado nutricional,a baja,2013-01-01,7,6,19,18,12,8,38,32,70
SANTIAGO DE HUATA,estado nutricional,a baja,2013-01-01,1,1,4,1,1,0,6,2,8
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-01-01,7,3,4,8,8,2,19,13,32
SANTIVAÑES,estado nutricional,a baja,2013-01-01,1,1,8,4,2,18,11,23,34
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-01-01,0,0,6,3,3,6,9,9,18
SAPAHAQUI,estado nutricional,a baja,2013-01-01,5,1,15,10,9,11,29,22,51
SENA,estado nutricional,a baja,2013-01-01,2,0,4,3,2,1,8,4,12
SHINAOTA,estado nutricional,a baja,2013-01-01,7,7,8,16,8,12,23,35,58
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-01-01,10,8,20,5,17,18,47,31,78
SICAYA,estado nutricional,a baja,2013-01-01,2,5,6,7,6,1,14,13,27
SIPE SIPE,estado nutricional,a baja,2013-01-01,16,18,48,22,27,18,91,58,149
SOPACHUY,estado nutricional,a baja,2013-01-01,3,4,14,11,36,43,53,58,111
SORACACHI,estado nutricional,a baja,2013-01-01,12,4,16,16,14,5,42,25,67
SORATA,estado nutricional,a baja,2013-01-01,0,2,9,8,15,14,24,24,48
SUCRE,estado nutricional,a baja,2013-01-01,58,55,169,114,121,126,348,295,643
TACACOMA,estado nutricional,a baja,2013-01-01,2,4,6,2,8,5,16,11,27
TACOBAMBA,estado nutricional,a baja,2013-01-01,6,1,11,14,11,5,28,20,48
TACOPAYA,estado nutricional,a baja,2013-01-01,5,11,30,21,50,32,85,64,149
TAHUA,estado nutricional,a baja,2013-01-01,1,0,2,1,1,1,4,2,6
TAPACARI,estado nutricional,a baja,2013-01-01,38,22,53,32,65,60,156,114,270
TARABUCO,estado nutricional,a baja,2013-01-01,15,8,48,24,109,117,172,149,321
TARACO,estado nutricional,a baja,2013-01-01,0,0,0,2,0,0,0,2,2
TARATA,estado nutricional,a baja,2013-01-01,2,4,7,12,6,10,15,26,41
TARIJA,estado nutricional,a baja,2013-01-01,39,22,58,60,48,43,145,125,270
TARVITA,estado nutricional,a baja,2013-01-01,17,5,33,33,98,91,148,129,277
TEOPONTE,estado nutricional,a baja,2013-01-01,0,0,2,2,3,2,5,4,9
TIAWANACU,estado nutricional,a baja,2013-01-01,9,3,13,0,5,7,27,10,37
TINGUIPAYA,estado nutricional,a baja,2013-01-01,32,36,53,51,48,39,133,126,259
TIPUANI,estado nutricional,a baja,2013-01-01,3,1,3,3,6,2,12,6,18
TIQUIPAYA,estado nutricional,a baja,2013-01-01,14,8,18,22,28,18,60,48,108
TIRAQUE (CBBA),estado nutricional,a baja,2013-01-01,17,11,38,17,24,21,79,49,128
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-01-01,0,0,0,1,2,1,2,2,4
TOCO,estado nutricional,a baja,2013-01-01,1,1,4,6,4,1,9,8,17
TOLATA,estado nutricional,a baja,2013-01-01,0,1,1,1,0,1,1,3,4
TOLEDO,estado nutricional,a baja,2013-01-01,4,3,13,2,3,3,20,8,28
TOMAVE,estado nutricional,a baja,2013-01-01,8,9,22,15,18,9,48,33,81
TOMINA,estado nutricional,a baja,2013-01-01,9,7,25,20,71,67,105,94,199
TORO TORO,estado nutricional,a baja,2013-01-01,7,3,23,22,39,38,69,63,132
TOTORA(CBBA),estado nutricional,a baja,2013-01-01,10,3,19,18,9,6,38,27,65
TOTORA(ORR),estado nutricional,a baja,2013-01-01,2,2,3,0,1,4,6,6,12
TRIGAL,estado nutricional,a baja,2013-01-01,0,0,0,0,1,0,1,0,1
TRINIDAD,estado nutricional,a baja,2013-01-01,16,8,16,10,12,20,44,38,82
TUPIZA,estado nutricional,a baja,2013-01-01,17,19,36,16,36,26,89,61,150
TURCO,estado nutricional,a baja,2013-01-01,1,1,2,1,5,3,8,5,13
