,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COPACABANA,estado nutricional,a normal,2013-01-01,65,54,47,37,57,69,169,160,329
CORIPATA,estado nutricional,a normal,2013-01-01,136,105,98,94,77,75,311,274,585
CORO CORO,estado nutricional,a normal,2013-01-01,44,49,38,50,30,40,112,139,251
COROICO,estado nutricional,a normal,2013-01-01,118,107,81,74,63,75,262,256,518
CORQUE,estado nutricional,a normal,2013-01-01,43,50,48,37,40,28,131,115,246
COTAGAITA,estado nutricional,a normal,2013-01-01,145,127,87,85,97,114,329,326,655
COTOCA,estado nutricional,a normal,2013-01-01,374,344,187,219,163,135,724,698,1422
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-01-01,1,1,1,1,5,5,7,7,14
CUATRO CAÑADAS,estado nutricional,a normal,2013-01-01,152,133,94,93,135,128,381,354,735
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-01-01,11,5,9,13,7,1,27,19,46
CUEVO,estado nutricional,a normal,2013-01-01,33,27,33,39,61,55,127,121,248
CULPINA,estado nutricional,a normal,2013-01-01,146,141,114,113,138,129,398,383,781
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-01-01,33,44,32,28,19,23,84,95,179
CURVA,estado nutricional,a normal,2013-01-01,15,33,8,23,22,13,45,69,114
DESAGUADERO,estado nutricional,a normal,2013-01-01,33,34,14,17,12,12,59,63,122
EL ALTO,estado nutricional,a normal,2013-01-01,5916,4729,3365,3281,1926,1929,11207,9939,21146
EL CHORO,estado nutricional,a normal,2013-01-01,44,48,40,31,48,61,132,140,272
EL PUENTE(STC),estado nutricional,a normal,2013-01-01,85,92,84,91,73,61,242,244,486
EL PUENTE(TJA),estado nutricional,a normal,2013-01-01,83,98,73,71,73,165,229,334,563
EL TORNO,estado nutricional,a normal,2013-01-01,384,374,274,268,226,223,884,865,1749
EL VILLAR,estado nutricional,a normal,2013-01-01,36,21,29,26,50,54,115,101,216
ENTRE RIOS TRJ,estado nutricional,a normal,2013-01-01,197,190,135,160,124,119,456,469,925
ENTRE RIOS CBBA,estado nutricional,a normal,2013-01-01,354,307,264,302,208,192,826,801,1627
ESCARA,estado nutricional,a normal,2013-01-01,0,1,2,0,3,2,5,3,8
ESCOMA,estado nutricional,a normal,2013-01-01,24,29,32,35,41,42,97,106,203
ESMERALDA,estado nutricional,a normal,2013-01-01,4,6,4,6,4,5,12,17,29
EUCALIPTUS,estado nutricional,a normal,2013-01-01,57,59,45,41,48,36,150,136,286
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-01-01,16,23,10,21,19,21,45,65,110
EXALTACION,estado nutricional,a normal,2013-01-01,20,18,16,18,34,28,70,64,134
FERNANDEZ ALONSO,estado nutricional,a normal,2013-01-01,120,98,101,86,110,81,331,265,596
FILADELFIA,estado nutricional,a normal,2013-01-01,50,57,65,48,44,31,159,136,295
GENERAL SAAVEDRA,estado nutricional,a normal,2013-01-01,139,147,137,117,126,104,402,368,770
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-01-01,64,64,42,40,38,35,144,139,283
GUANAY,estado nutricional,a normal,2013-01-01,139,129,104,92,108,125,351,346,697
GUAQUI,estado nutricional,a normal,2013-01-01,45,29,29,28,25,17,99,74,173
GUAYARAMERIN,estado nutricional,a normal,2013-01-01,583,543,406,431,403,374,1392,1348,2740
GUTIERREZ,estado nutricional,a normal,2013-01-01,148,158,139,137,194,203,481,498,979
HUACARETA,estado nutricional,a normal,2013-01-01,72,78,68,68,93,94,233,240,473
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-01-01,22,34,18,15,51,43,91,92,183
HUACHACALLA,estado nutricional,a normal,2013-01-01,20,17,16,22,44,21,80,60,140
HUANUNI,estado nutricional,a normal,2013-01-01,221,223,120,124,108,115,449,462,911
HUARACAJE,estado nutricional,a normal,2013-01-01,33,47,36,21,20,32,89,100,189
HUARINA,estado nutricional,a normal,2013-01-01,23,36,21,16,21,33,65,85,150
HUATAJATA,estado nutricional,a normal,2013-01-01,26,28,26,31,15,32,67,91,158
HUAYLLAMARCA,estado nutricional,a normal,2013-01-01,21,29,23,25,39,28,83,82,165
HUMANATA,estado nutricional,a normal,2013-01-01,24,19,19,19,14,13,57,51,108
ICHOCA,estado nutricional,a normal,2013-01-01,19,24,34,19,20,15,73,58,131
ICLA,estado nutricional,a normal,2013-01-01,57,67,38,51,96,119,191,237,428
INCAHUASI,estado nutricional,a normal,2013-01-01,96,71,66,60,80,89,242,220,462
INGAVI (HUMAITA),estado nutricional,a normal,2013-01-01,14,8,3,3,9,5,26,16,42
INQUISIVI,estado nutricional,a normal,2013-01-01,60,57,48,40,49,69,157,166,323
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-01-01,2,6,2,0,3,0,7,6,13
IXIAMAS,estado nutricional,a normal,2013-01-01,83,83,54,63,49,48,186,194,380
JESUS DE MACHACA,estado nutricional,a normal,2013-01-01,65,89,62,80,45,71,172,240,412
LA ASUNTA,estado nutricional,a normal,2013-01-01,29,23,31,30,14,8,74,61,135
LA GUARDIA,estado nutricional,a normal,2013-01-01,642,624,329,298,301,270,1272,1192,2464
LA PAZ,estado nutricional,a normal,2013-01-01,4537,4308,3035,2833,2801,2648,10373,9789,20162
LA RIVERA,estado nutricional,a normal,2013-01-01,4,2,4,4,0,0,8,6,14
LAGUNILLAS,estado nutricional,a normal,2013-01-01,52,67,52,49,117,100,221,216,437
LAJA,estado nutricional,a normal,2013-01-01,119,114,77,88,57,53,253,255,508
LAS CARRERAS,estado nutricional,a normal,2013-01-01,25,27,21,25,41,39,87,91,178
LICOMA PAMPA,estado nutricional,a normal,2013-01-01,46,24,26,18,31,21,103,63,166
LLALLAGUA,estado nutricional,a normal,2013-01-01,361,299,223,224,87,107,671,630,1301
LLICA,estado nutricional,a normal,2013-01-01,36,24,9,20,14,6,59,50,109
LORETO,estado nutricional,a normal,2013-01-01,23,29,30,48,64,65,117,142,259
LURIBAY,estado nutricional,a normal,2013-01-01,58,50,55,51,58,55,171,156,327
MACHACAMARCA,estado nutricional,a normal,2013-01-01,42,37,28,28,34,31,104,96,200
MACHARETI,estado nutricional,a normal,2013-01-01,52,49,56,55,118,100,226,204,430
MAGDALENA,estado nutricional,a normal,2013-01-01,108,107,71,61,63,71,242,239,481
MAIRANA,estado nutricional,a normal,2013-01-01,105,88,74,82,48,49,227,219,446
MALLA,estado nutricional,a normal,2013-01-01,13,14,7,6,28,20,48,40,88
MAPIRI,estado nutricional,a normal,2013-01-01,117,126,105,102,90,79,312,307,619
MECAPACA,estado nutricional,a normal,2013-01-01,92,61,73,58,63,65,228,184,412
MINEROS,estado nutricional,a normal,2013-01-01,193,186,139,135,147,144,479,465,944
MIZQUE,estado nutricional,a normal,2013-01-01,325,259,241,257,179,170,745,686,1431
MOCOMOCO,estado nutricional,a normal,2013-01-01,70,71,68,55,63,64,201,190,391
MOJINETE,estado nutricional,a normal,2013-01-01,3,6,0,4,5,3,8,13,21
MOJOCOYA,estado nutricional,a normal,2013-01-01,61,36,43,61,87,94,191,191,382
MONTEAGUDO,estado nutricional,a normal,2013-01-01,219,253,225,218,231,204,675,675,1350
MONTERO,estado nutricional,a normal,2013-01-01,982,988,646,701,493,511,2121,2200,4321
MORO MORO,estado nutricional,a normal,2013-01-01,21,23,25,15,19,18,65,56,121
MOROCHATA,estado nutricional,a normal,2013-01-01,72,73,77,90,67,64,216,227,443
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-01-01,16,18,19,12,16,13,51,43,94
NAZACARA DE PACAJES,estado nutricional,a normal,2013-01-01,4,2,5,6,7,7,16,15,31
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-01-01,33,25,16,20,65,38,114,83,197
OCURI,estado nutricional,a normal,2013-01-01,92,89,66,67,65,65,223,221,444
OKINAWA,estado nutricional,a normal,2013-01-01,123,112,94,94,92,72,309,278,587
OMEREQUE,estado nutricional,a normal,2013-01-01,107,72,103,52,93,89,303,213,516
ORURO,estado nutricional,a normal,2013-01-01,1989,1941,1693,1767,1210,1142,4892,4850,9742
PADCAYA,estado nutricional,a normal,2013-01-01,134,130,105,122,82,99,321,351,672
PADILLA,estado nutricional,a normal,2013-01-01,81,102,56,82,146,149,283,333,616
PAILON,estado nutricional,a normal,2013-01-01,235,184,140,127,139,108,514,419,933
PALCA,estado nutricional,a normal,2013-01-01,126,119,96,93,87,82,309,294,603
PALOS BLANCOS,estado nutricional,a normal,2013-01-01,212,220,195,200,191,191,598,611,1209
PAMPA AULLAGAS,estado nutricional,a normal,2013-01-01,19,10,9,11,10,11,38,32,70
PAMPA GRANDE,estado nutricional,a normal,2013-01-01,65,68,48,51,25,34,138,153,291
PAPEL PAMPA,estado nutricional,a normal,2013-01-01,35,46,54,32,35,29,124,107,231
PASORAPA,estado nutricional,a normal,2013-01-01,29,20,28,25,41,35,98,80,178
PATACAMAYA,estado nutricional,a normal,2013-01-01,165,155,92,119,67,74,324,348,672
PAZÑA,estado nutricional,a normal,2013-01-01,53,56,60,46,73,62,186,164,350
PELECHUCO,estado nutricional,a normal,2013-01-01,62,48,39,29,57,47,158,124,282
POCOATA,estado nutricional,a normal,2013-01-01,127,147,107,121,90,94,324,362,686
POCONA,estado nutricional,a normal,2013-01-01,103,81,103,73,89,101,295,255,550
POJO (CBBA),estado nutricional,a normal,2013-01-01,106,110,85,76,83,55,274,241,515
POOPO,estado nutricional,a normal,2013-01-01,7,6,5,8,4,2,16,16,32
PORCO,estado nutricional,a normal,2013-01-01,116,106,65,60,58,51,239,217,456
POROMA,estado nutricional,a normal,2013-01-01,87,106,85,73,105,99,277,278,555
PORONGO,estado nutricional,a normal,2013-01-01,59,53,49,52,40,42,148,147,295
PORTACHUELO,estado nutricional,a normal,2013-01-01,91,84,37,48,28,29,156,161,317
PORVENIR,estado nutricional,a normal,2013-01-01,44,53,47,46,53,52,144,151,295
POSTRER VALLE,estado nutricional,a normal,2013-01-01,9,12,9,8,9,8,27,28,55
POTOSI,estado nutricional,a normal,2013-01-01,1307,1318,719,745,526,533,2552,2596,5148
PRESTO,estado nutricional,a normal,2013-01-01,63,63,44,53,50,48,157,164,321
PUCARA,estado nutricional,a normal,2013-01-01,18,7,10,13,10,16,38,36,74
PUCARANI,estado nutricional,a normal,2013-01-01,232,186,174,170,132,110,538,466,1004
PUERTO ACOSTA,estado nutricional,a normal,2013-01-01,65,60,56,47,47,35,168,142,310
PUERTO CARABUCO,estado nutricional,a normal,2013-01-01,70,77,62,52,60,51,192,180,372
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-01-01,85,99,70,66,73,88,228,253,481
PUERTO PEREZ,estado nutricional,a normal,2013-01-01,33,45,53,25,39,42,125,112,237
PUERTO QUIJARRO,estado nutricional,a normal,2013-01-01,139,148,117,106,65,56,321,310,631
PUERTO RICO,estado nutricional,a normal,2013-01-01,71,73,66,59,70,52,207,184,391
PUERTO SILES,estado nutricional,a normal,2013-01-01,17,7,3,7,7,13,27,27,54
PUERTO SUAREZ,estado nutricional,a normal,2013-01-01,114,124,81,81,46,40,241,245,486
PUERTO VILLARROEL,estado nutricional,a normal,2013-01-01,627,573,503,403,402,362,1532,1338,2870
PUNA,estado nutricional,a normal,2013-01-01,161,144,137,137,92,115,390,396,786
PUNATA,estado nutricional,a normal,2013-01-01,279,231,170,179,160,154,609,564,1173
QUIABAYA,estado nutricional,a normal,2013-01-01,16,14,10,11,23,21,49,46,95
QUILLACOLLO,estado nutricional,a normal,2013-01-01,879,746,636,571,388,364,1903,1681,3584
QUIME,estado nutricional,a normal,2013-01-01,97,72,50,59,55,43,202,174,376
QUIRUSILLAS,estado nutricional,a normal,2013-01-01,4,10,11,11,14,12,29,33,62
RAVELO,estado nutricional,a normal,2013-01-01,87,84,61,56,102,87,250,227,477
REYES,estado nutricional,a normal,2013-01-01,96,94,72,89,85,76,253,259,512
RIBERALTA,estado nutricional,a normal,2013-01-01,1151,1134,791,831,634,582,2576,2547,5123
ROBORE,estado nutricional,a normal,2013-01-01,121,107,94,94,41,37,256,238,494
RURRENABAQUE,estado nutricional,a normal,2013-01-01,126,99,111,99,63,57,300,255,555
SABAYA,estado nutricional,a normal,2013-01-01,30,27,10,18,18,22,58,67,125
SACABA,estado nutricional,a normal,2013-01-01,1282,1091,872,893,571,555,2725,2539,5264
SACABAMBA,estado nutricional,a normal,2013-01-01,34,25,26,34,20,15,80,74,154
SACACA,estado nutricional,a normal,2013-01-01,171,125,84,94,79,92,334,311,645
SAIPINA,estado nutricional,a normal,2013-01-01,49,50,51,37,56,48,156,135,291
SALINAS DE GARCI MENDOZA,estado nutricional,a normal,2013-01-01,91,73,63,70,86,90,240,233,473
SAMAIPATA,estado nutricional,a normal,2013-01-01,68,67,56,55,54,38,178,160,338
SAN AGUSTIN,estado nutricional,a normal,2013-01-01,14,7,13,5,5,4,32,16,48
SAN ANDRES,estado nutricional,a normal,2013-01-01,97,93,110,111,133,146,340,350,690
SAN ANDRES DE MACHACA,estado nutricional,a normal,2013-01-01,21,15,17,15,7,7,45,37,82
SAN ANTONIO DE ESMORUCO,estado nutricional,a normal,2013-01-01,12,9,7,10,8,6,27,25,52
SAN ANTONIO DE LOMERIO,estado nutricional,a normal,2013-01-01,59,69,57,49,112,107,228,225,453
SAN BENITO,estado nutricional,a normal,2013-01-01,92,115,97,71,98,82,287,268,555
SAN BORJA,estado nutricional,a normal,2013-01-01,346,361,272,273,234,247,852,881,1733
SAN BUENA VENTURA,estado nutricional,a normal,2013-01-01,36,86,57,55,72,66,165,207,372
SAN CARLOS,estado nutricional,a normal,2013-01-01,252,276,172,165,134,150,558,591,1149
SAN IGNACIO,estado nutricional,a normal,2013-01-01,274,236,227,208,360,379,861,823,1684
SAN IGNACIO DE VELASCO,estado nutricional,a normal,2013-01-01,592,615,496,495,440,444,1528,1554,3082
SAN JAVIER(BNI),estado nutricional,a normal,2013-01-01,18,12,15,9,21,15,54,36,90
SAN JAVIER(STC),estado nutricional,a normal,2013-01-01,88,108,56,67,85,65,229,240,469
SAN JOAQUIN,estado nutricional,a normal,2013-01-01,632,45,48,38,33,35,713,118,831
SAN JOSE DE CHIQUITOS,estado nutricional,a normal,2013-01-01,91,118,84,76,69,76,244,270,514
SAN JUAN DE YAPACANI,estado nutricional,a normal,2013-01-01,90,66,75,50,56,45,221,161,382
SAN JULIAN,estado nutricional,a normal,2013-01-01,376,348,369,343,258,292,1003,983,1986
SAN LORENZO(PND),estado nutricional,a normal,2013-01-01,45,44,40,42,34,38,119,124,243
SAN LORENZO(TJA),estado nutricional,a normal,2013-01-01,218,190,161,149,153,123,532,462,994
SAN LUCAS,estado nutricional,a normal,2013-01-01,154,134,107,107,195,219,456,460,916
SAN MATIAS,estado nutricional,a normal,2013-01-01,98,89,59,50,58,49,215,188,403
SAN MIGUEL DE VELASCO,estado nutricional,a normal,2013-01-01,130,125,70,77,81,84,281,286,567
SAN PABLO DE LIPEZ,estado nutricional,a normal,2013-01-01,6,11,14,14,6,13,26,38,64
SAN PEDRO,estado nutricional,a normal,2013-01-01,136,106,134,120,137,133,407,359,766
SAN PEDRO DE BUENA VISTA,estado nutricional,a normal,2013-01-01,148,183,128,130,95,95,371,408,779
SAN PEDRO DE CURAHUARA,estado nutricional,a normal,2013-01-01,41,33,30,31,30,16,101,80,181
SAN PEDRO DE QUEMES,estado nutricional,a normal,2013-01-01,4,2,1,3,5,4,10,9,19
SAN PEDRO DE TIQUINA,estado nutricional,a normal,2013-01-01,28,18,23,17,17,21,68,56,124
SAN PEDRO(PND),estado nutricional,a normal,2013-01-01,10,4,6,5,8,7,24,16,40
SAN RAFAEL,estado nutricional,a normal,2013-01-01,66,57,53,51,43,49,162,157,319
SAN RAMON BENI,estado nutricional,a normal,2013-01-01,35,38,23,23,25,29,83,90,173
SAN RAMON SCZ,estado nutricional,a normal,2013-01-01,68,68,41,34,48,40,157,142,299
SANTA ANA,estado nutricional,a normal,2013-01-01,166,165,152,116,86,88,404,369,773
SANTA CRUZ DE LA SIERRA,estado nutricional,a normal,2013-01-01,7688,6846,3894,3691,3206,3223,14788,13760,28548
SANTA ROSA,estado nutricional,a normal,2013-01-01,112,113,80,78,69,83,261,274,535
SANTA ROSA DEL SARA,estado nutricional,a normal,2013-01-01,133,99,103,108,59,72,295,279,574
SANTIAGO DE CALLAPA,estado nutricional,a normal,2013-01-01,17,14,16,23,8,13,41,50,91
SANTIAGO DE HUARI,estado nutricional,a normal,2013-01-01,83,91,65,64,90,71,238,226,464
SANTIAGO DE HUATA,estado nutricional,a normal,2013-01-01,32,34,36,23,29,17,97,74,171
SANTIAGO DE MACHACA,estado nutricional,a normal,2013-01-01,14,33,17,11,15,18,46,62,108
SANTIVAÑES,estado nutricional,a normal,2013-01-01,50,36,38,41,50,48,138,125,263
SANTUARIO DE QUILLACAS,estado nutricional,a normal,2013-01-01,25,27,25,29,9,12,59,68,127
SAPAHAQUI,estado nutricional,a normal,2013-01-01,61,54,55,37,50,40,166,131,297
SENA,estado nutricional,a normal,2013-01-01,27,43,28,22,18,15,73,80,153
SHINAOTA,estado nutricional,a normal,2013-01-01,367,295,274,236,205,248,846,779,1625
SICA SICA (VILLA AROMA),estado nutricional,a normal,2013-01-01,134,136,127,111,139,143,400,390,790
SICAYA,estado nutricional,a normal,2013-01-01,32,23,22,27,11,29,65,79,144
SIPE SIPE,estado nutricional,a normal,2013-01-01,460,431,331,289,197,226,988,946,1934
SOPACHUY,estado nutricional,a normal,2013-01-01,65,56,42,50,59,71,166,177,343
SORACACHI,estado nutricional,a normal,2013-01-01,75,75,71,77,66,68,212,220,432
SORATA,estado nutricional,a normal,2013-01-01,103,77,93,81,70,72,266,230,496
SUCRE,estado nutricional,a normal,2013-01-01,2690,2576,1841,1824,1545,1387,6076,5787,11863
TACACHI,estado nutricional,a normal,2013-01-01,4,9,6,6,5,12,15,27,42
TACACOMA,estado nutricional,a normal,2013-01-01,40,72,28,29,44,32,112,133,245
TACOBAMBA,estado nutricional,a normal,2013-01-01,55,60,39,38,25,17,119,115,234
TACOPAYA,estado nutricional,a normal,2013-01-01,80,54,37,60,82,89,199,203,402
TAHUA,estado nutricional,a normal,2013-01-01,5,7,1,4,5,3,11,14,25
TAPACARI,estado nutricional,a normal,2013-01-01,143,121,103,139,96,128,342,388,730
TARABUCO,estado nutricional,a normal,2013-01-01,115,95,92,84,149,165,356,344,700
TARACO,estado nutricional,a normal,2013-01-01,31,26,25,22,26,14,82,62,144
TARATA,estado nutricional,a normal,2013-01-01,100,76,60,77,38,60,198,213,411
TARIJA,estado nutricional,a normal,2013-01-01,1602,1581,982,1020,886,708,3470,3309,6779
TARVITA,estado nutricional,a normal,2013-01-01,91,89,81,96,152,128,324,313,637
TEOPONTE,estado nutricional,a normal,2013-01-01,124,113,104,68,101,80,329,261,590
TIAWANACU,estado nutricional,a normal,2013-01-01,83,92,82,60,53,61,218,213,431
TINGUIPAYA,estado nutricional,a normal,2013-01-01,121,114,123,112,79,75,323,301,624
TIPUANI,estado nutricional,a normal,2013-01-01,127,95,97,62,87,63,311,220,531
TIQUIPAYA,estado nutricional,a normal,2013-01-01,532,466,328,338,282,266,1142,1070,2212
TIRAQUE (CBBA),estado nutricional,a normal,2013-01-01,145,138,137,124,54,65,336,327,663
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a normal,2013-01-01,8,7,5,6,8,10,21,23,44
TOCO,estado nutricional,a normal,2013-01-01,57,36,47,38,40,48,144,122,266
