,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,15,17,8,10,50
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,0,3,4
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,4,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,12,1,1,25
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,19,23,5,4,51
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,5,1,3,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,5,1,1,14
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,16,0,0,20
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,0,5,5,12
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,9,1,3,20
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,13,2,2,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,1,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,46,37,2,2,87
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,27,24,0,0,51
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,6,0,0,14
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,19,16,3,5,43
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,34,32,3,2,71
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,12,1,0,21
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,6,7,7,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,4,2,6,17
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,0,0,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,24,26,3,6,59
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,5,1,1,13
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,14,7,20,19,60
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,0,0,3
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,11,1,2,20
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,13,4,0,29
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,2,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,3,0,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,12,2,0,26
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,3,3,1,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,6,3,0,13
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,9,2,4,24
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,22,17,3,0,42
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,53,51,7,5,116
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,7,4,9,22
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,608,611,2,2,1223
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,45,40,2,1,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,4,3,2,15
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,0,0,3
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,15,12,0,1,28
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,3,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,18,10,13,20,61
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,4,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,11,3,6,30
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,13,13,1,3,30
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,0,0,3
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,21,17,3,5,46
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,3,4,2,17
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,15,9,0,0,24
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,7,1,0,9
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,13,1,2,24
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,0,1,5
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,19,11,2,2,34
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,73,77,0,2,152
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,12,7,2,32
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,6,0,0,7
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,16,2,2,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,0,1,3,7
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,0,2,2,8
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,5,0,0,8
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,722,722,119,106,1669
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,1,2,3,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,4,1,1,8
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,8,5,3,22
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,77,68,4,3,152
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,3,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,14,8,5,38
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,24,31,2,0,57
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,0,1,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,5,2,8
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,5,4,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,10,2,0,17
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,3,3,1,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,11,0,0,23
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,5,5,3,18
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,14,1,1,26
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,3,0,4,15
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,31,47,1,4,83
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,5,3,6,24
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,4,3,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,23,20,0,0,43
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,3,3,1,8
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,0,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,3,0,0,7
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,2,1,1,4
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,1,2,7
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,3,1,7
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,5,3,8,24
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,3,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,5,10,5,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,6,8,1,20
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,4,0,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,6,0,1,14
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,35,42,5,5,87
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,103,92,2,3,200
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,666,607,10,9,1292
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,2,1,4
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,15,2,2,28
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,2,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,0,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,20,23,21,21,85
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,0,1,5
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,7,1,0,11
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,2,1,0,8
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,4,1,1,8
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,7,2,3,16
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,0,0,1
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,19,10,0,0,29
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,2,0,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,8,0,0,17
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,7,3,2,17
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,19,1,5,37
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,24,19,7,4,54
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,3,2,3,10
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,4,2,1,11
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,26,18,4,0,48
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,126,129,2,0,257
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,1,0,5
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,7,5,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,3,1,1,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,3,0,0,10
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,4,3,2,17
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,5,0,0,10
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,4,2,1,11
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,310,321,30,33,694
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,16,2,1,30
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,6,2,1,17
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,18,26,3,5,52
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,18,11,4,3,36
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,23,18,2,6,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,3,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,4,0,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,2,1,7
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,2,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,21,18,2,4,45
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,3,0,0,4
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,5,1,3,10
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,8,9,9,13,39
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,5,4,5,21
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,12,1,4,29
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,4,1,0,9
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,18,2,3,34
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,7,4,2,17
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,3,4,2,13
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,22,16,0,4,42
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,6,8,7,24
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,0,0,1,1
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,219,226,8,4,457
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,2,2,3,10
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,21,6,0,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,4,2,2,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,8,5,0,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,4,5,5,18
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,15,11,0,1,27
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,0,1,0,0,1
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,1,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,15,0,0,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,40,44,3,2,89
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,8,6,6,30
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,36,30,0,0,66
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,6,2,0,14
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,89,114,43,51,297
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,11,0,0,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,7,10,6,26
REYES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,11,12,1,1,25
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,103,91,10,15,219
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,7,10,1,1,19
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,18,12,0,0,30
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,1,1,0,5
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,129,123,2,3,257
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,0,0,3
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,10,8,7,12,37
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,9,0,0,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,3,7,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,9,4,1,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,3,0,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,5,6,0,1,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,2,1,4,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,4,0,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,8,5,3,20
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,14,7,1,1,23
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,51,40,3,2,96
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,6,6,0,5,17
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,12,15,3,2,32
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,20,16,1,1,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,48,67,8,19,142
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,0,0,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,13,15,0,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,2,2,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,14,19,0,0,33
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,4,6,2,3,15
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,53,48,11,14,126
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,2,1,3,2,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,21,7,5,2,35
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,17,14,5,8,44
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,18,13,3,2,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,9,8,2,1,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,1,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,15,10,1,1,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,24,22,10,9,65
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,0,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2016-01-01,1,2,0,1,4
