,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,15,17,8,11,51
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,0,3,4
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,4,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,10,1,1,20
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,21,21,9,7,58
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,5,1,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,5,1,1,14
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,16,0,0,20
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,2,4,6
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,10,1,3,22
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,13,2,2,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,48,36,2,2,88
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,29,24,0,0,53
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,6,0,1,15
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,19,16,3,5,43
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,35,32,3,2,72
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,11,1,1,20
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,6,7,7,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,4,2,6,17
CATACORA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,0,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,25,26,4,7,62
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,5,1,1,13
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,15,8,22,22,67
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,2,0,0,3
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,11,1,2,20
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,14,15,5,2,36
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,2,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,3,0,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,12,2,1,27
CHUMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,3,3,1,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,6,3,0,13
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,8,2,4,23
CLIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,22,19,3,0,44
COBIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,54,50,8,5,117
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,6,4,10,22
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,611,620,4,4,1239
COIPASA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,45,41,2,1,89
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,5,3,2,14
COLLANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,0,0,3
COLOMI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,15,12,0,1,28
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,3,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,21,10,14,23,68
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,4,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,12,3,8,33
COMANCHE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,2,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,13,1,3,30
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,0,0,3
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,24,18,3,4,49
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,4,4,1,17
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,20,10,0,0,30
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,7,3,1,12
COROICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,15,1,3,28
CORQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,2,1,1,6
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,20,11,2,2,35
COTOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,79,85,0,2,166
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,12,7,3,33
CUEVO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,6,0,0,7
CULPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,16,3,3,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,0,1,3,7
CURVA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,0,2,2,8
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,5,2,0,10
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,738,724,130,109,1701
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,1,2,3,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,6,0,1,9
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,10,6,3,25
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,64,47,6,3,120
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,3,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,15,9,6,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,24,31,1,0,56
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,0,1,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,5,2,8
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,6,5,11
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,11,1,0,24
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,3,4,1,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,16,16,0,0,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,5,5,3,18
GUANAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,14,1,2,26
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,3,0,4,15
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,34,46,1,4,85
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,5,3,6,24
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,5,2,3,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,23,20,0,0,43
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,3,3,1,8
HUATAJATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,0,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,3,0,0,7
HUMANATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,2,1,1,4
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,1,1,5
ICLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,2,3,1,7
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,6,3,8,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,3,0,0,8
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,6,11,5,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,10,9,1,25
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,4,0,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,6,0,1,15
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,38,45,5,5,93
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,91,95,1,2,189
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,642,613,13,6,1274
LA RIVERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,2,1,4
LAJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,15,2,2,30
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,2,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,0,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,20,23,20,21,84
LLICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,0,1,5
LORETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,7,1,0,12
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,2,1,0,9
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,4,1,1,8
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,8,2,3,17
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,0,0,1
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,19,13,0,0,32
MALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,2,0,3
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,8,0,0,17
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,6,3,3,17
MINEROS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,20,1,5,39
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,19,24,7,5,55
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,3,2,3,10
MOJINETE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,1,1,10
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,27,18,4,0,49
MONTERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,139,130,2,1,272
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,1,0,5
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,7,6,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,3,1,1,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,3,0,0,10
OCURI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,4,3,2,17
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,6,0,0,11
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,2,1,11
ORURO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,317,335,44,46,742
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,18,1,1,28
PADILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,6,2,1,18
PAILON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,16,28,5,10,59
PALCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,18,11,5,4,38
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,24,18,2,6,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,3,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,4,1,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,2,2,1,7
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,2,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,23,18,2,4,47
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,3,0,0,4
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,5,1,3,10
POCOATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,8,9,9,13,39
POCONA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,5,4,5,21
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,14,1,3,31
POOPO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,1,0,9
PORCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,19,4,4,38
POROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,7,4,2,17
PORONGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,3,4,2,13
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,22,14,0,4,40
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,6,8,8,25
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,0,1,2
POTOSI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,215,235,8,5,463
PRESTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,2,2,3,10
PUCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,21,7,1,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,2,2,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,8,5,0,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,4,6,5,19
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,15,11,0,0,26
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,3,0,6
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,0,1,1,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,16,0,0,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,41,48,3,2,94
PUNA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,7,5,5,27
PUNATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,37,29,0,0,66
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,6,6,2,0,14
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,90,120,44,48,302
QUIME,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,11,0,0,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,7,10,6,26
REYES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,11,16,1,1,29
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,106,96,8,10,220
ROBORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,8,0,1,18
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,17,13,0,0,30
SABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,1,0,0,4
SACABA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,136,132,5,4,277
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,2,0,0,3
SACACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,8,8,12,38
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,9,0,0,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,3,7,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,16,2,0,25
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,3,0,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,6,0,2,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,2,1,4,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,4,0,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,8,5,3,20
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,13,8,1,1,23
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,53,38,2,1,94
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,6,0,5,18
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,14,2,3,31
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,19,18,2,1,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,49,67,8,19,143
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,1,0,2,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,12,14,0,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,2,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,14,19,0,0,33
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,4,6,2,3,15
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,54,46,12,14,126
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,7,5,4,2,18
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,16,12,4,2,34
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,17,15,5,8,45
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,17,16,3,2,38
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,9,8,2,1,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,1,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,15,10,2,1,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,24,22,10,9,65
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1,2,0,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,3,0,1,6
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,5,4,5,2,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,2,0,0,1,3
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,10,9,0,3,22
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,25,16,0,0,41
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-01-01,1528,1322,37,29,2916
