,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,31,30,3,4,68
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,10,23,6,6,45
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,3,0,1,4
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,0,0,3
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,6,0,0,9
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,16,0,3,28
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,18,12,7,6,43
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,5,3,3,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,3,2,2,15
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,13,1,0,23
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,3,2,5
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,6,1,5,24
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,8,1,4,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,0,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,38,32,1,1,72
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,21,13,0,1,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,4,2,1,13
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,10,11,5,7,33
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,41,33,4,1,79
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,11,7,1,2,21
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,3,1,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,3,4,5,17
CATACORA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,1,0,2
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,18,20,5,9,52
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,4,1,0,12
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,14,24,17,64
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,0,3,5
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,5,2,2,14
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,21,11,1,3,36
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,0,0,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,0,0,2
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,3,0,1,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,17,27,0,2,46
CHUMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,2,3,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,6,3,2,16
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,7,6,6,25
CLIZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,12,1,1,27
COBIJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,53,44,8,11,116
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,6,7,11,29
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,553,552,7,3,1115
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,34,27,2,0,63
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,6,0,2,10
COLLANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,3,0,0,5
COLOMI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,17,16,0,0,33
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,8,1,1,15
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,15,14,13,55
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,1,2,1,11
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,12,9,2,32
COMANCHE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,1,0,0,5
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,22,10,0,1,33
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,0,2,5
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,11,18,3,6,38
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,3,3,4,16
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,10,1,0,23
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,2,2,4,12
COROICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,18,1,2,29
CORQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,2,3,0,8
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,14,23,5,3,45
COTOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,64,70,4,3,141
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,17,19,4,6,46
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,1,1,3
CUEVO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,0,0,3
CULPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,18,13,4,2,37
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,3,0,0,5
CURVA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,1,0,2
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,6,1,0,9
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,674,614,104,112,1504
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,3,2,1,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,6,1,0,8
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,10,2,5,1,18
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,49,53,5,8,115
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,2,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,15,3,1,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,34,27,0,0,61
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,3,0,0,6
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,5,0,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,4,7,11
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,10,1,0,20
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,5,4,12
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,14,0,1,28
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,1,1,4,15
GUANAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,12,8,7,43
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,1,1,5,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,39,37,2,8,86
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,11,4,2,26
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,3,3,4,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,0,1,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,18,3,0,37
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,2,0,0,5
HUARINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,3,3,1,10
HUATAJATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,1,4,8
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,0,1,5
ICLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,2,2,1,9
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,6,5,8,28
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,1,0,3
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,4,5,3,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,10,6,3,31
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,4,0,0,9
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,6,3,1,22
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,35,31,5,4,75
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,95,83,1,2,181
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,560,549,11,8,1128
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,2,2,1,5
LAJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,11,8,3,1,23
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,1,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,1,1,6
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,20,26,30,92
LLICA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,0,0,4
LORETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,3,0,2,6
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,9,0,1,14
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,2,0,0,4
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,8,5,2,18
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,11,0,0,18
MALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,11,19,1,0,31
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,5,3,1,14
MINEROS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,20,18,8,5,51
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,33,11,3,9,56
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,7,1,1,12
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,3,2,1,11
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,30,18,3,2,53
MONTERO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,127,124,2,4,257
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,2,0,0,5
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,2,8,4,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,0,1,3,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,4,0,0,13
OCURI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,8,4,4,21
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,2,0,0,5
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,6,2,2,17
ORURO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,279,300,42,57,678
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,8,4,3,31
PADILLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,7,1,1,12
PAILON,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,34,28,9,8,79
PALCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,18,12,3,2,35
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,17,11,5,7,40
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,5,0,1,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,9,1,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,3,1,2,6
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,2,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,22,20,1,3,46
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,3,3,9
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,4,1,2,10
POCOATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,6,18,5,35
POCONA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,8,5,2,20
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,7,5,7,26
POOPO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,3,0,2,8
PORCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,5,2,0,14
POROMA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,3,4,3,16
PORONGO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,3,5,6,17
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,14,18,0,0,32
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,5,7,3,19
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,226,202,10,7,445
PRESTO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,4,1,3,10
PUCARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,1,0,0,3
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,18,14,4,9,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,4,3,7,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,5,2,5,13
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,0,3,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,2,1,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,9,0,0,22
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,5,1,0,9
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,2,0,1,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,11,1,2,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,48,32,3,6,89
PUNA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,6,4,4,16
PUNATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,24,25,0,0,49
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,5,2,0,10
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,75,86,42,42,245
QUIME,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,5,1,1,13
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,6,7,5,23
REYES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,14,0,1,23
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,96,79,18,19,212
ROBORE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,10,3,2,28
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,10,10,0,2,22
SABAYA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,0,0,0,1
SACABA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,131,116,8,3,258
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,2,0,0,5
SACACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,9,6,2,23
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,4,1,1,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,5,5,4,18
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,13,1,1,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,0,0,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,6,4,2,21
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,2,0,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,5,0,0,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,6,1,3,11
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,7,1,0,15
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,36,36,2,1,75
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,7,6,4,4,21
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,22,17,1,2,42
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,19,21,4,0,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,50,45,10,16,121
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,1,0,0,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,8,1,0,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,4,0,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,13,6,0,0,19
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,8,0,4,16
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,45,26,8,10,89
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,6,6,2,20
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,19,14,1,1,35
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,9,15,11,16,51
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,12,19,0,2,33
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,6,7,1,1,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,7,1,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,16,13,13,12,54
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,5,1,0,0,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,1,1,2,0,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,2,0,1,1,4
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,4,4,3,1,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,3,1,4,0,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2016-01-01,8,4,0,0,12
