,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2016-01-01,0,3,2,8,13
CAJUATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,2,1,8
CALACOTO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,0,1
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,5,3,14
CAMARGO,vacunaciones en menores de 1 ano,bcg,2016-01-01,12,4,2,2,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,0,1
CAMIRI,vacunaciones en menores de 1 ano,bcg,2016-01-01,39,53,0,0,92
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,16,0,1,25
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,3,1,1,10
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2016-01-01,12,5,4,2,23
CARANAVI,vacunaciones en menores de 1 ano,bcg,2016-01-01,34,37,3,5,79
CARAPARI,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,3,6,2,15
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,1,1,4,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,2,0,6
CATACORA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,28,25,6,9,68
CHAQUI,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,3,3,4,16
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2016-01-01,7,10,21,25,63
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,4,3,0,10
CHIMORE,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,11,7,3,30
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,0,1,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2016-01-01,15,27,0,0,42
CHUMA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,3,3,1,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,8,4,16
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,7,8,17
CLIZA,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,17,1,1,30
COBIJA,vacunaciones en menores de 1 ano,bcg,2016-01-01,87,72,0,1,160
COCAPATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,3,5,9
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2016-01-01,857,837,1,0,1695
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2016-01-01,20,19,1,1,41
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2016-01-01,5,2,3,5,15
COLLANA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,3,1,0,7
COLOMI,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,8,7,6,36
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,3,0,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,13,27,16,61
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,6,4,10
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,2,14,15,36
COMARAPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,22,19,0,0,41
COMBAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2016-01-01,20,15,3,1,39
COPACABANA,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,5,3,2,18
CORIPATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,11,2,2,25
CORO CORO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,7,2,10
COROICO,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,6,1,0,18
CORQUE,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,1,1,4
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,3,1,4,13
COTOCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,66,62,1,1,130
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,12,6,6,39
CUEVO,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,1,2,7
CULPINA,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,7,0,3,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,2,1,0,4
CURVA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,2,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,4,0,0,9
EL ALTO,vacunaciones en menores de 1 ano,bcg,2016-01-01,883,838,55,47,1823
EL CHORO,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,0,0,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2016-01-01,2,7,1,0,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,4,3,8
EL TORNO,vacunaciones en menores de 1 ano,bcg,2016-01-01,40,57,0,0,97
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2016-01-01,12,5,8,3,28
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2016-01-01,23,23,0,0,46
ESCOMA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,1,1,0,8
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,1,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,4,1,5
EXALTACION,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,4,2,4,14
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,3,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,8,0,0,12
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,1,3,5
GUANAY,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,5,1,3,18
GUAQUI,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,1,3,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2016-01-01,56,56,0,0,112
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,7,6,3,6,22
HUACARETA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,7,0,0,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,2,0,3
HUANUNI,vacunaciones en menores de 1 ano,bcg,2016-01-01,16,18,0,0,34
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,1,2
HUARINA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,4,5,9
HUATAJATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,1,1,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,1,2
HUMANATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,2,2,4
ICHOCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,1,2
ICLA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,5,4,2,15
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,2,3,3,13
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,3,1,6
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,7,10,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2016-01-01,5,6,4,3,18
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,3,1,2,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,3,2,3,10
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,45,42,2,4,93
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2016-01-01,51,45,8,6,110
LA PAZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,1135,623,0,0,1758
LA RIVERA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,1,3,5
LAJA,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,8,4,6,26
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,0,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,2,3
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2016-01-01,17,25,37,24,103
LLICA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,4,0,0,7
LORETO,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,0,1,4
LURIBAY,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,5,1,1,10
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,0,1,5
MACHARETI,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,0,0,2
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,3,0,5,12
MAIRANA,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,12,0,0,27
MALLA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,10,1,0,19
MECAPACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,3,1,10
MINEROS,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,13,0,0,28
MIZQUE,vacunaciones en menores de 1 ano,bcg,2016-01-01,29,15,9,3,56
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,3,3,6,17
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,5,0,1,8
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2016-01-01,33,20,2,2,57
MONTERO,vacunaciones en menores de 1 ano,bcg,2016-01-01,42,37,0,0,79
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,9,6,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,1,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,0,0,5
OCURI,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,2,1,12,16
OKINAWA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,2,0,0,3
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,3,2,0,9
ORURO,vacunaciones en menores de 1 ano,bcg,2016-01-01,386,372,12,7,777
PADCAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,5,2,3,15
PADILLA,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,11,0,0,19
PAILON,vacunaciones en menores de 1 ano,bcg,2016-01-01,25,22,2,4,53
PALCA,vacunaciones en menores de 1 ano,bcg,2016-01-01,17,12,4,4,37
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2016-01-01,18,17,6,12,53
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,1,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,3,0,0,5
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,0,3,3,8
PASORAPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,0,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,21,22,6,0,49
PAZÑA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,0,1,3
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,4,4,2,10
POCOATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,16,15,32
POCONA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,6,0,1,11
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2016-01-01,5,4,2,1,12
POOPO,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,1,2,2,9
PORCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,8,1,1,20
POROMA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,7,4,13
PORONGO,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,4,9,5,22
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2016-01-01,26,20,0,0,46
PORVENIR,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,0,1,4
POTOSI,vacunaciones en menores de 1 ano,bcg,2016-01-01,269,249,5,3,526
PRESTO,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,2,2,3,9
PUCARANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,11,7,9,31
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,3,5,10
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,3,12,5,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,2,2,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,4,6,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,8,0,0,17
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,3,4,1,14
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,13,18,0,0,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2016-01-01,74,85,0,4,163
PUNA,vacunaciones en menores de 1 ano,bcg,2016-01-01,7,4,6,3,20
PUNATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,25,22,0,0,47
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,4,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2016-01-01,104,97,14,18,233
QUIME,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,6,0,0,8
RAVELO,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,2,6,2,15
REYES,vacunaciones en menores de 1 ano,bcg,2016-01-01,16,5,0,0,21
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,143,118,8,8,277
ROBORE,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,11,4,2,27
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2016-01-01,29,25,0,0,54
SABAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,0,1
SACABA,vacunaciones en menores de 1 ano,bcg,2016-01-01,95,118,1,0,214
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,2,0,1,5
SACACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,18,10,7,5,40
SAIPINA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,2,1,3,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,4,3,11
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,0,0,5
SAN AGUSTIN,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,0,1
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,4,1,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,4,0,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,7,1,1,11
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2016-01-01,8,5,0,1,14
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2016-01-01,39,36,6,3,84
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,11,6,0,23
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2016-01-01,11,12,1,2,26
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2016-01-01,19,19,3,0,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,47,42,1,2,92
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2016-01-01,8,8,0,0,16
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,1,2,2,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2016-01-01,20,14,0,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,4,1,0,9
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2016-01-01,40,36,2,2,80
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,5,7,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2016-01-01,5,4,0,0,9
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,14,10,5,7,36
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,12,1,1,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,11,0,0,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,8,1,0,10
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,16,18,7,9,50
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,2,2,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,3,2,0,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,0,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,0,0,3
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,3,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,6,2,0,12
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2016-01-01,20,11,0,0,31
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1674,1619,83,74,3450
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,12,0,0,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,2,1,8
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,2,1,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,4,0,1,6
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,2,3,2,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,3,0,2,6
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,2,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,1,2,1,5
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,2,4,9
SENA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,0,0,5
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2016-01-01,25,16,0,0,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2016-01-01,8,6,4,9,27
SICAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,1,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2016-01-01,30,38,0,0,68
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2016-01-01,10,7,1,1,19
SORACACHI,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,0,2,7
SORATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,4,9,5,19
SUCRE,vacunaciones en menores de 1 ano,bcg,2016-01-01,285,315,3,3,606
TACACHI,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,4,0,4
TACACOMA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,1,1,7
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,5,5,11
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,2,1,3,9
TAHUA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,7,10,8,31
TARABUCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,9,1,1,20
TARACO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,0,1,2,3
TARATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,3,1,2,12
TARIJA,vacunaciones en menores de 1 ano,bcg,2016-01-01,230,199,0,0,429
TARVITA,vacunaciones en menores de 1 ano,bcg,2016-01-01,9,8,1,2,20
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,1,4,4,14
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,3,2,5,12
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,9,12,5,30
TIPUANI,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,5,2,1,12
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2016-01-01,51,50,6,7,114
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2016-01-01,18,10,4,4,36
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2016-01-01,0,1,0,0,1
TOCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,3,6,0,0,9
TOLATA,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,5,0,0,9
TOLEDO,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,3,1,0,4
TOMAVE,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,2,4,8,16
TOMINA,vacunaciones en menores de 1 ano,bcg,2016-01-01,2,4,5,1,12
TORO TORO,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,2,5,0,12
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2016-01-01,15,8,2,3,28
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2016-01-01,1,0,1,2,4
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2016-01-01,171,166,2,3,342
TUPIZA,vacunaciones en menores de 1 ano,bcg,2016-01-01,47,31,3,3,84
TURCO,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,2,0,0,3
UMALA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,5,3,0,9
UNCIA,vacunaciones en menores de 1 ano,bcg,2016-01-01,15,10,6,3,34
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2016-01-01,7,6,2,2,17
URUBICHA,vacunaciones en menores de 1 ano,bcg,2016-01-01,0,5,2,0,7
UYUNI,vacunaciones en menores de 1 ano,bcg,2016-01-01,39,29,2,3,73
VACAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,4,2,3,2,11
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2016-01-01,12,19,0,0,31
VIACHA,vacunaciones en menores de 1 ano,bcg,2016-01-01,32,42,1,2,77
VILA VILA,vacunaciones en menores de 1 ano,bcg,2016-01-01,1,2,6,2,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2016-01-01,5,7,3,3,18
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2016-01-01,58,54,1,0,113
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2016-01-01,2,1,1,1,5
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2016-01-01,6,3,2,0,11
