,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,29,33,5,4,71
BETANZOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,15,17,8,11,51
BOLIVAR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,0,0,3,4
BOLPEBRA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,4,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,11,1,1,23
CABEZAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,20,6,6,51
CAIROMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,5,1,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,5,1,1,14
CAJUATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,16,0,0,20
CALACOTO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,0,6,5,13
CALAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,10,1,3,22
CAMARGO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,13,2,2,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,48,36,2,1,87
CAPINOTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,29,24,0,0,53
CAQUIAVIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,6,0,1,15
CARACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,16,3,5,43
CARANAVI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,35,32,3,2,72
CARAPARI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,18,3,1,31
CARIPUYO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,6,7,7,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,4,2,6,17
CATACORA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,1,0,1,5
CHALLAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,25,26,4,7,62
CHAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,5,1,1,13
CHARAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,16,9,32,27,84
CHARAÑA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,2,0,0,3
CHAYANTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,11,1,2,20
CHIMORE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,12,15,7,3,37
CHIPAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,2,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,3,0,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,12,2,1,26
CHUMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,3,3,1,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,6,3,0,13
CKOCHAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,8,2,4,23
CLIZA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,22,19,3,0,44
COBIJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,54,50,8,5,117
COCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,6,4,10,22
COCHABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,612,621,3,7,1243
COIPASA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,45,41,2,1,89
"COLCHA ""K""",vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,5,3,2,16
COLLANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,1,0,0,3
COLOMI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,15,12,0,1,28
COLPA BELGICA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,3,0,0,7
COLQUECHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,17,10,11,18,56
COLQUENCHA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,4,0,0,10
COLQUIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,11,3,8,32
COMANCHE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,2,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,13,13,1,3,30
COMBAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,1,0,0,3
CONCEPCION,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,24,18,3,5,50
COPACABANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,3,4,2,17
CORIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,20,10,0,0,30
CORO CORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,7,3,1,13
COROICO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,15,1,3,28
CORQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,2,1,1,6
COTAGAITA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,20,11,2,2,35
COTOCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,76,81,0,2,159
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,12,10,10,4,36
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,6,0,0,7
CULPINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,16,3,3,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,0,1,3,7
CURVA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,0,2,2,8
DESAGUADERO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,5,2,0,10
EL ALTO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,739,735,128,113,1715
EL CHORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,1,2,3,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,6,0,1,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,8,5,3,23
EL TORNO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,68,47,6,4,125
EL VILLAR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,1,3,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,14,13,9,7,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,24,31,1,0,56
ESCOMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,0,1,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,5,2,8
EXALTACION,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,6,5,11
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,10,2,0,17
FILADELFIA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,2,4,1,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,11,0,0,22
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,4,5,3,17
GUANAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,13,1,2,25
GUAQUI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,3,0,4,15
GUTIERREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,5,3,6,24
HUACARETA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,4,3,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
HUACHACALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,23,20,0,0,43
HUARACAJE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,3,3,1,8
HUATAJATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,0,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,3,0,0,7
HUMANATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,2,1,1,4
ICHOCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,2,1,2,7
ICLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,2,3,1,7
INCAHUASI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,6,3,8,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,3,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,6,11,5,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,10,9,1,25
IXIAMAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,4,0,0,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,6,0,1,15
LA ASUNTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,37,47,4,4,92
LA GUARDIA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,104,92,1,1,198
LA PAZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,670,605,14,10,1299
LA RIVERA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,2,1,4
LAJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,15,3,2,31
LAS CARRERAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,2,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,0,0,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,20,23,21,20,84
LLICA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,1,0,1,4
LORETO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,7,1,0,12
LURIBAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,3,1,0,8
MACHACAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,4,1,1,8
MACHARETI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,8,2,3,17
MAGDALENA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,0,0,0,1
MAIRANA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,10,0,0,29
MALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,2,0,3
MAPIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,8,0,0,17
MECAPACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,7,3,2,17
MINEROS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,13,20,1,5,39
MIZQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,24,7,5,55
MOCOMOCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,3,2,3,10
MOJINETE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,4,2,1,11
MONTEAGUDO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,26,18,4,0,48
MONTERO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,138,128,2,1,269
MORO MORO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,1,1,0,5
MOROCHATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,7,6,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,3,1,1,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,3,0,0,10
OCURI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,4,3,2,16
OKINAWA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,5,0,0,11
OMEREQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,4,2,1,11
ORURO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,318,329,46,52,745
PADCAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,16,2,1,29
PADILLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,6,2,1,18
PAILON,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,28,11,10,68
PALCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,13,8,5,4,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,24,18,2,6,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,3,0,0,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,3,2,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,2,2,1,7
PASORAPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,0,2,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,23,18,2,4,47
PAZÑA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,3,0,0,4
PELECHUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,3,0,2,5
POCOATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,8,11,9,13,41
POCONA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,5,4,5,21
POJO (CBBA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,10,1,4,25
POOPO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,4,1,0,9
PORCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,19,4,4,38
POROMA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,7,4,2,17
PORONGO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,4,4,2,13
PORTACHUELO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,22,14,0,4,40
PORVENIR,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,6,8,8,25
POSTRER VALLE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,0,0,1,1
POTOSI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,215,237,9,5,466
PRESTO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,2,2,3,10
PUCARA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,13,21,7,1,42
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,4,2,2,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,8,5,0,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,4,6,5,19
PUERTO PEREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,15,11,0,1,27
PUERTO RICO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,3,0,5
PUERTO SILES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,0,1,1,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,13,18,0,0,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,41,47,3,2,93
PUNA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,6,5,6,27
PUNATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,38,30,0,0,68
QUIABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,6,6,2,0,14
QUILLACOLLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,89,119,50,54,312
QUIME,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,11,0,0,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,7,10,6,26
REYES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,11,16,1,1,29
RIBERALTA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,97,90,9,12,208
ROBORE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,5,0,1,10
RURRENABAQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,17,13,0,0,30
SABAYA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,1,1,0,5
SACABA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,132,125,5,5,267
SACABAMBA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,2,0,0,3
SACACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,10,8,8,12,38
SAIPINA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,9,0,0,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,3,7,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,5,8,4,1,18
SAN AGUSTIN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,0,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,3,0,2,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,2,1,4,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,1,4,0,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,4,8,5,3,20
SAN BENITO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,14,8,1,1,24
SAN BORJA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,53,42,3,3,101
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,6,0,5,18
SAN CARLOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,12,14,2,3,31
SAN IGNACIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,19,17,2,1,39
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,49,67,8,19,143
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,2,1,0,2,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,14,15,0,0,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,9,2,2,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,16,18,0,0,34
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,3,4,2,2,11
SAN JULIAN,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,54,48,11,14,127
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,7,1,5,3,16
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2016-01-01,22,6,5,1,34
