,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,5,1,0,8
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,28,32,0,0,60
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,0,4,0,6
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,8,6,1,0,15
OCURI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,2,3,5
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,14,16,0,0,30
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,3,2,4,11
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,4,0,0,6
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
POCONA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,2,2,0,5
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,17,10,1,4,32
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,1,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,1,2,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,12,1,4,6,23
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,3,0,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,5,6,0,0,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,10,10
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,2,0,0,4
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,2,0,0,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,1,0,0,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,118,230,11,9,368
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,1,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,0,1,1,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,4,1,0,5
SORATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,2,1,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,9,11,0,0,20
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,4,4,0,1,9
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
TOMINA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,14,10,2,4,30
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,0,2
VACAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,1,0,1,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,0,0,0,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,0,1,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,2,1,0,0,3
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,7,3,3,5,18
WARNES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,1,5,0,0,6
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,2,0,2,4
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,2,0,2
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-01-01,0,0,2,3,5
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,2,0,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,2,2,3,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,7,0,0,10
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,2,2,4
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,1,0,0,3
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,2,3
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,5,3,1,0,9
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,0,2,0,5
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,3,1,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,34,37,15,26,112
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,1,0,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,5,5,11
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,2,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,2,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,5,1,0,2,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,32,36,14,9,91
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,2,4,0,7
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,2,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,3,0,0,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,0,2,0,5
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,2,2,5
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,0,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,7,4,1,15
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,23,25,4,3,55
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,2,0,2
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,1,0,2
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,3,3,6
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,5,9,1,0,15
OCURI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,14,12,1,0,27
PAILON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,4,1,0,0,5
PALCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,0,0,2
POCONA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,2,1,0,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,2,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,15,8,1,0,24
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,4,4,0,2,10
PUNA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,1,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,2,1,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,7,4,4,7,22
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,2,0,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,0,0,1,4
SACABA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,6,14,0,0,20
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,0,1,1,4
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,0,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,3,1,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,2,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,0,0,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,0,0,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,122,106,28,26,282
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,1,2,5
SORATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,0,1,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,8,11,0,0,19
TARATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,1,0,0,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,1,0,0,3
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,1,1,3,8
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,4,1,5
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,3,1,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,1,2,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,10,11,7,13,41
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,5,3,0,0,8
UMALA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,2,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,2,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,2,1,2,6
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,1,1,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,8,6,1,2,17
WARNES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,2,7,0,0,9
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,2,1,1,7
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,3,1,3,0,7
YOTALA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-02-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,2,3
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,1,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,5,2,0,0,7
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,1,1,3
AYATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,1,0,2
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,3,1,2,10
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,1,3
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,2,0,3,6
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,2,0,0,4
