,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-01-01,0,2,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,2,0,0,0,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,2,0,0,2
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,3,0,2,6
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,2,3,1,0,6
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,6,5,2,2,15
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,5,2,1,3,11
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,1,1,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,3,1,0,0,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,12,0,0,12
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,6,1,1,1,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,3,1,1,1,6
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,2,0,0,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,3,0,0,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,1,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,1,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,2,0,0,0,2
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,16,17,9,6,48
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,0,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,1,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,3,0,2,2,7
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,1,1,0,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-02-01,2,3,0,0,5
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,2,0,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,2,0,0,2
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,2,0,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,6,7,8,7,28
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,1,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,9,10,1,3,23
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,2,3,0,1,6
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,3,4,2,3,12
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,4,4,0,0,8
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,2,5,0,1,8
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,2,0,2,3,7
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,1,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,3,1,1,0,5
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,34,19,2,7,62
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,4,0,0,4,8
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,2,0,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,4,5,0,0,9
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-03-01,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,4,5,4,4,17
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,1,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,0,0,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,12,14,3,4,33
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,2,5,4,14
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,5,9,13,12,39
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,2,0,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,0,1,1,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,1,1,1,4
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,10,7,3,7,27
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,5,0,7,12
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,2,2,1,1,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,6,7,8,7,28
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,1,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,4,3,11,19
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,3,2,2,10
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,2,2,4
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
SABAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,1,2,0,6
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,0,1,1,5
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,0,0,1,2
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,28,40,30,28,126
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,2,0,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,1,1,3
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,1,0,1,2
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,2,0,3,5
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,1,10,4,18
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,5,3,2,2,12
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,0,0,0,3
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,1,1,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,2,4,0,1,7
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,3,4,8,6,21
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-04-01,0,0,0,3,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,10,3,0,0,13
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,8,5,5,6,24
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,2,0,0,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,10,2,20,4,36
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,2,0,0,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,1,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,1,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,2,0,0,0,2
