,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,3,1,0,2,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,9,7,0,0,16
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,2,0,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,22,17,2,2,43
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,4,8,0,0,12
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,12,10,22
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,4,2,0,0,6
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,2,0,0,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,2,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,3,0,4
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,1,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,3,7,2,3,15
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,0,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,2,4,6
COMANCHE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,1
CORQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1
CUEVO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
CURVA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,5,4,3,4,16
EL CHORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,1,1,2,6
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,1,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,1,0,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,1,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,3,2,5
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,4,8,1,0,13
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,1,2
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,4,1,0,0,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,1,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,6,5,6,10,27
PALCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,3,0,0,4
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,4,2,0,2,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2
REYES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,5,2,4,3,14
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,1,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,1,0,1,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,12,16,3,1,32
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,3,0,1,0,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,2,0,0,3
SORATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,6,3,0,0,9
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,2,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,2,1,1,0,4
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,6,6,0,0,12
APOLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,7,9,0,0,16
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,1
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,0,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,11,7,1,2,21
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,2,0,0,2
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,10,4,3,3,20
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,5,11,17
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,4,2,0,0,6
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,2,0,0,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,3,1,4,10
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,1,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,4,0,1,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,4,5
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,2,3,0,7
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,5,1,3,2,11
PALCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,4,3,0,0,7
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,3,3,0,0,6
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
QUIME,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,7,4,11
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,2,1,0,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,0,1,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,2,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,1,2,3
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,5,4,11
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,13,14,0,2,29
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,2,0,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,1,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,3,3,0,0,6
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,4,0,0,0,4
TARACO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,2,1,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,6,0,24,30
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,2,1,0,0,3
UMALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,4,8,0,0,12
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,4,2,0,0,6
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-03-01,0,0,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,2,0,3
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,1,0,1,2,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,8,7,0,0,15
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,2,3,0,2,7
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,0,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,2,0,0,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,1,1,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,3,3,6
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,7,12,19
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,2,1,4
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,1,2,2,5
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,4,1,0,3,8
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,2,2,2,1,7
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,3,1,0,4
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 1ra dosis,2015-04-01,0,0,1,3,4
