,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,5,5,1,1,12
OCURI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,14,4,18
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,21,20,1,3,45
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,3,3,0,1,7
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,4,0,0,6
PORONGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,3,3,1,0,7
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,15,8,1,3,27
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,1,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,2,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,0,2,0,4
PUNATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,6,4,4,3,17
RAVELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,3,0,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,3,4,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,10,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,2,0,0,4
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,4,0,0,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,130,231,10,10,381
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,1,0,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,2,0,1,4
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,2,1,0,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,1,0,0,3
TARATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,2,0,1,5
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
TOMINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,12,11,2,3,28
UNCIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,2,0,0,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,0,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,0,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,1,0,0,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,2,6,0,0,8
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,2,0,1,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,0,0,0,1,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-01-01,1,0,0,2,3
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,0,2
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,2,0,0,2
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,3,0,0,4
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,2,6,6,14
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,2,1,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,2,1,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,1,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,4,3,1,0,8
CHUMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,1,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,3,0,2,0,5
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,21,23,16,18,78
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,3,1,0,0,4
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,4,0,0,0,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,5,5,10
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,2,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,0,0,2,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,25,26,7,6,64
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,1,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,1,1,0,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,3,0,0,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,1,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,5,1,0,7
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,10,14,3,4,31
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,5,8,1,3,17
OCURI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,13,11,0,0,24
PALCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,3,0,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,0,1,1,4
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,9,7,1,0,17
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,4,4,0,2,10
PUNA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,1,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,6,4,5,3,18
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,2,0,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,7,0,0,9
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,3,1,1,1,6
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,2,0,0,3
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,3,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,1,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,0,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,110,106,41,31,288
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,1,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,1,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,3,0,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,5,0,0,0,5
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,9,7,16
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,0,0,1,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,1,1,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,8,10,4,1,23
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,1,0,0,2
VACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,1,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,2,1,1,5
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,8,2,2,0,12
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,2,8,0,1,11
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,1,0,0,1,2
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-02-01,0,1,3,0,4
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,2,3
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,1,0,0,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,5,3,0,0,8
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,1,0,1,4
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,2,4,5,13
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,1,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,1,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,2,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,3,0,0,5
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,3,1,2,6
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,1,1,3
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,3,0,0,4
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,15,11,3,1,30
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,37,35,30,28,130
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,3,0,0,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,0,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,2,0,0,2
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,2,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,2,0,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,2,0,4
CUEVO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,34,33,10,6,83
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,3,1,1,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,2,3
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,2,1,3
GUANAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,1,0,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,5,5,10
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,19,22,0,0,41
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,1,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,3,3,0,0,6
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,7,0,1,1,9
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,19,16,5,4,44
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,2,0,4
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,8,4,12
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,13,15,11,17,56
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,5,5,0,1,11
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,1,0,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,14,15,1,0,30
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,3,1,13,9,26
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,3,0,3,10
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,2,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,3,12,11,13,39
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
