,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,2,0,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,2,0,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,24,79,2,2,107
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,4,8,0,0,12
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,8,2,0,0,10
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,3,2,0,0,5
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,2,3
BAURES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,2,0,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,3,0,4
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,4,3,2,2,11
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
COMANCHE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,1
CORQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
CUEVO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
CURVA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,6,6,3,4,19
EL CHORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,1,1,2,6
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,1,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,1,0,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,5,5,10
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,3,2,5
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,3,8,1,0,12
LLICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,1,1,3
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,1,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,2,0,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,6,4,6,10,26
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,3,0,0,4
POCOATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,1,0,2,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,3,1,1,1,6
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,4,3,8
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,2,0,0,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,1,3
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,21,23,3,1,48
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,3,0,1,0,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,2,0,0,3
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,6,3,0,0,9
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,2,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,2,1,0,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,6,6,0,0,12
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,0,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,3,1,1,2,7
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,10,4,3,3,20
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,5,11,17
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,2,2,0,0,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,2,3,1,3,9
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,3,3,6
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,2,4,0,1,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,4,4
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,4,6,1,0,11
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,5,1,3,2,11
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,4,3,0,0,7
POCOATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,3,4,0,0,7
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,1,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,2,1,0,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,2,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,2,3
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,1,5,4,11
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,17,23,0,2,42
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,2,0,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,1,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,3,3,0,0,6
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,4,0,0,0,4
TARACO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,2,1,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,1,2,0,3
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,7,7
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-03-01,0,0,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,8,7,0,0,15
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,2,3
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,1,2
AYATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,3,3,6
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,2,1,4
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,4,1,0,2,7
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,2,0,0,4
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,3,4
COMBAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,5,6
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,12,11,18,18,59
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,4,3,7
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
