,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,2,3,0,0,5
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,1,0,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-01-01,0,1,0,1,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,1,0,0,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,2,1,2,6,11
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,2,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,4,6,1,1,12
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,3,0,0,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,2,0,1,2,5
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,1,0,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,2,0,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,5,2,0,2,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,3,0,0,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,28,26,9,2,65
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,2,1,0,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,1,0,0,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,2,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,3,0,1,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,2,0,0,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,0,0,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-02-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,6,6,0,0,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,2,0,0,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,1,1,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,4,4,10,7,25
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,4,12,2,1,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,2,0,0,2
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,4,2,0,0,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,1,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,2,3,2,1,8
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,2,1,0,0,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,3,3,1,0,7
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,5,0,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,0,1,1
QUIME,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,7,4,11
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,4,0,1,4,9
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,3,3,0,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,2,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,2,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,28,16,4,1,49
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,2,1,5,8
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,2,0,1,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,3,0,0,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,5,3,0,0,8
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,1,0,1,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-03-01,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,2,1,4
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,3,4
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,1,0,0,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,3,0,1,5
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,4,0,0,5
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,4,4,8
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,1,2
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,13,9,3,1,26
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,3,1,0,4
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,2,0,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,3,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,2,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,5,1,7
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,5,11,11,8,35
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,1,0,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,5,3,9,10,27
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,0,1,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,4,1,5
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,11,7,1,0,19
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,2,1,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,2,2,1,6
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,5,4,3,1,13
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,3,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,3,2,4,2,11
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,2,1,2,1,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,2,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,7,8,0,0,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,2,3,1,6
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,19,24,26,17,86
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,4,5
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,4,0,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,2,0,3,5,10
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,1,0,1,1,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,3,0,1,0,4
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,4,1,0,4,9
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,1,0,0,1
YOTALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-04-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,1,0,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,4,5,1,2,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,5,2,8,6,21
