,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,3,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,7,8,2,8,25
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,4,6,2,1,13
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,3,0,0,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,2,0,1,2,5
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,1,0,1,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,3,0,0,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,5,2,0,2,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,6,0,0,0,6
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,22,27,9,2,60
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,2,1,0,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,1,0,0,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,3,0,1,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,2,0,0,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,6,6,0,0,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,2,0,0,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,1,1,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,1,2
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,7,5,9,7,28
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,1,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,3,8,2,1,14
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,2,0,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,1,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,2,3,1,1,7
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,2,1,0,0,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,3,3,3,0,9
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,5,0,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,3,0,0,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,2,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,31,14,4,1,50
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,2,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,2,0,1,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,3,1,0,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,2,1,0,0,3
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,1,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,2,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,1,0,0,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,2,1,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,3,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,1,2
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,9,4,3,1,17
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,2,0,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,3,0,3
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,5,1,7
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,6,9,12,8,35
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,1,0,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,0,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,4,1,5
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,10,7,1,0,18
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,2,1,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,2,2,1,6
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,4,4,3,1,12
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,3,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,3,4,4,2,13
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,2,1,2,1,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,1,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,7,8,0,0,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,2,3,1,6
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,18,18,25,17,78
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,4,0,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,0,3,5,9
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,1,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,3,0,1,0,4
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,3,3
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,1
YOTALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,7,12,1,3,23
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,5,2,8,7,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,2,4,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,3,4,0,2,9
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,4,2,2,0,8
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,2,1,1,1,5
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
