,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,11,9,12,7,39
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,3,8,7,22
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,3,2,6,12
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,4,0,0,8
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,10,0,1,14
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,4,0,1,7
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,5,4,10
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,9,7,1,1,18
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,10,6,1,1,18
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,3,3,0,9
CHOQUE COTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,0,2,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,5,8,1,2,16
CHUMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,2,1,6
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,3,1,5
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,10,10,4,9,33
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,193,228,58,47,526
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,2,0,0,4
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,5,0,0,9
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,4,1,9
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,2,1,4,11
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,2,0,0,5
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,6,3,3,14
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,3,0,0,7
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,1,2,6
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,8,1,0,0,9
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,13,16,0,0,29
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,3,0,5,11
CULPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,3,4
CURVA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,195,184,94,86,559
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,0,0,4
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,0,0,1,4
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,10,9,0,2,21
EL VILLAR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,1,2
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,0,2
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,2,0,1,3
GUANAY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,6,6,6,22
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,8,13,1,0,22
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,1,2
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,7,8,0,1,16
HUARINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,3,0,5
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,2,1,3
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,3,1,5
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,2,0,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,3,1,1,9
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,3,1,1,7
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,7,0,4,15
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,18,26,2,1,47
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,234,178,1,1,414
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,3,1,6
LAJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,6,3,0,0,9
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,5,7,15
LLICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,6,10,0,0,16
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,1,2
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,0,0,3
MACHARETI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,1,3
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,1,0,3
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,9,7,6,26
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,3,1,5
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,5,8,7,21
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,3,1,4,8
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,0,2
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,12,9,2,3,26
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,2,4,7
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,0,0,4
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,1,0,4
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,49,43,5,3,100
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,2,0,6
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,15,13,0,1,29
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,10,8,0,1,19
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,5,9,4,19
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,5,0,0,7
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,7,2,10
POOPO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
PORONGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,1,2,6
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,8,9,0,0,17
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,0,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,41,26,9,7,83
PRESTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,6,3,4,4,17
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,2,4,4,14
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,2,0,0,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,2,1,1,6
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,7,8,4,3,22
PUNA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,3,0,5
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,7,8,3,2,20
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,14,16,11,8,49
QUIME,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,4,0,0,7
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,4,4,3,14
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,10,9,0,0,19
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,0,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,3,0,3,9
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,26,29,7,11,73
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,1,1,3
SACACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,10,7,20
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,2,0,0,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,6,1,2,10
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,1,1,3
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,9,3,1,1,14
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,1,0,0,4
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,12,1,0,0,13
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,6,2,2,14
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,11,4,3,21
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,7,9,0,0,16
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,5,6,1,1,13
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,1,1,0,6
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,8,4,6,4,22
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,5,2,3,10,20
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,14,17,33
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,1,0,0,3
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,402,426,21,20,869
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,4,5,0,1,10
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,1,1,3,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,3,3,3,0,9
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,1,0,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,1,2
SENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,0,1
