,group,variable,month,NÚMERO DE CICLOS ENTREGADOS < 15,NÚMERO DE CICLOS ENTREGADOS 15 - 19,NÚMERO DE CICLOS ENTREGADOS 20 - 34,NÚMERO DE CICLOS ENTREGADOS 35 - 49,NÚMERO DE CICLOS ENTREGADOS 50 Y +,TOTALES
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,3,27,6,0,39
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,12,0,24
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,11,6,0,17
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,24,9,0,36
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,18,15,0,36
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,12,12,9,0,33
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,0,3,0,9
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,15,0,0,15
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,60,36,3,108
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,42,24,0,75
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,3,0,6
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,9,0,12
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,15,0,0,15
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,6,3,0,12
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,24,12,0,45
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,3,0,6
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,6,4,0,13
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,3,0,9
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,0,0,12
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,36,12,0,63
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,42,9,0,57
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,0,0,6
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,9,0,0,12
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,3,0,3
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,84,27,3,129
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,0,0,12
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,48,24,0,75
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,3,0,15
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,9,0,9
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,0,0,0,3
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,6,0,12
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,32,70,15,0,117
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,9,0,15
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,36,266,119,0,421
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,45,18,0,66
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,12,9,0,24
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,18,6,3,30
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,33,21,0,60
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,36,9,0,48
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,3,0,15
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,18,9,0,33
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,12,42,27,0,81
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,3,0,9
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,0,0,9
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,3,0,9
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,18,3,0,21
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,18,162,39,0,219
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,63,6,0,75
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,24,0,0,24
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,15,12,0,27
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,0,6,3,0,12
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,27,499,232,3,761
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,36,18,0,69
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,36,12,0,51
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,6,30,183,57,0,276
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,15,9,0,24
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,33,33,0,81
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,48,18,0,72
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,0,3,0,9
EXALTACION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,0,9,3,18
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,27,9,0,36
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,21,3,0,24
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,12,75,36,0,126
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,9,3,0,18
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,3,0,6
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,162,24,0,195
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,18,3,3,24
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,27,12,0,42
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,3,0,6
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,13,3,0,16
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,3,0,3
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,3,0,3
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,0,0,6
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,3,0,0,6
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,6,12,0,21
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,18,0,27
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,9,3,0,15
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,6,0,18
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,24,9,0,36
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,36,10,0,49
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,3,0,6
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,36,12,0,48
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,27,135,24,3,189
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,28,242,177,6,456
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,39,12,0,54
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,30,18,0,48
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,6,0,18
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,3,0,0,6
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,48,9,0,66
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,0,0,9
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,2,3,0,5
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,6,0,12
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,24,6,0,33
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,67,15,0,85
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,27,9,0,39
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,0,0,6
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,6,0,12
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,27,9,3,42
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,33,4,0,40
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,6,6,0,18
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,33,29,3,65
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,18,216,105,6,345
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,21,9,0,30
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,6,3,0,15
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,6,6,0,0,15
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,0,0,0,3
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,6,0,0,12
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,27,33,0,66
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,18,12,0,33
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,199,131,0,345
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,66,21,6,96
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,9,45,21,0,78
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,93,27,0,126
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,6,0,18
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,57,33,6,105
PAMPA AULLAGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,3,0,3
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,9,30,9,0,48
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,0,0,6
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,12,0,21
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,6,6,0,15
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,27,9,3,42
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,0,0,9
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,0,0,9
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,9,0,12
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,6,3,12
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,18,75,30,3,126
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,51,27,0,81
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,24,9,0,39
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,0,0,12
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,18,236,129,0,383
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,9,0,15
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,6,0,15
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,9,3,0,15
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,15,9,0,30
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,6,6,6,0,21
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,6,0,0,12
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,27,6,0,36
PUERTO SILES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,1,7,3,0,11
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,25,9,0,37
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,21,27,27,0,75
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,30,24,0,60
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,48,12,0,75
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,12,3,0,15
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,51,30,0,81
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,33,3,3,42
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,6,3,0,15
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,6,6,0,15
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,6,6,0,12
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,12,22,24,0,58
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,21,102,45,0,168
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,63,15,0,84
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,45,18,0,66
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,14,81,15,0,110
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,3,0,0,3
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,18,12,0,36
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,3,0,12
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,18,0,0,18
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,24,3,0,30
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,0,3,0,3
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,12,54,17,0,83
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,12,69,30,3,117
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,0,9,3,0,12
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,15,117,42,0,174
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,3,9,3,0,15
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,6,33,21,3,63
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,3,13,121,59,0,196
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,45,234,60,3,342
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,15,12,12,0,0,39
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,0,17,53,0,0,70
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de ciclos entregados,2019-01-01,1,1,4,0,0,6
