,group,variable,month,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,1,5,0,0,1,5,6
IXIAMAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,0,5,0,20,0,25,25
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,2,4,0,0,2,4,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,3,0,0,0,3,0,3
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,2,5,10,8,12,13,25
VILLA MONTES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,2,0,0,0,2,2
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,0,1,7,1,7,8
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,19,8,0,0,19,8,27
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,2,4,0,0,2,4,6
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,0,2,6,2,6,8
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,0,0,3,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,6,0,7,7
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,8,6,0,0,8,6,14
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,1,3,0,0,1,3,4
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,2,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,5,1,0,0,5,1,6
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,0,0,21,0,21,0,21
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,2,7,8,4,10,11,21
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,1,3,20,30,21,33,54
LAJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,10,11,21,1,31,12,43
PUERTO SILES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,0,3,0,0,0,3,3
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,2,1,0,0,2,1,3
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,1,1,0,0,1,1,2
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,6,0,0,0,6,6
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,0,40,0,40,0,40
COLQUENCHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,2,11,0,0,2,11,13
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,1,4,0,0,1,4,5
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,3,1,1,0,4,1,5
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,1,0,0,1,1,1,2
PAILON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,1,0,0,0,1,1
POROMA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,1,4,0,0,1,4,5
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,2,3,13,3,15,6,21
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,0,3,0,0,0,3,3
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-05-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,3,1,0,0,3,1,4
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,4,0,0,0,4,0,4
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,0,2,4,75,4,77,81
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,4,5,0,0,4,5,9
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,2,1,0,0,2,1,3
PAZÑA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,1,3,15,0,16,3,19
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,0,1,0,0,0,1,1
TURCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,3,0,0,0,3,0,3
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-06-01,3,1,0,0,3,1,4
BOLPEBRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,3,6,1,6,4,10
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,2,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,2,2,0,0,2,2,4
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,0,0,1,0,1,1
TOMINA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,1,4,0,0,1,4,5
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,1,9,0,0,1,9,10
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,3,0,0,0,3,0,3
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,3,2,0,1,3,3,6
TOMINA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,0,1,0,0,0,1,1
TURCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-08-01,1,1,0,0,1,1,2
ARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,6,0,0,0,6,6
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,2,7,0,0,2,7,9
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,0,5,4,5,4,9
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,0,26,1,26,1,27
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,2,3,0,0,2,3,5
COLQUIRI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
CULPINA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,2,0,1,0,3,3
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,3,6,0,0,3,6,9
LLALLAGUA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,0,3,2,3,2,5
PUCARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,1,0,0,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,0,1,5,21,5,22,27
TEOPONTE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-10-01,3,1,0,0,3,1,4
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,2,5,0,0,2,5,7
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,3,3,7,7,10,10,20
MIZQUE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,53,0,2,1,55,56
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,1,0,0,1,1,2
PAZÑA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,0,0,1,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,4,0,0,0,4,4
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
TAPACARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,0,0,4,0,4,4
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,2,0,0,0,2,2
TOLEDO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,290,24,0,0,290,24,314
VALLEGRANDE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-11-01,0,2,0,0,0,2,2
ARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,0,5,0,5,0,5
COBIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,2,0,0,0,2,0,2
COPACABANA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,4,16,0,0,4,16,20
EL TORNO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,1,0,0,0,1,0,1
PALCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,0,13,11,13,11,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,3,9,0,0,3,9,12
TAPACARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,1,1,0,1,1,2
VILLA RIVERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,0,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable (vih),2019-12-01,0,3,0,0,0,3,3
