,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,6,1,11,2,17,19
AYATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,3,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,5,7,5,13,10,23
AZURDUY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,5,0,0,0,5,5
BATALLAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,5,19,3,22,8,30
BAURES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
BELEN DE ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,3,0,5,5
BELEN DE URMIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,1,6,1,7,2,9
BERMEJO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,27,23,0,24,27,51
BETANZOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,15,0,2,3,17,20
BOLIVAR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,3,5,3,6,9
BOLPEBRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,3,3,3,3,6
BOYUIBE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,0,1,1,4,1,5
BUENA VISTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,11,0,13,1,24,25
CABEZAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,10,17,25,22,35,57
CAIROMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,8,0,0,0,8,8
"CAIZA ""D""",otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,0,0,4,4
CAJUATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,0,0,4,4
CALAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,10,0,1,5,11,16
CAMARGO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,4,0,0,3,4,7
CAMIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,29,23,6,3,35,26,61
CAPINOTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,8,21,36,23,44,67
CAQUIAVIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
CARACOLLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,12,10,7,13,19,32
CARANAVI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,36,74,5,11,41,85,126
CARAPARI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,8,0,0,2,8,10
CARIPUYO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,7,0,0,5,7,12
CHACARILLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,17,3,5,6,22,28
CHAQUI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,7,0,1,0,8,8
CHARAGUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,12,0,0,4,12,16
CHARAÑA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,6,0,0,2,6,8
CHAYANTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,5,0,0,0,5,5
CHIMORE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,12,42,1,48,13,61
CHOQUE COTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,9,0,0,4,9,13
CHUMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,6,0,5,4,11,15
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,5,0,9,9
CLIZA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,7,8,17,12,24,36
COBIJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,7,47,0,1,7,48,55
COCAPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,12,25,25,13,37,38,75
COCHABAMBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,236,593,69,78,305,671,976
COLCAPIRHUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,13,33,46,75,59,108,167
"COLCHA ""K""",otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,10,2,2,6,12,18
COLLANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,2,0,0,2,2,4
COLOMI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,21,1,0,1,21,22
COLPA BELGICA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,16,0,0,1,16,17
COLQUECHACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,20,6,5,7,25,32
COLQUENCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,11,0,0,1,11,12
COLQUIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,12,1,15,1,27,28
COMANCHE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,1,6,1,6,7
COMARAPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
COMBAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,4,0,5,3,9,12
CORIPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,7,0,0,1,7,8
COROICO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,2,0,0,2,2,4
CORQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
COTAGAITA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,5,3,2,6,7,13
COTOCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,10,2,6,4,16,20
CUATRO CAÑADAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,6,0,0,4,6,10
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,7,0,0,3,7,10
CUEVO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,0,1,0,7,7
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
CURVA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,107,925,212,264,319,1189,1508
EL CHORO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,5,2,0,4,5,9
EL PUENTE(STC),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,1,0,0,1,1,2
EL PUENTE(TJA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,1,0,1,6,7
EL TORNO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,0,0,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,4,0,0,5,4,9
ENTRE RIOS CBBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,7,38,0,8,7,46,53
ESCOMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
ESMERALDA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,0,1,0,3,0,3
EXALTACION,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
FERNANDEZ ALONSO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,11,0,0,4,11,15
FILADELFIA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,2,1,2,1,3
GENERAL SAAVEDRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,8,3,7,5,15,20
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,19,8,12,8,31,39
GUAYARAMERIN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,20,75,21,36,41,111,152
GUTIERREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,0,0,4,4
HUACARETA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,0,3,0,4,0,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,0,0,1,2,1,3
HUANUNI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,7,12,0,3,7,15,22
HUARACAJE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
HUARINA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,3,8,3,12,15
HUATAJATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,12,20,3,4,15,24,39
HUAYLLAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,3,0,2,2,5,7
HUMANATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
ICHOCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
ICLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
INCAHUASI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,2,4,2,6,8
INGAVI (HUMAITA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,0,0,1,2,3
INQUISIVI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
IXIAMAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,4,7,5,9,14
LA ASUNTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,24,1,5,3,29,32
LA PAZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,153,557,121,209,274,766,1040
LAGUNILLAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,0,0,0,4,0,4
LAJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,0,0,1,1,1,2
LAS CARRERAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,0,0,1,2,3
LICOMA PAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,7,0,0,0,7,7
LLALLAGUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,17,42,22,30,39,72,111
LLICA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
LORETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
LURIBAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,3,0,0,2,3,5
MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,5,0,5,1,6
MACHARETI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,10,3,1,1,11,4,15
MAGDALENA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,6,9,10,15,16,31
MAIRANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,3,0,0,2,3,5
MAPIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,20,0,0,0,20,20
MECAPACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,2,0,5,5
MINEROS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,22,0,0,0,22,22
MIZQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,7,0,13,1,20,21
MOCOMOCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,11,4,12,6,18
MOJOCOYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,0,0,0,2,0,2
MONTEAGUDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,17,7,1,1,18,8,26
MONTERO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,8,211,11,18,19,229,248
MORO MORO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,0,0,1,2,3
MOROCHATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,10,0,12,12
OCURI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,11,0,6,2,17,19
OKINAWA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,4,0,4,6,10
OMEREQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,5,2,0,6,5,11
ORURO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,68,325,62,30,130,355,485
PADCAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,9,0,0,0,9,9
PAILON,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,16,13,13,14,29,43
PALCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,14,1,4,2,18,20
PALOS BLANCOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,8,5,5,10,13,23
PAMPA AULLAGAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,0,0,0,6,6
PAMPA GRANDE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,1,0,3,3
PAPEL PAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
PASORAPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,3,2,3,2,5
PATACAMAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,21,0,2,0,23,23
PAZÑA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,4,0,7,7
PELECHUCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,2,5,2,8,10
POCOATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
POCONA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,6,0,1,2,7,9
POJO (CBBA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
POOPO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,4,0,0,1,4,5
PORCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,16,24,6,24,22,46
PORONGO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,0,0,0,1,0,1
PORTACHUELO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,28,0,2,2,30,32
PORVENIR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,1,0,0,3,1,4
POSTRER VALLE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
POTOSI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,25,195,216,60,241,255,496
PUCARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,12,2,12,2,24,26
PUERTO ACOSTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,3,0,0,1,3,4
PUERTO CARABUCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,2,0,4,4
PUERTO GONZALO MORENO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,4,0,7,7
PUERTO PEREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,10,2,3,8,13,21
PUERTO RICO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,12,0,0,3,12,15
PUERTO SUAREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,14,14,8,5,22,19,41
PUERTO VILLARROEL,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,35,18,22,24,57,81
PUNA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,6,0,3,1,9,10
PUNATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,24,27,5,6,29,33,62
QUIABAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
QUILLACOLLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,39,56,451,340,490,396,886
QUIME,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,3,13,1,14,4,18
QUIRUSILLAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,0,0,1,2,1,3
RAVELO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,7,2,1,2,8,10
REYES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,9,0,0,1,9,10
RIBERALTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,83,0,4,1,87,88
ROBORE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,7,8,1,0,8,8,16
RURRENABAQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,8,3,1,3,9,12
SACABA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,26,109,93,82,119,191,310
SACABAMBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,4,0,0,0,4,4
SACACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,1,4,1,7,8
SAIPINA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,5,0,0,0,5,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,3,0,1,2,4,6
SAMAIPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,2,2,0,3,2,5
SAN ANDRES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,8,2,0,8,8,16
SAN BENITO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,5,2,8,4,13,17
SAN BORJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,9,49,0,0,9,49,58
SAN BUENA VENTURA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,3,2,3,3,6
SAN CARLOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,6,0,3,3,9,12
SAN IGNACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,37,1,4,4,41,45
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,21,2,1,4,22,26
SAN JAVIER(BNI),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
SAN JAVIER(STC),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
SAN JOAQUIN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,0,0,0,6,6
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,6,6,8,12,14,18,32
SAN JUAN DE YAPACANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,7,0,0,0,7,0,7
SAN JULIAN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,10,68,20,36,30,104,134
SAN LORENZO(PND),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,1,3,2,4,3,7
SAN LORENZO(TJA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,3,12,0,3,3,15,18
SAN LUCAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,3,0,0,1,3,4
SAN MATIAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,2,12,0,1,2,13,15
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,4,5,0,1,4,6,10
SAN PABLO DE LIPEZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,10,0,0,0,10,10
SAN PEDRO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,8,0,0,0,8,8
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,13,0,4,1,17,18
SAN PEDRO DE CURAHUARA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,1,1,3,1,4,5
SAN PEDRO(PND),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
SAN RAMON BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,6,0,0,0,6,6
SAN RAMON SCZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,1,8,0,0,1,8,9
SANTA ANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,5,6,1,0,6,6,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,750,1696,584,245,1334,1941,3275
SANTA ROSA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,10,0,0,0,10,10
SANTA ROSA DEL SARA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,13,19,13,5,26,24,50
SANTIAGO DE CALLAPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2019-01-01,0,8,0,0,0,8,8
