,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,20,22,701,334,721,356,1077
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,12,23,12,23,35
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,1,1,1,1,2
CORO CORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,2,0,2,2
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,5,14,17,17,22,39
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,1,0,0,2,1,3
COTAGAITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,7,9,0,0,7,9,16
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,5,0,0,2,5,7
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,123,168,247,298,370,466,836
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,8,31,1,2,9,33,42
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,1,0,0,0,1,1
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,1,1,0,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,4,12,0,0,4,12,16
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,23,11,25,13,48,24,72
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,6,11,26,14,32,46
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,3,0,0,1,3,4
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,5,4,5,4,9
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,5,7,5,7,12
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,5,7,0,0,5,7,12
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,9,9,63,53,72,62,134
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,149,253,50,9,199,262,461
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,2,0,0,0,2,2
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,1,4,1,4,2,6
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,107,200,267,398,374,598,972
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,237,295,44,26,281,321,602
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,18,27,82,45,100,72,172
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,16,30,3,4,19,34,53
PAZÑA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,2,0,1,1,3,4
PORONGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,4,14,8,15,12,27
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,23,23,0,8,23,31,54
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,5,6,210,220,215,226,441
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,14,17,0,0,14,17,31
PUNA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,8,3,0,1,8,4,12
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,2,0,0,2,2,4
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,11,25,0,0,11,25,36
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,27,39,29,36,56,75,131
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,0,1,0,1,1
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,172,106,37,25,209,131,340
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,6,13,2,1,8,14,22
SAN JOAQUIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,8,0,0,0,8,8
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,11,0,11,0,11
SAN MIGUEL DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,1,0,0,1,1,2
SAN RAFAEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,3,1,2,2,5,7
SANTA ANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,4,3,0,0,4,3,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,404,509,319,683,723,1192,1915
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,6,2,6,2,8
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,19,1,3,3,22,25
SENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,1,0,0,1,1,1,2
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,4,3,0,2,4,5,9
SUCRE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,9,7,73,116,82,123,205
TARIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,56,62,0,0,56,62,118
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,2,0,0,0,2,2
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,6,5,7,7,13,20
TOMAVE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,1,3,2,5,3,8
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,26,45,107,212,133,257,390
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,12,39,14,40,26,79,105
TURCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,3,1,44,60,47,61,108
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,1,0,5,0,6,6
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,13,65,1,2,14,67,81
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,0,2,1,4,1,5
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,19,3,0,0,19,3,22
VITICHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,2,3,0,0,2,3,5
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,274,295,678,190,952,485,1437
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,4,16,7,31,11,47,58
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-01-01,0,0,5,7,5,7,12
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,13,22,79,80,92,102,194
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,11,49,45,51,56,107
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,1,2,3,3,4,7
ARAMPAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,0,1,0,1,1
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,1,6,1,7,8
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,5,1,0,0,5,1,6
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,0,0,0,2,0,2
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,3,0,0,2,3,5
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,6,0,0,0,6,6
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,2,0,0,0,2,2
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,2,1,1,4,3,7
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,10,10,0,0,10,10,20
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,9,23,2,7,11,30,41
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,16,21,16,21,37
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,4,0,61,1,65,1,66
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,0,4,0,4,4
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,18,24,24,42,42,66,108
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,8,10,19,8,27,18,45
CKOCHAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,3,2,3,2,5
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,187,156,0,0,187,156,343
"COLCHA ""K""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,0,0,0,3,0,3
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,11,24,11,24,35
COMANCHE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,1,0,1,0,1
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,0,4,0,4,4
CORQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,5,5,9,6,14,11,25
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,2,0,1,0,3,3
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,97,125,273,379,370,504,874
EL CHORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,11,27,142,168,153,195,348
ESCOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,1,4,5,5,6,11
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,2,1,2,1,3
EXALTACION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,11,16,11,16,27
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,2,2,2,2,4
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,1,0,0,1,1,2
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,5,4,0,0,5,4,9
HUACHACALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,11,4,11,4,15
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,7,2,18,52,25,54,79
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,4,5,0,0,4,5,9
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,2,68,57,71,59,130
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,1,0,1,1,2
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,17,27,44,22,61,49,110
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,269,409,41,55,310,464,774
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,31,44,31,45,76
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,4,2,4,2,6
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,116,204,142,289,258,493,751
MOROCHATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,10,13,10,13,23
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,1,4,1,5,6
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,11,27,7,12,18,39,57
PADILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,3,0,0,1,3,4
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,9,13,52,74,61,87,148
PALCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,5,1,5,1,6
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,15,32,9,11,24,43,67
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,7,23,0,0,7,23,30
PUERTO PEREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,2,1,2,1,3
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,7,5,13,10,20,15,35
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,0,0,0,1,0,1
PUNA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,2,24,21,27,23,50
QUILLACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,1,1,0,3,1,4
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,245,363,423,151,668,514,1182
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,4,8,23,34,27,42,69
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,4,0,0,1,4,5
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,0,30,36,31,36,67
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,13,0,0,0,13,0,13
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,11,37,6,15,17,52,69
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,7,8,6,11,13,24
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,2,0,0,1,2,3
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,3,3,3,5,6,11
SAN RAFAEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,2,4,0,0,2,4,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,400,641,11,39,411,680,1091
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,6,2,6,5,12,17
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,14,1,1,4,15,19
SAPAHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,0,0,0,1,0,1
SENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,12,12,20,0,32,12,44
SORACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,4,0,0,3,4,7
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,9,5,31,21,40,26,66
SUCRE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,36,93,84,73,120,166,286
TACACOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,3,8,58,71,61,79,140
TARIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,11,19,1,5,12,24,36
TEOPONTE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,1,0,1,0,1
TIAHUANACU,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,1,0,0,1,1,2
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,24,50,24,51,75
TOMAVE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,51,65,10,20,61,85,146
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,1,5,13,19,14,24,38
UMALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,18,19,35,19,53,72
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,26,82,1,2,27,84,111
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,5,0,0,0,5,5
VIACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,2,5,2,6,8
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,8,1,0,0,8,1,9
VILLAZON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,1,0,0,0,1,1
WALDO BALLIVIAN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,1,1,1,1,2
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,110,189,124,242,234,431,665
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,0,0,5,10,5,10,15
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-02-01,4,4,1,3,5,7,12
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,2,2,0,0,2,2,4
OCURI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,0,0,0,1,0,1,1
POROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,0,1,1,0,1,1,2
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,2,1,6,13,8,14,22
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,0,0,13,7,13,7,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,1,0,0,0,1,0,1
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-03-01,0,0,5,12,5,12,17
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,3,3,6,6,9,9,18
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,33,125,2,4,35,129,164
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,2,8,11,33,13,41,54
ALTO BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,2,2,21,26,23,28,51
ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,2,3,2,3,5
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,0,7,13,8,13,21
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,2,1,0,2,2,3,5
ARAMPAMPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,0,1,0,1,1
ARBIETO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,2,43,78,44,80,124
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,25,66,6,6,31,72,103
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,1,2,6,2,7,9
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,2,3,3,3,5,8
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,3,7,12,7,15,22
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,4,6,32,9,36,15,51
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,1,9,6,9,7,16
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,7,5,17,7,24,12,36
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,12,15,12,15,27
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,36,46,10,26,46,72,118
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,2,8,9,12,11,20,31
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,2,7,8,8,10,18
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,4,6,23,74,27,80,107
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,30,27,1,2,31,29,60
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,22,43,169,177,191,220,411
"CAIZA ""D""",otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,2,1,6,16,8,17,25
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,1,2,1,2,3
CALACOTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,0,0,0,1,0,1
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,3,9,15,10,18,28
CAMARGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,3,10,9,37,12,47,59
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,3,0,0,1,3,4
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,26,22,18,48,44,70,114
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,17,26,40,33,57,59,116
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,8,3,8,9,16,12,28
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,4,6,0,0,4,6,10
CARIPUYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,2,1,2,2,4,6
CHACARILLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,1,0,0,1,1,1,2
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,3,1,16,25,19,26,45
CHAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,0,1,0,1,1
CHUA COCANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2019-04-01,0,0,22,63,22,63,85
