,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CHIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,3,2,0,0,3,2,5
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,1,0,0,1,1,2
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,50,73,44,42,94,115,209
COLLANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,1,0,0,1,1,2
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,7,8,7,9,16
CORO CORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,7,7,9,11,16,18,34
COROICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,16,11,17,14,33,25,58
CORQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,7,10,10,8,17,18,35
COTAGAITA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,21,35,0,0,21,35,56
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,9,3,9,3,12
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,123,209,96,120,219,329,548
EL CHORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,2,0,0,1,2,3
EL PUENTE(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,3,2,4,0,7,2,9
ESCARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,5,5,5,5,10
ESCOMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,1,0,1,1,2
ESMERALDA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,3,2,3,2,5
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,7,3,7,3,10
EXALTACION,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,35,27,10,17,45,44,89
GUTIERREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,11,8,11,8,19
HUANUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,22,17,5,12,27,29,56
HUAYLLAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,15,18,6,4,21,22,43
HUMANATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,2,3,3,3,6
INGAVI (HUMAITA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,2,2,7,4,9,6,15
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,416,397,123,64,539,461,1000
MACHACAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,4,3,4,3,7
MAGDALENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,10,11,10,11,21
MAPIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,2,1,2,2,4
MONTERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,28,37,33,49,61,86,147
MOROCHATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,3,0,0,0,3,0,3
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,109,128,3,3,112,131,243
PADILLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,2,0,0,0,2,2
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,4,4,4,5,8,9,17
PALOS BLANCOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,26,20,12,7,38,27,65
PAMPA AULLAGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,2,1,1,2,3,5
PAZÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,1,1,1,1,2
POROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,15,18,15,18,33
PORONGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,1,1,1,2,3
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,9,5,1,0,10,5,15
PUERTO QUIJARRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,22,10,2,10,24,20,44
PUERTO SUAREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,4,4,4,4,8
PUNA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,5,6,2,4,7,10,17
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,10,4,0,0,10,4,14
SABAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,2,1,0,1,2,2,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,1,9,10,10,11,21
SAN ANDRES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,16,13,0,0,16,13,29
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,27,22,4,4,31,26,57
SAN CARLOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,48,39,4,5,52,44,96
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,3,2,10,9,13,11,24
SAN JOAQUIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,0,0,0,1,1
SAN LORENZO(PND),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,3,1,3,1,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,57,23,0,0,57,23,80
SAN RAFAEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,6,3,6,3,9
SANTA ANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,8,4,0,0,8,4,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,174,161,25,33,199,194,393
SANTIAGO DE CALLAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,1,1,1,1,2,3
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,5,8,6,7,11,15,26
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,11,16,4,9,15,25,40
SANTIAGO DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,5,5,5,5,10
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,2,2,14,16,16,18,34
SENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,3,0,1,0,4,0,4
SORATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,1,18,17,19,18,37
SUCRE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,7,3,27,34,34,37,71
TARIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,38,43,0,0,38,43,81
TIAHUANACU,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,11,11,11,11,22
TOLEDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,6,4,12,16,18,20,38
TOMAVE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,1,3,2,3,5
TRINIDAD,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,18,15,4,5,22,20,42
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,0,3,13,4,13,17
TURCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,5,3,25,20,30,23,53
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,5,5,0,0,5,5,10
VALLEGRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,0,0,1,2,1,2,3
VILLAZON,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,6,18,5,2,11,20,31
VITICHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,1,5,0,0,1,5,6
WARNES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,46,50,15,5,61,55,116
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,13,28,5,3,18,31,49
YANACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-01-01,24,8,9,3,33,11,44
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,40,51,63,71,103,122,225
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,14,2,6,11,20,31
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,0,6,10,10,10,20
ANTEQUERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,1,3,2,3,5
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,5,0,0,5,5,10
ARAMPAMPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,2,3,3,5,5,10
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,0,0,1,0,1
AYO AYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,1,5,4,8,5,13
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,15,10,92,87,107,97,204
BAURES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,4,2,3,7,7,14
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,0,10,8,12,8,20
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,25,25,0,0,25,25,50
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,3,0,4,0,7,7
CALACOTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,19,21,44,37,63,58,121
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,7,3,7,10
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,39,55,17,24,56,79,135
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,7,20,10,24,17,41
CARIPUYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,10,17,9,26,19,45
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,1,3,1,4
CATACORA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,2,5,9,9,11,20
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,2,12,22,17,24,41
CHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,7,6,21,44,28,50,78
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,29,40,43,49,72,89,161
CHAYANTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,35,43,35,43,78
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,6,2,27,22,33,24,57
CKOCHAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,1,22,39,22,40,62
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,6,0,0,5,6,11
COLLANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,7,12,0,0,7,12,19
COMANCHE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,22,13,22,13,35
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,3,14,20,17,23,40
CORIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,7,3,0,0,7,3,10
CORO CORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,6,4,18,12,24,16,40
COROICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,0,38,20,40,20,60
CORQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,3,13,14,17,17,34
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,10,13,1,1,11,14,25
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,115,131,126,149,241,280,521
EL CHORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,2,13,19,15,21,36
EL PUENTE(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,14,17,8,8,22,25,47
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,26,21,15,7,41,28,69
ESCOMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,13,1,33,26,46,27,73
ESMERALDA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,3,2,4,2,6
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,4,4,4,4,8
EXALTACION,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,1,16,6,17,7,24
FILADELFIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,2,5,3,5,8
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,4,1,4,4,8,12
GUAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,3,4,5,9,8,17
GUAYARAMERIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,13,6,0,0,13,6,19
GUTIERREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,5,0,0,1,5,6
HUACHACALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,41,10,13,24,54,34,88
HUAYLLAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,12,15,10,10,22,25,47
HUMANATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,2,3,2,5
INGAVI (HUMAITA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,1,0,0,3,1,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,2,20,11,25,13,38
LA ASUNTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,19,4,7,1,26,5,31
LA GUARDIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,2,1,3,1,4
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,421,408,96,83,517,491,1008
LA RIVERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,2,2,2,2,4
LAJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,32,38,0,0,32,38,70
MACHACAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,4,12,5,17,9,26
MECAPACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,1,2,5,2,6,8
MONTEAGUDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,11,3,11,14
MONTERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,34,36,30,46,64,82,146
MOROCHATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,11,17,11,17,28
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,8,0,0,0,8,0,8
OKINAWA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,8,10,2,2,10,12,22
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,20,25,15,25,35,50,85
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,6,23,27,26,33,59
PALCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,16,8,16,8,24
PALOS BLANCOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,54,33,76,61,130,94,224
PAMPA AULLAGAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,0,1,0,1,1
PATACAMAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,83,54,78,50,161,104,265
PAZÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,1,5,11,7,12,19
POCOATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,3,6,8,7,11,18
POOPO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,8,32,39,37,47,84
POROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,8,0,0,5,8,13
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,9,0,0,0,9,9
PUERTO ACOSTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,25,15,5,6,30,21,51
PUERTO QUIJARRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,13,13,20,20,33,33,66
PUERTO SUAREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,1,0,0,1,1,2
PUNA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,10,17,8,12,18,29,47
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,113,86,27,12,140,98,238
RURRENABAQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,11,0,0,9,11,20
SABAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,16,16,16,16,32
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,13,15,21,45,34,60,94
SAN ANDRES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,1,21,31,23,32,55
SAN CARLOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,32,34,3,4,35,38,73
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,31,32,22,32,53,64,117
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,5,7,5,7,12
SAN LORENZO(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,8,0,0,9,8,17
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,1,6,4,7,5,12
SAN PEDRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,3,14,12,18,15,33
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,12,0,0,9,12,21
SAN RAFAEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,1,0,0,1,1,2
SANTA ANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,3,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,152,157,0,0,152,157,309
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,11,4,58,56,69,60,129
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,19,18,14,13,33,31,64
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,2,9,5,10,7,17
SAPAHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,8,5,6,7,14,12,26
SENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,1,5,5,6,6,12
SORACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,17,15,13,19,30,34,64
SORATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,11,3,25,19,36,22,58
SUCRE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,34,45,34,58,68,103,171
TACACOMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,3,0,33,24,36,24,60
TARIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,3,0,0,0,3,3
TEOPONTE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,3,2,3,2,5
TIAHUANACU,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,12,33,48,42,60,102
TINGUIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,0,40,49,44,49,93
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,19,13,19,13,32
TOLEDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,4,37,38,41,42,83
TOMAVE,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,3,4,6,8,9,17
TOTORA(ORR),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,15,17,15,17,32
TRINIDAD,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,29,75,18,24,47,99,146
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,4,4,65,61,69,65,134
TURCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,6,6,6,6,12
UMALA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,1,5,6,5,7,12
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,1,0,12,9,13,9,22
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,9,15,3,20,12,35,47
VIACHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,5,10,164,52,169,62,231
VILLA NUEVA (LOMA ALTA),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,0,0,5,2,5,2,7
VILLAZON,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,10,13,4,1,14,14,28
WALDO BALLIVIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,8,4,6,7,14,11,25
WARNES,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,24,25,51,48,75,73,148
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,2,1,15,7,17,8,25
YANACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-02-01,10,3,10,5,20,8,28
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,0,25,9,25,9,34
CHAYANTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,36,0,0,0,36,0,36
POROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,6,1,7,3,13,4,17
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,1,84,103,84,104,188
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,2,2,13,12,15,14,29
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,0,3,5,3,5,8
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,1,5,0,0,1,5,6
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,0,1,1,1,1,2
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-03-01,0,1,0,8,0,9,9
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2019-04-01,23,18,34,39,57,57,114
