,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
COLQUECHACA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
COTAGAITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,10,0,0,2,10,12
CULPINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,4,15,5,2,9,17,26
EL TORNO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,5,12,0,0,5,12,17
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,3,4,0,0,3,4,7
GUANAY,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,2,1,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,42,29,113,54,155,83,238
LLALLAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
MAGDALENA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
MAIRANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,3,0,0,2,3,5
MIZQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,7,0,2,2,9,11
OCURI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,3,0,0,2,3,5
OMEREQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,31,41,0,0,31,41,72
PADILLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,2,0,0,0,2,2
PAILON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,4,8,0,1,4,9,13
PALCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,0,0,1,0,1,1
PASORAPA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
PORONGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
PORVENIR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,1,0,0,2,1,3
POTOSI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,11,26,6,3,17,29,46
PUCARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
SACABA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,3,21,0,0,3,21,24
SACABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,0,1,1,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,4,12,0,0,4,12,16
SAN LORENZO(TJA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,9,0,0,2,9,11
SANTA ANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,50,92,0,3,50,95,145
SANTIAGO DE HUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,1,0,2,2
SUCRE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,9,8,0,0,9,8,17
TAHUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,4,2,0,0,4,2,6
TARIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,12,44,0,0,12,44,56
TOMINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
TOTORA(CBBA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,5,9,11,14,16,23,39
UNCIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
UYUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,1,0,0,2,1,3
VIACHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,0,0,0,1,0,1
VILLA MONTES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,2,4,0,0,2,4,6
YACUIBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,4,6,1,0,5,6,11
YAPACANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,1,2,0,0,1,2,3
YUNCHARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-01-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
ARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,2,0,0,2,2,4
ARBIETO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,0,0,0,2,0,2
ARQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,1,0,2,0,2
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
BAURES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,3,0,1,0,4,4
BOLIVAR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,0,0,0,2,0,2
BOYUIBE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,5,0,0,0,5,5
CAIROMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,0,0,0,2,0,2
CAJUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,4,1,0,4,4,8
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,4,0,0,3,4,7
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,3,1,1,2,4,6
CARANAVI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,3,0,0,2,3,5
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,3,0,0,0,3,3
CLIZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,5,0,0,0,5,5
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,10,17,0,0,10,17,27
COLLANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
COLOMI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,4,0,0,2,4,6
CONCEPCION,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
COTOCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,4,8,0,0,4,8,12
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,4,0,0,3,4,7
CULPINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,6,0,0,0,6,6
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,7,25,17,35,24,60,84
EL CHORO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,4,0,0,2,4,6
ENTRE RIOS TRJ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,3,0,0,2,3,5
GUAYARAMERIN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
IXIAMAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,0,0,2,0,2,2
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,4,0,3,2,7,9
LA PAZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,17,27,100,8,117,35,152
LLALLAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,6,0,0,1,6,7
MAIRANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,4,0,0,0,4,4
MECAPACA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,5,0,0,2,5,7
MIZQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,5,0,0,1,5,6
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,3,0,0,2,3,5
OCURI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
OMEREQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,7,11,0,0,7,11,18
ORURO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,10,25,0,0,10,25,35
PADILLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,4,0,0,0,4,4
PAILON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
PALCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,5,0,0,0,5,5
PALOS BLANCOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
PASORAPA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,3,0,0,0,3,3
PAZÑA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
PORONGO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,9,10,6,3,15,13,28
PUCARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,2,0,0,2,2,4
ROBORE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,3,0,0,0,3,3
SABAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,3,0,0,0,3,3
SACABA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,11,0,0,3,11,14
SACABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
SAN BORJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,4,0,0,1,4,5
SAN JULIAN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,5,0,0,3,5,8
SAN MATIAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,21,63,0,0,21,63,84
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,0,1,0,1,0,1
SANTUARIO DE QUILLACAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,5,0,0,1,5,6
SORATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,3,0,0,2,3,5
SUCRE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,11,16,0,0,11,16,27
TACACOMA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,0,0,0,2,0,2
TACOPAYA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
TAPACARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,1,0,2,2
TARIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,4,20,0,0,4,20,24
TARVITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
TEOPONTE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,4,6,0,0,4,6,10
TOCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
TOMINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,11,13,0,0,11,13,24
TUPIZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,1,0,2,2
TURCO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,2,1,0,0,2,1,3
URUBICHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
UYUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,5,0,0,0,5,5
VIACHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
VILA VILA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,3,0,0,1,3,4
VILLAZON,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,1,2,0,0,1,2,3
YACUIBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,2,0,0,0,2,2
YOCALLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,3,0,0,0,3,0,3
YUNCHARA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-02-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,3,0,0,1,3,4
ANDAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,0,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,3,0,0,1,3,4
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,2,6,0,0,2,6,8
BOYUIBE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,4,1,2,1,6,7
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,5,3,4,1,9,4,13
"CAIZA ""D""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,8,0,0,1,8,9
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,6,0,0,1,6,7
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,2,14,0,0,2,14,16
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,1,0,2,2
CARANAVI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,14,21,0,0,14,21,35
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,3,6,0,3,3,9,12
CHARAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,0,0,0,1,0,1
CHUA COCANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,6,0,1,1,7,8
CLIZA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,3,0,0,0,3,3
COBIJA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,4,0,0,0,4,4
COCHABAMBA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,10,30,8,13,18,43,61
"COLCHA ""K""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,2,0,0,1,2,3
COLPA BELGICA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,0,0,0,1,0,1
CONCEPCION,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
COTOCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,6,0,0,0,6,6
CRUZ DE MACHACAMARCA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,3,0,0,0,3,0,3
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
CULPINA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,8,0,0,0,8,8
EL ALTO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,15,34,9,3,24,37,61
EL CHORO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,2,0,0,0,2,2
EL PUENTE(TJA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,5,0,1,1,6,7
EUCALIPTUS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
GUANAY,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,2,2,0,0,2,2,4
GUAYARAMERIN,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,3,0,0,1,3,4
HUANUNI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
INQUISIVI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,2,0,0,0,2,2
IXIAMAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,0,0,1,0,1,1
LA ASUNTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,1,0,0,1,1,2
LA GUARDIA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,2,8,0,0,2,8,10
LA PAZ,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,50,108,6,4,56,112,168
LLALLAGUA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,3,0,0,1,3,4
MAIRANA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,0,1,0,0,0,1,1
MECAPACA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,0,0,0,1,0,1
MIZQUE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,3,1,0,0,3,1,4
MONTERO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,3,7,0,0,3,7,10
NAZACARA DE PACAJES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2019-03-01,1,0,0,0,1,0,1
