,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,6,0,2,3,8,11
ORURO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,32,66,0,0,32,66,98
PAILON,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,13,0,0,1,13,14
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,1,0,0,1,1,2
PAZÑA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,2,0,0,3,2,5
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,0,0,0,2,0,2
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,59,59,0,0,59,59,118
SAN ANDRES,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,6,8,0,0,6,8,14
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,5,7,0,0,5,7,12
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,5,0,0,3,5,8
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,2,0,0,2,2,4
SAN RAFAEL,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,28,39,0,2,28,41,69
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,3,0,0,2,3,5
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,5,4,0,0,5,4,9
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,3,3,0,0,3,3,6
SUCRE,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,6,3,0,0,6,3,9
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,23,22,0,0,23,22,45
TOLEDO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,1,0,2,2
TRINIDAD,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,2,1,0,0,2,1,3
TUPIZA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,2,0,0,0,2,2
TURCO,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
UMALA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,1,0,0,1,1,2
VALLEGRANDE,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,1,3,0,0,1,3,4
VITICHI,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,12,15,1,0,13,15,28
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2019-01-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,3,0,0,0,3,3
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,3,4,0,1,3,5,8
BAURES,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,4,1,0,0,4,1,5
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,0,0,1,2,3
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
CATACORA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,1,0,0,2,1,3
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,3,3,47,2,50,5,55
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,9,9,0,1,9,10,19
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,0,1,3,1,3,4
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,3,0,0,0,3,3
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,22,12,0,0,22,12,34
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,5,0,0,2,5,7
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,16,20,0,3,16,23,39
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,5,0,2,0,7,7
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,3,0,0,0,3,3
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,0,0,3,1,3,4
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,0,27,22,27,22,49
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,4,0,0,2,4,6
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,1,0,2,2
GUTIERREZ,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,5,0,0,2,5,7
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,0,0,1,2,3
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,0,0,1,2,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,3,0,0,1,3,4
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,113,186,20,17,133,203,336
MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,3,3,0,0,3,3,6
MECAPACA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,3,0,0,2,3,5
MOROCHATA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,0,1,1,1,1,2
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,3,0,0,1,3,4
ORURO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,8,55,2,0,10,55,65
PAILON,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,2,0,0,2,2,4
PALCA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,3,6,0,1,3,7,10
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,1,0,1,1,2
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,4,0,0,0,4,4
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,4,3,5,5,10
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,4,0,0,1,4,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,5,11,0,0,5,11,16
SAN CARLOS,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,2,0,0,2,2,4
SAN PEDRO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,2,4,0,1,2,5,7
SAN RAFAEL,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,31,6,0,0,31,6,37
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,10,8,2,2,12,10,22
SAPAHAQUI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,3,0,0,0,3,0,3
SORACACHI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,8,9,0,0,8,9,17
SORATA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,35,0,0,0,35,35
TOLEDO,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,3,0,1,0,4,4
TOTORA(ORR),otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,7,15,0,0,7,15,22
TUPIZA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,1,1,2,3,5
UYUNI,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,0,0,0,1,0,1
VALLEGRANDE,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,0,2,0,0,0,2,2
VIACHA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,2,0,0,1,2,3
VILLAZON,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,11,35,0,0,11,35,46
WARNES,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,10,14,0,0,10,14,24
YACUIBA,otras vacunaciones,influenza estacional a personal de salud,2019-02-01,1,0,0,3,1,3,4
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2019-03-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2019-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personal de salud,2019-03-01,18,0,0,0,18,0,18
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,18,0,4,6,22,28
AIQUILE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,2,0,0,0,2,2
ALALAY,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,0,0,0,2,0,2
ALTO BENI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,9,1,0,7,9,16
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,9,0,1,1,10,11
ANTEQUERA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,9,0,1,0,10,10
ANZALDO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,7,6,0,0,7,6,13
ARANI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,2,3,1,5,3,8
ARBIETO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,8,0,0,3,8,11
AYO AYO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,8,0,0,4,8,12
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,3,0,0,6,3,9
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,2,0,1,0,3,3
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,3,0,0,2,3,5
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,7,3,0,3,7,6,13
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,12,2,5,5,17,22
BERMEJO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,10,19,0,2,10,21,31
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,29,25,4,4,33,29,62
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,16,1,1,5,17,22
BOYUIBE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,4,0,0,5,4,9
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,19,26,0,0,19,26,45
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,19,40,2,5,21,45,66
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2019-04-01,7,13,0,2,7,15,22
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,4,4,6,6,10,16
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,7,1,1,4,8,12
CAMARGO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,15,35,0,6,15,41,56
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,11,13,0,0,11,13,24
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,11,27,1,3,12,30,42
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,11,26,4,6,15,32,47
CARANAVI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,11,0,0,6,11,17
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,10,0,0,5,10,15
CARIPUYO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,7,2,0,0,7,2,9
CHACARILLA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,5,0,0,5,5,10
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,7,10,29,16,36,52
CHAQUI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,7,1,0,1,7,8
CHOQUE COTA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,6,0,0,5,6,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,1,3,4,4,5,9
CKOCHAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,10,7,0,0,10,7,17
CLIZA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,31,49,1,0,32,49,81
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,33,93,72,202,105,295,400
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,248,500,190,448,438,948,1386
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,3,0,0,4,3,7
"COLCHA ""K""",otras vacunaciones,influenza estacional a personal de salud,2019-04-01,10,16,4,4,14,20,34
COLLANA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,8,0,1,6,9,15
COLPA BELGICA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,11,16,0,0,11,16,27
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,8,0,0,3,8,11
COLQUENCHA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,6,0,0,4,6,10
COLQUIRI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,3,0,1,2,4,6
COMARAPA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,13,28,4,6,17,34,51
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,15,35,2,0,17,35,52
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,2,0,0,3,2,5
CORIPATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,1,2,1,2,3
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,2,4,2,4,6
COROICO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,2,0,1,1,3,4
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,14,11,0,0,14,11,25
COTAGAITA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,9,9,5,12,14,26
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,55,120,4,14,59,134,193
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,1,3,1,3,4
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,6,2,3,4,9,13
CUEVO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,1,0,0,2,1,3
CULPINA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,21,34,0,0,21,34,55
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,6,0,2,3,8,11
DESAGUADERO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,90,288,115,251,205,539,744
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,9,1,0,7,9,16
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,11,0,1,3,12,15
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,2,0,1,2,3,5
EL TORNO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,67,165,1,4,68,169,237
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,5,0,1,0,6,6
ESCARA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,2,0,0,6,2,8
ESCOMA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,8,10,0,0,8,10,18
ESMERALDA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,9,2,1,3,10,13
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,0,0,0,1,0,1
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,13,25,0,1,13,26,39
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,11,35,1,4,12,39,51
GUANAY,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,2,0,3,4,5,9
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,15,7,0,0,15,7,22
GUTIERREZ,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,5,0,0,0,5,5
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,3,1,1,2,4,6
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,12,2,3,5,15,20
HUARACAJE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,16,6,0,0,16,6,22
HUATAJATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,9,13,0,0,9,13,22
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,9,10,3,2,12,12,24
HUMANATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,1,0,0,4,1,5
ICHOCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,1,0,0,2,1,3
INCAHUASI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,17,0,1,2,18,20
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,5,0,1,5,6,11
IXIAMAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,1,0,1,1,2,3
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,11,0,0,4,11,15
LA ASUNTA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,9,5,0,0,9,5,14
LA GUARDIA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,31,79,0,0,31,79,110
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,107,278,2,13,109,291,400
LA RIVERA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,1,3,1,3,4
LAGUNILLAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,10,14,4,6,14,20,34
LAJA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,5,1,1,4,6,10
LLALLAGUA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,15,38,44,43,59,81,140
LLICA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,0,0,0,1,0,1
LORETO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,3,6,7,8,10,18
MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,0,1,0,1,1
MACHARETI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,9,0,0,4,9,13
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,5,1,6,3,11,14
MAIRANA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,5,4,17,7,22,29
MAPIRI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,5,0,0,2,5,7
MECAPACA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,12,0,1,0,13,13
MINEROS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,9,0,0,6,9,15
MIZQUE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,18,20,0,2,18,22,40
MOCOMOCO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,9,4,1,10,10,20
MOJINETE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,0,3,3,8,3,11
MONTEAGUDO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,10,0,0,4,10,14
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,17,64,56,109,73,173,246
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,7,16,0,0,7,16,23
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,1,0,0,0,1,1
OMEREQUE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,10,11,0,0,10,11,21
ORURO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,120,233,40,68,160,301,461
PAILON,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,5,0,5,4,10,14
PALCA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,4,2,2,5,6,11
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,1,0,0,0,1,1
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,8,0,1,5,9,14
PAMPA GRANDE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,8,2,0,7,8,15
PAPEL PAMPA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,1,4,1,2,2,6,8
PATACAMAYA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,2,0,1,0,3,3
POCOATA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,18,9,2,2,20,11,31
POOPO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,13,0,1,5,14,19
PORCO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,7,11,23,11,30,41
PORONGO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,15,18,10,12,25,30,55
PORTACHUELO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,55,86,2,1,57,87,144
PORVENIR,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,2,10,2,10,12
POSTRER VALLE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,2,8,0,0,2,8,10
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,178,575,65,157,243,732,975
PUCARANI,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,17,21,0,1,17,22,39
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,7,0,1,5,8,13
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,5,1,0,7,5,12
PUERTO PEREZ,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,14,1,0,6,14,20
PUERTO RICO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,7,0,0,5,7,12
PUERTO SILES,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,3,0,0,3,3,6
PUNA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,5,4,1,8,6,14
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,35,95,0,1,35,96,131
QUIME,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,0,0,2,0,2,0,2
QUIRUSILLAS,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,10,0,0,3,10,13
RAQAYPAMPA(ETA),otras vacunaciones,influenza estacional a personal de salud,2019-04-01,5,5,0,0,5,5,10
RAVELO,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,4,7,2,1,6,8,14
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,8,20,0,5,8,25,33
ROBORE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,6,10,0,0,6,10,16
RURRENABAQUE,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,8,14,2,4,10,18,28
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2019-04-01,3,6,0,6,3,12,15
