,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-01-01,2,1,0,0,2,1,3
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,1,3,0,0,1,3,4
CARAPARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,1,0,1,0,2,0,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,9,0,0,0,9,9
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,7,0,8,0,15,15
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,1,2,0,0,1,2,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,5,3,0,0,5,3,8
SAN ANDRES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,2,1,0,0,2,1,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,2,2,3,3,5,5,10
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,0,0,0,8,0,8,8
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-02-01,2,1,0,0,2,1,3
ARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,0,31,1,31,1,32
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,3,0,0,0,3,0,3
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,1,1,0,0,1,1,2
CULPINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,4,5,0,0,4,5,9
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,9,0,0,0,9,9
GUTIERREZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,21,4,20,4,41,8,49
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,3,5,0,0,3,5,8
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,1,1,0,0,1,1,2
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,0,0,2,0,2,2
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,0,1,6,1,6,7
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,1,0,0,0,1,0,1
RAVELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,2,2,0,0,2,2,4
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,2,0,0,0,2,2
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,8,8,0,0,8,8,16
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,0,1,1,9,1,10,11
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,5,14,0,0,5,14,19
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-03-01,3,0,0,0,3,0,3
ACHACACHI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,4,0,0,0,4,4
BATALLAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,0,5,5,5,5,10
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,9,0,0,0,9,9
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,4,9,13,10,17,27
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,1,1,1,2
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,1,0,0,1,1,2
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,3,3,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,12,11,5,47,17,58,75
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,2,1,2,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,2,1,4,20,6,21,27
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,5,0,0,1,5,6
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,0,0,0,1,0,1
VILLA SERRANO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,1,1,0,0,1,1,2
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-04-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,3,0,0,0,3,0,3
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,3,0,0,1,3,4
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,24,0,1,1,25,26
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,7,9,6,10,13,23
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,0,0,9,57,9,57,66
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,2,2,0,1,2,3,5
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,0,0,4,0,4,0,4
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,3,21,0,0,3,21,24
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,0,0,0,1,0,1,1
TOMINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,0,0,0,2,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,4,4,4,2,8,6,14
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,4,9,0,0,4,9,13
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,1,1,0,0,1,1,2
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-05-01,2,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,3,2,0,0,3,2,5
COLQUENCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,102,55,20,115,122,170,292
GUAQUI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,2,0,1,1,3,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,36,16,0,0,36,16,52
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,3,1,0,0,3,1,4
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,0,0,0,1,0,1
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,0,0,1,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,4,0,0,1,4,5
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,0,10,61,11,61,72
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,2,0,0,0,2,0,2
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,2,2,0,0,2,2,4
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,1,0,2,2,3,2,5
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,0,0,2,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,3,0,0,0,3,3
VILLA RIVERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,0,0,1,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-06-01,0,6,0,0,0,6,6
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,4,0,0,0,4,0,4
BOLPEBRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,3,2,0,0,3,2,5
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,2,0,0,0,2,2
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,0,2,3,2,3,5
COLQUENCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,21,21,1,0,22,21,43
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,2,7,0,0,2,7,9
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,3,1,5,0,8,1,9
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
POCONA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,5,16,0,0,5,16,21
SANTIAGO DE MACHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-07-01,0,2,0,0,0,2,2
ALCALA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,3,5,0,0,3,5,8
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,1,3,0,0,1,3,4
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,2,0,0,0,2,0,2
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,3,6,0,0,3,6,9
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,2,5,0,0,2,5,7
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,1,0,0,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,1,10,0,0,1,10,11
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,4,0,0,0,4,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,4,5,0,0,4,5,9
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,12,0,0,0,12,12
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,0,2,0,0,0,2,2
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-08-01,1,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
CARIPUYO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,2,3,0,0,2,3,5
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,2,5,94,166,96,171,267
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,4,6,0,0,4,6,10
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,2,0,0,0,2,2
OKINAWA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,3,3,0,0,3,3,6
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,3,0,0,0,3,3
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,1,1,0,0,1,1,2
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,2,0,0,0,2,0,2
SAN ANDRES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,5,3,0,0,5,3,8
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,6,2,6,3,9
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-09-01,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,1,0,0,1,1,2
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,2,0,0,1,2,3
CONCEPCION,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,3,16,4,3,7,19,26
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,9,19,0,0,9,19,28
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,4,3,2,3,6,9
SABAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,2,6,0,0,2,6,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,3,3,16,60,19,63,82
TOLEDO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,60,0,0,1,60,61
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,0,14,1,14,1,15
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,4,3,0,0,4,3,7
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-10-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,2,2,0,0,2,2,4
BOLIVAR,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,0,29,0,29,0,29
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,2,0,0,0,2,0,2
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,3,20,0,0,3,20,23
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,41,14,0,1,41,15,56
MIZQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,1,1,1,2,2,3,5
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,1,0,0,0,1,0,1
PALOS BLANCOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,4,0,2,0,6,6
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,0,0,1,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,2,8,0,0,2,8,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2019-11-01,2,0,0,0,2,0,2
