,group,variable,month,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-05-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AZURDUY,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,5.0,0.0,1.0,0.0,6.0,0.0,6.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-07-01,3.0,0.0,2.0,0.0,5.0,0.0,5.0
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACOPAYA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-07-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
BOLPEBRA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,1.0,0.0,2.0,0.0,3.0,0.0,3.0
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHINAOTA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-09-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUILLACOLLO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-10-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN BORJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TEOPONTE,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-10-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
BAURES,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PUERTO GONZALO MORENO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN BORJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
TURCO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-11-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BELLA FLOR,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-12-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-12-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
