,group,variable,month,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,3,2,0,0,3,2,5
SACABA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,1,0,2,0,2
SAN LORENZO(PND),leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,0,1,0,1
SANTA ROSA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,1,0,0,0,1,1
COROICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,1,1,0,1,1,2
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,1,0,1,0,1
MONTEAGUDO,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,1,0,0,0,1,0,1
ORURO,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,2,0,2,0,2
PORVENIR,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-03-01,6,0,0,0,6,0,6
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,0,1,1,1,2
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,0,0,2,0,2,0,2
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,1,0,2,0,2
PUERTO VILLARROEL,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,3,0,0,0,3,0,3
SACABA,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,2,0,0,0,2,0,2
SAN IGNACIO,leishmaniasis,total tratamientos de leishmania mucosa,2015-04-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,0,1,0,1,0,1
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,1,0,0,0,1,1
QUILLACOLLO,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,0,0,1,0,1
SACABA,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,0,2,0,2,0,2
SAN IGNACIO,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,0,1,1,1,2
SUCRE,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-05-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,2,0,3,0,3
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,0,0,1,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,0,1,0,0,0,1,1
PUERTO RICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,1,0,0,1,1,2
QUILLACOLLO,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,0,0,1,0,1,0,1
SANTA ROSA,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-06-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,3,1,4,0,7,1,8
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,2,1,0,1,2,3
PUERTO GONZALO MORENO,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,1,0,0,0,1,0,1
SANTA ROSA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,0,1,0,1,0,1
SHINAOTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-07-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,2,1,1,0,3,1,4
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,3,1,4,1,5
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,3,0,0,0,3,3
GUAYARAMERIN,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,0,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,1,0,0,0,1,1
RURRENABAQUE,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-08-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,1,1,1,1,2,3
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,1,1,0,1,1,2
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,0,2,0,2,2
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,1,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,0,1,0,1,1
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,1,0,0,0,1,0,1
REYES,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,1,0,1,0,2,0,2
RURRENABAQUE,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-09-01,2,0,1,0,3,0,3
BAURES,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,1,1,1,2
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,2,0,0,1,2,1,3
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,0,0,2,0,2,0,2
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,1,0,2,0,2
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,0,1,0,1,0,2,2
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,6,0,0,0,6,0,6
SAN BORJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
SAN JAVIER(BNI),leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-10-01,2,0,1,0,3,0,3
BELLA FLOR,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,0,1,3,1,3,4
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,1,1,0,1,1,2
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,0,1,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,0,1,0,1,0,2,2
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-11-01,2,0,2,0,4,0,4
BERMEJO,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,1,1,0,1,1,2
COCAPATA,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,1,0,1,0,2,0,2
CONCEPCION,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,1,0,3,0,4,0,4
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,1,0,0,0,1,0,1
MONTERO,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,1,1,1,1,2
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,1,0,1,0,1
SAN IGNACIO,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,1,0,1,0,1
SAN LORENZO(PND),leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,total tratamientos de leishmania mucosa,2015-12-01,0,0,1,0,1,0,1
