,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,4,0,11,0,1,0,0,0,17
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,11,1,1,1,0,0,16
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,1,0,0,3
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,1,3,0,0,0,0,0,7
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,4,2,3,1,1,0,0,0,12
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,2,0,4,0,1,0,0,0,8
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,3,0,1,0,0,0,4
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,1,0,0,0,0,0,0,3
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,3,0,0,0,0,0,6
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,5,0,1,1,0,0,10
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,6,0,19,1,5,0,0,0,31
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,9,0,5,0,0,0,15
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,0,0,0,0,3
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,7,0,3,0,0,0,11
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,1,8,0,16,2,1,0,0,0,28
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,5,0,1,0,0,0,9
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,2,1,0,0,0,3
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,2,0,1,0,0,0,5
CHACARILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,6,0,27,1,5,1,0,0,42
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,7,1,2,1,0,0,13
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,6,2,38,0,5,0,0,0,51
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,9,3,0,0,0,0,14
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,3,0,8,0,1,0,0,0,13
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
CHUA COCANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,9,0,1,0,0,0,12
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,1,0,0,0,4
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,1,0,0,0,4
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,10,0,2,1,0,0,16
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,6,0,17,0,2,0,0,0,25
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,3,2,11,4,42,7,10,1,0,0,80
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,1,0,1,5,2,3,1,0,0,13
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,11,3,231,3,916,1,305,0,1,0,1471
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,13,1,47,0,5,1,0,0,67
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,3,0,0,0,0,0,4
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,10,0,10,0,1,0,0,0,21
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,0,0,0,0,3
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,12,3,5,0,0,0,24
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,0,0,5,0,1,0,0,0,7
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,4,1,1,0,0,0,7
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,4,0,1,0,0,0,5
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,1,0,0,0,0,0,2
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,8,0,8,0,3,0,0,0,20
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,4,1,0,0,0,0,7
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,7,0,2,0,0,0,11
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,3,0,1,0,0,0,5
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,6,0,14,2,2,0,0,0,24
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,1,0,0,0,0,1
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,0,1,1,1,1,0,0,0,6
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,13,1,24,0,5,0,0,0,43
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,1,6,0,1,0,0,10
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,4,0,0,1,0,0,5
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,0,0,0,0,4
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,1,0,0,0,0,2
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,3,0,0,0,3
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,6,0,134,9,684,38,151,5,1,0,1028
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,2,0,0,0,0,2
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,7,1,0,0,0,0,10
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,1,1,0,0,2
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,7,0,19,0,2,0,0,0,30
EL VILLAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,0,0,0,0,1
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,2,1,2,0,2,0,0,0,8
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,9,0,24,0,2,0,0,0,35
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,1,0,0,0,0,3
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,0,0,0,0,3
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
EXALTACION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,1,2,0,0,0,0,0,5
FILADELFIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,1,0,0,0,0,0,0,2
GENERAL SAAVEDRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,4,2,1,0,0,0,8
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,2,1,1,0,0,0,5
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,4,0,0,0,0,0,5
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,1,0,0,0,0,1
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,5,0,14,10,34,1,2,0,0,0,66
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,1,7,1,1,0,0,0,12
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,0,0,1,0,0,0,0,0,2
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,3,0,0,0,0,0,3
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,12,0,2,0,0,0,15
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,1,0,0,0,1
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,2,0,0,0,0,0,3
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,1,2,0,0,0,0,7
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,1,1,0,0,0,2
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,1,0,1,0,0,3
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,1,0,1,0,0,3
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,2,0,2,0,0,0,5
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,4,0,1,0,0,0,7
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,7,0,0,0,0,0,8
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,4,0,1,0,0,0,6
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,8,1,20,0,0,0,0,0,29
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,13,0,23,0,3,0,0,0,40
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,3,0,98,0,1033,0,106,0,1,0,1241
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,1,1,0,0,0,0,4
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,10,0,2,0,0,0,14
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,11,0,32,0,5,0,0,0,48
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,0,0,1,0,1,0,0,0,4
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,3,1,2,0,0,0,7
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,0,0,0,0,3
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,0,0,0,0,4
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,9,0,1,0,0,0,14
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,5,0,5,0,0,0,0,0,10
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,5,0,2,0,2,0,0,0,10
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,7,1,2,2,0,0,13
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,7,0,0,0,0,0,8
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,3,0,3,0,0,0,7
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,1,0,2,0,1,1,0,0,6
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,1,0,0,0,2
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,3,0,0,0,0,0,5
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,1,10,0,54,5,8,0,0,0,78
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,1,1,0,3,1,1,1,0,0,8
NAZACARA DE PACAJES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,0,0,0,0,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,1,0,0,0,0,0,0,1
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,1,2,0,1,0,0,0,7
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,6,0,0,0,0,0,7
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,2,0,1,0,0,0,5
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,35,1,260,0,65,0,1,0,362
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,2,0,21,0,1,0,0,0,26
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,6,0,1,1,0,0,11
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,6,1,0,0,0,0,11
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,1,0,0,0,2
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,1,0,0,0,0,4
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,1,0,0,0,0,3
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,1,1,0,0,0,4
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,12,0,23,0,5,0,0,0,40
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,1,0,0,0,3
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,3,0,0,0,0,0,3
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,2,2,2,2,1,0,0,12
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,1,0,2,0,2,0,1,0,0,0,6
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,6,0,1,0,0,0,9
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,2,0,0,0,0,0,6
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,5,1,1,0,0,0,7
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,1,2,1,1,0,0,0,9
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,0,0,0,0,3
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,72,0,124,7,40,0,0,0,245
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,0,1,0,0,1
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,1,13,2,1,0,0,0,20
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,1,0,0,0,0,3
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,1,2,2,1,1,0,0,8
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,0,0,0,0,0,2
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,1,0,0,0,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,5,0,41,0,5,0,0,0,51
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,1,0,0,0,0,0,3
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,7,0,2,0,0,0,13
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,16,0,33,0,6,0,1,0,56
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,1,0,0,0,5
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,16,1,3,0,0,0,23
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,0,0,0,0,4
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,13,2,146,3,12,0,0,0,176
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,1,0,1,0,0,0,4
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,2,0,0,0,6
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,4,1,0,0,0,0,7
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,7,0,33,1,89,2,30,0,0,0,162
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,7,0,2,0,0,0,12
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,6,0,1,0,0,0,8
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,0,0,0,0,0,2
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,30,0,97,2,17,0,0,0,146
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,6,5,3,0,0,0,18
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,0,0,0,0,1
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,2,2,0,0,0,0,0,8
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,1,0,0,0,0,0,4
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,5,0,0,0,0,0,9
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,1,0,0,0,0,0,5
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,4,0,0,0,0,0,4
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,12,0,16,0,0,0,0,0,28
