,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,2,1,0,0,2,1
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,1,0,0,1,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,2,1,1,0,3,1
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,2,0,0,0,2,0
CONCEPCION,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,0,0,2,0,2,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-03-01,2,1,1,0,3,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,2,0,0,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,2,3,1,1,3,4
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,0,0,2,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2024-04-01,1,0,0,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,1,0,1,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,0,1,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,3,3,2,3,5,6
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,2,1,1,0,3,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,1,0,1,0,2,0
TARATA,leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,1,0,0,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2024-05-01,2,0,0,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,3,2,4,1,7,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,2,0,1,0,3,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,1,0,0,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,3,3,3,3
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,2,1,0,0,2,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,2,0,0,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,1,0,1,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,1,0,0,0,1,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,1,0,0,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,1,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2024-06-01,0,0,1,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,0,0,3,2,3,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,2,0,0,0,2,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,0,1,0,1,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,0,0,2,1,2,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,0,0,1,0,1,0
TARIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2024-07-01,1,0,0,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,0,0,1,0,1,0
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,0,1,0,0,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,1,0,1,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2024-08-01,0,1,0,0,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,0,0,1,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,3,0,0,0,3,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,1,0,1,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,1,1,0,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,1,0,0,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2024-09-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,2,0,1,0,3,0
CONCEPCION,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,0,0,2,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,1,0,3,0,4,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,4,0,4,0,8,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,1,1,1,1,2,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2024-10-01,1,0,0,1,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,1,0,0,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,1,0,1,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,1,0,2,2,3,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2024-11-01,0,0,2,0,2,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,2,1,0,0,2,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,1,0,0,0,1,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,2,0,2,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2024-12-01,0,0,1,0,1,0
