,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) CONCLUIDO,TOTALES,TOTALES
SANTA ANA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-04-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-04-01,1,0,0,0,1,0
ARQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-05-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-05-01,2,1,1,0,3,1
COLCAPIRHUA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-05-01,1,0,0,0,1,0
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-05-01,1,0,0,0,1,0
ARQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-06-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-06-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-06-01,2,1,2,1,4,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-06-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,1,0,3,1,4,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,0,0,1,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,1,0,1,0,2,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-07-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
TARIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-08-01,0,0,1,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-09-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-09-01,0,1,0,0,0,1
SAN LUCAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-09-01,1,0,0,0,1,0
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-09-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-09-01,0,1,0,0,0,1
CAPINOTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-10-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-10-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-10-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-10-01,0,0,1,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-10-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-11-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-11-01,2,0,0,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-11-01,1,0,0,0,1,0
MAPIRI,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-11-01,0,0,1,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-11-01,1,0,0,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-12-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-12-01,1,0,2,0,3,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-12-01,0,0,1,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-12-01,0,0,1,0,1,0
VINTO,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-12-01,0,0,1,0,1,0
