municipality,group,variable,month,Niños de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
BOLIVAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,35,35
BOLPEBRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,18,18
BOYUIBE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,78,78
BUENA VISTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,202,202
CABEZAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,117,117
CAIROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,76,76
"CAIZA ""D""",nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,86,86
CAJUATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,68,68
CALACOTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2,2
CALAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,26,26
CAMARGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,220,220
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,110,110
CAMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,235,235
CAPINOTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,64,64
CAQUIAVIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,53,53
CARACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,69,69
CARANAVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,202,202
CARANGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1,1
CARAPARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,94,94
CARIPUYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,16,16
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,10,10
CHALLAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,147,147
CHAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,34,34
CHARAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,327,327
CHARAÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,5,5
CHAYANTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,91,91
CHIMORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,231,231
CHIPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,7,7
CHOQUE COTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,40,40
CHUMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,22,22
CLIZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,71,71
COBIJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,221,221
COCHABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1584,1584
COIPASA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,6,6
COLCAPIRHUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,125,125
"COLCHA ""K""",nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,26,26
COLLANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,11,11
COLOMI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,72,72
COLPA BELGICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,77,77
COLQUECHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,309,309
COLQUENCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,38,38
COLQUIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,88,88
COMARAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,141,141
COMBAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,22,22
CONCEPCION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,81,81
COPACABANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,82,82
CORIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,37,37
CORO CORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1,1
COROICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,31,31
CORQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,28,28
COTAGAITA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,86,86
COTOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,555,555
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,56,56
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,39,39
CUEVO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,56,56
CULPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,56,56
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,40,40
CURVA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,15,15
EL ALTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2185,2185
EL CHORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,15,15
EL PUENTE(STC),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,77,77
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,129,129
EL TORNO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,211,211
EL VILLAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,5,5
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,143,143
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,109,109
ESMERALDA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,6,6
EUCALIPTUS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,31,31
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2,2
EXALTACION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,9,9
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,159,159
FILADELFIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,5,5
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,134,134
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,34,34
GUANAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,10,10
GUAYARAMERIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,311,311
GUTIERREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,887,887
HUACARETA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,225,225
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,46,46
HUACHACALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,3,3
HUANUNI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,93,93
HUARACAJE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,56,56
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,25,25
ICLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,354,354
INCAHUASI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,473,473
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2,2
INQUISIVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,115,115
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,75,75
IXIAMAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,50,50
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,75,75
LA ASUNTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,67,67
LA GUARDIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,413,413
LA PAZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1880,1880
LAGUNILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,268,268
LAJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,60,60
LAS CARRERAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,39,39
LICOMA PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,7,7
LLALLAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,277,277
LLICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2,2
LORETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,39,39
LURIBAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,54,54
MACHACAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,26,26
MACHARETI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,108,108
MAGDALENA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,111,111
MAIRANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,69,69
MALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,18,18
MAPIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,36,36
MECAPACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,31,31
MINEROS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,199,199
MIZQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,274,274
MOCOMOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,42,42
MOJINETE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,3,3
MOJOCOYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,234,234
MONTEAGUDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,506,506
MONTERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,931,931
MORO MORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,20,20
MOROCHATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,189,189
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,1,1
OCURI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,126,126
OKINAWA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,307,307
OMEREQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,55,55
ORURO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,844,844
PADCAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,134,134
PADILLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,70,70
PAILON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,102,102
PALCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,43,43
PALOS BLANCOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,92,92
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,6,6
PAMPA GRANDE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,68,68
PAPEL PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,16,16
PASORAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,17,17
PATACAMAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,38,38
PAZÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,17,17
PELECHUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,25,25
POCOATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,116,116
POCONA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,55,55
POJO (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,60,60
POOPO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,20,20
PORCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,21,21
POROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,257,257
PORONGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,144,144
PORTACHUELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,106,106
PORVENIR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,33,33
POSTRER VALLE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,27,27
POTOSI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,881,881
PRESTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,332,332
PUCARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,41,41
PUCARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,74,74
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,61,61
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,53,53
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,20,20
PUERTO PEREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,30,30
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,112,112
PUERTO RICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,23,23
PUERTO SILES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,3,3
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,65,65
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,163,163
PUNA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,290,290
PUNATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,127,127
QUIABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,50,50
QUILLACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,183,183
QUIME,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,47,47
QUIRUSILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,15,15
RAVELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,35,35
REYES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,73,73
RIBERALTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,703,703
ROBORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,56,56
RURRENABAQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,62,62
SABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,18,18
SACABA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,353,353
SACABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,28,28
SACACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,139,139
SAIPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,36,36
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,58,58
SAMAIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,53,53
SAN AGUSTIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,2,2
SAN ANDRES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,51,51
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,4,4
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,11,11
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,82,82
SAN BENITO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,29,29
SAN BORJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,253,253
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,58,58
SAN CARLOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,108,108
SAN IGNACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,216,216
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-01-01,877,877
