municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitamina A,TOTAL
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
CAMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,50,50
CAPINOTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,43,43
CAQUIAVIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
CARACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,50,50
CARANAVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,120,120
CARAPARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,15,15
CARIPUYO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
CHALLAPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,48,48
CHAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
CHARAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,99,99
CHARAÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
CHAYANTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,11,11
CHIMORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,46,46
CHIPAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
CHOQUE COTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,43,43
CHUMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
CLIZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,44,44
COBIJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,88,88
COCHABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,632,632
COIPASA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
COLCAPIRHUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,60,60
"COLCHA ""K""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
COLLANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
COLOMI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,28,28
COLPA BELGICA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
COLQUECHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,47,47
COLQUENCHA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,9,9
COLQUIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,32,32
COMARAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,48,48
COMBAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
CONCEPCION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,30,30
COPACABANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
CORIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,28,28
COROICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
CORQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
COTAGAITA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,42,42
COTOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,103,103
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,27,27
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
CUEVO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
CULPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,30,30
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,13,13
CURVA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
EL ALTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1135,1135
EL CHORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
EL PUENTE(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
EL TORNO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,64,64
EL VILLAR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,11,11
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,50,50
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,66,66
ESMERALDA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
EUCALIPTUS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
EXALTACION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,30,30
FILADELFIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
GUANAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
GUAYARAMERIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,73,73
GUTIERREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,91,91
HUACARETA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,26,26
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
HUANUNI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,44,44
HUARACAJE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,4,4
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
ICHOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
ICLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,19,19
INCAHUASI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,46,46
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
INQUISIVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,28,28
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
IXIAMAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
LA ASUNTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,45,45
LA GUARDIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,109,109
LA PAZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,972,972
LAGUNILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,36,36
LAJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,19,19
LAS CARRERAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
LICOMA PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
LLALLAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,48,48
LORETO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
LURIBAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
MACHACAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,4,4
MACHARETI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
MAGDALENA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,32,32
MAIRANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
MALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,4,4
MAPIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,27,27
MECAPACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
MINEROS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,36,36
MIZQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,48,48
MOCOMOCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
MOJINETE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
MOJOCOYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,13,13
MONTEAGUDO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,49,49
MONTERO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,206,206
MORO MORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
MOROCHATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,55,55
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
OCURI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,38,38
OKINAWA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,42,42
OMEREQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
ORURO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,412,412
PADCAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,31,31
PADILLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
PAILON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
PALCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
PALOS BLANCOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
PAMPA GRANDE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
PAPEL PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
PASORAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
PATACAMAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,9,9
PAZÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
PELECHUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
POCOATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,31,31
POCONA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,11,11
POJO (CBBA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,24,24
POOPO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
PORCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
POROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,42,42
PORONGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,22,22
PORTACHUELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,24,24
PORVENIR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
POSTRER VALLE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
POTOSI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,331,331
PRESTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
PUCARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
PUCARANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,50,50
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,27,27
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,21,21
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,4,4
PUERTO PEREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,38,38
PUERTO RICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
PUERTO SILES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,24,24
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,131,131
PUNA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,76,76
PUNATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,79,79
QUIABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,15,15
QUILLACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,128,128
QUIME,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
QUIRUSILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
RAVELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
REYES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
RIBERALTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,148,148
ROBORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
RURRENABAQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,28,28
SABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
SACABA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,121,121
SACABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,12,12
SACACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,38,38
SAIPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
SAMAIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
SAN ANDRES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,19,19
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
SAN BENITO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,18,18
SAN BORJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,75,75
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
SAN CARLOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,34,34
SAN IGNACIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,53,53
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,122,122
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,33,33
SAN JOAQUIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,34,34
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,11,11
SAN JULIAN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,53,53
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,35,35
SAN LUCAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,55,55
SAN MATIAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,38,38
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
SAN PEDRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,34,34
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,23,23
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,9,9
SAN RAFAEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,18,18
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,23,23
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,11,11
SANTA ANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,21,21
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,1398,1398
SANTA ROSA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,33,33
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,27,27
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,3,3
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,9,9
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
