,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-03-01,3,3,0,0,3,3,6
SAIPINA,malaria,de 1 a menores de 5 anos,2017-03-01,4,5,0,0,4,5,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-03-01,0,2,0,0,0,2,2
SENA,malaria,de 1 a menores de 5 anos,2017-03-01,1,3,0,0,1,3,4
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2017-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-04-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-04-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2017-04-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-04-01,2,1,0,0,2,1,3
SAIPINA,malaria,de 1 a menores de 5 anos,2017-04-01,5,7,0,0,5,7,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-04-01,0,2,0,0,0,2,2
SENA,malaria,de 1 a menores de 5 anos,2017-04-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2017-04-01,2,0,0,0,2,0,2
ENTRE RIOS TRJ,malaria,de 1 a menores de 5 anos,2017-05-01,0,5,0,0,0,5,5
MIZQUE,malaria,de 1 a menores de 5 anos,2017-05-01,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-05-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-05-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2017-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-05-01,4,0,0,0,4,0,4
SAIPINA,malaria,de 1 a menores de 5 anos,2017-05-01,13,4,0,0,13,4,17
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-05-01,6,1,0,0,6,1,7
SENA,malaria,de 1 a menores de 5 anos,2017-05-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-06-01,4,4,0,0,4,4,8
SAIPINA,malaria,de 1 a menores de 5 anos,2017-06-01,4,3,0,0,4,3,7
SAN MATIAS,malaria,de 1 a menores de 5 anos,2017-06-01,19,14,0,0,19,14,33
BAURES,malaria,de 1 a menores de 5 anos,2017-07-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2017-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2017-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-07-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2017-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-07-01,3,2,0,0,3,2,5
SAIPINA,malaria,de 1 a menores de 5 anos,2017-07-01,6,4,0,0,6,4,10
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-07-01,4,0,0,0,4,0,4
SENA,malaria,de 1 a menores de 5 anos,2017-07-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-08-01,3,2,0,0,3,2,5
SAIPINA,malaria,de 1 a menores de 5 anos,2017-08-01,3,4,0,0,3,4,7
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-08-01,1,2,0,0,1,2,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2017-08-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2017-08-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-09-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2017-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-09-01,2,2,0,0,2,2,4
SAIPINA,malaria,de 1 a menores de 5 anos,2017-09-01,4,5,0,0,4,5,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,de 1 a menores de 5 anos,2017-09-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2017-09-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-10-01,1,0,0,0,1,0,1
HUACARETA,malaria,de 1 a menores de 5 anos,2017-10-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2017-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-10-01,6,3,0,0,6,3,9
SAIPINA,malaria,de 1 a menores de 5 anos,2017-10-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-10-01,3,1,0,0,3,1,4
SENA,malaria,de 1 a menores de 5 anos,2017-10-01,1,0,0,0,1,0,1
COBIJA,malaria,de 1 a menores de 5 anos,2017-11-01,2,0,1,1,3,1,4
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-11-01,1,0,0,0,1,0,1
LA PAZ,malaria,de 1 a menores de 5 anos,2017-11-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-11-01,3,1,0,0,3,1,4
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-11-01,5,2,0,0,5,2,7
SAIPINA,malaria,de 1 a menores de 5 anos,2017-11-01,4,2,0,0,4,2,6
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-11-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 1 a menores de 5 anos,2017-11-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2017-11-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,de 1 a menores de 5 anos,2017-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-12-01,1,0,0,0,1,0,1
LA PAZ,malaria,de 1 a menores de 5 anos,2017-12-01,0,0,0,0,0,0,0
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-12-01,7,1,0,0,7,1,8
SAIPINA,malaria,de 1 a menores de 5 anos,2017-12-01,3,2,0,0,3,2,5
