municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-04-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,23,23
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,2,2
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
COTOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
TARACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-06-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
PATACAMAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
PORCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-07-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-08-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-09-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,5,5
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,11,11
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,3,3
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-10-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,2,2
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
TACACOMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-11-01,2,2
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,4,4
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,1,1
COTOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,4,4
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,8,8
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-12-01,2,2
