,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,5,3,0,0,8
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,7,10,7,12,36
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,2,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,3,3,0,0,6
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,12,8,0,1,21
PADCAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
PADILLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,6,10,2,0,18
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,3,0,0,4
POCOATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,3,7,0,0,10
PUCARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,0,0,1,3
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,1,3
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,2,0,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,5,10,11,28
QUIME,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,2,1,0,5
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,3,3,0,7
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,1,0,0,3
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,4,5,2,1,12
SACACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,4,1,0,1,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,3,3,2,9
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,3,0,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,3,12,9,24
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,2,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,6,4,2,2,14
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,62,54,7,5,128
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,2,0,3
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,3,0,2,2,7
SORATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,1,0,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,6,4,1,5,16
TACACOMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,9,3,3,1,16
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,3,2,0,0,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
TOLATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
TOMINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,5,0,0,6
TUPIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,2,1,1,4
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,0,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,6,4,1,4,15
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,0,1,2,5
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,5,6
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,8,6,0,0,14
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,3,0,1,6
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,1,0,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,3,1,1,7
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,1,0,0,2
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,3,5,8
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,2,0,0,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,3,0,1,6,10
CHUMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,1,0,2
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,15,19,4,5,43
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,2,0,1,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,2,1,3
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,1,1,1,5
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,2,1,0,3
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,4,4,0,1,9
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,14,23,11,13,61
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,2,0,0,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
ESCARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,2,0,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,3,1,0,4
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,1,0,1,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,12,9,3,1,25
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,1,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,8,3,2,3,16
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,2,1,1,5
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,4,5,0,1,10
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,3,27,20,51
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,1,0,0,2
POCOATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
POCONA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,3,0,4
POTOSI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,5,3,1,0,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,6,4,2,1,13
PUNATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,2,1,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,3,2,8,5,18
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,6,4,4,3,17
SACABA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,4,2,4,12
SACACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,0,2,0,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,3,3,1,7
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,1,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,0,15,7,24
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,3,0,0,4
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,1,2,0,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,48,25,11,8,92
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,1,0,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,1,0,1,3
SORACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,3,3,1,0,7
TARIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,8,4,2,1,15
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,1,1,1,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,4,2,0,0,6
UNCIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,1,2,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,1,0,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,6,5,0,0,11
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,2,0,0,1,3
WARNES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,9,7,3,3,22
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,1,2,0,2,5
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,2,3,0,0,5
AYATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,1,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,1,0,2
BAURES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,1,1,2
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,2,0,2
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,1,1,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,1,2,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,2,0,0,2
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,22,17,3,4,46
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,2,1,0,4
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
COMANCHE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,5,1,6
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,0,1,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,2,0,1,1,4
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,2,1,1,0,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,17,18,12,4,51
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,5,4,0,0,9
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,1,0,1,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,1,0,2
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,1,1,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-03-01,0,0,0,2,2
