,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,1,0,2
TAPACARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,1,1,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,2,1,0,0,3
URUBICHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,1,1,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,2,0,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,3,1,0,2,6
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,0,0,0,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,4,5,5,4,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,1,0,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,2,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,6,3,0,0,9
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,1,0,1,4
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,3,0,1,6
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,13,9,23
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,1,2,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,1,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,3,0,3
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,2,0,1,4
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,2,0,0,4
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,1,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,0,0,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,4,1,6
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,0,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,11,4,4,4,23
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,2,0,0,2
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,2,0,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,2,0,2
TOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,1,4,0,0,5
TUPIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-02-01,2,1,0,0,3
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,2,0,0,2
CAIROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,5,4,0,0,9
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,1,1,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,8,4,4,4,20
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,2,0,0,0,2
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,2,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,3,0,1,4
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,1,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,3,0,0,1,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,2,2,0,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,2,0,1,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,2,1,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,6,12,11,7,36
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,1,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,1,0,0,2
TACACOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,1,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,0,1,1,2
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,2,2,0,0,4
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,0,2,0,0,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-03-01,1,0,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,1,1,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,5,2,1,0,8
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,1,2,8,12
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,2,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,2,0,0,1,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,2,3,1,6
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,1,2,4
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,1,0,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,2,2,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,3,1,1,6
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
REYES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,4,8,7,5,24
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,2,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,1,0,0,2
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,1,3,0,2,6
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-04-01,0,1,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,5,3,8
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,2,0,2,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,1,0,1
CUEVO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,8,5,14,19,46
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,8,0,3,3,14
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,1,1,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,2,6,19,28
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,2,0,0,0,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,1,0,0,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,2,0,1,3
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,2,0,1,1,4
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,3,1,0,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,1,0,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-05-01,0,0,1,0,1
