municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,55,55
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,73,73
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,475,475
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,68,68
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,146,146
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,104,104
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,22,22
CHACARILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,118,118
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,831,831
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,306,306
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,94,94
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,134,134
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,310,310
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,53,53
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,355,355
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,30,30
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,175,175
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,252,252
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,22,22
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,32,32
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,318,318
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,337,337
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,321,321
COLLANA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,35,35
COLOMI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,53,53
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,31,31
COLQUECHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,177,177
COLQUENCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,29,29
COLQUIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,48,48
COMANCHE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,13,13
COMARAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,614,614
COMBAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,223,223
CONCEPCION,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,68,68
COPACABANA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,86,86
CORIPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,18,18
CORO CORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,64,64
COROICO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,122,122
CORQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,152,152
COTAGAITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,940,940
COTOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,18,18
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,7,7
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,14,14
CUEVO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,58,58
CULPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,205,205
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,101,101
CURVA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,30,30
EL ALTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,829,829
EL CHORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,113,113
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,20,20
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,428,428
EL TORNO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,25,25
EL VILLAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,303,303
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,344,344
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,152,152
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,25,25
EXALTACION,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,41,41
FILADELFIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,22,22
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,150,150
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,29,29
GUANAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,40,40
GUAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,19,19
HUACARETA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,215,215
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,105,105
HUACHACALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,21,21
HUANUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,287,287
HUARACAJE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,22,22
HUARINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,132,132
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,105,105
HUMANATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,4,4
ICHOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,5,5
ICLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,212,212
INCAHUASI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,336,336
INQUISIVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,22,22
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,157,157
IXIAMAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,14,14
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,170,170
LA ASUNTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,20,20
LA PAZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,26,26
LA RIVERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,8,8
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,187,187
LAJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,98,98
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,35,35
LLALLAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,107,107
LLICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,234,234
LORETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,92,92
LURIBAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,36,36
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,19,19
MACHARETI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,338,338
MAGDALENA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,257,257
MAIRANA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,70,70
MALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,91,91
MECAPACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,5,5
MINEROS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,72,72
MIZQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,267,267
MOCOMOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,271,271
MOJINETE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,55,55
MOJOCOYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,168,168
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,304,304
MONTERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,613,613
MORO MORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,108,108
MOROCHATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,17,17
OCURI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,37,37
OKINAWA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,94,94
OMEREQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,440,440
ORURO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,790,790
PADCAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,515,515
PADILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,85,85
PAILON,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,215,215
PALCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,162,162
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,522,522
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,43,43
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,31,31
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,15,15
PASORAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,280,280
PATACAMAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,16,16
PAZÑA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,118,118
PELECHUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,56,56
POCOATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,417,417
POCONA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,214,214
POJO (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,89,89
POOPO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,123,123
PORCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,129,129
POROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,345,345
PORONGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,24,24
PORTACHUELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,5,5
POSTRER VALLE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,61,61
POTOSI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,622,622
PRESTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,187,187
PUCARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,98,98
PUCARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,239,239
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,79,79
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,127,127
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,429,429
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,157,157
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,120,120
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,15,15
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,497,497
PUNA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,284,284
PUNATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,772,772
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,514,514
QUIME,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,102,102
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,162,162
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,60,60
RAVELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,238,238
REYES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,37,37
RIBERALTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,1111,1111
ROBORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,5,5
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,94,94
SABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,102,102
SACABA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,657,657
SACABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,218,218
SACACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,224,224
SAIPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,105,105
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,545,545
SAMAIPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,20,20
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,10,10
SAN ANDRES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,8,8
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,80,80
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,10,10
SAN BENITO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,97,97
SAN BORJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,91,91
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,15,15
SAN CARLOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,394,394
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,266,266
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,202,202
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,8,8
SAN JOAQUIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,6,6
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,36,36
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,130,130
SAN JULIAN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,606,606
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,149,149
SAN LUCAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,424,424
SAN MATIAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,29,29
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,80,80
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,28,28
SAN PEDRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,738,738
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,113,113
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,34,34
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,68,68
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,54,54
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,264,264
SAN RAMON BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,12,12
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,19,19
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,896,896
SANTA ROSA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,11,11
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,11,11
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,36,36
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,366,366
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,185,185
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,78,78
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,53,53
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,187,187
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,71,71
SHINAOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,174,174
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,148,148
SICAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,105,105
SIPE SIPE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,438,438
SOPACHUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,147,147
SORACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,406,406
SORATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,231,231
SUCRE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,887,887
TACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,33,33
TACACOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,53,53
TACOBAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,4,4
TACOPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,92,92
TAHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,122,122
TAPACARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,101,101
TARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,237,237
TARACO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,4,4
TARATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,118,118
TARIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,827,827
TARVITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,334,334
TEOPONTE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,48,48
TIAHUANACU,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,138,138
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,302,302
TIPUANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,2,2
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,471,471
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,955,955
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,62,62
TOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,179,179
TODOS SANTOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,2,2
TOLATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,55,55
TOLEDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,363,363
TOMAVE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,40,40
TOMINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,301,301
TORO TORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,49,49
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,150,150
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,179,179
TRIGAL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,164,164
TRINIDAD,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,80,80
TUPIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,497,497
