municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en el Establecimiento,TOTAL
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,27,27
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,16,16
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,7,7
PUERTO RICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,3,3
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,22,22
SENA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,3,3
TOMAVE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,51,51
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,5,5
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,9,9
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,6,6
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,5,5
BELLA FLOR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,63,63
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,26,26
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,9,9
MAGDALENA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
MOJINETE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,2,2
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,8,8
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,59,59
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-05-01,25,25
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,7,7
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
COCAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,63,63
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
CURVA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,24,24
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,4,4
EL VILLAR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
GUANAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,8,8
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,16,16
LAJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,6,6
LORETO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
MOJOCOYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,6,6
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
RAVELO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,16,16
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,18,18
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,11,11
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,5,5
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,4,4
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,3,3
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,6,6
YOTALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-06-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,6,6
AIQUILE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,12,12
ALTO BENI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,4,4
BUENA VISTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CAIROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,32,32
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,25,25
CHIPAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,8,8
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,63,63
COLLANA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
COLQUENCHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,25,25
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,10,10
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,11,11
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,4,4
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,13,13
MOJOCOYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,5,5
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,5,5
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,13,13
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,17,17
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,39,39
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SACABA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,27,27
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,41,41
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,4,4
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,13,13
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,5,5
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,4,4
TARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,12,12
TIAHUANACU,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,7,7
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
YACO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,14,14
YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,3,3
YOTALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-07-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,6,6
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,12,12
