,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,2,1,1,5,3,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,8,0,0,4,8,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,4,12,4,16,8,24
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,3,3,1,6,4,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,20,10,0,0,20,10,30
BAURES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,5,0,0,7,5,12
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,4,2,4,2,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,20,21,1,3,21,24,45
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,11,8,5,8,16,16,32
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,4,0,5,0,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,2,2,6,3,8,11
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,9,6,4,3,13,9,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,9,11,9,25,18,43
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,6,6,2,10,8,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,4,5,6,5,10,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,8,2,1,9,9,18
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,5,1,2,7,7,14
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,11,4,0,0,11,4,15
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,40,34,3,4,43,38,81
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,23,2,2,16,25,41
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,21,10,1,0,22,10,32
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,36,40,2,0,38,40,78
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,2,14,12,17,14,31
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,1,3,2,3,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,4,4,4,4,8
CATACORA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,0,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,22,17,2,5,24,22,46
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,4,5,1,12,5,17
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,9,3,8,11,17,28
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,2,6,2,12,4,16
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,15,14,2,3,17,17,34
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,3,0,5,1,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,15,18,0,0,15,18,33
CHUMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,1,2,5,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,5,0,0,2,5,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,3,5,4,5,9
CLIZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,9,2,6,8,15,23
COBIJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,41,59,5,12,46,71,117
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,3,0,0,2,3,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,681,695,7,8,688,703,1391
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,42,28,2,3,44,31,75
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,0,0,0,1,1
COLLANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,0,0,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,16,15,2,1,18,16,34
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,4,2,1,7,5,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,12,6,21,31,33,37,70
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,2,3,3,7,5,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,5,4,6,10,11,21
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,0,2,2,6,2,8
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,15,16,1,1,16,17,33
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,17,12,9,9,26,21,47
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,11,5,3,15,14,29
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,9,4,3,14,12,26
COROICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,2,3,0,9,2,11
CORQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,1,4,0,8,1,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,6,2,4,16,10,26
COTOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,61,50,8,4,69,54,123
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,1,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,15,9,9,1,24,10,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,2,7,2,8,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,11,0,6,8,17,25
CURVA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,5,2,3,4,8,12
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,668,629,81,110,749,739,1488
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,1,2,2,5,3,8
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,10,11,5,19,15,34
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,0,2,4,7,4,11
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,37,50,8,12,45,62,107
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,1,0,0,4,1,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,7,8,7,13,14,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,52,42,0,0,52,42,94
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,1,0,0,3,1,4
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,4,2,4,3,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,4,3,10,5,14,19
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,1,12,1,13,14
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,5,0,1,10,6,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,2,3,3,4,7
GUANAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,5,11,14,19,19,38
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,26,38,6,10,32,48,80
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,4,8,7,8,11,19
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,2,2,5,3,7,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,18,16,1,0,19,16,35
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,3,1,3,1,4
HUARINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,3,3,5,4,9
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,1,1,2,1,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,0,0,0,2,0,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,0,3,0,3,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,3,3,3,3,6
ICLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,1,1,2,2,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,3,1,4,1,5
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,4,1,4,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,6,6,4,11,10,21
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,8,2,1,6,9,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,6,2,2,9,8,17
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,52,34,2,6,54,40,94
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,98,78,7,14,105,92,197
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,668,638,0,2,668,640,1308
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,5,1,1,2,6,8
LAJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,21,21,2,3,23,24,47
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,4,3,4,3,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,1,1,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,10,3,10,11,20,31
LLICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,0,0,1,1,2
LORETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,0,7,6,9,6,15
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,4,0,4,1,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,3,0,2,1,5,6
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,11,6,6,12,17,29
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,9,13,0,0,9,13,22
MALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,0,1,2,2,4
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,12,6,1,0,13,6,19
MECAPACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,7,2,0,12,7,19
MINEROS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,16,14,0,0,16,14,30
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,11,4,13,16,24,20,44
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,3,6,3,9,6,15
MOJINETE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,0,0,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,6,0,0,2,6,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,20,15,1,1,21,16,37
MONTERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,105,104,7,4,112,108,220
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,0,0,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,2,5,5,9,7,16
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,1,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,6,1,1,6,7,13
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,13,0,0,10,13,23
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,11,6,11,6,17
ORURO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,315,291,10,5,325,296,621
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,12,13,7,7,19,20,39
PADILLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,8,0,0,4,8,12
PAILON,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,17,16,12,6,29,22,51
PALCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,20,16,4,4,24,20,44
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,19,4,5,12,24,36
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,5,1,2,8,7,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,2,0,0,6,2,8
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,13,12,0,0,13,12,25
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,2,1,1,1,3,4
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,3,3,2,3,5,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,10,8,11,8,19
POCONA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,7,10,7,10,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,7,7,2,1,9,8,17
POOPO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,3,1,0,3,3,6
PORCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,8,7,5,12,13,25
POROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,2,3,1,6,3,9
PORONGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,2,10,10,13,12,25
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,20,17,0,0,20,17,37
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,6,0,2,2,8,10
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,1,0,0,4,1,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,193,207,33,23,226,230,456
PRESTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,2,3,0,3,2,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,17,17,5,5,22,22,44
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,3,1,3,4
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,4,4,2,10,6,16
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,1,4,7,7,8,15
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,9,12,3,3,12,15,27
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,8,7,8,7,15
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,21,16,2,0,23,16,39
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,29,37,3,8,32,45,77
PUNA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,3,7,5,15,8,23
PUNATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,16,17,8,4,24,21,45
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,2,3,3,5,5,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,62,80,69,87,131,167,298
QUIME,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,4,8,5,9,14
RAVELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,1,0,0,4,1,5
REYES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,13,5,2,1,15,6,21
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,46,51,20,17,66,68,134
ROBORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,13,8,14,14,27,41
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,16,12,4,1,20,13,33
SABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,4,4,3,1,7,5,12
SACABA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,106,109,6,8,112,117,229
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,1,1,2,1,3
SACACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,2,2,1,4,3,7
SAIPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,6,9,6,9,15
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,6,6,8,7,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,5,0,0,8,5,13
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,5,5,6,6,12
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,4,1,0,6,4,10
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,4,1,2,6,6,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,3,4,5,7,8,15
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,47,36,2,1,49,37,86
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,5,7,9,4,14,11,25
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,22,15,5,9,27,24,51
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,13,17,1,2,14,19,33
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,43,48,8,7,51,55,106
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,10,20,10,20,30
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,11,9,0,0,11,9,20
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,4,0,0,3,4,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,12,10,11,4,23,14,37
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,1,3,0,6,1,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,41,28,22,14,63,42,105
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,3,2,3,2,6,8
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,10,1,0,9,10,19
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,7,11,11,17,18,35
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,25,6,6,20,31,51
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,13,7,3,3,16,10,26
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,1,0,0,0,1,1
