,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,3,2,0,0,3,2,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,7,5,1,3,8,8,16
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,1,0,0,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,2,2,0,0,2,2,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,5,3,0,1,5,4,9
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,5,2,2,3,7,10
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,2,0,0,1,2,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,1,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,1,0,1,1,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,4,1,0,2,4,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,2,0,0,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,2,1,2,1,3
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,1,1,1,2
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,11,16,0,0,11,16,27
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,1,0,0,1,1,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,1,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,2,0,0,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,1,0,0,1,1,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,7,12,0,0,7,12,19
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,3,2,0,0,3,2,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,2,2,0,0,2,2,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,1,1,0,0,1,1,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-01-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,1,0,0,2,1,3
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,1,0,2,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,2,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,5,4,2,0,7,4,11
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,10,2,5,2,15,4,19
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,0,0,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,1,0,0,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,0,0,0,2,0,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,0,1,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,3,1,0,3,3,6
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,1,0,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,0,0,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,1,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,4,1,0,0,4,1,5
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,2,0,0,0,2,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,2,1,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,2,2,2,3,5
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,13,12,1,0,14,12,26
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,1,1,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,5,2,1,0,6,2,8
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,2,2,0,0,2,2,4
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,0,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,1,1,0,0,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,2,0,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-02-01,0,1,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,1,1,1,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,1,0,0,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,1,0,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,2,1,2,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,6,2,1,0,7,2,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,1,0,0,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,2,0,1,0,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,13,2,5,1,18,3,21
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,2,0,0,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,1,1,1,2
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,2,1,0,1,2,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,5,3,0,0,5,3,8
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,3,1,1,2,4,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,2,0,0,0,2,0,2
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,4,5,0,0,4,5,9
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,8,10,8,10,18
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,4,1,1,3,5,4,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,1,1,2,2,3,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,2,1,1,0,3,1,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,2,2,1,2,3,5
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,5,2,0,0,5,2,7
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,3,2,1,2,4,4,8
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,4,3,4,3,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,21,11,0,1,21,12,33
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,1,1,1,2
SENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,1,0,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,0,0,1,0,1,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,1,0,0,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,2,3,0,1,2,4,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,1,0,0,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,3,5,0,0,3,5,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-03-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,5,1,1,1,6,2,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,0,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,0,3,1,3,1,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,2,0,1,1,3,1,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,7,7,6,2,13,9,22
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,2,0,0,0,2,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,1,1,1,1,2,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,5,2,0,0,5,2,7
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,1,0,0,1,1,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,1,0,0,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2017-04-01,0,0,1,0,1,0,1
