,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,2,1,1,5,3,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,7,0,0,3,7,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,4,7,3,10,7,17
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,3,3,1,6,4,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,19,11,0,0,19,11,30
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,7,5,0,0,7,5,12
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,4,2,4,2,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,21,19,3,1,24,20,44
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,12,8,5,8,17,16,33
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,4,0,5,1,6
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,2,2,6,3,8,11
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,6,4,3,13,9,22
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,15,8,11,8,26,16,42
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,6,6,2,9,8,17
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,3,2,5,4,8,12
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,7,8,1,0,8,8,16
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,0,0,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,5,1,2,7,7,14
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,3,0,1,10,4,14
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,34,30,1,5,35,35,70
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,22,2,2,15,24,39
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,2,0,0,0,2,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,20,9,1,0,21,9,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,35,40,5,0,40,40,80
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,2,14,12,18,14,32
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,1,3,2,3,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,4,4,4,4,8
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,0,1,0,1
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,19,15,2,5,21,20,41
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,6,5,1,13,7,20
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,8,3,8,12,16,28
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,2,3,2,5,4,9
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,13,1,1,11,14,25
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,15,18,0,0,15,18,33
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,1,2,5,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,5,1,1,3,6,9
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,9,2,6,8,15,23
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,41,58,5,12,46,70,116
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,586,581,4,5,590,586,1176
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,39,30,2,2,41,32,73
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,12,2,1,15,13,28
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,4,1,0,6,4,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,17,10,16,19,33,29,62
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,2,3,3,7,5,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,6,4,6,12,12,24
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,1,1,3,2,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,14,16,1,1,15,17,32
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,17,12,9,9,26,21,47
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,11,11,6,5,17,16,33
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,9,3,3,13,12,25
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,4,3,0,3,4,7
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,2,4,1,7,3,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,14,6,2,4,16,10,26
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,53,45,8,4,61,49,110
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,15,9,9,1,24,10,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,2,0,0,0,2,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,2,7,2,8,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,11,1,4,11,15,26
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,0,0,2,1,3
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,5,2,3,4,8,12
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,656,618,82,109,738,727,1465
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,1,2,3,2,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,8,9,5,18,13,31
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,0,3,4,8,4,12
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,37,49,8,13,45,62,107
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,1,0,0,4,1,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,6,8,7,13,13,26
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,50,42,0,0,50,42,92
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,0,0,2,0,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,2,0,4,1,5
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,11,4,1,7,12,11,23
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,1,12,1,13,14
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,5,0,1,10,6,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,2,3,4,3,7
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,5,11,14,19,19,38
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,23,31,7,8,30,39,69
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,4,5,6,5,10,15
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,2,2,5,3,7,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,17,13,0,0,17,13,30
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,4,2,4,2,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,3,3,5,4,9
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,1,1,2,1,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,0,0,2,0,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,3,0,3,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,2,1,2,3
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,3,1,4,2,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,3,1,4,2,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,4,1,4,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,7,7,5,2,12,9,21
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,9,2,3,7,12,19
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,6,2,2,8,8,16
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,52,35,2,6,54,41,95
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,86,72,5,13,91,85,176
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,599,612,0,2,599,614,1213
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,5,1,1,2,6,8
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,20,20,2,2,22,22,44
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,4,4,4,4,8
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,1,1,1,2,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,4,1,4,5
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,7,6,9,6,15
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,4,0,4,1,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,4,0,2,1,6,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,11,6,6,12,17,29
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,13,0,0,9,13,22
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,0,1,2,2,4
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,12,6,0,0,12,6,18
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,6,2,0,11,6,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,16,13,0,0,16,13,29
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,11,4,13,16,24,20,44
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,3,6,3,9,6,15
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,0,0,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,6,0,0,2,6,8
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,27,18,1,1,28,19,47
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,113,119,7,4,120,123,243
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,0,0,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,3,3,3,5,6,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,1,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,4,0,1,4,5,9
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,13,0,0,10,13,23
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,11,6,11,6,17
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,299,265,10,9,309,274,583
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,12,4,3,17,15,32
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,8,0,0,4,8,12
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,21,15,10,7,31,22,53
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,22,15,3,2,25,17,42
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,11,25,4,2,15,27,42
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,0,0,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,7,5,1,2,8,7,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,2,0,0,6,2,8
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,11,0,2,13,13,26
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,2,1,1,1,3,4
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,3,3,2,3,5,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,13,10,14,10,24
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,4,5,6,5,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,5,2,1,6,6,12
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,3,1,0,3,3,6
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,8,7,5,12,13,25
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,2,3,2,6,4,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,2,10,10,13,12,25
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,21,14,0,0,21,14,35
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,6,0,2,2,8,10
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,1,0,0,4,1,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,187,207,35,25,222,232,454
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,3,3,0,3,3,6
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,17,20,5,5,22,25,47
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,3,1,3,4
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,4,4,2,10,6,16
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,1,4,7,7,8,15
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,25,15,1,5,26,20,46
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,8,7,8,7,15
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,20,15,0,0,20,15,35
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,22,32,3,8,25,40,65
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,3,8,5,16,8,24
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,16,17,7,4,23,21,44
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,2,3,3,5,5,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,59,77,69,87,128,164,292
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,4,8,5,9,14
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,0,0,0,4,0,4
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,5,2,1,15,6,21
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,43,49,20,17,63,66,129
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,13,7,15,13,28,41
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,6,3,1,13,7,20
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,4,3,0,6,4,10
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,111,121,6,8,117,129,246
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,1,1,1,1,2
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,5,8,5,8,13
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,6,6,8,7,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,6,0,0,9,6,15
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,5,5,7,6,13
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,4,1,0,6,4,10
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,4,1,2,6,6,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,3,4,4,7,7,14
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,37,31,2,1,39,32,71
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,5,7,9,4,14,11,25
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,22,14,5,9,27,23,50
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,22,10,2,2,24,12,36
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,43,48,8,7,51,55,106
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,1,10,20,11,21,32
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,11,9,0,0,11,9,20
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,4,0,0,3,4,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,12,10,11,4,23,14,37
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,1,3,0,6,1,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,41,28,15,12,56,40,96
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,14,13,1,0,15,13,28
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,9,9,9,17,18,35
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,14,25,6,5,20,30,50
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,13,7,3,3,16,10,26
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,9,6,5,12,14,26
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,12,14,9,5,21,19,40
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,4,1,0,4,4,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,0,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,0,4,6,6,6,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,5,2,5,2,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,11,3,2,13,13,26
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,12,12,4,3,16,15,31
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1401,1271,14,7,1415,1278,2693
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,4,7,0,0,4,7,11
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,3,3,7,11,10,21
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,2,0,0,1,2,3
