,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,0,0,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,2,0,0,0,2,2
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,3,2,1,4,4,6,10
POOPO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,1,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,3,0,0,2,3,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,4,5,0,1,4,6,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,5,5,0,0,5,5,10
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,1,2,1,2,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,2,0,0,2,2,4
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,3,0,0,2,3,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,1,1,1,1,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,8,8,0,0,8,8,16
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,1,0,0,1,1,2
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,4,3,0,0,4,3,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,1,1,0,1,1,2
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,3,7,0,0,3,7,10
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,1,0,0,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,0,0,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,2,0,0,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,2,0,0,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,1,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,1,0,2,0,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,2,0,0,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,1,1,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,3,2,0,0,3,2,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,2,0,1,1,3,4
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,5,6,1,3,6,9,15
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,4,0,0,1,4,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,6,5,0,0,6,5,11
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,1,2,2,2,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,5,0,0,1,5,1,6
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,2,0,0,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,2,0,0,1,2,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,1,1,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,1,2,1,3,4
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,15,6,0,0,15,6,21
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,1,0,1,1,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,0,1,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,0,0,1,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,3,0,0,3,3,3,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,1,0,0,1,1,2
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,0,1,0,0,0,1,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,1,0,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,2,1,1,0,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,1,1,1,0,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-02-01,2,1,1,0,3,1,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,3,0,0,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,2,0,0,1,2,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,3,1,0,0,3,1,4
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,3,1,0,0,3,1,4
CHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,1,1,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,1,1,1,2
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,2,0,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,2,4,2,2,4,6,10
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,1,2,2,2,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,7,4,1,0,8,4,12
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,2,0,0,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,6,11,0,0,6,11,17
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,4,4,4,4,8
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
POCONA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,6,2,0,0,6,2,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,2,2,0,1,2,3,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,5,3,0,0,5,3,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,2,4,0,0,2,4,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,1,2,2,3,3,6
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,2,0,0,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,2,0,3,3
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,2,0,0,1,2,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,3,1,0,0,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,4,3,5,3,8
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,5,12,0,0,5,12,17
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,1,2,1,3,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,2,3,0,0,2,3,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,3,0,0,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-03-01,2,0,0,0,2,0,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,0,0,0,2,0,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,1,0,1,1,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,2,0,1,0,3,3
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,0,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,6,1,0,1,6,2,8
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,1,0,2,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,3,1,1,0,4,1,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,4,1,2,3,6,4,10
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,4,4,4,4,8
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,12,4,0,0,12,4,16
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,2,1,0,3,2,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,1,0,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,0,0,3,2,3,5
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,0,1,1,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,2,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,0,1,1,2
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,3,1,0,1,3,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,1,1,1,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,12,9,0,0,12,9,21
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,0,0,0,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,5,0,0,2,5,7
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,3,0,0,0,3,0,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,0,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,1,1,0,1,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,2,1,0,0,2,1,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-04-01,0,0,1,1,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,0,0,1,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,2,0,1,0,3,3
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,0,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,1,1,0,2,1,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,1,0,0,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,4,7,1,2,5,9,14
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,0,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-05-01,0,1,0,0,0,1,1
