,group,variable,month,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
COROICO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,34,25,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,31,78
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,57,67,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,68,130
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
OCURI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ORURO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,31,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,69
PAILON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
POOPO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PORCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
PUCARANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,67
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,8,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,93,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,116,209
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,18,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,44
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,11,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,27
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,36,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,74
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
ORURO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PORCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,68
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,80,81,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,85,165
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-02-01,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,33
ORURO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-04-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
ARBIETO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,32
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,14,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESCARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,20,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,45
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INQUISIVI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,47,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,57,104
LORETO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
MOJINETE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
ORURO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,30,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,58
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
PAILON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
PATACAMAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PORCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,16,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,44
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO RICO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-05-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
