,group,variable,month,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ARANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
ARBIETO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,14,26,3,4,0,0,0,0,1,0,0,0,0,1,0,0,18,31,49
ARQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,32,25,2,3,5,5,1,0,0,0,0,0,0,0,0,0,40,33,73
ATOCHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
AUCAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
AYATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AYO AYO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
AZURDUY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
BATALLAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,17,24
BAURES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,6
BELLA FLOR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
BERMEJO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,21,23,0,0,3,2,0,0,0,0,0,0,0,0,0,0,24,25,49
BETANZOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,13,11,7,4,0,0,0,0,1,0,0,0,0,0,0,0,21,15,36
BOLIVAR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
BOLPEBRA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
BOYUIBE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
BUENA VISTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,7,10,17
CABEZAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,21,16,1,5,0,0,0,0,0,0,0,0,1,0,0,0,23,21,44
CAIROMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
"CAIZA ""D""",vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
CAJUATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,8,14
CALACOTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CALAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,7,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,8,10,18
CAMARGO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,17,9,26
CAPINOTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,17,13,3,1,0,0,0,0,0,0,0,0,1,1,0,0,21,15,36
CAQUIAVIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
CARACOLLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,24
CARANAVI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,30,32,0,4,0,0,0,0,1,2,0,0,1,1,0,0,32,39,71
CARAPARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
CARIPUYO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,3,8,6,1,0,0,0,0,0,0,0,0,0,0,0,9,9,18
CATACORA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHACARILLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHALLAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,14,16,7,8,2,0,0,0,1,0,0,0,0,0,0,0,24,24,48
CHAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CHARAGUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,13,22,16,0,0,3,1,0,0,0,0,0,0,0,0,35,30,65
CHARAÑA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHAYANTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
CHIMORE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,19,13,2,1,1,2,0,1,1,0,0,0,1,0,0,0,24,17,41
CHIPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHOQUE COTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHUA COCANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,9,15,2,1,0,0,0,0,1,1,0,0,1,0,0,0,13,17,30
CHUMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CKOCHAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
CLIZA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,11,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,24
COBIJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,17,21,13,9,0,0,0,0,0,0,0,0,0,0,0,0,30,30,60
COCAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,3,5,2,0,1,0,0,0,1,0,0,0,0,1,0,9,7,16
COCHABAMBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,405,380,12,7,10,14,3,0,8,6,2,3,14,19,3,2,457,431,888
COIPASA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COLCAPIRHUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,25,17,0,0,0,0,0,0,0,2,0,1,1,2,0,0,26,22,48
"COLCHA ""K""",vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
COLLANA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
COLOMI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,8,7,11,6,0,0,1,0,0,0,0,0,0,1,0,0,20,14,34
COLPA BELGICA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,7,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,10,5,15
COLQUECHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,12,13,6,9,0,0,0,0,0,1,0,0,0,0,0,0,18,23,41
COLQUENCHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
COLQUIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,6,3,3,5,2,0,0,0,1,0,0,0,2,1,0,0,14,9,23
COMANCHE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMARAPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20
CONCEPCION,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,20,28,3,3,2,0,0,0,0,0,0,0,1,0,1,1,27,32,59
CORIPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,13,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,16,10,26
CORO CORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
COROICO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,9,16
CORQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COTAGAITA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,26
COTOCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,65,55,8,6,3,3,0,0,3,3,1,1,1,1,0,0,81,69,150
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,15,17,6,1,0,0,0,1,0,0,0,0,0,1,0,0,21,20,41
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CUEVO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CULPINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CURVA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DESAGUADERO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,7
EL ALTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,460,433,106,119,26,21,9,9,17,28,4,2,12,15,9,10,643,637,1280
EL CHORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
EL PUENTE(STC),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,4,14
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
EL TORNO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,29,26,0,1,0,0,0,0,2,1,0,0,0,0,0,0,31,28,59
EL VILLAR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,13,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,41,35,1,5,0,1,0,0,0,0,1,1,1,2,0,0,44,44,88
ESCARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ESCOMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
EUCALIPTUS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
EXALTACION,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,16,12,28
FILADELFIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,7,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,13,22
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
GUANAY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,7,4,5,1,0,1,0,0,0,0,0,1,0,0,0,12,12,24
GUAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GUAYARAMERIN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,28,20,7,5,1,1,2,1,0,0,0,0,0,1,1,0,39,28,67
GUTIERREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,13,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
HUACARETA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
HUACHACALLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUANUNI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,4,6,3,0,0,0,0,0,0,0,1,0,0,0,0,10,8,18
HUARINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
HUMANATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,7
ICHOCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ICLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
INCAHUASI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,5,3,4,10,0,0,0,0,0,1,0,0,0,0,0,0,9,14,23
INQUISIVI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,2,5,3,0,1,0,0,0,0,0,0,1,1,0,0,9,7,16
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,8,6,4,11,0,0,0,1,0,0,1,0,0,1,0,0,13,19,32
IXIAMAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,4,6,3,0,1,0,0,0,0,0,0,1,0,0,0,10,8,18
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
LA ASUNTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,45,29,3,3,0,1,0,1,3,0,0,0,0,0,0,0,51,34,85
LA GUARDIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,67,53,0,3,1,1,0,0,0,0,0,0,3,2,1,1,72,60,132
LA PAZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,409,395,16,10,32,36,0,1,4,10,1,1,43,22,3,0,508,475,983
LAGUNILLAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
LAJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,10,8,2,0,0,1,0,0,0,0,0,0,0,0,0,19,12,31
LAS CARRERAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LICOMA PAMPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
LLALLAGUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,17,31,20,3,0,0,0,1,0,1,0,0,0,1,0,47,37,84
LLICA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
LORETO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LURIBAY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
