,group,variable,month,BCG < A 1 AÑO - D,BCG < A 1 AÑO - D,BCG < A 1 AÑO - F,BCG < A 1 AÑO - F,BCG 12 A 23 MESES - D,BCG 12 A 23 MESES - D,BCG 12 A 23 MESES - F,BCG 12 A 23 MESES - F,BCG 2 AÑOS - D,BCG 2 AÑOS - D,BCG 2 AÑOS - F,BCG 2 AÑOS - F,BCG 3 AÑOS - D,BCG 3 AÑOS - D,BCG 3 AÑOS - F,BCG 3 AÑOS - F,BCG 4 AÑOS - D,BCG 4 AÑOS - D,BCG 4 AÑOS - F,BCG 4 AÑOS - F,TOTALES,TOTALES,TOTALES
AYATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
AYO AYO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,bcg,2024-01-01,10,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,18
AZURDUY,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
BATALLAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,7,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
BAURES,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELEN DE URMIRI,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,vacunacion en menores  de 5 anos,bcg,2024-01-01,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,39
BETANZOS,vacunacion en menores  de 5 anos,bcg,2024-01-01,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26
BOLIVAR,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
BOYUIBE,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BUENA VISTA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CABEZAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
CAIROMA,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
"CAIZA ""D""",vacunacion en menores  de 5 anos,bcg,2024-01-01,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CAJUATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CALACOTO,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
CALAMARCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
CAMARGO,vacunacion en menores  de 5 anos,bcg,2024-01-01,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19
CAMIRI,vacunacion en menores  de 5 anos,bcg,2024-01-01,23,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,41
CAPINOTA,vacunacion en menores  de 5 anos,bcg,2024-01-01,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21
CAQUIAVIRI,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
CARACOLLO,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
CARANAVI,vacunacion en menores  de 5 anos,bcg,2024-01-01,32,40,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,76
CARAPARI,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
CARIPUYO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
CATACORA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHACARILLA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHALLAPATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,21,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,50
CHAQUI,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CHARAGUA,vacunacion en menores  de 5 anos,bcg,2024-01-01,10,13,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,47
CHARAÑA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHAYANTA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
CHIMORE,vacunacion en menores  de 5 anos,bcg,2024-01-01,17,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29
CHIPAYA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CHUA COCANI,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,bcg,2024-01-01,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
CHUMA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
CKOCHAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
CLIZA,vacunacion en menores  de 5 anos,bcg,2024-01-01,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
COBIJA,vacunacion en menores  de 5 anos,bcg,2024-01-01,54,56,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,114
COCAPATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20
COCHABAMBA,vacunacion en menores  de 5 anos,bcg,2024-01-01,560,523,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,526,1091
COLCAPIRHUA,vacunacion en menores  de 5 anos,bcg,2024-01-01,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,59
"COLCHA ""K""",vacunacion en menores  de 5 anos,bcg,2024-01-01,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
COLLANA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLOMI,vacunacion en menores  de 5 anos,bcg,2024-01-01,8,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
COLPA BELGICA,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
COLQUECHACA,vacunacion en menores  de 5 anos,bcg,2024-01-01,6,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28
COLQUENCHA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COLQUIRI,vacunacion en menores  de 5 anos,bcg,2024-01-01,8,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30
COMANCHE,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COMARAPA,vacunacion en menores  de 5 anos,bcg,2024-01-01,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
CONCEPCION,vacunacion en menores  de 5 anos,bcg,2024-01-01,20,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
CORIPATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
CORO CORO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COROICO,vacunacion en menores  de 5 anos,bcg,2024-01-01,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
CORQUE,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTAGAITA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14
COTOCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,51,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,48,99
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,13,14,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42
CUEVO,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CULPINA,vacunacion en menores  de 5 anos,bcg,2024-01-01,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CURVA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DESAGUADERO,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
EL ALTO,vacunacion en menores  de 5 anos,bcg,2024-01-01,533,512,60,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,556,1149
EL CHORO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EL PUENTE(STC),vacunacion en menores  de 5 anos,bcg,2024-01-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,bcg,2024-01-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
EL TORNO,vacunacion en menores  de 5 anos,bcg,2024-01-01,27,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,56
EL VILLAR,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,bcg,2024-01-01,26,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,48
ESCOMA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EUCALIPTUS,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EXALTACION,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
FILADELFIA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,bcg,2024-01-01,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
GIA-TIM,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
GUANAY,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16
GUAQUI,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,bcg,2024-01-01,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,70
GUTIERREZ,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
HUACARAJE,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACARETA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
HUACHACALLA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUANUNI,vacunacion en menores  de 5 anos,bcg,2024-01-01,12,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
HUARINA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
HUATAJATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUAYLLAMARCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUMANATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
ICHOCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ICLA,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
INCAHUASI,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,bcg,2024-01-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
INQUISIVI,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,bcg,2024-01-01,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
IXIAMAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
JESUS DE MACHACA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
LA ASUNTA,vacunacion en menores  de 5 anos,bcg,2024-01-01,28,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,52
LA GUARDIA,vacunacion en menores  de 5 anos,bcg,2024-01-01,53,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,40,93
LA PAZ,vacunacion en menores  de 5 anos,bcg,2024-01-01,643,587,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,597,1248
LAGUNILLAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LAJA,vacunacion en menores  de 5 anos,bcg,2024-01-01,7,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23
LAS CARRERAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
LLALLAGUA,vacunacion en menores  de 5 anos,bcg,2024-01-01,18,21,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,85
LLICA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
LORETO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LURIBAY,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
MACHACAMARCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MACHARETI,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
MAGDALENA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
MAIRANA,vacunacion en menores  de 5 anos,bcg,2024-01-01,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
MAPIRI,vacunacion en menores  de 5 anos,bcg,2024-01-01,6,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
MECAPACA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
MINEROS,vacunacion en menores  de 5 anos,bcg,2024-01-01,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28
MIZQUE,vacunacion en menores  de 5 anos,bcg,2024-01-01,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,29
MOCOMOCO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
MOJOCOYA,vacunacion en menores  de 5 anos,bcg,2024-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
MONTEAGUDO,vacunacion en menores  de 5 anos,bcg,2024-01-01,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,39
MONTERO,vacunacion en menores  de 5 anos,bcg,2024-01-01,124,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,146,270
MOROCHATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OCURI,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
OKINAWA,vacunacion en menores  de 5 anos,bcg,2024-01-01,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
OMEREQUE,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ORURO,vacunacion en menores  de 5 anos,bcg,2024-01-01,275,256,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,262,542
PADCAYA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
PADILLA,vacunacion en menores  de 5 anos,bcg,2024-01-01,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
PAILON,vacunacion en menores  de 5 anos,bcg,2024-01-01,25,23,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,62
PALCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,6,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26
PALOS BLANCOS,vacunacion en menores  de 5 anos,bcg,2024-01-01,10,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,34
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAMPA GRANDE,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PAPEL PAMPA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PASORAPA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
