,group,variable,month,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ARBIETO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,12,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,32
ARQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
ATOCHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
AUCAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
AYATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
AYO AYO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
AZURDUY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
BATALLAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
BAURES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELEN DE URMIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
BERMEJO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,17,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30
BETANZOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,13,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,29
BOLIVAR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
BOYUIBE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
BUENA VISTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
CABEZAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24
CAIROMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
"CAIZA ""D""",vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
CAJUATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
CALACOTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CALAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15
CAMARGO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,14,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
CAPINOTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,24
CAQUIAVIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
CARACOLLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,16,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31
CARANAVI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,26,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,48
CARAPARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
CARIPUYO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
CATACORA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,19,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,44
CHAQUI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CHARAGUA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,19,11,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,56
CHARAÑA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHAYANTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CHIMORE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,12,18,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,39
CHIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHOQUE COTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUA COCANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21
CHUMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
CKOCHAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
CLIZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
COBIJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,16,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,46
COCAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,7,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
COCHABAMBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,386,424,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,427,816
COLCAPIRHUA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,57
"COLCHA ""K""",vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
COLLANA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COLOMI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
COLPA BELGICA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
COLQUECHACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,9,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
COLQUENCHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
COLQUIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,11,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,29
COMARAPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
COMBAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,25,14,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,52
CORIPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
CORO CORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COROICO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
CORQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
COTAGAITA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
COTOCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,43,40,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,42,94
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,15,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,26
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CUEVO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CULPINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CURVA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
DESAGUADERO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
EL ALTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,477,448,96,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,573,1146
EL CHORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
EL PUENTE(STC),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
EL TORNO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
EL VILLAR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,16,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,25
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,32,36,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,75
ESCARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESCOMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EUCALIPTUS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
EXALTACION,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
FILADELFIA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
GIA-TIM,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,6,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
GUANAY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,9,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
GUAQUI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
GUAYARAMERIN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,49
GUTIERREZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
HUACARAJE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACARETA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUACHACALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUANUNI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
HUARINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
HUATAJATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
HUMANATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ICHOCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ICLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
INCAHUASI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
INQUISIVI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16
IXIAMAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
LA ASUNTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,33,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,70
LA GUARDIA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,29,66
LA PAZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,378,335,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,344,732
LAGUNILLAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
LAJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,7,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,23
LAS CARRERAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
