,group,variable,month,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,32,23,15,8,6,5,0,2,5,9,1,1,12,10,0,1,71,59,130
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,191,156,4,5,7,2,0,0,1,4,1,0,2,3,1,0,207,170,377
MONTERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,4,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20
OCURI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ORURO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26
PAILON,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
POCOATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
POOPO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
PORCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
POTOSI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,13,17,4,5,0,0,0,0,0,0,0,0,0,0,0,0,17,22,39
PUCARANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
QUIME,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,64
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,43
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,15,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,19,21,40
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,14,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,11,26
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,50,107
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UYUNI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
VIACHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,6,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,6,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,9,16
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-01-01,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,12,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8,9,17
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMANCHE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CORQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DESAGUADERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,14,12,10,5,0,0,2,0,0,0,6,3,1,0,9,9,42,29,71
ESCARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ICHOCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,45,56,0,2,2,0,0,0,0,0,0,0,0,0,0,0,47,58,105
MONTERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
OCURI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ORURO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,11,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,7,20
POCOATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
PORCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
PUNA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
RAVELO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,45
SACACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,17,11,11,13,0,0,0,0,0,0,0,0,0,0,0,0,28,24,52
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,80,68,2,3,0,0,0,0,0,0,0,0,0,0,0,0,82,71,153
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SORACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YACO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,11,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,12,9,21
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-02-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GIA-TIM,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PORCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUCARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,5,3,0,0,1,2,0,0,0,1,0,0,0,1,0,0,6,7,13
COBIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,46,53,13,7,2,1,0,1,1,0,0,0,3,3,0,0,65,65,130
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GIA-TIM,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,108,85,2,0,1,0,0,0,0,0,0,0,0,0,0,0,111,85,196
MACHACAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
NAZACARA DE PACAJES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ORURO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,33,27,13,17,0,1,0,0,0,1,0,0,0,1,0,0,46,47,93
PAILON,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PATACAMAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
POTOSI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,90,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,74,165
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,33,28,6,5,0,0,0,0,0,0,0,0,0,0,0,0,39,33,72
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,36,38,3,6,0,0,0,0,0,0,0,0,0,0,0,0,39,44,83
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SUCRE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,77,70,3,6,8,8,2,4,6,6,1,2,7,5,2,1,106,102,208
TARIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
TURCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VIACHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
YOTALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-04-01,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
ACACIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,4,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,17,23,13,23,0,0,0,0,0,0,0,0,0,0,0,0,30,46,76
