,group,variable,month,PENTAVALENTE 4TA DOSIS < A 1 AÑO - D,PENTAVALENTE 4TA DOSIS < A 1 AÑO - D,PENTAVALENTE 4TA DOSIS < A 1 AÑO - F,PENTAVALENTE 4TA DOSIS < A 1 AÑO - F,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 4TA DOSIS 2 AÑOS - D,PENTAVALENTE 4TA DOSIS 2 AÑOS - D,PENTAVALENTE 4TA DOSIS 2 AÑOS - F,PENTAVALENTE 4TA DOSIS 2 AÑOS - F,PENTAVALENTE 4TA DOSIS 3 AÑOS - D,PENTAVALENTE 4TA DOSIS 3 AÑOS - D,PENTAVALENTE 4TA DOSIS 3 AÑOS - F,PENTAVALENTE 4TA DOSIS 3 AÑOS - F,PENTAVALENTE 4TA DOSIS 4 AÑOS - D,PENTAVALENTE 4TA DOSIS 4 AÑOS - D,PENTAVALENTE 4TA DOSIS 4 AÑOS - F,PENTAVALENTE 4TA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ARANI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
ARBIETO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,15,12,1,2,0,0,1,0,2,0,0,0,0,0,0,0,19,14,33
ARQUE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,22,19,1,3,4,6,0,0,0,0,0,0,0,0,0,0,27,28,55
ATOCHA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,5,2,0,1,0,1,0,0,0,0,1,0,0,0,0,8,6,14
AUCAPATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
AYATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
AYO AYO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,6,6,12
AZURDUY,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
BATALLAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,7,13,1,1,0,0,0,0,1,0,1,1,0,0,0,0,10,15,25
BAURES,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
BERMEJO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,24,15,0,0,3,0,0,0,1,0,0,0,1,0,0,0,29,15,44
BETANZOS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,10,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,20,32
BOLIVAR,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BOLPEBRA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BOYUIBE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
BUENA VISTA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,11,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,15,9,24
CABEZAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,10,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,13,9,22
CAIROMA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,6,1,1,0,0,0,0,0,0,0,0,4,3,1,0,10,10,20
"CAIZA ""D""",vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,7,14
CAJUATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,7,18
CALACOTO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CALAMARCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,9,6,15
CAMARGO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,10
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4
CAMIRI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,11,5,1,0,1,2,0,0,1,1,0,0,0,0,0,0,14,8,22
CAPINOTA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,10,12,2,2,0,1,0,0,0,0,0,0,1,0,0,0,13,15,28
CAQUIAVIRI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CARACOLLO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,11,7,2,4,0,0,1,0,0,0,0,0,0,0,0,0,14,11,25
CARANAVI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,23,23,1,1,0,3,1,2,0,1,0,0,0,0,0,0,25,30,55
CARAPARI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
CARIPUYO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,4,2,4,0,0,1,1,0,0,0,2,0,0,0,0,7,11,18
CATACORA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHACARILLA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3
CHALLAPATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,12,15,4,5,1,0,0,1,0,1,1,2,2,0,0,0,20,24,44
CHAQUI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CHARAGUA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,10,6,4,4,2,1,3,3,0,0,0,1,0,0,0,0,19,15,34
CHARAÑA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
CHAYANTA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHIMORE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,16,15,4,3,1,0,1,1,1,0,0,0,2,1,0,0,25,20,45
CHUA COCANI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,7,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9,8,17
CHUMA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
CKOCHAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
CLIZA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,13,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,15,6,21
COBIJA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,13,19,8,6,1,1,1,0,0,2,0,0,0,0,0,1,23,29,52
COCAPATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,7,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,9,7,16
COCHABAMBA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,15,14,0,0,311,252,5,12,43,46,6,4,14,12,3,2,10,9,3,4,410,355,765
COLCAPIRHUA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,17,17,0,2,2,2,1,1,2,1,0,1,0,1,0,0,22,25,47
"COLCHA ""K""",vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,7,15
COLLANA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COLOMI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,12,9,3,3,0,0,0,2,0,0,1,0,0,2,0,0,16,16,32
COLPA BELGICA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
COLQUECHACA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,7,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,10,5,15
COLQUENCHA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,9
COLQUIRI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,3,3,1,0,1,0,0,2,1,0,0,0,0,0,0,11,6,17
COMANCHE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COMARAPA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,13
COMBAYA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,12,16,1,5,3,4,0,0,0,0,0,0,0,0,0,0,16,25,41
CORIPATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
CORO CORO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
COROICO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,9,3,1,2,1,0,0,0,0,1,0,0,0,0,0,12,11,23
CORQUE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COTAGAITA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,14,11,1,4,0,0,0,0,0,0,1,0,0,0,0,0,16,15,31
COTOCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,53,49,2,2,3,7,0,0,3,5,0,0,1,3,0,0,62,66,128
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,18,9,4,1,0,0,0,0,0,0,0,0,0,0,0,1,22,11,33
CUEVO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4
CULPINA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
DESAGUADERO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,6
EL ALTO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,287,301,91,93,30,40,14,11,28,25,10,12,21,23,11,9,492,514,1006
EL CHORO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,11,4,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,5,5,10
EL TORNO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,45,27,1,2,1,3,1,0,1,0,0,0,0,0,0,0,49,32,81
EL VILLAR,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,12,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,36,21,0,3,1,0,2,1,1,3,3,1,0,1,0,0,43,30,73
ESCOMA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ESMERALDA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EUCALIPTUS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,1,6,11,17
FILADELFIA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6,3,9
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
GIA-TIM,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
GUANAY,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,5,6,4,4,2,1,3,1,0,0,0,0,0,0,0,0,14,12,26
GUAQUI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,20,15,1,5,5,5,1,2,1,1,0,0,3,2,0,0,31,30,61
GUTIERREZ,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,10
HUACARAJE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
HUACARETA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
HUANUNI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,3,5,2,1,0,0,1,1,0,0,1,0,2,0,0,10,9,19
HUARINA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7
HUATAJATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
HUAYLLAMARCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5
HUMANATA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ICHOCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
ICLA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
INCAHUASI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,5,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
INQUISIVI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,6
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,4,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,7,9,16
IXIAMAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,5,4,0,0,2,2,0,0,0,0,0,1,0,2,0,11,7,18
JESUS DE MACHACA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,8,14
LA ASUNTA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,2,0,0,0,31,30,0,1,0,0,0,2,4,1,0,0,0,0,0,0,37,34,71
LA GUARDIA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,56,72,0,2,8,4,0,0,0,2,0,0,3,4,0,0,67,84,151
LA PAZ,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,2,2,0,0,277,292,9,6,78,60,3,5,12,11,5,1,14,13,0,0,400,390,790
LAGUNILLAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
LAJA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,11,15,4,2,0,1,0,0,0,0,0,0,0,0,0,0,15,18,33
LAS CARRERAS,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LICOMA PAMPA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LLALLAGUA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,9,15,14,14,0,0,2,0,1,0,0,0,0,0,0,0,26,29,55
LLICA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,4,7
LORETO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
