,group,variable,month,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
COROICO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,51,38,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,55,125
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUATAJATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,130,130,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,139,274
MALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,41
OCURI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ORURO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,37,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,68
PAILON,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
POOPO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PORCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,4,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
PUCARANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,98
SABAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,37
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,14,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,25
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,137,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,144,281
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,14,11,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,34
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,10,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,20,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,60
ESCARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,54,48,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,50,109
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
OCURI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ORURO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,30,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,59
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
PORCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUNA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,28,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,71
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,101,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,204
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-02-01,13,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-03-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OCURI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,41,32,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,81
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,80,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,85,165
MACHACAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ORURO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,32,30,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,75
PAPEL PAMPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,41,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,58,99
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,22,25,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,60
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,45
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,37,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,45,83
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TURCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
UMALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACACIO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,15,19,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,53
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,46
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,28,21,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,72
ALALAY,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
ALCALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
