,group,variable,month,PENTAVALENTE 1RA DOSIS < A 1 AÑO - D,PENTAVALENTE 1RA DOSIS < A 1 AÑO - D,PENTAVALENTE 1RA DOSIS < A 1 AÑO - F,PENTAVALENTE 1RA DOSIS < A 1 AÑO - F,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - D,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - D,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - F,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - F,PENTAVALENTE 1RA DOSIS 2 AÑOS - D,PENTAVALENTE 1RA DOSIS 2 AÑOS - D,PENTAVALENTE 1RA DOSIS 2 AÑOS - F,PENTAVALENTE 1RA DOSIS 2 AÑOS - F,PENTAVALENTE 1RA DOSIS 3 AÑOS - D,PENTAVALENTE 1RA DOSIS 3 AÑOS - D,PENTAVALENTE 1RA DOSIS 3 AÑOS - F,PENTAVALENTE 1RA DOSIS 3 AÑOS - F,PENTAVALENTE 1RA DOSIS 4 AÑOS - D,PENTAVALENTE 1RA DOSIS 4 AÑOS - D,PENTAVALENTE 1RA DOSIS 4 AÑOS - F,PENTAVALENTE 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ARANI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
ARBIETO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,13,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
ARQUE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,19,18,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,22,22,44
ATOCHA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
AUCAPATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
AYATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
AYO AYO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,9,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
AZURDUY,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
BATALLAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
BAURES,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,7
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELEN DE URMIRI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BERMEJO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27
BETANZOS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,18,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,36
BOLIVAR,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
BOLPEBRA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BOYUIBE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BUENA VISTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28
CABEZAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,17,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,35
CAIROMA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
"CAIZA ""D""",vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
CAJUATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,21
CALACOTO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CALAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
CAMARGO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAMIRI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,19,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32
CAPINOTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,16,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,33
CAQUIAVIRI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
CARACOLLO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,24
CARANAVI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,37,38,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,43,39,82
CARAPARI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20
CARIPUYO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
CATACORA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CHACARILLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,28,15,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,19,54
CHAQUI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CHARAGUA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,16,10,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,22,33,55
CHARAÑA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHAYANTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
CHIMORE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,18,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,38
CHIPAYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHUA COCANI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,14,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,27
CHUMA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
CKOCHAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
CLIZA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,19,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,31
COBIJA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,21,23,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,57
COCAPATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,9,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,21
COCHABAMBA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,410,403,0,4,1,2,0,0,0,3,1,1,1,0,1,0,0,2,0,0,414,415,829
COLCAPIRHUA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,44
"COLCHA ""K""",vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
COLOMI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,15,12,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,17,33
COLPA BELGICA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
COLQUECHACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,22,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,40
COLQUENCHA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
COLQUIRI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
COMANCHE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COMARAPA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,11,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
COMBAYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,16,14,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,16,33
CORIPATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,14,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,6,21
CORO CORO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
COROICO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,12,5,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,9,22
CORQUE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
COTAGAITA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,12,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,29
COTOCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,59,46,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,52,114
CRUZ DE MACHACAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,9,17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CUEVO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CULPINA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DESAGUADERO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
EL ALTO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,542,507,119,113,3,1,2,2,1,2,1,2,1,1,0,0,1,1,0,0,670,629,1299
EL CHORO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EL PUENTE(STC),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
EL TORNO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,28,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,25,53
EL VILLAR,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,9,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,29,30,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33,32,65
ESCARA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ESCOMA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
ESMERALDA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EXALTACION,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
FILADELFIA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25
GIA-TIM,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
GUANAY,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
GUAQUI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GUAYARAMERIN,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,41,25,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,69
GUTIERREZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
HUACARAJE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
HUACARETA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACHACALLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUANUNI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,4,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
HUARINA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
HUATAJATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
HUAYLLAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUMANATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ICHOCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
ICLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
INCAHUASI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,5,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
INQUISIVI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,10,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25
IXIAMAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,10
JESUS DE MACHACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
LA ASUNTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,29,32,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,33,64
LA GUARDIA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,76,58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,77,60,137
LA PAZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,419,408,15,10,0,0,1,0,3,1,0,0,0,1,0,0,2,2,0,0,440,422,862
LAGUNILLAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
LAJA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,11,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
LAS CARRERAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-01-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
