,group,variable,month,SRP 2DA DOSIS < A 1 AÑO - D,SRP 2DA DOSIS < A 1 AÑO - D,SRP 2DA DOSIS < A 1 AÑO - F,SRP 2DA DOSIS < A 1 AÑO - F,SRP 2DA DOSIS 12 A 23 MESES - D,SRP 2DA DOSIS 12 A 23 MESES - D,SRP 2DA DOSIS 12 A 23 MESES - F,SRP 2DA DOSIS 12 A 23 MESES - F,SRP 2DA DOSIS 2 AÑOS - D,SRP 2DA DOSIS 2 AÑOS - D,SRP 2DA DOSIS 2 AÑOS - F,SRP 2DA DOSIS 2 AÑOS - F,SRP 2DA DOSIS 3 AÑOS - D,SRP 2DA DOSIS 3 AÑOS - D,SRP 2DA DOSIS 3 AÑOS - F,SRP 2DA DOSIS 3 AÑOS - F,SRP 2DA DOSIS 4 AÑOS - D,SRP 2DA DOSIS 4 AÑOS - D,SRP 2DA DOSIS 4 AÑOS - F,SRP 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,7,0,1,2,3,2,1,0,0,0,0,0,0,0,0,8,12,20
ATOCHA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
AUCAPATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
AYATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,7,3,10
AYO AYO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
AZURDUY,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
BATALLAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,13,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,14,23
BAURES,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
BERMEJO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,21,11,0,0,0,1,0,0,0,1,0,0,2,2,0,0,23,15,38
BETANZOS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,8,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24
BOLIVAR,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BOLPEBRA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BOYUIBE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
BUENA VISTA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,7,3,1,0,0,0,0,0,0,0,0,1,0,1,0,12,8,20
CABEZAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,8,9,0,0,0,1,0,0,0,0,0,0,2,1,1,1,11,12,23
CAIROMA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
"CAIZA ""D""",vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,9,6,15
CAJUATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,8,7,0,0,3,0,0,0,0,0,0,0,1,2,0,1,12,10,22
CALACOTO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CALAMARCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,6,13
CAMARGO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,6,5,11
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,5
CAMIRI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
CAPINOTA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,9,2,2,0,3,1,0,0,0,1,0,0,0,0,0,13,14,27
CAQUIAVIRI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CARACOLLO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,10,5,2,5,0,0,1,0,0,0,0,0,1,2,0,0,14,12,26
CARANAVI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,9,1,1,0,2,1,2,0,0,0,0,1,1,0,1,15,16,31
CARAPARI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CARIPUYO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,5,3,8
CATACORA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHACARILLA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3
CHALLAPATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,13,2,5,2,0,0,0,1,1,1,2,2,0,0,0,20,21,41
CHAQUI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,5,5,10
CHARAGUA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,5,0,3,0,0,4,3,0,0,0,0,0,0,1,1,12,12,24
CHARAÑA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
CHAYANTA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
CHIMORE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,16,15,4,3,1,1,1,1,1,0,1,0,3,1,4,5,31,26,57
CHUA COCANI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,9,9,18
CHUMA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CKOCHAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CLIZA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20
COBIJA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,13,16,5,6,1,1,1,0,0,1,0,0,2,3,0,2,22,29,51
COCAPATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,9,5,14
COCHABAMBA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,230,207,5,10,48,47,4,7,18,23,8,2,43,45,5,4,361,345,706
COLCAPIRHUA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,16,12,2,3,1,2,0,0,1,1,0,1,9,10,0,0,29,29,58
"COLCHA ""K""",vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,7,15
COLOMI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,3,2,1,0,0,1,1,1,0,0,0,0,2,0,0,13,7,20
COLPA BELGICA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,8
COLQUECHACA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
COLQUENCHA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,9
COLQUIRI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,3,3,2,0,1,0,0,1,1,0,0,0,0,0,0,10,7,17
COMANCHE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMARAPA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,10
COMBAYA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,14,1,5,0,4,0,0,0,0,0,0,0,1,0,0,13,24,37
CORIPATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,10,0,1,0,0,0,0,1,0,0,0,1,1,0,0,8,12,20
CORO CORO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
COROICO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,5,8,3,1,2,2,1,1,1,0,0,0,0,0,0,1,12,13,25
CORQUE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COTAGAITA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,11,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
COTOCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,59,48,2,2,1,7,0,0,1,4,0,0,5,5,0,0,68,66,134
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,18,9,4,1,0,0,0,0,0,0,0,0,1,0,1,0,24,10,34
CUEVO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
CULPINA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
DESAGUADERO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6
EL ALTO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,251,276,88,88,35,45,14,13,30,26,10,12,61,57,34,28,523,545,1068
EL PUENTE(STC),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,8,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,12,4,16
EL PUENTE(TJA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,5,5,10
EL TORNO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,37,30,1,0,5,3,0,0,1,0,0,0,2,1,0,0,46,34,80
EL VILLAR,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,30,17,0,2,1,0,1,1,1,3,1,1,3,3,0,0,37,27,64
ESCOMA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ESMERALDA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EUCALIPTUS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,4,5,8,0,0,1,0,0,0,0,0,0,0,0,0,8,12,20
FILADELFIA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,10,0,1,0,2,0,0,0,0,0,0,1,1,0,0,8,14,22
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
GUANAY,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,5,6,4,4,0,0,3,1,0,0,0,0,1,2,1,1,14,14,28
GUAQUI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,18,12,0,5,5,4,1,3,3,0,0,0,3,4,1,0,31,28,59
GUTIERREZ,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
HUACARAJE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUACARETA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUANUNI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,3,6,2,1,1,0,2,1,0,0,1,0,3,0,0,11,12,23
HUARINA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7
HUATAJATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,6
HUAYLLAMARCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4
HUMANATA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ICHOCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
ICLA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
INCAHUASI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,5,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
INQUISIVI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,3,2,3,2,2,0,1,0,0,1,1,1,0,0,1,9,11,20
IXIAMAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,2,3,0,0,1,2,1,0,0,0,0,0,0,1,0,10,4,14
JESUS DE MACHACA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
LA ASUNTA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,31,30,0,1,0,0,0,2,4,1,0,0,5,7,2,3,42,44,86
LA GUARDIA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,56,69,0,2,9,3,0,0,1,2,0,0,2,7,0,0,68,83,151
LA PAZ,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,253,252,6,4,81,62,4,3,10,17,1,2,56,71,9,6,420,417,837
LAGUNILLAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
LAJA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,11,15,4,2,0,1,0,0,0,0,0,0,0,0,0,0,15,18,33
LAS CARRERAS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LICOMA PAMPA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LLALLAGUA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,13,14,15,0,0,2,0,1,0,0,0,0,0,0,0,26,28,54
LLICA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,5,2,7
LORETO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LURIBAY,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,8
MACHACAMARCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4
MACHARETI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
MAGDALENA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,10,8,0,0,0,1,1,0,0,0,1,1,0,0,1,0,13,10,23
MAIRANA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,12,11,5,1,1,0,1,2,0,0,0,0,0,0,0,0,19,14,33
MALLA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MAPIRI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,6,4,4,0,2,1,1,0,0,0,0,0,1,2,0,13,14,27
MECAPACA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,6,2,2,1,2,0,1,0,0,0,0,2,2,0,0,8,13,21
MINEROS,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,11,7,5,0,1,0,2,2,0,0,0,0,1,1,0,0,20,10,30
MIZQUE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,10,14,6,7,2,2,0,1,0,0,0,0,0,0,0,0,18,24,42
MOCOMOCO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
MOJINETE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOJOCOYA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,6
MONTEAGUDO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,13,11,2,1,2,0,0,0,0,0,0,0,0,0,0,0,17,12,29
